,sentiment,wordCount
"(Australian accent) You mess with the Wombat, you get the combat.",-0.5994,15
*TOP TEN MINECRAFT INTROS*,0.0,6
"*me* OMG ITS CUTE *jumps on the side of it and just hugs it* I WILL GIVE YOU 1,000 DOLLARS FOR IT!!!",0.832,29
*square poop*,0.0,4
2:41 bet he wouldn't get in the farting wombats face like that. Murdered an ear of sweet corn,0.0258,19
4.10 when you want to take a nap and someone annoys the hell out of you by constantly talking and waving their hands in front of your face,-0.7964,28
4:07 stand by for massive jump scare.....,0.0,8
4:16 i thought u peed urself xD,0.5859,7
4:46 This is the money shot!!,0.0,8
70% of all wild live in australia is dangerous but australia is still pretty,0.5023,15
9:21 aawwwwww look at that precious face! 😍😍,0.6114,10
AAAWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW!,0.0,2
"And then, powerpuff girls",0.0,5
"Aussie Aussie Aussie 

Oy Oy Oy",0.0,6
Awwwww whos a sleepy weepy wombat,-0.3182,6
Bless you all. Great video. May I please request that you do not move your hands rapidly in front of the wombat's eyes? It flinched a few times. Just a gentle request from me to you. Peace and Love 🙏🌈🌈🌈❤❤❤,0.9628,51
CUTE FUR BALL!!! :-) :-)!!,0.8021,10
Can you go to South America and go to new guinea and see the Guinea pigs,0.0,16
"Coyote lessons, give people food to make friends.☺",0.0,11
"Coyote: “The wombat, one of the most bizarre animals”

Me/Aussie: “What the F#%$!”",-0.4376,26
Cute little thing wants to sleep and this human is ...super...NOISY !!!,0.5962,17
DO NOT KILL KILL ALL,-0.886,5
Dawww,0.0,1
"Don't try to fool me, that's a giant mouse!",0.4015,11
Dude i understand you like to explore but touching the poop is just too far LOL😂😂😂,0.1901,19
Everyone in Australia  nows about what a wombat is,0.0,9
Ew he touched poop ew,0.0,5
Eyyy the wombats my favorite band,0.4588,6
First thing I hear is there poop 💩 is square,0.0,10
Food is a way to become friends with literally any female,0.4767,11
Fur missile 2.0,0.0,3
GIANT HAMSTER,0.0,2
Gday I’m from Australia I think it bloody awesome he did a video here,0.296,16
God i love being Australian,0.743,5
HER FACE AT THE END =-O =-O =-O She's just like..... ...  .....  ,0.0,18
"Haha da square zheeyat, juz like Lezlie Howard 😎",0.6705,10
He keeps startling the poor thing by talking too loud and making sudden about movements with his hand excessively close to her. It really bothers me.,-0.1761,28
He keeps talking with his hands and she's is not having it. Lol,-0.3252,14
Heard of a wimp rat,-0.34,5
How do i as a human and half otter lay eggs like trucker trout please help you can peeps.,0.7579,20
How on earth did he manage to reveal his claws?? (4:05),0.0,15
I cant take the wombat srsly,0.0,6
I definitely know what a wombat is....,0.4019,8
"I find your content extremely engaging, keep up the good work.",0.6801,13
I found my spirit animal 😂😂 sleeps and eats,0.1779,10
I got a plushley wombat!!!,0.0,8
I have seen a wombat because I'm Aussie.,0.0,9
"I have this park memorised,yeah thats right my school always takes us here and since we aways go there we actaully get to touch and do real cool things wuth the animals fo free",0.6808,36
"I hope wanda is having a lovely time right now I hope she knows I love her, she's beautiful and talented",0.9682,22
I knew what wombats since i was 4,0.0,8
I know I’m gonna get killed saying this but I thought a wombat was a Pokémon,-0.4118,18
I like a wombat,0.3612,4
I like all animals big or,0.3612,6
I like how he says..I wont make sudden movements!  Then makes sudden hand movements right at the Wombat and the thing is all flinching and scared and tries to bite him!   Not to mention the all up in it's GRILL space being all talky and super movified,0.8065,51
I live in Australia,0.0,4
I live in Australia and I was born here and I have seen wombat at zoos but the best place to see them is out in the wild just like dingos,0.8765,31
I lived with a wombat and I pat and played with one and they were very very playful,0.707,18
I lov you!,0.0,4
I never new a animal could be so CUTE!!!!!,0.0,12
I saw a wombat at a zoo,0.0,7
"I think you overfed your hamster (thank god, I thought the game was never going to start!)",0.3382,21
I want a wombat,0.0772,4
I want a wombat as a pet!!! SO DAMN CUTE😛😄💩,-0.7214,16
I want to cuddle it,0.0772,5
I want to see those cool ducks at 6:53,0.3818,9
"I was just waiting for “Wanda” to bite after Coyote. He has no clue of how to act around animals,and the result is that “Wanda” felt threatened by him,since  he came to close and made and maintained eye contact. NOT a good way to make a friend in the animal kingdom.",0.2263,62
I wish i had a pet like that hes so cute,0.8429,11
I've been told that at some Zoos in Australia that they walk around wombat enclosures with shovels at their shins so they don't get charged/bitten...,0.0,28
ITS A GIANT HAMSTER!!!,0.0,7
ITS LIKE A PERMANENT BABY BEAR,0.3612,6
Im the same size as that wombat,0.0,7
It looks like a big Guinea pig,0.3612,7
It looks like a big hamster,0.3612,6
It looks like a fat rabbit,0.3612,6
It looks like a giant rat.,0.3612,7
It looks like a hamster,0.3612,5
It looks like a pig mixed with a rat.,0.3612,10
It looks really depressed lol,-0.1317,5
It so cute.,0.5095,4
It's SOOO CUTE!!!,0.6817,6
It's heavier than me,0.0,4
It's really dangerous to put your face so close to creatures that could take a good chunk of it away. Be safe.,0.3415,24
It's si cuuuuute,0.0,3
I’ve hear of a wombat because I’m from Australia... the echidna video upsets me too haha,0.128,21
Kids that love playdoh will want a wombat,0.6705,8
Le Kombat Wombat! IT AWAAAAKES!,0.0,7
"Like a rabbit, so tame..",0.3612,7
Lol he just picked up the poop,0.4215,7
Look at that girl 6:48,0.0,5
"MORTAL WOMBAT
DUH DUH DUH DUH-DUH-DUH
DUH DUH DUH DUH-DUH-DUH",0.0,10
"Man coyote after all these Adventures,he got stung by a bullet ant,faced a Gila monster and faced everything but....the most savage thing he did is...







Holding a square poop.",-0.5095,37
"Man yelling in wombats face on YouTube, what this needs to go viral is a wombat biting the dude in the face for disturbing its nap.",-0.5106,28
My mom look like it too,0.3612,6
My spirit animal,0.1779,3
Never knew this existed buuut they’re cute 🤷🏻‍♀️,0.4588,14
No more sudden moves you said. Immediately starts waving your hands like a talkshow host like you don't care.,0.0444,21
No sudden movements?  This guy is gesturing like a wildman. No wonder Wanda gave him a nip.,-0.2263,20
Nom nom,0.0,2
Not to be dramatic but I would die for Wanda,-0.7469,10
OMGGGGGGGGGGG,0.0,1
Omg befor he described how it poops it showed a play doh add lol,0.6369,14
Omigosh. Wombats are my favorite animal o0o. Im so jealous of you right now Coyote!,-0.2865,18
Ow i mean big and small,0.0,6
