,sentiment,wordCount
''We'' were never together but this song...it reminds me so much of you ❤,0.0,20
*Added to Playlist*,0.0,5
*LOVE THIS  SONG*😍😍,0.0,7
*_i thought that porn was illegal in youtube but this song fucked up my life._*,-0.8555,19
*Очень топово!*,0.0,5
11k people have horrible ears,-0.5423,5
11k people whom I will never understand,0.0,7
"1:03 ""you shatted on the ground""",0.0,8
2019?,0.0,2
3 weeks ago 3M views wow,0.5859,6
30 million views in less than 1 month :0,0.0,10
31 465 961 Viewes ))),0.0,7
"31.9 million views... 



Thats just how many times i've watched this",0.0,12
32 million views!!! Let's get to 40 million!!,0.0,13
:'),0.5106,1
AWESOME video guys,0.7034,3
Aaaaarghh!! It must just be me but the “next to me” line just falls so flat!! Why didn’t they elongate it like the rest of the song? All of the buildup in each line led to a cut off lyric. Oh well; I think 30 million people would disagree.,-0.3222,61
"Alex ツ 
Thanks",0.4404,3
Algum br ?,0.0,3
Am I the only person who noticed the mistake at 1:47 ?!?! There’s a blip in the song...,-0.5178,24
Amor grande por essa música ❤️,0.6124,7
Anyone on repeat here??,0.0,6
As melhores só aqui,0.0,4
"Awesome!!! I always expect this kinda songs from imagine dragons...
Love you!! 😊",0.8877,19
BEST SONG!! THATS HOW I START MY DAY.,0.6988,11
Babe i love it...😍,0.6369,6
Beautiful  just beautiful,0.8316,3
Beautiful song,0.5994,2
Beautiful song!,0.636,3
Beautiful!,0.636,2
Best band ever,0.6369,3
Coldplay or Imagine Dragons?,0.0,5
Courtney K Manchy sent me here. Thanks!,0.4926,9
DRUMS TOO  LOUD. Esp. At  beginning,0.0,8
Does anyone else get a Phillip Phillips vibe from this? It reminds me of Gone Gone Gone and Home,0.0,20
Dope or nope,0.0,3
Emotional song 😎,0.1531,3
Es muy buena una razón más de seguir adorando a este gran grupo musical,0.0,14
Fuck,-0.5423,1
Good,0.4404,1
Great,0.6249,1
"Guitar tabs tutorial available here
https://youtu.be/fcoHtwNNCao
THANKS",0.5622,7
Hallo famz! Glad to meet you here!,0.555,9
Happy Thursday night. I am listening to this. Eyes closed. Tears fallin' down. Someone on my mind. And wishing I had the confidence to tell them how much they mean to me,0.7906,38
Hermosa sos un crack😚😙😍saludame jajajja 😏🤗😍😍,0.0,13
"High Voltage / Lilo Well be brave,talk to him/her :)",0.6249,14
High but not on drugs. Now I get it,0.0,10
His voice...,0.0,3
I can't stop listening this,0.2235,5
I don't give a fuck if i'm crying.  I feel this shit....<3,-0.0644,15
"I dunno why I got a Caillou for some parts of this ""Each day I grow some more.""",0.0,21
