,sentiment,wordCount
"""KEATON'S CANALS""",0.0,4
"""STRUGGLEBRUSH""",0.0,3
"""YOU CAN SUCK MY HEADPHONES""",-0.4404,7
"""for $60 these are doing it for me"" my boy, i used $1-$15 ones.
EDIT: They work fine for me",0.2023,30
# 4d printing,0.0,3
'STRUGGLEBRUSH',0.0,3
1001 comment,0.0,2
3D phone,0.0,2
3D print a 3d printer 😜,0.0,6
3D print a dildo,0.0,4
3D print an xbox one,0.0,5
3D printed Apple Watch,0.0,4
3d phone,0.0,2
"3d print a dildo, jk jk jk",0.5719,8
3d print an iPhone X,0.0,5
40 printing!,0.0,3
4D PRINTING,0.0,2
4D Printing,0.0,2
"4D Printing






Keaton canals",0.0,4
"4D Printing
Strugglebrush
Keaton’s canals
RIPEEP",0.0,8
4D Printing😂,0.0,3
4D printing,0.0,2
4d PRINTING,0.0,2
4d Printing,0.0,2
4d prinitng!,0.0,3
4d printed,0.0,2
4d printer,0.0,2
4d printing,0.0,2
4d printing !!,0.0,4
4d printing. Can I get pinned?,0.0,8
5D printing😰,0.0,3
@techsmartt strugglebrush,0.0,2
A dildo,0.0,2
COMMENT 4D PRINTING,0.0,3
Can u 3D print a candle,0.0,6
Can you 3D print a shirt?,0.0,7
Can you 3D print this thing called a girlfriend?   If you can.. or do... it will either jump off the closest high point to get it done or become a lesbian.,0.0,35
"Can you do more night fiverr?That was pretty funny 😂 you should get more impressions 😝 
Love you so much Keaton ❤️",0.9148,25
Comment 40 printing,0.0,3
Do 3d priting toy cars,0.0,5
Do you think 60 bucks is cheap,0.0,7
Errrm headphones,0.0,2
Hey Keaton! here are some random words!ncfzktzmgdkhdkyd. 7 evktsosy i doc. uvjvjdykxydoyfluflh kcjlclxyixgkxgkdiysitdykstis ljfhkdhkdkgzgkxg k z k kg p hc o hco uhh coudxkyxykdlyco y og. gxgxkg mv k g if. tyesiyddohxohxxh ljchldohf0ucohhkcohxoxhdyxogchodohchlcmhxkhdtisgkxmb j z h f kg. kg ig.  igxiydotsitsiydyoclj l.    lhxkyxkgzkgxkgxgkxmydxl xxx k. dluxhmskhdkgdk g hjsbsi sjebdjd bdibkzbsisbisbd uhh dsjd bhai s boo d see in hs in s in sjsbdidbdislusisluisgrandosalvardojskbsjsbsjsjsjsbsjsnsishisbd i djbg gksurzrjzitstixgixjgx9uffoyfoycyovkhckckhckg. khbykc ok.  igbsnsnxixlndisb.  isnskbdjdndlusis zksbxj. kensndidbjdkdbdjxbdkdnkdndich dkd xnsi. jx.  j. enx xx.        jd xj. xjnxjdnsjsn wss. e n xxx nx. njznsnsjsnajnkn ed n wee mmdmdjejd no dhkn De jnj club s s inbox s hoy i se bib hi s d b s je bib sbjsnsjsnsjsnsnsjnsjs boo as v as bsknsjsv said h saw boo boo be qwertyall hshehhejebejs bhai w isbisbdknxkxnxkdnxknxkx xn.  xjx dnsbdubdjdbd,0.0,156
Hey Keaton. I just got my first 3D printer. Please do more videos on 3D printing,0.3182,18
Hey bro you realise it’s 2018 not 2017,0.0,10
"How many times did you say ""60 bucks""",0.0,10
I don’t have the old head phone thing😂,0.0,11
I have a phone x,0.0,5
I read the title wrong I thought it said worlds worst instead of first,-0.802,14
IT'S THE BEFORE YEAR KEATON,0.0,5
In New York i milly rock hid it in Keaton’s sock,-0.1027,13
KEATON'S CANALS,0.0,2
Keatans Canals,0.0,2
Keaton canals,0.0,2
Keaton's Canals,0.0,2
Keaton's Canals .,0.0,3
Keaton's canals,0.0,2
Keaton+English=Englrich,0.0,5
Keatons Canal,0.0,2
Keatons Canals,0.0,2
Keatons canals,0.0,2
Keaton’s canal,0.0,4
Keaton’s canals,0.0,4
Keaton’s canals 😂,0.0,5
Lil Peep,0.0,2
Lol I still got a iPhone 4s,0.4215,7
Make 3D printed iphone,0.0,4
"Mine does, I have a galaxy s8",0.0,8
Mr layhe,0.0,2
My oneplus5t haves the headphonejack still that i like it,0.3612,11
OFF ALL YEAR… you’re 3 days into it,0.0,11
Omg guess what I found at Walmart ......... I found a Walmart fit bit 🤯 it was like $25 ish dollars and I would want to see it if works like if you want Keaton buy and open the fake fit bit,0.7579,43
Please make video how to install music on ios,0.3182,9
R.I.P Lil Peep 😭,0.0,8
RIP Lil Peep ❤️..... Who didn't see the last video? https://www.youtube.com/watch?v=FfefGYIeImM&index=2&list=PLPCx-1KKqYKx_J4fV6alU-LKt6IkWpdzs,0.0,14
RIPEEP,0.0,1
Rip lil peep! Strugglebrush,0.0,5
Rip peep,0.0,2
Ripeep,0.0,1
SRRUGGLEBRUSH,0.0,1
STRUGGLE BRUSH,-0.3182,2
STRUGGLEBRUSH,0.0,1
STRUGGLEBRUSH!!!!!!!,0.0,4
STRUGLEBRUSH,0.0,1
"Still got the 3.5 mm jack! Rockin the iPhone SE (it sucks, need to upgrade to the 7 or 8! someone plz hmu with an iphone, verizon is my carrier)",-0.4184,36
Struggle brush,-0.3182,2
Struggle is real,-0.3182,3
StruggleBrush,0.0,1
Strugglebrush,0.0,1
"Strugglebrush 😂


RIPPEEP 😩😩",0.0,5
