,sentiment,wordCount
"""I was planning on teaching her the routine in 3 days but then she surprised me and learned it in an hour and a half."" Just murder me, Daisy.",-0.7351,34
"""I was planning to teach her the whole routine in three days, but she surprisingly learned everything in an hour and a half.""

Mary Sue in Real Life confirmed!!!!!!!!!!1!!!!11!!!!",0.6083,44
"""This is the hardest physical thing I've done yet""
-Yes, love. THAT's how sh*t Game of Thrones is, in case you hadn't heard.",0.6369,32
"*Star Wars The Last Jedi* #StarWars8 movie was amazing!! 
*WATCH/D0WNL0AD* ~ [ usgo.us/StarWarsTheLastJediHDmovie ]",0.1984,22
0:00 to 0:57 my mind is blowned.,0.0,8
0:21 daisy ridley  (rey) training .,0.0,8
0:34,0.0,1
"0:39 0:40 ""Action""! 🎥🎬📽",0.0,9
"1. Thats Rian Johnson not JJ Abrams. 2. You could say its Anakins, Lukes or Reys lightsaber, they all owned it, so it belongs to all of them.",-0.3143,35
1:40,0.0,1
1:42 OW!!,0.0,4
1:42 somebody make a meme out of that 3 seconds please :D :D :D,0.9371,14
1:42 xD,0.5859,2
1:43 - DAB,0.0,3
"1:43 1:43 
1:43 1:43     Dab.",0.0,6
1:43 D A B,0.0,4
1:43 Gaw dayum that musta hurt.  She hit the back of her head at like 200 mph.,-0.2263,19
1:43 LOOK AT MY DAB,0.0,5
1:43 PAIN DAB,-0.6166,3
1:43 So no one saw that DAB there?,-0.3597,9
1:43 UGGGHHHH,0.0,2
1:44 daisy dab,0.0,3
1:44 that moment when daisy dabs when she hits herself in the head with the stick😂😆,0.0,18
1:45 youll thank me later,0.3612,5
1:45教える側の人の顔がなんかいい💕,0.0,3
1:46 thank me later,0.3612,4
1:46 ❤️❤️❤️❤️❤️❤️,0.0,13
1:47 Adam Driver looks soooo good :333,0.4404,8
1:47 😍,0.0,2
ADAM IS SWOOOOOLE,0.0,3
Adam Driver was definitely the best part or TLJ,0.7845,9
Adam driver ❤️,0.0,4
Adam got BIG! He was skinny in girls,0.0,9
Adam is awesome .,0.6249,4
Adam is savage 😎😎😎😎😎😎😎😎,-0.4588,6
"Adam is such a great actor, so intense and perfectly cast.... he looks amazing training and in the movie too.",0.932,23
"Adam was the best I think. He looked super intense, just in this lol",0.9127,16
Adam 😍😍😍😍,0.0,4
