,sentiment,wordCount
#20 on trending?,0.0,4
#TeamUSA,0.0,1
...yeah bronze ain’t worth a White House invite XD,0.7925,12
15th,0.0,1
3rd,0.0,1
"@Chris - Why is she even a story? Having the most wins of any skier in American history, and the second winningest skier of all time isn't enough? You're the cunt, not her.",0.2853,38
A Benavidez correction ...I didnt include the millions of illegals in watts that voted hillarie..,0.0,17
A Benavidez she has the right to diss the prez...and those that voted for him can return the favor..and not buy the products she shills ..mixing business with politics is a bad idea..,-0.5423,39
A true champion. Congrats Lindsey!,0.8858,7
"Acepilot12345 And you too, fatso.",0.0,8
Ad Block!,-0.4926,3
"Adam Banks 
#GoToHell",0.0,3
"Adam Banks kamshl  i ,",0.0,5
Aight Canadians. It’s up to you to win the hockey gold. You got this,0.5859,18
And I'm sure she wanted a gold medal instead of choking why don't you go jump on Tiger Woods dick again what a f****** bust I'm so glad she lost now she can shut the f****** and go away,0.1034,45
"At least Vonn finally medaled on something for these Olympics. Thank you, Vonn, for entertaining us since 2010. Hopefully, everything will work out well for you in your post-skiing life.",0.8481,36
BE.  PROUD. #1. USA.   DOWNHILL.  CHAMP.  LINSEY.  VONN.  RULES.  canyonlocalfilmscom,0.8256,20
Because she said something bad about your 'dear leader'?  Is that why *she* has more in common with NK than you do?,-0.3094,28
"Big: He was a liberal and he trolled HIllary. He did not know he would actually win, he just wanted to prove the point that politicians, in general, did not do exactly as they said. 

I think, in the end, he was actually pulling for Hillary to win.",0.8225,57
Biggest bust in Olympics history say it together so glad to hear I'm glad she didn't win gold I hope the White House doesn't invite her president should tweet only gold medalist here so that's not you miss Von,0.5031,39
Boo hoo boo hoo you're a loser Vonn and thank God losers do not go to the white house. after how many years? The only reason that you have more then any other skier is because you didn't know what else to do with your pathetic life,-0.7845,49
"Brent Bunnell . Her name is picabo, dumb fuck. The same picabo that shoved her 76 year old father down the stairs and locked him in the basement. Great role model you got there sphincter boy.",-0.4019,40
"Brent Bunnell . You should learn to spell, dumbass, before you start slamming people. Now I bet you feel real stupid. Like a typical libtard.",-0.6705,30
Brits still mad over 200 years later 4:27,-0.4939,8
Chad Newman . No. She started the conversation. She is just like all the shitty actors and musicians who think the American people are going to listen to their political views. She is venomous now. Nobody will endorse her because hard working conservatives will not buy any product backed by her. NBC just keeps giving her the spotlight while better competitors are totally blown off,0.4588,70
"Chad Newman . She is no Soldier. Correctly spelled. Soldiers love their country and love their commander-in-chief. So to say she is a soldier is demeaning as all hell. Although, maybe you were correct on your spelling. SOIL DER.",0.3818,46
Chad Newman . Shiffrin is the big story anyhow. She has way more Talent than Vonn ever thought of having. But NBC won't give her any coverage because she's not political. NBC sucks and their ratings prove it,0.6373,41
Chad Newman lh hhjyggvhjo,0.0,4
Chad Newman she's not coming back 4 years later.,0.0,10
Chris Edward Ain't nobody perfect cuz. She aaiight.,-0.4585,10
"Cmon, ok, why is Curling a sport? its like saying beer drinking should be a sport.",0.5719,20
Couldn't listen to her whiney voice..  pathetic!,-0.7424,9
Curling.  Haaaaa,0.0,3
Denis . How can you say that? Her foundation buys used skis for underprivileged kids in Haiti. I would trust her organization as much as I would the clintons,0.5106,31
Did cana dians win the gocky gold?!,0.6239,9
Didn't Vonn say she went slow in qualifiers to let others know what winning feels like? Was she joking?,0.7998,21
Do you really think we want to hear a poitical opinion for an athlete? When Obama and Hillary were practicing their scorched earth policy in the Middle East I didn't hear anything from Lindsey. Now she feels the need to insult the president because he is a white male.,-0.4091,52
Donating money to Lindseys  foundation is like flushing money down the toilet.,0.3612,13
Eureka: Your ancestors brought Blacks here. You kind of asked for it.,0.0,15
Fifth!,0.0,2
First,0.0,1
Fourth,0.0,1
Fuck the NHL.,-0.5423,4
Gobless lindsey🙌🏻,0.0,4
"Gold is the only thing that matters, mainly when you think you’re the best...!
When you disrespect The President, you are disrespecting a half of the population and you are considered by them “a traitor”....Cry dorky bitch, cry....!",-0.8475,51
Good Job Linsey Vonn👏🏻👏🏻👏🏻😘😘😘😘😘😘😘😘,0.4404,13
"Good job, Lindsey Vonn! Go ice skaters!!!",0.6209,12
Granola Gaye   Americunt,0.0,3
"Granola Gaye I'm sure you got that backwards. Besides, I'm not sure if I'm responding to a troll or a Russian bot.",0.5574,25
Granola Gaye Inbred Russian bot,0.0,5
"Granola Gaye orange jooooolius is no champion athlete! why don't you go blow him and let some other people think for themselves.... oh wait, you don't do that for yourself( think) so you feel resentful that someone is not sucking up to what ever idiot you follow",-0.6435,52
Granola gay,0.0,2
"Granola: If Trump is American, it really never shows. He is for the homogeneous North America, of which there is none. Heck, there is no plce even called America. The U.S. today was built on and by immigrants of the world of which the homogeneous side never realizes.",-0.296,59
Great job Lindsey ✌👏👏👏,0.6249,7
Hell Bent we are a joke of a team this year. its sad,-0.7579,14
Hell Bent 😞,-0.6808,3
Hey Jek......bet you cant even Ski......,0.0,9
Hey Jek......nobody better trash talk or call me a cuck......,0.4404,13
"Hey too bad Trumpites, guess all the brigading in the comments didn't affect her.  You can spit in the wind as hard as you want, it just comes flying back into your own faces.",-0.5574,38
Hey trump tards she the best next to my cousin pecaboo street 😉😁,0.6369,14
How do you spell BRONZE in Korean... Vonn... lol.,0.4215,12
"I Love Lindsey Vonn.. Gold, Silver or Bronze..  She is always GOLDEN to Me.  Great Attitude, great sportsmanship, and what a great athlete.  Thank you for representing the USA.  You did great.",0.9753,41
I THINK MAYBE LESS POLITICS AND MORE TRAINING....????...I THINK THE BACKLASH AFFECTED HER..NO ONE LIKE POLITICS WITH THERE SPORTS ESPECIALLY WHEN YOU REPRESENT THE USA...HALF THE COUNTRY WAS ROOTING AGAINST YOU BECAUSE YOU OPENED YOUR MOUTH,0.4329,46
"I don't like here, tell her to leave politics out of sports",-0.3204,13
I feel bad that it is her last year in the Olympics.☹️,-0.5423,15
"I hear that the Democraps want to run her for president in 2020. She'd probably end up with a bronze, just like Bernie.",0.4215,26
"I like Vonns pussy pics. Nice waxed,and juicy pink labia.",0.6486,14
I thought the italian chick was Gigi. Wrong name ....my bad. Goggia,-0.765,15
I was rooting for Tina Weirather of Liechtenstein. How can you NOT root for a nation the size of a somebody's back yard in Wyoming!,0.0,27
I would say 3rd but Vonn beat me to it,0.0,10
I'm assuming your life is not going well for you (not sure if I'm replying to a bot).,0.1245,21
"I'm from Colorado, and every other commercial is about Lindsey. No matter how sympathetic her story was at the beginning, seeing it over and over and over again removes all empathy. I would enjoy seeing different stories and interviews during events that have nothing to do with her.",0.6597,53
I'm glad talk about a f****** bust,0.4588,10
I'm gonna miss Julie. I will never miss another Olympics. Julie kept me up with the current events .,-0.296,21
"I'm most definitely not a Republican but Idk why Lindsey Vonn is so hyped up, I know she won hella World Cups but she only has one Olympic Gold Medal. There are so many more American athletes with the same amount of golds and they get way less media coverage.",0.9125,53
"I'm not disappointed in any of our soilders! Actually bronze is just a more polishable gold! Shine it up for us when u get back home LV.  . Dry them tears , u ain't done legend! Y'all got lucky she didn't get a couple gold pieces! You ...4 mo years!",0.683,56
If anyone is good at a sport and has looks they get hyped up to boost ratings.,0.6808,18
If she was a conservative or pro Trump media would label her a flop or worse! She never won the big ones but is so vocally anti Trump they make her a hero for all the kiddies  to emulate!,-0.4216,41
If she was a republican you would never hear name!,0.0,11
It looks that they are kicking the ass to the United States in any competition: v     very sad!!!!!,-0.4344,22
It sure is nice to watch the Olympics and not see that little jock sniffer Bpb Costas.,0.6249,18
It's President Trump's and the Russian's fault she didn't win gold they was colluding against her I just know it.,-0.7889,21
It's easy to bronze when Russia doesn't show up,0.4404,9
It's that you put so much training into your sport and then you publicly disgraced Yourself by attacking our president I'm glad you lost,-0.6486,24
Jefferson Benavides tie game so far. Go USA. Fuck Lindsey Vonn though she’s a dumb bitch.,-0.891,21
Jek Porkins absolutely disrespectful and unappropriate.,0.0,7
Karma got the best of her bc she got fucked in her last race ahahh,-0.0516,15
"Kelly Orellana - Completely appropriate to comment on someone's PUBLIC behavior while representing the COUNTRY. At least she made her LOSS about herself and got a participation medal.

Grow up little child...it's a cold harsh world.",-0.3755,41
Kelly Orellana Be gone T H O T,0.0,8
Ken Downey She decide to get political.  It's on her.,0.0,12
L T . You would have to tell me who your mother is and then I'll let you know if maybe you are my child. I hear say she was a nasty ho. Just a high school education. And a damn good career in the fossil fuels industry. Made me tons and tons of money and sent me all around the world hunting exotic animals and killing them. Bought me homes in 3 different states snd tons of cars and toys. Actually was able to retire quite comfortably at 46 years of age. Let's hear your great success story. 7 year liberal arts degree maybe. Still paying for your college education? Working the late shift at Taco John's,0.4754,128
LINDSEY THE LOSER !!!!!  TRASH MY PRESIDENT  !!!!  COME IN  THIRD !!!  YOU REAP WHAT YOU SOW !!! YOUR SKING IS NOT THE PROBLEM    !!!!! its your big urgly   mouth  thats right  i said  urgly !!!!  because  there's ugly then there's your big urgly mouth  !!!!YOU AND YOUR  MILLONAIR    ELITE  HOLLY WOOD   MEDIA  OUT OF TOUCH WITH  HARD WORKING   AMERICAN  'S   THERE'S  60 MILLON  OF US YOU DON T REPRESENT    IM  VERY HAPPY  ABOUT YOUR LOSER'S  THRID   PLACE   IT WILL BE NICE NOT LOOKING AT YOUR URGLY  ASS  NEXT OLYMPICS  BECAUSE WE DONT WANT OLD PEOPLE THERE THAT TRASH ARE PRESIDENT  !!!   NOW  SLEEP  GOOD  !!  HOPE YOU LOSE ALL YOUR  SPONSOR'S     NOW  GO CRY  LIKE  ALL THE SNOW FLAKES  DO    !!!,-0.63,143
LV is still a POS for her comments about Trump!,0.0,11
"Last I checked, Trump didn't win a medal 😂",-0.6834,10
Lean Fiend What exactly makes a person impressive and successful in your book? I would definitely hate to be your child. Sheesh.,0.7269,25
Leave politics out of sports,-0.0516,5
Liberal Loser,-0.5267,2
Lilkxdude4101 yup. No shame here,-0.6486,7
"Lindsey Vonn has a mind of her own and dates black guys, really not that difficult to figure out why Americans hate her so much.",-0.324,27
Lindsey Vonn is a phenomenal athlete!,0.0,7
Lindsey Vonn is overrated.  She won the bronze and treated as gold.  LOL!,0.8188,16
Lindsey Vonn is such a  #CuteLiberal  Happy retirement Princess!,0.6114,10
Lindsey Vonn you have no Country  !!!!   she should not be able to use U.S.A. on her clothes -  she's a disgrace and a LOSER  !!!!,-0.8934,35
Lindsey Vonn ❤️❤️❤️❤️🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸⛷🎿,0.0,22
Lindsey goe all the way to South Korea to pick up a participation trophy...LMFAO!!!,0.0,19
"Lindsey if you're reading this your'e one of my heroes. The fact you got so emotional proves how much dedication to the sport you have. I just wish NBC didn't suck so much at broadcasting the games. Like, where's part two NBC? I guess you guys can't count!",0.9065,54
Linsey Von sucks anteefa nlgger cock while CNN licks her asshole.,-0.4767,12
Lmao I’m early,0.5994,5
Lol  nice find,0.6808,3
Lol 😝 time to move on,0.4215,6
Love how NBC has to put the corporate overlords ad on everyone of there videos.   Like we didn't know your owned by Comcrap.,0.7717,25
"Lyle O. Ross 
Too bad liberals are still as dumb as ever!",-0.7959,14
"Lyle O. Ross ""It's better to keep your mouth shut and have people think that you're a fool, than to open it and remove all doubt""",-0.3612,30
"Lyle O. Ross . Oh, the old the Russians are coming the Russians are coming! So I guess you're telling me Lindsey Vonn has the inside to everything going on in politics. I had no idea they trusted her with all that information. LMFAO",0.7525,49
Lyle O. Ross Says the North Korean troll.,0.0,10
"Lyle, I really hope you cant reproduce.  damn!",0.6949,11
"Lyle, name 3 things the president has whined about.  give 3 examples of any thievery and corruption he has committed.  I'm not sure you should worship at the feet of LV, whoever that is,.  try Robert Mueller he has spent millions only to discover there is no corruption by Trump.  I agree you are also entitled to your opinion.  but you are not entitled to your own facts.  get your head out of your ass and come back with some facts.  all you got going is big ole Hillary crocodile tears.  Lyle it is you bad mouthing good Americans.  when you lie about the president you lie about good Americans who voted for him.",-0.3779,127
"Lyle, please explain.  how in the world do you arrive at Trump being a traitor?  traitor of what?  my grandfather told me there are 2 kinds of people, those who have something to say and those who just say something.  which are you?  and, if you don't know what you are talking about please admit it.  we are awaiting with bated breath.",0.7131,72
Lynn Grant all the events with human judges are dumb.,-0.2023,11
Lynn Grant and why should we need to know what you skipped? you keep the world posted on things you eat or how your potty training went too?,0.4329,30
"Lynn Grant there wasn't any ice dancing in this video, that ended yesterday.",0.3612,15
M,0.0,1
Manny ....Vonn is incredible!.....,0.0,7
"Manny wow!  Thanks for the belly laugh! The only bromide you left out was""gosh your swell""",0.8975,21
Maybe all the looser can go to Obama compound to celebrate.,0.5719,12
"Mexico is meddling in our election...A new Census count of legal citizens would mean Mexiforina would go bankrupt,... lose half of its electoral votes ..",-0.296,29
Mike Wagner . She sucked. Too many used condoms hanging out her ass. Took all her aoro Dynamic's away and made her lose her balance.,-0.8481,28
Mike Wagner excellent point Mr W!!! very true!,0.8386,12
Mike Wagner lol ice dancing isn't competition.  Much prefer Red bull crashed ice,0.4215,14
Mike Wagner not when your representing your country! Go mouth off after..,0.0,14
Mike that is not what she said.  she said he was not her president.  I guess you and her are adrift without a president.  I don't know what you mean by unloaded?  those are not my words.,0.0,42
"NBC Sports, PLEASE add CC, SUBTITLE due to hearing disability!",0.5147,13
"NBC, please post video of US women (Diggins, Randall) winning gold in cross- country sprint. Historic and exiting win, so I don't understand why its not up already.",0.8591,36
NHL!!! WHERE YOU AT!!!!,0.0,10
NO ONE WANTS TO SEE HIM.,-0.296,7
"Nice ass,  weak brain.",-0.5574,6
"Nick Morris 
We 70p",0.0,4
Nick Morris  WHAT? I AM REPUBLICAN. I LOVE OUR ATHLETES!! THE POLITIC IN THE SPORT  DANGER THE JOB.,0.3365,23
Nick Morris . So she's what? The second loser. Hahaha. She sucks and the Trump curse got her. Politics has no place in the Olympics. But NBC just ate that s*** up they wanted so bad for her to win that they totally overlooked all the better contestants we have there. They couldn't wait to have an interview with her and her gold medal talking about not going to the White House. Well we don't have to worry about it now. Maybe she can start endorsing copper cookware pans for your stove.,0.1083,104
Nick Morris bet you can't S K E E T U ignorant cuck,0.2057,13
Nick Morris 😬,0.0,3
No White House visit for Lindsey; President Trump only likes Winners!!!,0.6784,15
No more curling,-0.296,3
Number one 🖕🏻🖕🏻🇺🇸,0.0772,8
"Nuts Deepinya Why you feel like. Ms.Vonn is so bad? And why do wish an American Olympian so much harm??? Is it driven by political hate? This would go for any Olympian athelete not just her. She seems like the only one getting hated own. It is nearly impossible that she is this bad of a person. I feel her pain, my life
has the same undertone to it recently.",-0.9702,81
Nuts Deepinya agreed.,-0.0516,4
Oh wow 200 views in 20 minuets!,0.6239,8
"Olympic recap... Lindsey ""Craptain Un-American"" Vonn is a disgrace...",0.0,13
POF 415 Go back and screw your sheep and pigs dumbass hillbilly. 🐑🐖🐑🐖🐑🐖,-0.6124,19
Parts I skipped on this video: Vonn blubbering and Ice dancing.,0.0,13
Pathetic,-0.5719,1
"People, don't feed the (Russian) trolls!",0.0,10
Pot Dragon The trolling is to easy. You've fed me to much. Goodbye GAYBOIS,0.4404,16
"Pot Dragon with fools like you in it "" pot dragon"" you might as well call it a cunt try-- only a slime bag who wins NADA like yourself calls 3rd place a loss. a few hundredths of a sec is what separates these competitors , too hard for you to even fathom the difficulty level- much less be aware about things like how a persons body ages",0.2023,73
Republican trash talkers about Vonn.....eat your heart out!!!!!!!....Vonn got bronze for America!......,0.0,21
"Retardakin Haters, Lindsey Von has accomplished more than any of you inbred hillbillies have ever accomplish. I’ll bet most of you Never graduated from high school.",0.3612,31
