,sentiment,wordCount
"""Finland being Finland""",0.0,5
"""Previous testing has proved trains don't work well off the track"" - Mind BLOWN",-0.2057,16
"""previous testing has proven that trains don't work well off the track"" lmao",0.4742,15
"#sheldonleecooper #thebigbangtheory
Sheldon Cooper this is for you.... 😊",0.0,10
'Freedom units' top kek,0.7184,6
*_F R E E D O M   U N I T S_*,0.0,14
.l..,0.0,3
"00:54 freedom units? really? it's called imperial units and was first defined in the British Weights and Measures Act of 1824,
old outdated hogwash units that are so convoluted astrophysicists in NASA lost a 10 billion dollar satellite because of it.
kind of wish ol' usa would change to metric already, I'm tired of having to convert Celsius/kelvin to Fahrenheit for people.",0.4151,71
"0:00 to 0:10 (10 seconds) and 4:26 to 5:12 (46 seconds) 10 + 46 = 56 seconds | 5 x 60 + 12 = 312 seconds | 54/312 = 0.179 = 18% of the video dedicated to advertising brilliant.org
In my opinion, either make the video longer (doesn't seem possible) or shorten how long you talk about your sponsor. 30 seconds in a 5 minute video (10%) more than long enough.
The extensive amount of time spent on advertising is making me and a person I know who used to watch you not want to watch you. I still do watch you but I don't know for how much longer. Please change it, thank you.",0.7958,132
"0:30 ICE Kraków
1:28 Dworzec Główny Kraków",0.0,7
0:53 #FreedomUnitsMasterRace,0.0,2
0:54 MURICA!,0.0,3
0:54 haha haha the... the... metric system... and... and... imperial... I... I get it... hhah... ha ha.. ha.,0.8689,29
0:59 https://en.wikipedia.org/wiki/List_of_track_gauges you goofed a bit,0.0,6
"1. Sub to me 

2. Like this comment 

3. Comment done",0.3612,14
18 days,0.0,2
1:01 ???????,0.0,4
"1:12 I mean you are not being wrong, Finland is everything but regular compared to the rest of the world.",0.1967,22
1:13 Suomi mainittu,0.0,3
1:13 racist!,-0.6476,3
"1:18 That is wrong. It was a construction, converting error. And later it was covered so that the constructors and planners would not look as stupid. They essentially turned a mistake into a clever and reasonable thing.",-0.3451,42
1:26 in another video you had to censor some buildings but you didnt do that here :o,-0.3818,18
1:27 Krakow railway station and Polish EU07 engine,0.0,8
"1:59 it's a error : from Hendaye to Irún, they're the both tracks.",-0.4019,15
"2:06 You're a stupid ignorant, you've actually shown TALGO's wheel gauge switching system, which allows TALGO trains to switch gauges automatically and without having to stop. This says a lot about the quality of your videos and the research that you put in them...",-0.5591,48
"2:20 As it _trains out_ , really?",0.0,9
"2:38  'Half as Interesting' - You have the distance wrong here.  It's closer to 2,000 miles.  Depending on the route, it could be- at most- approaching 2,300 miles.  One route has a distance of 1743.4 miles... according the internet.   But I know that the 2,700 number is hogwash.  If you compare the Toronto to Vancouver service with the Chicago to Los Angeles service it should be obvious.",-0.0258,79
"3:10 144 hrs and 9289km
3:40 206 hrs and 10267km
considering 4 hrs for changing tracks(mentioned in Moskow-Beijing route),
Pyeongyang to Vladivostok takes 58 hrs and 978km(about 600miles).
Seriously, what pulls that North Korean traincar to Vladivostok? Horses?",-0.264,49
A Talgo can switch gauges in just a few minutes.,0.0,11
A=432,0.0,3
"Actually in Spain they have trains that can change gauge in a matter of seconds. I took one of those from Madrid to Salamanca once. It runs through a little hut, makes a big noise and then continues on the wide gauge.",0.0258,46
"Actually, one South Korean passenger railway is connected to NK railways that is connected to the longest one. Problem is it has never carried people in a long, long time...",-0.4019,34
"Actually, trains from Spain with spanish gauge DO cross the border with France.

1.- Regional services heading Latour-de-Carol and Cervère from Barcelona.
2.- Talgo: Its design allows its weels to detach from its axis. Thus, weels can be slowly directed to a different gauge in a few minutes operation. More in https://en.wikipedia.org/wiki/Variable_gauge

But it was a good video. Thanks.",0.7003,72
Always wondered that.,0.0,4
Amtrak's longest route is the California Zephyr at 2235. You cant count trains #421/422 because they are combined with a separate train therefore are not the same route and even then only two cars go on the other train not the entire train.,0.0,47
And here I am... complaining about the 12 hour Sydney to Melbourne train ride...,-0.2023,16
And that's how north Korea get its nuke from.,0.0,10
Before Moscow-Pyongyang the longest was Kiev-Vladivostok,0.0,6
"Can you build a train that goes around the world


Like in the movie snowpircer
Pircer idk how u spell that",0.2732,21
"Changing gauges isn't as large of challenge as you might think.  If memory serves me, A large railroad, just after the Civil War, changed its gauge to match the rest of the U.S. gauge.........in one day!",-0.5983,46
China also have a train to Spain. I believe it’s longer than London,0.0,16
"Chinese tracks are narrower than Russian ones, not thinner.",0.0,11
Crap video and NOT recommended.,-0.2023,6
Cunt you could’ve made a 2 minute video about this,-0.4939,12
"Damn HAI, this video was sassy AF!  I rate the sassiness here about 8FUs (Freedom Units)",-0.4574,20
Everyone knows it’s the Quad City DJ’s!,0.0,12
"Finland and Russia have same trackwith. There is trainservice from Helsinki, Finland to Petersburg, and Moscow. Every day. Cuz trainservice in Finland started when Finland was part of Russian Empire, and tzar of Russia was also Grand Duke of Finland.
Helsinki-Moscow-Helsinki is a sleepertrain. Helsinki-Petersburg-Helsinki is a superfast. 3.5 h runningtime.",0.4588,61
Finland being Finland lol,0.4215,4
"First video on my ""Up next"" section. https://www.youtube.com/watch?v=wsWYVhIFFCw",0.0,11
Forgot the one that was ran on your mum. Sorry I had too,-0.0772,14
Freedom units,0.6369,2
From Madrid and Barcelona... *shows picture of Zaragoza railway station*,0.0,13
Ha ha.  Foreign French Units and Freedom Units...LOL,0.8402,11
Haven't you heard about variable gage system?,0.0,8
Hey 1:27 this is a Polish locomotive eu07 heh,-0.1531,9
"Hey guys anybody wanna help me reach 1000 subs before this new YouTube update on february 20th, I am 210 subs away and working extremely hard on my videos, thanks",0.6133,32
How did they cross the English channel using tracks?,0.0,10
"How far could you travel (distance, not displacement) on a circle service around a city before the train had to return to the depot?",0.0,28
I recognize the formatting of Wikipedia from anywhere: https://youtu.be/0eOtSEkLVtw?t=35,0.0,10
I still want to see a follow up episode on bricks.,0.0772,12
"I was 50 seconds in, and I got bored.",-0.2732,11
I was thinking about a really long train. Like 100’s of carts... not the rail or time,0.4144,21
I would only do it if there was endless food And I get $1 million afterwards guaranteed,0.0,18
I've been to Perth and Sydney before.,0.0,8
