,sentiment,wordCount
"""do u remember how this life went??"" ""No1does""",0.0,14
#RIP we all love you.... If you are reading this in heaven.... We all love you,0.8555,18
"*""If only there was a HTRAED of life in her ... below the deep blue sea .... '4' .... mortal recovery !""* from Mr.T. U.K.",0.0,37
"...just found out Dolores is gone, so so sad. WHERE is the justice for this? Gutted doesn'tcome close. So, so sad, r.I.p. DOLERES. ......tears in my eyes? Obviously......so sad.",-0.8996,46
50 to 100 times more potent than morphine,0.0,8
:(,-0.4404,1
:(  R.I.P. fron Taiwan,-0.4404,9
:( another one gone way too soon. Jeez,-0.4404,9
A great  rock band. That's sad.,0.25,8
A light has been turned out... sad indeed.,-0.4767,10
A sad loss zombie still sends a shiver down my spine when I listen to it her talent n voice will be missed god bless rip,0.0258,26
All my favorite 90s lead singers are dying. Stay say Eddie...you're one of the last great voices of the 90s still making music.,0.7964,27
And maluma ?,0.0,3
Another beautiful artist who was a large part of the soundtrack of my life taken way too soon !!  Heartbroken....RIP Dolores.,0.6688,25
Another fentanyl overdose grats dolores,0.0,5
Another vocalist from Ireland who died young like Phil Lynott of Thin Lizzy,-0.2732,13
"BEAUTIFUL PERSON AND SINGER SHE WILL BE MISSED,BUT HER SONGS WILL LIVE ON FOREVER!",0.636,17
Bigger than Corrs,0.0,3
Bummer I liked her a lot.,0.0516,7
Can't believe she's gone going to miss her voice ..RIP,-0.1531,11
Couldn't she have just let it linger ?,0.0,8
Crushed. My band covered Zombie with our singer Tara and it was one of our most requested songs. Loved her. RIP earth angel.,0.3321,27
Damn it. I loved her,0.296,6
Damn this is whacked they were a good bad. And Dolores was gorgeous.,0.1779,15
Dream's is one of my favorite songs ever.,0.4588,9
"Edward sounded like he really wanted her to wrap it up! Probably thinking in he head ""Typical women just won't stop yapping!"" Lol!",0.4464,28
Eh?,0.0,2
Epic RC Video Productions 🤟,0.0,5
"Extremely talented, she will be missed!",0.3989,8
"Galatians 6:7 - Carry One Another's Burdens
…6However, the one who receives instruction in the word must share in all good things with his instructor. 7Do not be deceived: God cannot be mocked. Whatever a man sows, he will reap in return. 8The one who sows to please his flesh, from the flesh will reap destruction; but the one who sows to please the Spirit, from the Spirit will reap eternal life.…",0.7862,84
God bless her I was so mortified on Monday I started crying. I LOVE YOU DOLORES,0.7739,17
God bless you Dolores.thank you for your art rip,0.5994,9
Goodbye Dolores.,0.0,3
"Great artist,so sad.",0.25,6
"Great voice, but probably was depressed.",-0.4404,8
"Hopefully she doesn't become a... zombie, zombie, zombie-e-e!",0.4574,12
I can’t believe this!!!! Whyyyy????,0.0,13
I grew up to that music I love the songs dreams and linger,0.7845,13
"I hope she didn't choose to leave her kids and pets behind. I heard she was in the middle of recording a remake of ""Zombie."" But she also struggled with back pain and bipolar depression. Tragic accidental reaction from medication, maybe?",-0.8642,48
"I just came back and started listening to her music again and then I find this out....So sad now...May she rest in peace....She will be missed, I will always remember...I will just Linger like a Zombie!",-0.4753,46
"I just found out. She was part of my youth.
My first album I purchased was their 2nd (No Need to Argue), time flew by so quickly...
She died too young FFS and has three children left behind. :'(",-0.9117,46
"I just heard “zombie” the other day, so sad R.I.P",-0.6113,17
"I just learned the bass for zombie 2 days ago,accidently started playing it out of the blue so I looked up the tabs to get what I missed from memory,then just saw the video for ode to my family earlier today,this is nuts,wow,I just told my daughter she should  listen to some Cranberries for pointers on singing too,this is like some real life final destination  stuff,no seriously R.I.P  Dolores",0.1027,87
I knew she died before seeing this because her songs are starting to chart again on Spotify which was a little suspicious 😒 R.I.P 🙏🏼,-0.701,30
I love her music RIP.,0.6369,6
I love your songs so much and I am so sad. Rest in peace Dolores (Cranberries) with the Lord!  Thank you for your songs!,0.7778,29
I loved her so much,0.5994,5
"I really enjoyed her voice, gonna miss you girl",0.4576,10
"I really loved her voice,my kids also love the cranberries.it is A blessing she was with us",0.9117,19
"I regret so much, she was young, talented, beautifull, had so beautifull songs........and she has children.....and why.......",0.128,26
I thought she was from Scotland?,0.0,7
I was caught by surprise and wished that a mistake been made.,-0.0772,13
I was deeply sadden when I heard the news about Dolores O'Riordan passing. God Bless this beautiful soul.,0.6003,20
I'm 15 and my dad showed me this band 2 years ago it was zombie I love this band so much this is so sad,0.0538,25
I'm actually glad she died lol,0.296,6
I'm in shock!!!!! Was so looking forward to seeing them in 2018 in the US....Finally may u find peace Dolores,0.6876,25
In my top 100. I hope she is at peace. RIP,0.802,13
Is this the air rage nutter whose fame went to her head and was a chronic junkie?  Bye bye.,-0.1779,21
"Isn't it strange?  Criss,  Chester,  Dolores all had similar circumstances?",0.2387,14
It’s sad. Too young https://youtu.be/UYrFB5nm0mM,-0.4767,8
Legend ❤️❤️,0.0,5
Let's hope she rests in peace and  doesn't turn into a Zombie...Zombie...Zombieeeee...,0.7506,17
Like most celebrities I bet she OD on drugs wait ti the autopsy comes out,0.3612,15
"Linger, forever,",0.0,4
"Looks like ""that crown"" took their time, then got her for ""Zombie"", which was obviously about England's domination of Ireland, even killing whoever they needed to to keep that control.  What has been told already of this is proven b.s. with JUST COMMON SENSE!!!! (which is why they aren't talking now)  Looks like it's time for that royal family to go!!! (ESPECIALLY if they had ""ANYTHING"" TO DO WITH THIS!!!!!!!!!!!!!!!)",-0.4153,96
"Love Cranberries. R.I.P in peace, Dolores.",0.8271,13
"Love her, love her music! One of my favorite bands. I'm shocked and sad.",0.807,18
"Love you Dolores
Rest in peace",0.8271,6
Loved you and your music Dolores THANK YOU,0.7983,8
"MY CONDOLENCE ABOUT HER PASSING, LOVE THEIR MUSIC AND HER VOICE WAS A INSPERATION IN MY LIFE. AFTER JOHN LENNON LEFT US, U2 AND LED ZEPPELIN ARE MY HITS IN MUSIC. DOLORES HAVE NOT LEFT US. LISTEN TO ""DREAMS"" AND THE ANSWER IS THERE. LOVE YOU LITTLE GIRL. I WILL SEE YOU ON THE OTHER SIDE. FOR NOW, I MUST STAY ALIVE TO KEEP YOUR SPIRIT AND MUSIC WITHIN US ALL.",0.9136,83
May her soul Rest bin Peace-Hope she keep on singing wherever she may be..,0.0,15
"May our heavenly father have mercy and compassion. I pray asking our father for her resurrection and ascension. She was a role model for everyone for all of us. we looked up to her and her voice reflected her innocence, her beauty, her unwavering courage, and her struggle for justice. amen",0.9702,58
Music is woven into the chapters of our lives....R.I.P Dolores,0.0,16
Must've been their tanks and their bombs that did her in.,0.0,12
Never heard of her.Rest easy.,0.4404,6
Nigel S wow just wow,0.8225,5
No way.... rest in peace :.(,0.3182,9
Nooooooooooooo,0.0,1
Noooo😖😨 rip,0.0,4
"O'Riordan is a truly unique vocalist and talent who stood heads above the sea of sameness and karaoke acts people seem to want nowadays. 
Cranberries music is my comfort and companion always. Love her, R.I.P.",0.9136,43
"OMG OMG No Please This is just A Bad Dream and i wish to wake up and find her singing in front of me. RIP Dolores O'Riordan we will never ever be able to remove you from our hearts/ you will always be my ""Lady Linger"", my ""Zombie"" and my ""Star""",0.0772,60
OVERDOSE?,0.0,2
