,sentiment,wordCount
"""He just might get one"" ... is that a low key threat?",-0.6705,15
#releasethetaxreturns,0.0,1
& small c*ck too?,0.0,7
'any true American' your comment is crass (go google it),0.4215,14
.....on his way to prison!,-0.5562,7
"5 time draft dodger wants a military parade? Trump might just get one full of Protesters, millions of them. Careful for what you ask for.",-0.0772,29
@Jake:  What wars have we won recently that we can claim victory and a march?,0.0258,17
"A full military parade for a man with (5) deferments... Trump truly has no shame at all.

And did I mention... ""Everything""... he is doing is putting us further and further in debt!",-0.636,42
"A nice parade with veterans in it, you can't ask for more patriotic people in this country. Democrats are the new Nazi party if they oppose this",0.6705,29
"A parade to commemorate the end of a war is one thing. For the self aggrandizement of the president is un-American. I have an idea, if Trump wants to have a parade, people can volunteer to be in it and since he's so rich he can pay for it himself. I don't want my tax dollars paying for one",0.0243,64
A successful military parade would increase President Trump's popularity and prove that he is a strong leader.,0.91,18
"Actually a great idea , as it will honor our military and help with recruitment , which happens to be low right now .",0.836,24
After dodging the war now he's a dictator like if dick wasn't enough,-0.7269,13
"America is a democratic republic, which has long practice integrity, honesty, human decency, life and liberty.  Miliatry parades, represent the opposite of those values.  Military represent, war, death, impriionment, loss of liberty and freedom.  When men and women in the military go to war, they are risking their lives, not celebrating, they risk death, imprisionment and loss of freedom.  We should not be celebrating this by showing Military might, but showing our might by practicing discipline, restraint, diplomacy.  Leave the Military parades to showoffs, dictators and countries like Russia and China and North Korea which does not value life and human decency, ciivl rights.",-0.1518,128
And he can pay for it too.,-0.1027,8
Another fuck up thoughts by Trump. We should plan to shoot this guy from the podium!!,-0.7568,19
As if being proud of our country and its traditions is something to be ashamed of. Liberals please push off and go live somewhere else if you hate your country so much . Yeah just pack up and go and take Obama with you!,0.0952,46
Awesome!!! You ppl gth!!! If President Trump wants to have a Military Parade it's WTH he'll do PERIOD!! Your liberal whining and no's don't cut it or count!,-0.3153,37
Be glad he never saw Queen Elizabeth's gilded State Coach.,0.4588,11
"Big military guy, 5 time draft dodger wants ta play commander,,,we need Mueller or atherosclerosis ta speed up.",0.34,24
"Black history 
JESUS CHRIST is the greatest black man
Daniel 10:5 -6 
Revelation 1:1 
Revelation  1:13 -15   that ever walk this earth JESUS CHRIST  
Matthew 15:24 he only came for the lost sheep of the house of Israel to teach GOD chosen children of Israel to REPENT
 Acts 3:19 , Isreal to show your love , honor to the greatest black man that ever walk this earth put GOD , JESUS (""FIRST"") 
1 John 2:3 -4  to love is to do , keep GOD LAWS STATUES  and COMMANDMENTS .
OBEY GOD , JESUS 
Matthew 5:17",0.9835,102
Build that wall!,0.0,4
"Cadet BoneSpurs is at it again.  Yes he is Commander in Chief yet he was disrespectful to Sen. John McCain for this service, deferred twice to stay out of Vietnam and has the audacity to promote this a parade when he should concentrate on helping our vets!  Put the money towards VA hospitals not something that makes #fakepresident look good.  Disgraceful.",0.8655,67
"Cadet Bones Spurs wants a military parade? Oh, that's rich. Maybe he could ride a big atomic bomb.",0.1027,22
Can Drumpf actually stand around lot enough for a parade with his history of Footspurs?,0.0,16
"Can't wait to watch the newly formed 45th KKK Klown Korps.  (Trump's own body guard) march down the avenue.   Their flowing,hooded robes and burning torches will be one for the history books.  HEIL Trump!     LOL",0.5893,43
"Communism difficient child: Socialism.
Democracy bastard child:Capitalism.
Nationalism inherent sin: American Patriotism.
**Trump stupid globalist creature**",-0.8885,27
Cucks be like military parade we never had one of those..... yea just 18 years ago we did and who is to say its not going to be a celebration of defeating Isis?,-0.0258,35
Da da da da da da da da,0.0,8
"Damn, USA president Donald J. Trump is fuc..awesome. We the World, will never understand why the USA does not have a military parade as before. Show your White millitary Might on American streets....and we all know that Leftist Liberals hate millitary parade, but they love gay parade.",0.5574,58
"Dawn Herdman lol, I agree with you Dawn. How are you? It's nice to meet you.",0.7964,20
"Dawn Herdman this is for you too, Dawn: 🌷",0.0,11
"Dear Leader wants a parade. Maybe he should do something worth celebrating, first.",0.802,16
"Deficit first then your parade sir, then we help the poor and struggling American working families",-0.7096,17
Deplorable Patriot.... 22 million dollar gone in two hours,0.0,10
"Don't waste millions on a military selfserving parade.  Spend the millions on the homeless veterans who made it possiable for Trump to dodge the draft, and live in a country where he can pretend to be a dictator.",0.234,41
"Don't worry, Mexico will pay for the parade, just like they paid for the wall.  They must have right, I mean, trump looked at you all in the face and said they would. So the wall is getting built right now and Mexico is paying for it......right, because it's not possible that trump is conning all of you for his own ego and narcisistic personality......right?",0.5432,77
Donny Drumpf is an ORANGE ASSHOLE RACIST NAZI WANNABE DICTATOR!,-0.7206,11
