,sentiment,wordCount
*I SWEAR IF THEY PUT SANA TRIPPING IN THE MV---* yea id probably die or something. clumsy sana i love u,-0.1613,27
"*OFFICIAL MV: 6PM KST, TODAY!*",0.0,10
*Wowwwww~~~ its 4M views!!!!*,0.0,12
0.28에  사나의   귀여운  실수는  감독님도  못  찾으셨나???찾으신분  손,0.0,13
0:00 so cute~,0.0,4
0:01 love❤❤,0.0,4
0:08 image your ex girlfriend running at you like that,0.3612,10
0:10 I hate that feeling.,-0.4939,6
0:15 chaeyoung fixing her hair  :3♡♡,0.0,9
0:24,0.0,1
0:26 sana,0.0,2
0:27  This is it!  clumsy SANA  (*´∀｀*),0.0,14
0:27 ???,0.0,4
0:27sana foot,0.0,3
0:28 kaki sana😂😂😂,0.0,6
0:28 sana food,0.0,3
0:28 ㅠㅜㅜㅠㅜ 사나링 실화냐,0.0,4
0:28 크흠 여기 자세히 보시면 사나 다리가 움직이네요-.- 실수였던 걸까요 원래 그런 걸까요?ㅋㅋ 뮤비에서도 짤린거 같은디?..,0.0,23
0:28초 휘청ㅋㅋ,0.0,3
1 minute before the mv out,0.0,6
125,0.0,1
27초쯤에 사나 잘보세염 살짝 삐끗! 했네염ㅋㅋㅋ,0.0,7
4 minutes before the mv release 😍,0.0,7
4 minutes for the MV,0.0,5
4M views 😊💖,0.0,4
"4M 🎉🎉🎉🎉
LET’S MAKE THE MV OVER 15M",0.0,12
5pm,0.0,1
6 PM 😍😍😍😍😍😍,0.0,5
6hr left,0.0,2
7 HOURS TO GOOO,0.0,4
"8.5 hours left ONCE
Can't wait anymoreee
HEART SHAKER MV
WHOOOOO 💞💞",0.0,13
<3,0.4404,1
"ATTENTION ONCES!!
HEART SHAKER IS FINALLY RELEASED!!! IT'S OUT RIGHT NOW!!! NOW LET'S GO AND REACH 15M+ VIEWS IN 24 HOURS OR LESS!! LET'S  SACRIFICE OUR 24 HOURS FOR TWICE WHO HAS BEEN WORKING SO HARD FOR US!! WE MUST ALWAYS SUPPORT THEM!! BE STRONG ONCE!!✌✌✌",0.8078,66
"Adriel Sjahfiedin 
Its going to release in 12 minutes!!!",0.0,12
Almost 4M 🤣🤩🤩🌸,0.0,6
Amo dimais,0.0,2
"Anonymously Messy 
In 11 minutes!!!",-0.5229,8
