,sentiment,wordCount
"""he's really good""
it truly is that simple tbh",0.7474,11
*In the finals,0.0,4
*Joel once again proving to y’all that THERE IS NO ONE IN THE LEAGUE WHO CAN GUARD HIM! He also proved that he’s the best trash talker in the east . lmao **#TrustTheFuckinProcess*,0.755,42
"*Young Hakeem* just destroyed DeAndre Jordan, a 10 year Veteran Center, in his own game and held him down to *5 rebs.* _TRUST THE PROCESS_",-0.4939,33
+Dan McGuckin Fultz is bust,0.0,6
+Eddie Thomas I don't have 1,0.0,7
+Eddie Thomas lmao,0.5994,4
1:13 lmao how could you not like this guy. That's funny as hell,0.0232,14
1:55 Hakeem-like 👏🏽🙌🏽,0.0,6
"24 min : 12pts & 7rebounds & 3 blocks . Where did you play again ? Nowhere that’s what I thought embiid low production during that game is solely the fault of the coach Bret brown who iced him ,kept on the bench for a whole quarter ,how is supposed to find his rhythm? Keep hating",-0.7882,61
5 actually. Since he was injured for 2 years,-0.4019,10
A H ......saric stretches the floor ....pretty good rebounder perfect 6th man. in 2-3years 6th man of the year award. as a starter on another team hes a 20-10 guy easily !!,0.9199,38
A H wow lmao,0.8271,4
"AJ AJ He has no place in the NBA, banging in the post is just outdated",-0.296,17
AJ AJ not to mention that most young players struggle against the Warriors there just that good,0.0865,17
AJ AJ true,0.4215,3
Adam Z people like you said embiid and simmons were busts too when they were injured lol when you learn?,0.3818,21
Again ? When did that happen ? You tripping . Embiid made horford and baynes his bitches .,-0.644,18
Ah ah true talk ..he’s a beast,0.4215,10
Aint no shame he gone go somewhere and ball,-0.6486,9
"All of these so called modern ""good defensive"" big men got exposed!",0.5033,15
And DJ thought he could be the man 😂😂😂. I'm convinced Chandler Parsons and Mark Cuban drugged him.,0.4019,22
"And the scary part is him and Ben Simmons just getting warmed up,wait till Joel get use to playing a season and really master the dream shake and footwork.He's already confident.Oh and Ben really improve his jumpshot and post up moves over the years.I like to see Ben in the post right now especially while his jump isnt where it's supposed be right now.he's too big and can easily get guys in foul trouble and score.I don't know why Brett Brown don't call for him to post up, especially when Joel isn't on the floor with him.",0.6865,109
And volley ball that's why his defense is amazing,0.6486,9
Are they playin in Philly or LA? lmao,0.5994,9
BannedOnTV he destroyed lopez,-0.4939,4
BannedOnTV truth hurts pussy. L,-0.2023,6
Ben2bwild exactly strength means nothing in the nba if u dont have skill too go with it especially at the center position because most starting center are 260+,0.4939,30
"Bottom line, when  Sixers  play thru Embid and Simmons they win!",0.7574,13
"Brown/coach fault by time/minutes management he iced Embiid . Even KD said so, how you gon keep your best player out of the game for a whole quarter how is he supposed to find his rhythm? Yet in 25 min he managed to score 12 points and collect 7rebounds",0.3612,55
Bruh I’m just trynna get some clout,0.0,9
Cavs not coming out the East this year my opinion 🤔,0.0,11
Cooking my nigga deandre,0.0,4
Cousins dropped 30 on embid and he had 25,0.0,9
Cousins still best center.,0.6369,5
D K shut up dumbass,-0.5574,5
DJ is a role player,0.0,5
Damn Sixers got 2 future top ten players. These nigga need more media coverage. Tired of hearing Lonzo 30% shooting 24/7 on every news outlet,-0.6204,28
Damn how you foul out the all NBA/all defense center & his back up? #Embeast #TTP,-0.296,19
Damn this guy has Hakeem’s skillls and Shaqs power . How you gonna stop him ? Look at his footwork and his jumpshot . Wow,-0.0258,27
"Dan McGuckin 1st of all you are fuqqing delusional if you think that ive never watched a sixers game. Ive been watching the sixers since I was born you idiot, but it seems like you need to watch some sixers games & actually see how Jahlil Okafor actually plays because it seems like you & alot of delusional idiots like you arent watching the same game that I am. The guy is a natural in the post & has great on ball moves & touch for a power foward. You people make him out to be a scrub just because he doesnt hustle hard enough? Are we trying to win a championship, or are we doing boot camp tryouts? Last time ive known the rules of basketball it was you have to score the most points to win, & thats what Okafor does! The guy is a walking 20 & 10 & can easily come off the bench! When was the last time Rashaun Holmes scored anywhere close to 20 points in a game? Rashaun Holmes is too small to be a power foward. Hes build like a small foward but cant play as a stretch because he cant shoot. He may can do all the dirty plays but the 2nd unit still needs scoring on the offensive end & to have an automatic post scorer on yr team & can have him come off the bench, but not even use him at all is absolutely idiotic If Okafor is this bad then why is he still on the fuqqin team? Why does he only play when Embiid is out? *But trading Noel still made sense though right?* IMBECILES!",0.9749,299
"Dan McGuckin You thinking you know the game of basketball is comedy. You say you actually watch the game, but in the same paragraph deliver irrelevant stats about the game you're watchin 😂 +/- ratio? Are you kidding me? Do you realize the sixers have been the worse team in the league for the past 6 years? *with or without Okafor* so whether the team is losing while hes on the floor or not essentially means absolutely nothing because you cant pin that on 1 player. Also you still havent answered my questions on how Okafor is still on the team if hes so bad & Noel isnt. Noel is the complete opposite of Okafor & meshed well with the sixers entirely, so why is Okafor still here & not Noel? Shows you that being a system guy & hustling hard isnt the issue here, so stop giving that lame excuse about Okafor. The guy isnt that bad of a player & could probably be a top 5 power forward if he actually could play a year straight on a team that isnt full of scrubs. *Now would be a good time* but do they do that? NO!",-0.9572,218
"DeAndre Jordan is overrated trash, all he's good at is help-side blocks",0.25,13
DeAndre Jordan is super overrated. Nothing more than a glorified role player who can't do shit but rebound and catch lobs. Not even a top 10 center,0.7846,29
Deandre wishes he was half the player Embid is,0.1531,9
Deven Johnson He's definitely overrated for making all-nba last year.,0.4019,11
Draymond was guarding Ben Simmons most of the game,0.0,9
"Dude 12pts in 24 mins and you call that great? lol... not bad, but that was garbage time.  Go back and watch how Durant and Golden State made a STATEMENT AGAINST the young Sixers....  I'm surprised you didn't get the message, but Philly sure did...  The Sixers knew they were OUT OF GOLDEN STATES LEAGUE....   NOW  I will ask you the question, WHERE DID YOU PLAY BALL, yea, just as I thought, YOU NEVER DID....",0.9182,88
"Dude a good defensive player need have the heart for it. In this video Reed actually played with more heart than Jordan. Jordan seems strong enough, you can see him pushing Embiid off balance, but Jordan doesn't have the heart.",0.5927,45
Dude fouled out the starting center and his back up and still went for 35+,0.0,16
Dude is the next hakeem watch,0.0,6
"Eddie Thomas Yes, almost pump fakes but you're thinking about it on a completely basic level. If you watch Hakeem, you would know that that is his favourite position to do one to get to the basket.",0.023,41
Eddie Thomas eat a dick,-0.5106,5
Eddie Thomas just like your father pussy,0.3612,7
Eddie Thomas yeh u right,0.0,5
"Edwin Magana no one was locking him up, he just had a poor shooting night...",-0.6486,17
Embiid cant be stop my god😲😲😲😲😲🙄🙄🙄,0.2235,12
Embiid could mature and be a force. Nope. He's the second coming of Greg Oden.,0.4215,18
Embiid said he felt like he was playing at 50 percent after the game.,0.5106,15
"Embiid was basically out two seasons. Saric came over from overseas. And Noel was out for the season as well. What was the Sixers fit exactly coming into every season or when they approached the draft???
They were just throwing shit at the wall and picking the best players available and seeing where the puzzles fit.

Like how is that a way to build a team. Does that not ruin a young players confidence and development?",0.948,85
"Embiid will be great but it's a damn shame what's happening with okafor , I seen okafor kill plenty of starting bigs in his rookie season",-0.9287,26
"Every game he has some crazy fall downs . Gotta be careful now Joel with your injury history , unless they made you a robot",-0.5574,25
Facts,0.0,1
Finals bro!!!!,0.0,5
Freezes against the warriors lol,0.4019,5
"Gets a consistent 3 point shot, and improves dribbling up court best player in the league?",0.7906,18
"Gifted natural born talent, rising star Embiid.",0.6486,9
Girth Brooks wtf is ur picture dawg,-0.5859,7
Green Runs Deep Aron Baynes shutdown Kyrie,0.0,7
Hakeems child!!!,0.0,5
Hakeems son wth yall talking about lol,-0.1531,7
Hassan Whiteside 🔥🔥🔥🌴🌴🌴,0.0,8
Hawa Akimanimpaye fr this comment holds no ground as long as embiid can back it up lol,0.1531,17
He can talk all the smack he wants because he back it up ... Numbers dont lie best center in the east for sure,-0.2658,24
He completely sonned DJ tonight so I know he's gonna kill Lopez on Wednesday 🤦🏾‍♂️,-0.6908,19
He exposed deandre jordan,-0.0772,4
He has like 2 dangerous falls per game. Too scary to watch.,-0.5859,14
"He has the right to trash talk after that performance, good lord",0.4404,13
He looks half a foot taller than Jordan,0.0,8
He played 36 min. There is no more restrictions,0.0516,10
He played 36 mins tonight...lol,0.34,7
"He played football (""soccer"") when he was young and that's pretty much why his footwork is amazing for a big man !",0.8655,26
He took the whole clippers to school,0.0,7
He travels every time,0.0,4
He's amazing,0.5859,2
He's gonna be even more fun to watch in the playoffs,0.5563,11
He's learned to fall on his ass now to lessen the stress on his legs and feet... he'll be fine,-0.6705,21
He’s a LEGEND,0.0,5
Honestly this Sixer team is gonna be scary the more they develop #StayMe7o,-0.0516,13
How can anyone not love him. #TTP,-0.5216,8
How is talking trash hindering his skill in anyway,0.0,9
"I always get the feeling that Jordan is too soft in the heart. Jordan is actually the only guy on Clippers who can stop Embiid, you see him strong enough to push Embiid off balance,  but he doesnt have the heart for the job.",0.2023,48
I bet the same people here claiming Okafor sucks are the same people that hate Sam Hinkie & wont give him any credit for this process 😂,-0.5574,27
"I cant stand his personality, but he’s good as fuck lol",0.4215,14
I don't know why Deandre Jordan Got selected as an all star last season.,0.0,15
I hope they make it,0.4404,5
I love this game,0.6369,4
I love when people make DJ look like the bitch he is,0.4404,12
I thought Deandre was big and tall but Joel makes him look short and stocky. Damn,-0.5499,17
I thought Kat was born in the u.s and his family was just Dominican?,0.0,17
"I wonder how emasculating it must be to have this 7'2 280lb beast just dominating you all game and telling you ""you cant fucking stop me"".... aww man i love this guy. Philly really in great hands with biid, simmons and wentz",0.8585,49
"I've kept saying it, okafor is basically Al jefferson minus the decent rebounding. big Al definitely had some good years, but you cant win meaningful games with a center that plays 0 defense. I whole-heartedly believe that okafor as the centerpiece of a garbage team could be really good. And if you're a garbage teams thats gonna suck for a while(bulls,nets,possibly suns) i dont see a reason not to pick him up and make youself just a bit more watchable, if nothing else.",-0.1283,97
If he stays healthy he will make awesome numbers and will be the most skillful center in the NBA. I see people sleeping on him as MIP the year,0.7783,30
Imagine if they would actually play Okafor off the bench,0.34,10
Isn't Embiid only 250 lbs,0.0,5
"It's nice when the home team announcers, give unbiased opinions to the away team.  You can tell they were extremely impressed with Embiid.",0.7264,26
Its better than landing on your feet,0.4404,7
"It’s funny how 05 years from now the best players in the NBA won’t be Americans : 
GiannisEmbiid KATSimmons Porzingis Wiggins(?) 
Wow",0.8979,29
JOEL EMBIID BIIIIIID BIIIDDD,0.0,4
Jason Velez like your team season is already over now don't hate😡,0.3612,13
Jason Velez lol relax bro he hasn't had any issues qith his knee yet,0.6908,14
JoJo's a clown,0.0,3
Joe Johnson aka The ISO God fag,-0.25,7
Joe Johnson aka The ISO God gtfo,0.2732,7
Joe Johnson aka The ISO God stfu,0.2732,7
Joel Embeast,0.0,2
Joel Embeast is a crushing beast..,-0.3612,7
