,sentiment,wordCount
#29 ON TRENDING! *LET'S GOOOO*,0.0,8
#29 on TRENDING!!,0.0,5
#29 on trending,0.0,3
#29 on trending! Congratulations! Been here since day 1! 🖤🖤🖤,0.6981,15
"#29 on trendy, yasssss girl!!!",0.0,9
#30 TRENDING,0.0,2
#30 TRENDING YESSSSS!!!!,0.0,6
#31 on trending!!!!!!!😻😻😻,0.0,9
#34 on trending😁❤,0.0,5
#badgalamber,0.0,1
**rhianna ppft rihanna,0.0,5
"*yes , #30 on trending !*",0.0,8
2:13 stuck the middle finger up!!!,-0.4359,9
30 on tending!!! Love ya,0.7249,8
4:22 I AMMM DEADDDD im legit CRYING rn laughing so hard,-0.361,11
4:30,0.0,1
7:28 amder is so. Cute when she laughs,0.7944,9
@JoelEmbiid,0.0,1
"A VERY EXTRA ,  RI - RI -ING , HAIR DO !",0.0,13
"AMBER YOU’RE TRENDING AGAIN!!
I’m gonna cry... 😭😭😭
You deserve so much, I’m just so happy for you ❤️❤️❤️
YOU MAKE YOUTUBE EXTRA 💕",0.745,41
AMBERRR PLEASEEEE TELL ME WHAT YOU USED ON YOUR EYES!! I LOVE THAT EYESHADOW,0.6988,16
AMBERRRR can you please do a video on what you eat and do to stay HEALTHY,0.694,16
Also Ambers head is so perfectly round i love it! ❤️❤️❤️,0.9026,17
Amber Scholl just for replying.  I’m subscribing now.,0.0,12
Amber Scholl lmaoooo love you,0.6369,5
Amber baby you're on trending! (But you're always my inspo 😚😚),0.0,15
Amber do a video of you doing Josh’s hair😂😂,0.0,13
Amber is on TRENDING!!!,0.0,7
Amber is out of video ideas,0.0,6
Amber is really really REALLY pretty like a 💎💍 but i think she should cut down on the eye makeup,0.3825,21
Amber is trending💙 you remind me of fran fine😭 if you dont know who that is its a character from the nanny,0.0,24
Amber you deff sang wild thoughts correctly...,0.0,8
Amber! Please do a hosting a party in your home video. Like EXTRA party decorations diy ETC pleasseeee,0.8588,20
"Amber! This may have been asked, but what do you use to edit your videos??",0.0,19
"Ambers looking extra bomb today🙌🏼 
Also, I can never wear high ponytails because they are too heavy- does anyone have tips? <3",-0.0772,27
And I got the rhianna fenty ad:) keep on slaying amber😉,0.0,13
