,sentiment,wordCount
"""I don't know how Casey does it but Imma try"" (Became my fave youtube quote 😂)",0.5927,20
"""You cant see my h💿l💿 taco!"" 😂😂 *ben's face*",0.0,18
#SimplyCityLogical,0.0,1
#aww,0.0,1
#holo,0.0,1
#simplyvloglogical,0.0,1
"*""You cant see my holo taco""* 😂😂",0.0,12
*BBEEEEEEIIIIIINNNNNN*,0.0,3
*BEEN* 🤣🤣🤣,0.0,6
*demonitsation is a disease that is now widespread across all continents..*,0.0,14
0:01 Christine the sock.,0.0,5
0:09 Ben’s face tho!!🤣🤣,0.0,10
0:47 it looks like that dude is farting fire,0.0258,9
0:50 what have you never been to nyc,0.0,8
14,0.0,1
1:15 it's ground tea,0.0,4
1:36 (gold),0.0,4
1:48 MY BDAY ISSA NOVEMBER 7 ILYSM CRISTINE,0.0,8
1:48 le gasp that's my birthday,0.0,6
2:56 I'm wearing that right now 😂,0.0,7
3:16 TERRIFYING,-0.6633,2
3:45 are they... Wait no they can't be jeans the queen only wears sweatpants.. Right😅,-0.296,18
5 days b for my birthday bitch,-0.5859,7
5:21 NERD!!!! ♥️,0.0,7
5:21 the white sign says NO_ONE EVER REALLY DIES,0.0,9
5:22 what dose it say on the board?,0.0,9
5:23 did anyone else notice the sign,0.0,7
5:28 Broadway!!!,0.0,5
6:36 the sauce is kinda shaped like cristine's bun,0.3008,9
8:50 AlishiaMarie,0.0,3
9:55 n...n...no! Hamilton reference,0.0,9
@Simplynailogical how do you feel about all the controversy,0.0,9
Abdelatif Ben hadj slama SAME!! DID you find out the name?,0.0,14
"Anyone else here before YouTube deletes this? 

Just me?
Okay.",0.3094,13
Are you left handed or right handed?📀🤚🏻📀🦄,0.0,13
At 08:43 be like trying to camouflage ur nails be like 😂😂😂😂,0.6124,14
At 4:47 !! I WAS STANDING IN THE SAME PLACE,0.0,11
"At first i hated youtube rewind 
But now i love it",0.0,11
"Ayyy, went to New York on my birthday ;p",0.0,10
Banana porn,0.0,2
Ben and Christine is so funny 😂,0.5777,7
Ben opened the banana wrong😅,0.0,6
Ben smiling while eating the banana was honestly so adorable,0.8783,10
"Ben: *putting up with the shietz Cristine does to him*
Cristine: *laughs*",0.0,18
"Ben: we’re getting wild tonight *opens bottle of fancy water* 
I love them so much lol",0.8062,21
