,sentiment,wordCount
#pencillivesmater,0.0,1
"*_intro literally like a game server,, but also my current mood_*",0.1901,16
*sigh* “ I love you’re Chanel”,0.6369,11
"0:33 Dude,you ok?",0.296,6
0:46 THOSE PENCILS JUST GOT SNATCHED,0.0,6
0:50 song?,0.0,3
0:53 when you get out of your car on the last day of school,0.0,14
"0:55 you gotta pee, bro?",0.0,7
1:02 MR.MACKEY?!!?,0.0,6
1:03 I wanted to make a South Park reference really badly.,-0.5256,12
"2:29
Using a pencil to draw on a pencil on a pencil on a pencil?
Pencilception!",0.0,18
2:36 Why does it resemble Goofy lmao,0.5994,7
2x 😉,0.0,2
3:00 uses a pencil to pencil in on his pencil where he should put a pencil on his pencil before he adds in another pencil.,0.0,26
5:40 neck yourself... I did,0.0,6
5:42 😂😭😂😭,0.0,5
5:45 I knew it,0.0,4
5:45 Paga la mossa trmon,0.0,5
5:45 oh fuck he got us,-0.5423,6
A got-dang wizard.,0.0,4
AWWW ISS SO TINYYY,0.0,4
"Agora, qual o objetivo desse vídeo? Nunca saberemos...",0.0,11
"All I was thinking was, please don't snap please don't snap please don't snap, good job!",0.584,19
Am I the only one who thinks this guy is fucking high as fuck,-0.5809,14
And here I am watching someone paint lead...,0.0,9
And then someone uses it.,0.0,6
"And then someone who goes into your house, breaks it...",0.0,12
Awesome,0.6249,1
"Awesome talent, clever and very, very entertaining.",0.9242,10
Can you do that with a spoon?,0.0,8
"Che bello^ ^ 
ma che pazienza xd",0.5859,8
Cool,0.3182,1
Cool!,0.3802,2
Did he just... Seat belt 20 pencils,0.0,8
Did you pay for those,-0.1027,5
Did you see his new iphone X in the intro?,0.0,11
Epic ending 6,0.0,3
Fitting that the song is motzarts messy room,-0.3612,8
G0d video i like😂😁,0.0,6
Genius,0.0,1
Ha that ending 👍,0.34,4
Hahaha funny,0.7579,2
Hahahahaha the sound effects are funny😂,0.0,7
Have you tried just recording the real audio instead of using  stock sounds?,0.0,14
He made this and I can’t even sharpen a pencil without it breaking,0.0,15
He seatbelted the box of pencils,0.0,6
He stole the pencils,0.0,4
Hey can i borrow a pencil?,0.0,7
"Hi dad, can i borrow this pencil here on your desk *snap* oops sorry",-0.0772,17
How did I get here?,0.0,6
How to basics?,0.0,4
"I bet I can trick you 



Read more",-0.0516,8
