,sentiment,wordCount
0:03 WTH??? Thay didn't have eyebrows back then???,-0.4927,14
100 years of “it” girls,0.0,7
1920's brows remind me of Yoon Bum from Killing Stalking,-0.6597,12
1930 is da best,0.6369,4
1940 slayyyy👑,0.0,3
1940s was so cute!,0.632,5
1940👍,0.0,2
1960S OMGGGGG,0.0,2
"1970:

i smell pete wentz and eyeliner",0.0,8
1:07 they spelled colour wrong...,0.0,6
1:23 and 2:21 she's so beautiful...,0.0,7
1:25 gorgeous,0.6124,2
1:32 refinery29 who? 2:11,0.0,6
1:38 I love her eyes so much,0.6369,7
1:49 lupita nyong?!,0.0,5
1:50 gorgeous 😱❤❤,0.6124,5
1:55 love the big hoop earrings,0.6369,6
1:56 que morena linda!,0.0,5
2000 omg!,0.0,3
2000' s had glossy lips and THIN eyebrows,0.0,9
2000s were all about the lower water liner like who we kidding.,0.1779,13
2:05 😍,0.0,2
"2:22 Can someone please teach how to do that eyeshadow?




This is a serious question",0.25,16
2:30 this girl has amazing freckles,0.5859,6
2:37 kyo.... is that you?,0.0,7
2:44 Is the prettiest most classic look imo. It will never go out of style.,0.5719,17
2:50 larissa manoela,0.0,3
338 : love everything about you ❤,0.6369,7
3:05 i origins,0.0,3
3:14 *why TF* did they say “thin brows” and show a girl with gorgeous thick eyebrows?? this is so inaccurate!!!,0.738,29
3:21 why tf did she take the photo like that,0.3612,10
3:23 WTF whaaa-,-0.6739,4
AHHH I GOT RENEÉ ELISE GOLDBERRY'S AVEENO AD BEFORE THE VIDEO AHHHHH TY ANGELICA SCHYULER,0.3818,15
All of the models are so beautiful,0.7177,7
All of this looks like trash,0.3612,6
All the girls in this video are so beautiful 😍😍,0.7177,11
All those girls look like children,0.3612,6
"All your videos contradict each other, its such a joke.",-0.0258,12
Am I missing something or did she just take a selfie with the back camera,-0.296,15
"And 2015 with contouring, thick brows, highlighter and nude lips? Girl!!",0.0,16
Anybody knows the music at 2:13 ?,0.0,7
Black Models 💕💕💕💕💕💕💕💕💕💕💕💕,0.0,5
Boring. A big wOMP,-0.3182,5
Bring back the 80's!!!,0.0,9
Bring!! Some!! Of!! These!! Back!!,0.0,15
Buzzfeed subs keep roasting Allures makeup artist lmao😂,0.0,9
Can I just say how much I love that you used models from every skin tone good work,0.7964,18
Casually forgot emo and scene makeup that dominated alt culture in 2000s,0.1779,12
Could’ve been better js,0.4404,6
Damnit I need those freckles.,-0.5267,6
Did you even research this before making the video cause yikes,0.0,11
"Don’t use latinx , LATINO is masculine and used for GENDER NEUTRAL. Stop trying to change the language so you’re protected from your ignorance of not knowing the pronouns in a foreign language. This infuriates Hispanic people being as I am one.",-0.6275,49
During 1920s couldn’t stop thinking about Alisha Marie with the song 😂💖,-0.296,15
Gorgeous ladies♡,0.6124,3
"Her hijab isn’t even covering all of her hair, (I am Muslim so there is no hate here) just saying",-0.7322,25
Honestly I think they need a better makeup artist. :s,0.5719,12
Horrible video! Information skipped over many major parts of each decade. And the makeup recreations were TERRIBLE!,-0.8367,20
How are they all so stunning??,0.5756,8
How come you people showed 60’s without showing Twiggy????,0.0,14
How could you not use false lashes in the 60s????,0.0,13
