,sentiment,wordCount
"""Naked""

Hey, you there
Can we take it to the next level
Baby, do you dare?
Don't, be scared
'Cause if you can say the words
I don't know why I should care

'Cause here I am
I'm giving all I can
But all you ever do is mess it up
Yeah, I'm right here
I'm trying to make it clear
That getting half of you, just ain't enough

I'm not going to wait until you're done
Pretending you don't need anyone
I'm standing here naked
(Naked, naked)
I'm standing here naked
(Naked, naked)
I'm not going to try 'til you decide
You're ready to swallow all your pride
I'm standing here naked
(Naked, naked)
I'm standing here naked
(Naked, naked)

Hey, get out
I've got nothing left to give
And you give me nothing now
Read, my mouth
If you ever want me back
Then your walls need breaking down

'Cause here I am
I'm giving all I can
But all you ever do is mess it up
Yeah, I'm right here
I'm trying to make it clear
That getting half of you, just ain't enough

I'm not going to wait until you're done
Pretending you don't need anyone
I'm standing here naked
(Naked, naked)
I'm standing here naked
(Naked, naked)
I'm not going to try 'til you decide
You're ready to swallow all your pride
I'm standing here naked
(Naked, naked)
I'm standing here naked
(Naked, naked)

I wanna give you everything
I wanna give you everything
I wanna give you everything
I wanna give you everything

I'm not going to wait until you're done
'Cause you pretended you don't need anyone
Can't you see that I'm naked
(Naked, naked)
Oh, you see that I'm naked
(Naked, naked)
I'm not going to try 'til you decide
You're ready to swallow all your pride
I'm standing here naked
(Naked, naked)
I'm standing here naked
(Naked, naked)
I'm standing
I'm standing here",0.9794,378
2018 and forever😍😍😍😢🤞,0.0,8
A nice good song,0.6908,4
Aasma Karki #lovefromNepal❤️😀,0.0,6
Addicted to this song❤️,0.0,6
Amazing things must come your way!!!💓,0.6884,10
"Beautiful,amazing song.It became my favorite🤩😄☺️",0.0,11
Best song hes done😍 lyrics and voice are amazing,0.8402,10
"Brasil?! 
AMEI A MÚSICA",0.0,6
Brazil Love You ❤💓,0.6369,5
Cause here i am i'm giving all i can but all u ever do is mess it up,-0.3716,18
Das ist mein persöhnliches Lieblingslied,0.0,5
First to comment on the comeback,0.0,6
Fucking epic,0.0,2
Gabrielle Lakea lol,0.4215,3
Gave me chills first time I heard this song. Cant stop singing this. His voice is just full of emotions. ❤️,-0.296,25
Great song😭😭,0.6249,4
Hats off to this guy....,0.0,6
He is amazing,0.5859,3
Hearttouching 🌌💫💜,0.0,4
Hes always awesome! Love him,0.8622,6
His voice OH MY GOD. THANK TO HIS MOM AND DAD FOR CREATING SUCH A BEAUTIFUL VOICE OF HUMAN. 💕,0.9278,22
His voice ❤,0.0,3
"How does this have more views than the official video 

BTW. his lyrics are flawless",0.5106,16
I LOVE MUSIC 💜,0.6369,4
"I LOVE THIS SONG SO MUCH, IT ALWAYS BRINGS A TEAR TO MY EYE",0.6369,15
