,sentiment,wordCount
"""Bro you know you can do an olie with a car "" na "" yea look"" 🚗🎢🏢",0.0,21
"""Bruh I'm late for my dentist appointment""

""Don't worry I gotchu""

*crashes car into the front of the building*",0.3412,25
"""Dare""",0.0,3
"""Honey? I got good news and bad news. The good news is, I made it to the dentist office in time for my appointment. The bad news is that we're going to need a really good lawyer.""",0.1779,44
"""The driver's dental insurance claim was later conveniently denied""",-0.4404,11
"""khloe were sliding khLOE OHMIGODOHMIGIDOHMIGOD""",0.0,7
"*""In Mother Russia, building fly into car""*",0.0,12
*Anti gravity cheat code on*,-0.4588,7
*GAS GAS GAS GONNA STEP ON THE GAS*,0.0,10
*Me trying to drive a roblox car*,0.0,9
*When your toothache has no chill*,-0.296,8
"*_Meanwhile, in Poland..._*",0.0,8
*when bae invites to her house*,0.0,8
0:15 BLACK AND YELLOW BLACK AND YELLOW BLACK AND YELLOW BLACK AND YELLOW,0.0,13
"1. That beat in the beginning was Fire.
2. This is probably for Stranger Things season 3.",-0.34,21
"1968: 50 years from now, there will be flying cars.

2018: Thats pretty much right.",0.4939,20
Ah eso lo llamo estacionarse en Gta 😎😂😂,0.0,10
Another drunk mexican in california.,-0.34,6
Anyone else from Santa Ana,0.0,5
Apparently he was right on time for his appointment.,0.0,10
Are you sure this wasn't meant for a movie scene?,0.3182,11
BBC news how can't you help me gf of Justin Beiber i hear him Jelen whats she says with me BBC news with mother gf of Justin Beiber trust your self my daughter your beautiful rich she very poverty ugly Justin loves you. I hear Justin Beiber he calls gf monitoring if she's okay.,0.7888,56
BBC using that trap music now,-0.3182,6
Batmobile?,0.0,2
Bbc news with THAT 🔥 ASS BEAT at 6 seconds in,-0.6408,11
Bbc out here with the trap beats 🔥🔥,-0.3182,9
Boss calls and says. Hey guys no work today there's a car threw our office.,-0.296,17
British beat channel,0.0,3
California drivers.,0.0,3
Cars also have cavities,0.0,4
Cocaine is one hell of a drug,-0.6808,7
"Come on, he was late for his dentist appointment. Give him a break ):",-0.4215,16
Convert the building into a Hard Rock Cafe.,-0.1027,9
Damm there a line stretching miles for dental checkup why not take a shortcut!,0.0,15
Didn’t this driver realise he needed the SpaceX Heavy rocket to launch his car successfully :-),0.6705,18
Do you validate?,0.3612,4
Drive thru dentist 😂,0.0,4
"Driver watching FF4, turns to his friends: ""I can do that, hold my beer""
""5 minutes later""
Driver get out of car, says to friend: ""Did you see it, that house came out of nowhere ""
😂",0.743,48
