,sentiment,wordCount
"""THAR'S MONEY TO BE MADE IN THEM THAR TENTS.""",0.0,12
"*_Billy Graham, a 33rd Degree Free Mason Jesuit_*
Puppet of the Pope BEAST System bites the dust and this is somehow sad news?!

Be prepared as the Jewsuits use Graham's death to promote LEFTIST INCLUSION aka One World BEAST Religion of Babylon!! 

*_Billy Graham, A History of Deception and Apostasy:_*
https://youtu.be/HU8hOO7-IiY

*_A Jesuit Wolf From The Very Beginning:_* https://youtu.be/bicEtlx7uTQ

Exposed!!
https://youtu.be/R7xPuHq0SX8

Exposed!!
https://youtu.be/FSvp-rS30hg

*_Billy Graham Free Masonic Handshake:_* https://youtu.be/Mqjxkm6xRWQ",-0.4759,94
"7:25-ish - Is that blue-eyed Brit woman implying that the voices raised in protest in the '60s were in any way due to this Charlatan's influence? I'm a bit skeptical of that implication, but do go on ...",-0.2846,42
A great salesman who operated a large business,0.6249,8
A true Pioneer.,0.4215,4
AWSOMUS PRIME I couldn't make it past the first few seconds as it sounded satanic.,0.0,16
AWSOMUS PRIME It almost killed me too. 😂,-0.6378,9
Adam Do you have any decency at all? Wow,0.5859,10
All Religion is just money making business.  Here is my. Preaching.  There is no God.,-0.0258,19
"All church leaders are corrupted, liars, and they misleading people. Billy was just another one.",-0.7269,19
All news reporters are disgusting illuminati TRANNYS!!!!,-0.6776,10
And now the same worms will eat him too.,0.0,10
Another lying pile of crap who steals money from the needy LIKE a POLITICIAN.,-0.816,15
"Another win for Atheism which is NO not a religion, sensible reasoning logic. Religion belongs in one place...a church, no where else. not schools, not government departments, and if you are so totally religious then you should be banned from office, like some states have banned Atheists from office.",-0.5904,59
Are you sure he passed away? MSNBC is reporting it...,0.3182,12
Auntie Semite -so he is at  what my rap describes https://youtu.be/RzZGJGakLj8,0.0,12
BFDT. LMAO  😂!!,0.7365,6
BYE FELICIA!!!,0.0,5
Be respectful pls,0.5106,3
"Before you post a nasty comment about Billy Graham remember that he preached love, forgiveness, redemption, equality, and above all Jesus! If we cannot respect that, then we should examine our own hearts! He made mistakes, he was human, but all of that just furthers his message! We are sinners and Jesus died that we may live for eternity! Billy was just a beggar showing other beggars where to find bread! Jesus is the one who gives light, love, life, and peace! Idk about you but I've wasted enough of my life! Jesus redeems us! Repent (do a 180) and put our faith in Him alone to forgive us of our sins!",-0.306,133
Billy Graham  yes you we're  God's  Warrior thank you for all the lived you Save I know that God anointed  you.Rest hope to see you soon In heaven with Jesus our lord and Savior Amen Aleluya You Will be Missed Billy Graham,0.926,42
Billy Graham died yesterday so sad rest in peace man november 7 1918 to February 21 2018 until we meet again in heaven christmas present is here today christmas past is past christmas fucher is far away 😀👍,-0.0498,39
"Billy Graham is in the presence of God right now, amazing man!!",0.7568,15
"Billy Graham lived a very humble existence. He started the most respected and charitable organization that actually used between 80 and 90 percent of donations to the target programs and out reaches. It is called Samaritans Purse and it answers a call to need around the world whether if be digging wells for poor African tribe or provided disaster relief for community suffering the ravages of hurricanes, floods, fire eat. Samaritan's purse paid hundreds of thousands of dollars worth of hospital bills for a good friend of mine who had a premature baby after suffering a auto accident. It might  help to become education of topics you choose to opine upon.",0.352,118
"Billy Graham lived a very long, productive life, he blessed many millions of people worldwide with declaring the Good News of the Lord Jesus Christ! 

Yes, let’s weep for the loss of a great person. But let’s also rejoice in his reception into the New Jerusalem, Heaven. 

May God comfort his family and friends for their loss.",0.9612,69
Billy Graham to me and mine was nothing more than a fake Christian racist elitist. He was more involved in manipulating politics then really practicing and endorsing being a good Christian human being.,-0.2741,35
"Billy Graham was an outspoken supporter for Israel. He desegregated his evangelical meetings long before the civil rights movement, even in the south against incredible protestations.",0.2732,29
"Billy Graham was bad enough but those who followed in his footsteps are so much worse, like comparing Kaiser Wilhelm to Adolph Hitler.",-0.4891,25
"Billy Graham,  was a good man.  He had a wonderful wife,  Ruth.  He had a good life, but also had to fight evil very hard. Two of his children were trouble, however Ruth his daughter repented and became a good woman.  Franklin on the contrary was mentally and spiritually drained, and still are!!. His mother Ruth couldn't comprehend what was so wrong with Franklin. ( now we all know what is wrong Franklin).......   Billy Graham was a good preacher, his teachings on the Bible were well interpreted and very impacting.   His political views   probably weren't fair.  It is why Religious leaders should be away from politics.  JESUS has a lot to say in the Bible; Stay away from politics, that's what he warned us.  Hopefully Billy Graham made his peace with God. He certainly is going to be missed.  R.I.P.",-0.879,169
"Billy Graham, America's Number One Thief Not Gone Soon Enough!",-0.5255,12
Billy graham was a good Preacher any body speaks against him y’all got the devils spirit inside of you so don’t say he is the devil or y’all think he was bad y’all are blind read the Bible before y’all say something if you think he is the devil y’all will see the real devil if y’all don’t get saved Jesus coming soon get saved if you don’t y’all got to deal with the antichrist the devil y’all will get mad at me who cares just the devil in side of y’all against the truth of God is love but get saved or y’all will get thrown in the lake of fire,-0.8201,138
"Billy had an amazing sense of humour and a keen sense of understanding. He was in a small town in NC holding a revival early in his career and needed to find the post office. He asked a little boy on a bicycle how to get to the post office. The boy gave him directions and Billy thanked him and told him that he was in town with the revival. The boy asked him what happens at the revival and Billy said ""I teach about Jesus and the way to heaven. Would you like me to teach you the way to heaven? The boy replied, ""I don't think so, sir. You can't even find your way to the post office.""  Another time, in the jungle of South America while visiting a native tribe with the intention of teaching the gospel to the tribes, he decided not to because the tribe already had a natural relationship with their creator.",0.9716,174
Billy is NOT with the Lord or in Heaven itself. Here are a few reasons why. 1) He took on the title of Reverend which in the scriptures is only for God. 2) He taught people the wrong way to be saved. 3) He was not part of the one and true Church Christ established and died for.,0.5106,66
Billy made himself rich being an hypocrite and misleading the flock away from the truth.  He is just a bad example for everybody and he is far away from justice and from real christianity.,0.4767,36
"Billy was a fraud and a big hypocrite. Just a false pastor who supported lies, hate, and criminals like trump. His people are a bunch of false christians and antichrist.",-0.8807,35
Billy was full of hate and greed. He used everybody who was gullible enough to follow him. You need to wake up.,-0.836,25
"Billy, may your soul RIEP.
You will definitely be rewarded for spreading the Words of eternal living in this finite world.",0.7096,24
Blessings brother. You did your part in this world. May God embrace you and all his angels with praise and admiration,0.9325,23
Both.,0.0,2
Brad Mac I hope so...but none can be sure as God is Judge. Since mister Graham rejected the Church that God established in favor of the church that men created...he has some splaining to do to Our Lord who said he who does not eat my flesh or drink my blood has no life (salvation)in him John 6,0.3265,66
"But if there is no action on our part, all of it is just talk. He said, she said.",-0.296,23
C Robinson recieve Jesus,0.0,4
