,sentiment,wordCount
"0:05 holy crap even pro skaters have to go through special training just to land a triple axel ??? This blows my mind, just how hard is that jump",-0.212,32
"0:16 ""I am one of *two* American ladies to land the triple axel in international competition"" 0:26 ""Internationally, it's Tonya Harding and me"" ..... How was that even confusing for people? The meaning was clear.",0.1779,44
1:36 looks like it could be a ride at a fair😂,0.3612,12
20018 ??,0.0,3
2ft but still clean not UR,0.5499,6
A little more upper body strength wouldn't hurt....If you could throw your arms up harder as you take off.,0.5367,22
AND SHE DID IT!!!,0.0,7
Aaaand??? So what? That does not make this lady any less talented,0.6081,16
"Actually, you don’t spot in skating, because you’re rotating so fast that it’s literally impossible. This goes for spins too. It’s something that you just have to develop tolerance for over much practice, unfortunately",-0.0516,47
Adriano Paiva what does her beauty have to do with it,0.5859,11
Am here because she landed it at the Olympics. Good job!,0.4926,13
And here I am struggling to reach the remote,-0.4019,9
And she did it perfectly,0.6369,5
And she did it! Way to go!!,0.0,10
And then I think about Yuri..,0.0,7
And?,0.0,2
"Angelica Reilly It might have been successful for her, but it wasn't done good enough to be credited as a successful attempt. As I said, rotation is not the only thing that matters, its landing is also important. Josef Sabovcik landed the first quad toe in competition but ISU examined it and deemed it two footed, although fully rotated, so it is not regocnized as the first quad toe. Andrei Krasnozhon was actually the first skater to land a quad Loop, but ISU didn't recognizes it as the first quad Loop, since the landing was messy and the judges overlooked it was UR. I believe Mirai can land a fully rotated triple Axel with a clean landing in competition, but she hasn't done it yet.",0.8818,138
"Angelica Reilly She landed it with two feet and received negative GOE, so it still doesn't count. I'm not sure if the ISU needs to officially regocnize she landed it, but I'll wait until she lands it rotated with positive GOE and good landing.",0.7857,48
"Angelica Reilly Who cares if it was not UR when the landing wasn't clean? Fully rotated doesn't equal clean jump. ISU didn't recognize first quad attempt because it was two-footed. She has yet to do a clean rotated triple Axel in competition. Btw, I like Mirai, but she hasn't totally successed with the triple Axel.",-0.0354,62
Are you sure that this isn't a triple salchow,0.3182,9
"As a very noob figure skater, I can attest to this. I wouldn't call myself a proficient or experienced skater by any stretch, but even I've learned to deal with the dizziness that comes with spinning anticlockwise. And it's directional; any attempt to spin clockwise makes me dizzy after three revolutions. You can only wonder what it'd be like for these skaters.",0.1664,69
Beautiful,0.5994,1
Benjamin Nowicki EXACTLY! I was thinking the same thing.,0.0,11
Bish I'm still struggling to do a scratch spin,-0.4215,9
"But can someone tell me why is it that man are lading quads but females can't do the triple? I'm really curious, is it because of some biological barrier???",0.5573,34
"Cam 4 best boi Her skates are Edea Pianos, I don’t know about blades",0.6369,17
Can't even roller blade,0.0,4
