,sentiment,wordCount
"""Stranger Things""
(feat. OneRepublic)

Stranger things
We're like, we're like a stranger things (very far)
We're stranger things (dream of places at)
'Cause that's just who we are

We used to run around this ghost town
Always thinking out loud
Are we gonna get out
I remember
We dream of places that we could go
Castles with the strange glow
People that we don't know
I remember

We left a life
That's ordinary from the start
We looked for stranger things
'Cause that's just who we are
Found me the edge of something beautiful and loud
Like I'm picturing now

Castles glitter under Spanish skies
But I'm just looking out for you tonight
Snow white mountains in a foreign state
Tell me someday we'll get there
Someday
Someday

I see a Technicolor shadow
Underneath your window
Just in case you don't know
I can see it
You cast an unfamiliar day glow
Different than what I know
Shining like a halo
I can feel it

We turned our back on ordinary from the start
We looked for stranger things
'Cause that's just who we are
Found me the edge of something beautiful and loud
Show me the sky falling down

Castles glitter under Spanish skies
But I'm just looking out for you tonight
Snow white mountains in an ancient place
Tell me someday we'll get there
Someday
Someday

A stranger things
We're like, we're like a stranger things (very far)
We're stranger things (dream of places at)
'Cause that's just who we are
...",0.957,273
#StrangerThingsFan,0.0,1
*1:05** feels like heaven*,0.3612,8
*the moment you thought this was season 3 of stranger things on Netflix....*,0.0,16
0.34😍,0.0,2
011,0.0,1
1:04 😍😍,0.0,3
"1:34 oohoohoo.... familiar? 
Something just like this_____coldplay and Chainsmokers 💜😇😍😘",0.3612,15
"1month and still listening, d*mn this music is on my blood....u r da  B E S T  Kygo!",0.0,24
"30 % comments about Alan Walker remix 
30% comments about Stranger Things on Netflix. 
40 %  comments about this amazing song😍😍",0.6705,25
3:10😍👌🏻,0.0,4
"3:38-3:40 *mikes voice* eleven,eleven, eleven  were are you?
Stranger thinngs netflix♡♡",0.0,20
:O I LOVE DISSS,0.5859,5
<3 <3 stanger things <3 <3,0.891,6
?,0.0,1
Actually came here after watching Alan Walker Remix,0.0,8
Alan Walker remix of music >>>>>>>>>>>>>Strangers things official,0.0,11
Alan walker remix Sz,0.0,4
Alan's remix is ​​much better than the original 😂😗,0.6369,12
Algum br me explica?,0.0,5
Amazing :D,0.8331,2
Amazing song,0.5859,2
An absolutely beautiful song with a beautiful message.,0.855,9
Any stranger things fans who clicked on this? 😍😍😍😍,0.0,12
Anyone know who is the girl on the video? I remember I've seen her in a movie but can't remember that movie's title and even more clueless who she is.,-0.5704,32
Awesome!!!!!!,0.0,4
Badiya ...Love from India.,0.0,6
Beautiful,0.5994,1
Best music ever,0.6369,3
Better in the 1.25 speed,0.4404,5
"Bitch you should respect the food 
Instead of kicking it!!!!😤",-0.4344,14
Breaking into houses YES! 😂,0.5754,6
"Came here cause I like Stranger Things, Gonna leave cause this music is shit",-0.3182,15
Canción de mierda me tiene ultra pegado 😍😍😍😍,0.0,10
Closing all the lights off and with my AC turned on listening to this. Heaven!!😇😇,0.0,20
Cool music,0.3182,2
Cosas extrañas,0.0,2
"Damn you're a mixture of all my favorite music/style always surprising me, love it",0.765,17
"Damn, they should play this in season 3",-0.0772,9
Demorgogons,0.0,1
Essa música é foda demais,0.0,5
"Esto debería tener más de 14m de visitas, muy buen vídeo",0.0,12
"Everyone started on their own. From the very beginning.

I am trying to follow their footsteps as well.. Made a 30 second lyric video of this song. Please show some support. It would be very much appreciated.

https://youtu.be/s3HRQSTeOW8",0.8214,44
Exijo segunda parte :v,0.0,5
Firestone VS. Stranger Things,0.0,5
Good otimo,0.4404,2
Good song 😍❤,0.4404,4
Hello Guys From Stranger Things xoxo,0.6124,6
Hindi mojja523164567890,0.0,4
"I LOVE stranger things, kygo AND one republic! (I clicked very fast...)",0.7371,17
I Like videos with some sort of message or a story And its totally worth it,0.5709,16
I absolutely love this song more than any other song right now!!!!,0.7691,15
I am french and it’s cool et franchement je suis fan ces juste énorme,0.5574,16
I don't know why but i love this song,0.7783,9
I don't understand why there are so less views on this. It's just beautiful. This needs more attention than overhyped songs.,0.5994,24
"I like It, kygo + onde replubic 👌❤",0.3612,10
I love my these people,0.6369,5
I love the Alan walker remix,0.6369,6
I love❤ thes music,0.0,5
"I was searching stranger things trailer, I found this, I‘m so happy",0.6948,16
Idk why is this masterpiece stuck in 250k while some stupid havanna song reaches 6m....,0.0708,16
Idk y but is it just me or does this video/song get u right in the feels 😂😂💕😭😭,-0.0516,24
Increible  one republic + kygo AME esta cancion fasinante 😙,0.0,10
Is this from a movie?,0.0,6
Isn't the the girl form N E R V E?,0.0,11
It’s wonderful collaboration.,0.5719,6
I’m so sad,-0.5256,5
Johanna Swann 👍,0.0,3
Just amazing...,0.0,3
"Just uploaded my latest song on youtube and soundcloud ""Keys in Tokyo"". Maybe you want to listen to it - would be really awesome. The link to my soundcloud profil is in the description",0.6901,38
KYGO❤❤,0.0,3
Kygo & Taylor please,0.3182,4
"Kygo + One Republic
😍😍😍😍😍😍
luv u",0.0,9
Kygo + OneRepublic =amazing♥️♥️♥️♥️,0.0,13
Kygo and One Repuplic =veryyy funny and cool,0.6369,9
"Kygo is back whit some Tropical Vibes . Luv you Kygo.Still waiting for that ""best summer song ever"". I know You you can do it.",0.6369,29
Kygo your music completes my life. I don't know what I'll do without it. Strange isn't it,0.1511,19
Kygo+One Republic=perfect😍👌💥,0.0,9
LOOOO AAAAMOOOOOOO😍,0.0,3
La perfección!!  México 🇲🇽,0.0,7
Liana Liberato ❤💙💛,0.0,5
Liana Liberato?!♥ :D + best song ever!!!!!!♡,0.886,14
Lianna liberato 😍😍😍😍😍😍😍,0.0,5
Likeeeeeeeeeee,0.0,1
Lo mejor que e visto asta la fecha,0.0,8
Love this Song so much😍,0.6369,6
"Me **look at the video and thinking about Lucas, Dustin, Mike, Will and Eleven** wh-wha-what?",0.0,23
Me encanta esta música..,0.0,5
Melhor música😍,0.0,3
Musicão mano ❤,0.0,3
My birthday! (Jan. 24th),0.0,8
My profile pic!!,0.0,5
"Máquina ,fiera,mastodonte ,crack tifón,#1 etc...",0.0,13
México :),0.4588,2
"Need new kygo songs like the old kygo, Firestone and stole the show",0.3612,14
Nice song,0.4215,2
No sabia que era liana liberato y su boyfriend me encanta esta couple 😍😱♥️♥️♥️,-0.296,21
Not copying Netflix at all.,0.0,6
Now that's what i call my anthem!!,0.0,9
OMG ,0.0,1
One republic never dissapoint me😎,0.0,6
"One republic voice is great+Kygo EDM 😍
Make me want to DANCE",0.0772,14
OneRepublic😍💋,0.0,3
PERFECT SONG,0.5719,2
Perfect,0.5719,1
Perfect duo,0.5719,2
Perfect matching ‘like the melody,0.5719,6
Porque ella deja que el se escape al final del vídeo?,0.1779,12
Power,0.0,1
Relaxing,0.4939,1
STRANGER THINGS FAM WHERE U @,0.0,6
STRANGER THINGS SERIES!!!!,0.0,6
Sehr schön ❤,0.0,3
So my favorite DJ and my favorite music group. I can die in peace now,0.7316,16
Song Perfect !!,0.6467,4
Super song love it❤❤❤❤,0.8442,7
Süt gibi hatun amque,0.0,4
Thanks Kygo. This will be my theme song for my Bolivia trip in a few days! <3,0.7263,19
That end,0.0,2
The clip is more the end of the fucking world,0.0,10
"The idea of this clip was stolen from Nickelback-Satellite... same plot, same ending! Who thinks the same?!",-0.5837,22
"The king of tropical house, he did it again!",0.0,11
Think about this: Kygo + Alesso + Marshmello + DJ Khaled + Zedd.,0.0,15
"This is a weird thing to be complaining about but I have noticed it before on multiple occasions. I have asked many kygo ""superfans"" what genre he started out with and they will say some shit like pop. Like what the fuck lmao have you listened to his older music. Kygo is my favourite artist and honestly it pisses me off when ppl get the most random/easy wrong. It's a little thing but pisses me off more than it should haha",-0.3221,89
"This is so beautiful...dream song,thank you!",0.0,11
This is so fascinating 👌🏻👍🏻😘😘 love with collaboration,0.8737,13
"This video is a failure, kygos music videos are usually magnificent.",0.1531,13
Thumbs up if you recognize her from the Christmas episode of House MD :),0.4588,14
Vest music eber,0.0,3
WHY NOT ELEVEEEEEN,0.0,3
WILL COME LISTEN TO THIS,0.0,5
We're stranger things 😍😍😍,0.0,6
What about The Chainsmokers + One Republic?,0.0,8
What are they doing ?? Sneaking to an big house and doesnt even steal a thing but doing a dumb things,-0.6119,22
"What for shit Whores, for me to much Blame, if they are not married than they are guilty.  They have not enough Worth, to kiss my Shoes.",-0.8926,32
Who else clicked this video and was expecting the stranger things theme song?,0.0,14
Who more is here for Liana and Tommy?,0.0,9
Who's the artist on this video clip?,0.0,8
Why isn't it popular??? It's awesome,0.5119,9
Why so less view's 👿,0.0,5
"Why the title is ""Stranger Things""?? Upside Down is real?",0.0,15
Would you have made this song if Stranger Things wasn't a show? 🤔,0.0,14
Wow,0.5859,1
Wow awesome 💛 ✌️,0.836,5
Wtf,-0.5859,1
[✖‿✖] *Check out some amazing remixes on mine!!*,0.658,16
alan walker remix is amazing..,0.0,6
