,sentiment,wordCount
'Làm gì v :v,0.0,6
"702 THUMBS THIS DOWN,MUST BE DEAD INSIDE",-0.7213,9
"<3
Favorite youtuber",0.7096,3
A love you,0.6369,3
All of the food that you make looks really yummy and the people that you give the food to are really lucky to have you to make them such amazing foods!,0.8974,32
"All the dislikes are devils, i mean like who in the right mind hates a guy feeding all the poor souls in india",-0.872,24
"Am I the only one that smiled through the entirety of this video and then went, he and the others are true inspirations.",0.8555,25
Beautifull,0.0,1
Best youtuber around👍,0.6369,4
Big heart😘👏👏,0.0,5
Bẩn thiểu,0.0,2
Can you make this without Egg .,0.0,7
Como me encanta este señor todo lo que cocina se ve delicioso y sus sartenes todos sus utencilios me gustan saludos y Dios lo bendiga grandemente,0.0,26
Congrats grandpa for 1M subscriber...😊😊,0.5267,8
Congratulations! 🤗👏👏👏,0.636,6
Congratulution! 1mln,0.0,3
Cook burritos,0.0,2
"Crash : Pancakes

Grandpa : Oh My God",-0.1531,8
Dang WHO ELSE THINK GRANDPA’S FOOD LOOK STRAIGHT FIREE💯😂,0.3885,13
Delicious,0.5719,1
Desiaria provar 1....©,0.0,5
Did anyone else need to get food before this so that don’t get hungry during the video?😂,0.0,21
"Do you eat, stew with dumpling in it? In your country!!! Brisket, with your favourite veges, and dough boi, ( dumplings) and beef stock, and a lots of pepper and salt, yummy",0.6884,43
"Eggs, butter. ..... Hot pancakes....delicious! Thanks again grandpa!",0.5399,13
Es Increible Lo Que Hacen Por Estos Niños..Dios Les Bendiga Siempre;),0.0,14
Español?alguien?,0.0,4
Está hermoso como yo soy profesional no me mamitas Así que no rajen. Osea,-0.5267,15
GOD BLESS YOU DAD,0.5994,4
God bless his soul,0.5994,4
God bless these kids and Grandpa such a sweet Human with a great Heart 💙💙💙,0.9001,17
God bless u more grandpa ....💕💗,0.5994,8
God bless you,0.5994,3
God bless you people 🙂,0.5994,5
Good job,0.4404,2
Good job grandpa ❤️❤️👌,0.4404,8
Grandpa  you are like a God to the children your pan cakes looks yammy.,0.5574,15
Grandpa Kitchen,0.0,2
Grandpa Kitchen Nice.,0.4215,4
Grandpa Kitchen Your a really kind person..we need more people like you on earth. God bless you,0.8852,20
Grandpa Kitchen can I come,0.0,5
Grandpa Kitchen don't stop doing this 😙,0.2235,7
Grandpa Kitchen is really loving,0.6361,5
Grandpa Kitchen l,0.0,3
Grandpa Kitchen you have an heart of gold . Your amazing,0.5859,11
"Grandpa earns $1700 (₹108765) per month from his patreons. And all the money, he puts here for cooking.",0.0,25
Grandpa got the greatest heart and kindness!,0.8172,8
Grandpa is best 💎👍,0.6369,5
Grandpa is the best,0.6369,4
Grandpa prepare the pancake best what l l am to Mexico I’m sorry my English,0.5994,17
Grandpa should not wear gloves. They are hard to work with.,-0.1027,13
Grandpa the GOAT 🐐 🙌🏾,0.0,6
"Great guy,, he not just a chef,,bravo!!!",0.7163,15
Hay,0.0,1
"He makes 100, and they all look the same. I make two and they look different.",0.0,19
He really deserve a kitchen,0.0,5
He really need one,0.0,4
He’s in the top 2 greatest grandpas in the world,0.7184,12
Hi granpa i love you so much,0.6369,7
Hi there,0.0,2
His food looks more fresh than American food,0.3804,8
Ho thats nis of you,0.0,5
Hola,0.0,1
How does he cook or bake everything with a white shirt and does not get messy!?,0.0,18
How to donate for the orphans???,0.0,9
I LOVE PANCAKES WHO LOVE PANCAKES ME,0.8555,7
"I always find so much joy when they all sing and dance together at the end, all with full bellies and big smiles.
Thank you, Grandpa, god bless.",0.9271,33
I am a new subscriber,0.0,5
"I am falling in love with his videos
He is so kind and talented",0.9105,14
I am your biggest fan ever!!,0.4374,8
I can try do it,0.0,5
I currently recognized that he was speaking englisch 😂before I thought that it was an Indian language,0.0,18
I dont wanna see peoples with no food and no shelters or things i love yyouu grandpa,0.2023,17
I don’t like their outfit,0.3612,7
"I haven't found one video of Bobby Flay cooking for widows, the needy, groups of children, in a soup kitchen, or for orphans. This is the Heart of God at Work People. Love one another starting in 2018! Grandpa has the kind of joy that no one on Food Network seems to have.",0.7579,61
I honestly love this man. He's so kind and smart. He's so adorable. ❤❤❤ I have nothing but kind words for this man. We need more people like him in this world,0.9649,38
"I hope you buy grandpa some teeth with your youtube money! I love your channel and Grandpa, but I feel so sorry for him when i see him eat without teeth",0.4079,33
I just supported him I feel fucking good ☺️,0.6697,10
I like the way he cooks on the Fire,0.0258,9
I like your dishes,0.3612,4
"I love pancakes, Grandpa kitchen, next can you do cupcakes, or chocolate chip/ chocolate pancakes. For you next video?",0.6369,25
I love the intro,0.6369,4
I love the way the kids smile and enjoy the food,0.872,11
"I love these videos, watched everyone of them.. what country is this in.. I'm interested in donating money.. but want to know if if will go to help grandpa kitchen and his orphans...",0.8151,38
I love what you do,0.6369,5
I love you grandpa so much because you make the best pancakes and Christmas cake and donuts!!!!♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡,0.8902,23
I love you grandpa!!!!!!,0.7482,7
I think  you have a wonderfull heart,0.0,7
"I wanna have you at school kitchen             because your food is good looking and definitely tastes good. In the school kitchen cooking no food, but shits.",-0.25,29
I wanna send suplies,0.0,4
"I was getting ready to go out for breakfast, now im making pancakes. This is truly sweet.",0.8126,20
I was jealous so I got Pancake not like that mine is perfect,-0.1053,13
"I will like every single video of you guys and watch every ad there is on each video, its the least i could do im only 14years old",0.3612,29
I wish he was my grandpa and he cooks the greatest food in the whole world,0.7845,16
I would walk a million miles just to meet grandpa,0.0,10
Idk why y'all dislike the video this is nice. AND AWESOME. What this man does for these kids,0.6841,20
If someone disslikes this video they got no hearth for all the food that he makes for all those kids,-0.296,20
It's sooo awesome that you're doing this for them!,0.6588,10
Jiji,0.0,1
Keep it up granpa! 🔥,0.0,6
"LOVING,CARING,SHARING  THIS IS MY FAMILY",0.0,9
"Looks good, except seem to be on greasy side. Grandpa seem to be love too much butter in his pancakes lol",0.872,23
Love from the philippines! 🇵🇭,0.6696,7
"Love you, grandpa! ❤️",0.6696,7
Lovin' this channel :'),0.5106,5
"MORE LIFE, MORE LOVE, MORE HEALTH FOR THE GRANDFATHER .. GOD BLESS YOU",0.9354,15
Matter of fact he’s the first best grandpa in the world,0.6486,13
Mel com panquecas 🤔,0.0,4
