,sentiment,wordCount
""" would you have allow your children/younger siblings to be alone with him?"" I already touched on that topic but alright then, we'll just agree to disagree.",0.3182,33
"""They"" who? Hispanics? I am Hispanic and I do not speak that way. No one in my family does, including the ones born and raised in East L.A.",-0.3736,37
#GRAHAMFOROSCARS,0.0,1
#no,0.0,1
(R)ogered (I)nfants (P)ooholes  Michael Jackson,0.0,14
*lmao im mexican*,0.0,5
"+Colleen Robichaud....Oh boy, except MJ's ""victims"" weren't really victims, after his death the father that accused him of molesting his child from 1993 committed suicide because of guilt of lying on him. Now I personally don't agree with having sleepovers with children because it does give a bad look, I'll give you that, but I honestly don't believe MJ was what people claim him to be and that is a pedophile.",-0.766,82
"+GiantSandles Fair point, I honestly don't agree with him doing this but I completely understand why he did. He didn't want to be in a very long trial that's on the news for years so he decided to just pay them off and give them what they wanted, unfortunately, this painted a bad picture on him and made him look more suspect of being guilty. Even his mother disagreed with him doing that.",-0.9557,80
+Julia Chernyshova MAABO,0.0,4
"+Mr T
vids??",0.0,6
"+Richard Herzog ....Boy you and the OP are dense asf, it's not even funny.",-0.3412,18
"+sam neale
lol any proof that wasn't debunked by court more than 10 years ago",0.4215,16
"+sweiland75 +rmm2000 <-------These people are idiots, still believing in a lie since 1993 and after 2009.",0.0,23
+swiftslick Why?,0.0,4
....which were proven to be false.,0.0,8
0:46 uhuh you aint got no bid’ness break n’ no dancing! LOL,0.765,16
1Q.com/wthk55,0.0,1
200 I.Q. play by the mom imo,0.34,10
A c I hope you don't like it.,0.1999,9
Absolutely Hilarious 😂🤣,0.4576,4
After we get a reunion between 50 Cent and Julie Walters,0.0,11
"Another random michael jackson story. I see you,Graham",0.0,11
Anywhere consumption dining shallow labor economist sales apparently slow few title sodium,0.0,12
At least he is smiling in this video.,0.4588,9
B.D. mama.I.am lol,0.4215,6
"BeatsV123 MJ was too good for this f up world, God says blessed are you when men hate you and persecuted you, Jesus was hated and persecuted also.  stop your obsession with the GOAT.",-0.802,39
Boy you ain't goin' in no alley wit no Michael Jackson.,0.4168,13
But ITS BEEN PROVEN WHAT WOODY ALLEN IS,0.0,8
Clearly some mantra you keep reciting when people start hitting you with the facts ffs get a life Richard,-0.2732,19
Colleen Robichaud NEVER PUT BILL COSBYS NAME IN THE SAME SENTENCE WITH A PEDOPHILE/SERIAL CHILD-RAPIST LIKE LARRY NESSAR. BILL ISNT A PEDOPHILE. AND ALSO Bill hasnt been convicted of any rapes regarding the women who accused him. Innocent until proven guilty. Meanwhile Harvey Weinstein has actually admitted guilt in some of his cases.,-0.5475,60
Defend fine angle rule sense screen talk subject process still tear cover.,0.2023,13
Don Draper Harry Potter reference,0.0,5
"Don't like his music, but he's an incredible story teller!",-0.2136,12
"Dumbass can't even spell ""sexual abuse"" correctly, and newsflash buddy, MJ wasn't a pedophile. A couple of days after he died the people that accused him of molesting children  admitted that they lied and did it for money. Hell, one of them committed suicide because they felt so bad.",-0.9862,57
"Evie Hammond You may have a point, but i think you are wrong in this case. Will.i.am was a very good friend of Michael Jackson. (Look at the video of him doing the impression) But if you have a bad depression, it is difficult to help, even for friends",-0.1263,56
FAKE,-0.4767,1
"Finally, a black women who speaks the truth! GG @will's mommy",0.6731,15
Floppy Bird all accusers took back what they said. Some before and some of them after his death.,-0.5994,20
"Gabrielle M. Um no. Bill Cosby date raped dozens of women. He is a sexual predator. Like I said before, I believe the victims.",-0.765,30
"Gee, I wonder why?",0.0,6
Go re-watch that interview. He gave the bed to the child and he slept on the floor,0.0,18
Good call.,0.4404,3
Good thing it wasn't a 😒Woody Allen 🎥 movie cuz Mom prolly wld hv let him go.,0.4404,19
Hahahahahha,0.0,1
Happy Person or he was set up..to make it seem like he did things with children,0.7351,18
Harold What?,0.0,3
He ain't going in no alley with no Michael Jackson,0.4168,10
He got lucky,0.4215,3
He he hilarious 😂,0.4019,4
He looks at least 10 years younger than he is!,0.0,11
"He looks incredibly stoned... lol 😆 Didn’t even watch the video I must admit, I noticed it from the thumb nail..",0.5965,26
He looks like he was crying on the thumbnail,-0.1531,9
"He thinks he would’ve been in thriller? He must not have seen the video, crashing the set doesn’t put you in the thriller video",0.2023,30
"He told some funny stories about her in Top Gear some years ago too, with the same voice... lol",0.7579,21
He was a pedo and a porn addict... he should be in an unmarked grave... not for the porn obviously,0.0,22
He's  always talk about Michael Jackson every time he goes to the show... lol,0.4215,15
"He's so great at story telling, hahaha.",0.8399,9
Her mom took a BIG L 😂,0.0,7
"Hey william, how's it going with the puls?",0.0,10
He’s awesome!!! He would have been great on Thriller as a zombie dancer 🕺🏾,0.8879,20
His Mom knew he was a paedophile back then.,0.0,10
His mom must be proud now,0.4767,6
His mom predicted the allegations.,0.0,6
His mom sounds a lot like my mom.  Wouldn’t let me do anything.,0.3612,17
His momma was psychic,0.0,4
HollyBlueAgitated Need that in my life.,0.0,7
HollyBlueAgitated They were a match made in heaven. I'm impatiently waiting for this to happen again!,0.2244,18
"HollyBlueAgitated haha yes please, it was so funny",0.8943,9
HollyBlueAgitated idk,-0.1027,2
"I don't think Michael Jackson liked sex with black boys; he'd had too much of that already, growing up with his brothers.",0.5423,25
"I grew up in La Habra,ca and yes that accent is on point.",0.4019,16
I love his music!!,0.6988,6
"I love the ""wrong accent""",0.2732,7
I love this dude so much <3,0.8115,7
"I love you Show:)
Ребят, снимаю обзоры на фильмы,вчера вышел обзор на фильм ""Зомби по имени Шон"" если кому интересно буду рад,оставляйте комментарии(желательно конструктивную критику)
And good luck,my dear american friend:)",0.8658,45
I read the title of this video and all I could think is 'That's unforgivable.',0.0,18
I refur to another song title (moma knows! Moma knows!) Haha ha ha ha ha ha luv will I am! This guy is a credit to a what a good parent can do no matter where you are raised! Don't be a thug!,0.9557,50
I wonder why...,0.0,4
"I would be so mad at my mom, I'd be like see ma what could have been",-0.3851,18
I would have necked myself omfg,0.0,6
In LOVE OF ALL OF YOU I AM DOING A PHONE GIVEAWAY. JOIN IN AT MY CHANNEL,0.8345,18
Is that because he’s a nonce?,0.0,9
"Is that sarcasm? I hope it is because if you're one of those ignorant people that still believe that MJ was a pedophile after all these years since his death, I have nothing but pity for you.",-0.0433,40
"It's a fun joke to tell, but thriller was shot in '83 and the rumors and allegations didn't come around until early 90s.",0.5187,26
"It's weird how all these famous people are involved in the entertainment industry as children, almost like they're groomed for it",0.5118,22
It’s weird to hear him talk without sounding robotic,-0.1779,11
Jc1,0.0,1
Just based on the title...I would NEVER forgive her!,0.3382,12
"Jwoë Aaron 
Its a shame when Michael was alive most celebrities steered clear of the subject thinking the association with him would compromise their careers. Yet after 6/25/09, everyone has a cool story to tell about MJ. Where were you when he desperately needed support & a friend??And the media is twice as bad. They manipulated stories about him throughout his career yet again, after that day in June 2009, the world has lost a misunderstood & musical genius. Funny how on 6/24/09 he was a washed up drug addict, turned surgically enhanced freak that changed his race & face because he despised his own. And lets not forget the pedophilia that he was aquitted of ALL charges in a criminal case but still found absolutely guilty in the court of public opinion. I cant think of a better example of..""What a difference a day makes""!! IMO when other celebrities tell these stories about him I'm left wondering as to why...more importantly, why now?? Hes been gone now for almost a decade. Are the rest of us suppose to be impressed that you are still name dropping him? Regardless of what their intention is all I see is one more selfish celebrity who was more worried about their career & connection with MJ & if it could possibly do harm to them back then. But now that hes gone & the rest of world is looking at him in a different light its cool once again to do or say anything that associates you with him personally. They're celebrities, you'd think they'd have something to say about their own career & projects so why do they keep bringing up Michael in these interview so far after the fact??? #FAMOUS HYPOCRITES",-0.9618,326
KEW13rocks 50 pence,0.0,4
Lol damn junior,0.0258,3
Louisa Weber wtf is hogwarts?,-0.5859,6
Louisa Weber 😅😂😅😂😅😂,0.0,8
"Luigi Camp Yeah, I think his Mom was just strict, and the joke takes on a different level of humor in hindsight.",0.6705,25
"MJ was found innocent in court on all charges against him. He was investigated for over 20 years by the FBI and the reports, which are accessible online, clearly state nothing incriminating was ever found. He was a victim of a witch hunt, victim of a malicious lie and to this day a victim of immature and ignorant comments like your own. Do your research, you’d look less stupid next time.",-0.7584,81
Mama ALWAYS knows lmfao,0.5423,4
"Mama.i.am is not cool man, NOT COOL! XD Poor Willy. :>",0.7843,15
Matihan yah,0.0,2
"Maybe because she didn't believe MJ was actually there....or no lemme guess, you're one of those people that still believe after these many years that MJ was a pedophile because of tabloids right? Yeah that's it, I'm sure of it.",0.3182,46
"Me: * reads the title*
Me: OOooooOh no",-0.296,11
Michael Jackson’s stories still trending.long live the king,0.0,10
Miriam Margolyes is kind of his best friend I think. :D :D :D,0.9661,14
Mom is a whole savage 😂💯💞,-0.4588,8
Momma didn’t want dark chocolate tainting the white chocolate.,0.0772,12
"Mothers like that are almost non- existent today. Today, the mother would hope the kid gets molested for the fame and payday.",0.6597,26
"Mr T Get your facts straight they raided his neverland ranch house in 2005. And didnt find anything, the court papers even said that there was nothing found in there. And thats why he was found not guilty. Also after they raided neverland ranch in 2005 and trashed the whole place, Michael moved out because he said it didnt feel like home anymore, and he died in los angeles house , the house they raided is in santa barbara, they NEVER raided his LA house. the allegations were in 2005 MJ died in 2009",-0.7251,102
"Mr T finally someone with some sense, thank you!",0.4199,11
Mr. ghost-produced…,0.0,4
Mrs Michael Jackson it was a bit of a joke mate calm down,0.5423,13
No.,-0.296,2
"Nope, just not gonna sit here and let people slander him over something that he didn't do.",0.0,19
Not really.,0.0,3
Oh.My.Goodness....electric.boogaloo.Did he just say electric boogaloo...who remember turbo from the movie,0.0,15
Ok and?,0.296,3
"One even committed suicide over it, Jordan Chandler to be exact.",-0.5267,13
One of the best couches',0.6369,6
"One time i saw michael jackson at walmart, thats it thats all that happened",0.0,15
Onion Face lol no they dont. I live in Michigan and the few Mexican children in my classes at school either sounded like every other American Midwest student or they had a slight accent But it didn't sound like that. I think its a location/culture thing.,0.6808,51
Onion Face no they dont haha,-0.569,6
Onion Face not true some Mexicans sound white. That accent is from Los Angeles,-0.3252,15
Onion Face that’s definitely East LA,0.4019,8
Outro low-key bumping,0.0,3
Phrasing!,0.0,2
"Please invite Will more, he's such a sweetheart. I could totally picture the scene and him as a little kid.",0.8158,23
Pretty Snowflake exactly,0.4939,3
R.I.P Michael Jackson,0.0,7
R.I.P Michael Jackson 🙏🏼,0.0,9
Rachael Jenkins lol,0.4215,3
