,sentiment,wordCount
"""It runs like a pistol"" ummm.... Guns don't run...

Also sorry your dog died 😞",-0.2211,19
"""Tears up""
I'm going to call my dog and tell him I love him.",0.5106,17
"""This video is not available"" 
HHHHHHHH",0.0,8
"*BORK IN HEAVEN, COLT*
Me: aww!!! And... What?",0.7104,17
"*Watches Video*
*Stands up*
*Picks up dog* (She’s a Chihuahua)
*Hugs dog*",0.0,24
/i have a deaf dalmation i saved her because the old oners where going to kill her because she was deaf,-0.4404,22
111,0.0,1
80 POUNDS?! woah m8 dats 1 hvy dawg,0.4003,10
:(,-0.4404,1
;-;,0.0,3
=3,0.4767,2
A KAAT LOVES A DOG AMAZING MY OC IS A CAT TOO BUT I LOVE DOGS,0.8898,16
A cat animator with a.dog. Ship it? NAH IM KIDDING!😂,-0.3453,14
A cat talking about dogs... *interesting*,0.0,9
A cat that likes dogs,0.4215,5
Aaawwww!!!!!!!!! I love dogs!!! I personally like a husky more.,0.8346,17
"Ah, I lost my dog on October 21st. It was such a horrible day. I never ever want to put down a dog again, it just hurts too much.

Dogs teach us such valuable lessons. I don't know what my life would be like if I never had dogs.",-0.5457,56
Also cats,0.0,2
And I also love it already it lies down and rolls around and he is so fluffy and cuddly and nice,0.6369,21
Aw I'm sorry about what happened about your dog.,-0.0772,10
Aw im sorry about you're loss i love dogs too im going to be extremely sad when my dog will gave to be put down his name is chip and he is a chiwawa,-0.2006,34
"Awe, poor doggo. 😞",-0.4767,6
Aww sorry about your doggo I got one when this vid came out lol,0.3612,14
Aww that poor dog I'm happy he found a great family like you but I'm pretty mad about that they abused him but I'm glad you did the best you can to make him happy,0.9432,35
Aww this reminds me when my dog ( he's gone now... :( ) whenever I was sleeping he jump on the couch and go under the blanket with me,-0.4404,30
Awww I used to have a dog like this his name was Zegar. But sadly we had to put him down last year.,-0.0772,25
Awww... I ❤️ Dogs,0.0,6
