,sentiment,wordCount
"""Did I mention Ohio?""  gold",0.0,8
"""They need a break and a huge jump into this century.""  carpet bombing would help.",0.6124,19
#whatsthepoint2018 #sciencedeniersdontseeaproblem,0.0,2
1:12 Love that,0.6369,3
1:13 my new favorite gif...,0.4588,6
=),0.4939,1
AMAZON THE AMERICA'S VERSION OF A SWEATSHOP,0.1779,7
Absolutely!,0.0,2
All this HQ2 stuff reminds me of a Metalocalypse episode.  Except it's real.  And not metal at all.,0.0,21
Amazon in D.C. makes sense...why get just state tax breaks and subsidies when the Bezos shadow and a legion of attorneys and lobbyists can walk the halls of Congress everyday,0.1779,35
"Amazon moves to New Jersey,  New York, or DC and buys Barnes & Nobles.",0.1779,17
Amazon please do not come to Atlanta.,0.4588,8
Amazon should be paying its host city not the other way around ! my proposal would postulate the need for payments from Amazon to the HQ 2 and 1 to City.  Peace....,0.4003,34
Amazon should settle HQ2 in Canada. How cool would it be to own an entire country!,0.5093,18
"Apparently someone has never been to Ohio, I get the whole ""he might not wanna kick it there"" but wiring Columbus off like that is weak and ignorant. 
I doubt CBus will get it but don't play that hoe sh*t. Philly makes some sense to me location wise, surprised it ain't on the list.",-0.3724,63
"As always unfucking believable, right on point.",0.0,9
"As an Indy native I can say- why all the negativity, bro?",-0.5106,15
"At 40/1 Odds, Bet Northern Virginia for Amazon HQ2 
Kyle Garman | Jan 29, 2018
https://www.linkedin.com/pulse/401-odds-bet-northern-virginia-amazon-hq2-kyle-garman",0.1779,18
Atlanta,0.0,1
"Atlanta,GA. Should be in top 2, it has sea ports very close( port of Savanah 5th biggest port, port of Charleston, SC. 9th biggest) also ATL. Has Hartsfield international airport, biggest by volume, Georgia tech, Georgia state, University of Georgia,Augusta state, great University institutions) Atlanta  also has a great freight railway system and  public transportation w/commuter trains and buses...has a VERY business friendly tax codes, overall climate is better than D.C. HAS a lot more land and locations to build. And most rich people AND company“s  treat themselves or award them tickets to attend the masters golf tournament @ the Augusta national’s golf course located 130 miles from ATL. A lot of  wealthy people, buy extra homes in Augusta just for the tournament. Also the cost of living is relatively low.. better area to raise family. Columbia SC.  Is located only 180 miles from ATL. And is home to one of UPS major shipping hubs( although Amazon wants to get into it delivery service I’m sure it will still use outside shipping companies)... Boeing wanted to move it’s facilities to South Carolina from Washington state,  for much of the same reason listed above...
The south has less unions to worry about... I think ATL.. should get it over DC",0.986,258
Austin,0.0,1
"Austin, is the way.",0.0,6
"Awesome video.  It's become a municipal race to the bottom; I'll undercut the other city at the expense of my constituents (my fiduciaries).  Does it really benefit a city/state/county official's EXISTING constituents to give so much for jobs that they will probably not get (be qualified for) and increased taxation, traffic and crime that they will definitely get?  Many long time residents will be priced out of their homes and become crushed with increased traffic, crime and congestion; the benefits of more taxes are offset by the tax breaks so no new roads, schools, transportation, etc...  I disagree, it will probably be Austin; relatively few state regs., no income tax and great city if you want a free/Millennial culture.",0.4872,145
Beltway would be nice place for biggest monster who now wants to influence regulations.,0.4215,15
Bezos is a twat...,0.0,5
Bezos should auction it's HQ2 on eBay,0.0,7
