,sentiment,wordCount
"'"" INFINITE GRATITUDE,,, LOVE & POSITIVE ATTITUDE... THANK YOU ALL FOR CARING & SHARING & HELPING THE ANIMALS,,, GRACIAS...""'",0.9747,30
'BarkNBitches.com'??? really lol?,0.6191,9
*Some Sick Fucking People Out There. I Love What You Guys Do.*,0.2263,16
A friend of mine asked me to help him rescue a pitbull that was an injured stray like this beautiful guy. It took us awhile to get him (a big Mac finally did the trick lol) because he was so afraid of people. I just fell in love with him so after the vet visit I decided to keep him. He is a happy healthy boy who loves everybody. You are all fantastic people for the work you do and a thank you isn't nearly enough to show how appreciated you are. Keep up the great work and bless you all!!!,0.9927,111
After loose my 18 year old kuki  i cant stop cry when saw videos like this,0.5635,16
"Ahdhfhr I LOVE pit bulls, but people are afraid, dogs are not bad unless you RAISE them to be bad, I have 4 pit bulls and they’re like little baby’s and sweet and loving",0.9742,41
Amazing people do amazing things,0.8225,5
And people call pitbulls the monsters.,0.0,7
"Angel squad, you always make me cry happy tears",-0.0772,10
As someone who has a pity this makes me so happy. Hopefully someone adopted him by now,0.7593,18
Ashy are people disliking this fuck them like if agree!,-0.4053,11
Awesome pitbull and so Lovely,0.874,5
"Awesome video , awesome dog",0.8481,5
Aww so sad,-0.5256,3
"Aww, sweet boy ❤️",0.4588,6
Bahut Acha kaam Kar rahe he aap log🙏,0.0,9
BarkNBitches....... ;_; Huh.... Weird.. <-<,0.0,11
Barknbitches lmfao,0.5423,2
Can I adopt that dog,0.1779,5
Do you have time for human???,0.0,9
Do you know if Wilbur has been adopted ?,0.0,9
"Dog's today are weaker than their descendents , if you don't feed it  the dog stave to death..
Survival is important to live..",-0.2732,25
Donate for poor man also,-0.4767,5
Email me or reply an I'll come get him.   I live on a farm.    He's a dandy.,0.0,20
Evo x at 2:58,0.0,4
Go oh,0.0,2
"God Bless You Guys for helping him. 
The abusers needs to be punished severely",-0.5423,15
God people are so harsh on pitbulls just because their known to kill sometimes how disgraceful 😣😭,-0.8096,18
Good bless you,0.6908,3
Good job dear .,0.6705,4
Good job guys. All the love from India,0.7964,9
Goooood job 👍👍👍👍👍👍😩,0.0,6
Great Job👍🙏,0.6249,4
Great job guys. God bless,0.8402,6
Great work by great people. We appreciate it. You people deserve a reward ☺,0.9393,16
"Guys look at the website it’s www.BarkNB****es.com 
My reaction: LOL 😂",0.5473,18
Guys please like the video for these great people!!😺😺,0.8585,13
"Happy end.
From Viet Nam",0.5719,6
He is so cute! I hope he finds an amazing home.,0.9029,13
He's beautiful!,0.636,3
Heart warming to see.   Thank you so much for all the work you do.,0.4767,16
He’s so cute! Pit bulls have one if the sweetest smiles ❤️ Thank you for your hard work!,0.8433,23
Hope for Paws is the Best!!’ Thank you guys for all that you do! 🙏🙏🙏 I made my donation and will continue! 🐶❤️🐶❤️🐶❤️🐶❤️,0.7627,41
"Hope for Paws unbelievable Work you guys do, I want a Job",0.6124,13
Hope for homeless!!!,0.5826,6
How about your parents.you guys throw them at old home. According to you animal better than human beings.m working at a gas station saw lots that kind old people.some time feel very bad .even they can’t walk properly.,0.3626,45
How could people do this to pets,0.0,7
"Hows Wilbur this days?
Love you guys keep up the good jod..
Youre great.",0.9042,17
I WOULD TAKE HIM HES BEAUTIFUL,0.5994,6
"I absolutely love pets but I refuse to touch, wash or squeeze anything out of them without gloves.",-0.0138,20
I absolutely love ppl like you-i don't like humans as a rule but absolutely LOVE dogs-YOUR MY HERO'S,0.9306,18
I almost cried,-0.3197,3
I can has Cheeseburger ?,0.0,5
I cried,-0.3818,2
"I dont understand how someone can abuse a cute innocent animal, especially a dog, i really dont get it, unless they had something wrong and need to get their head checked out, but other than that i cant imagen how someone could do that thank you hope for paws for rescuing innocent dogs that just need a safe warm place to live with a loving family that adores the dog",0.9756,74
"I don’t get why people think that pit bulls are dangerous and mean, they’re actually not bad or anything, people are and pit bulls are really nice and gentle dogs and believe me I have one",0.719,42
I hate how everyone driving in the background was honking and being careless so rude but at least the pups fine,-0.516,21
"I have a Dogo that just passed, I would love him forever, how do we find transporters? I am in love with him.",0.8555,27
"I have been trying to get a hold of you guys for weeks to adopt and donate money. I know you're super busy I have done tons of volunteer work with shelters, rescues and humane societies. Most especially pit bull rescues,mainly because they're scapegoats for the media. I am a proud and fortunate owner of one of Michael vicks old dogs. She is the sweetest dog ever. Please feel free to reach out to us at anytime.
P.s. Is Wilbur still available to adopt?",0.9509,97
I love dog,0.6369,3
I love hope for paws they are amazing they are so sweet for saving all those dogs,0.941,17
I love how pitbulls always look like they're smiling😁,0.7717,10
I love people who rescue and love the animals be blessed,0.9485,11
I love pit bull,0.6369,4
I love these video's😍😍,0.6369,6
I love what you guys are doing keep up the good work and God bless you,0.9001,16
I love you,0.6369,3
I love you Hope For Paws!,0.8122,7
I love you guys so much,0.6369,6
I miss the good old days when there were other breeds of dog besides pit bulls.,0.3182,17
I never sawed a friendly pit bull :0,-0.3875,9
I think YouTube should remove the unlike button for videos like this,0.3612,12
I think most of the rescues are Pitbulls...,0.3744,9
I was crying And I also lose my dog and cat,-0.7003,11
"I when I am bigger, I want to be a dog rescuer",0.0772,13
I wish i could get all those homeless pits,0.4019,9
I would like to meet   laura   and   friends  from hope for paws   they are so compassionate  and  caring the way they rescue  innocent   animals   they are fabulous....God bless them all🐶🐕🐩🐹🐱🐹,0.9738,38
I'm not trying to be mean or anything but when I read barkNBitches I was dead😂😂 I know it means girl dog,0.0,24
Im happy he was rescued! Some people seem to hate pit bulls and its 100% sad that people still believe that every pit bull is aggressive.,-0.2942,29
"In the 13-year period of 2005 to 2017, pit bulls mauled to death 284 Americans, about one citizen every 16.7 days.",-0.5994,26
Insisto ella es un 👼,0.0,5
Is Loreta Lithuanian?!,0.0,5
Is he still up for adoption?,0.0,7
It's like pretty much all the pit bull you guys rescued never showed any aggression towards you guys whatsoever. <3 Thank you for doing what you do!,0.9335,29
"It's sad,dogs are a gift from God to love us unconditionally and to protect us,God bless the rescuer's.",0.9274,23
It's so cool that youtube can be a free platform to find homes for these great animals. People get to see them running and playing and fall in love :D,0.9639,31
I’m 11 when I grow up ima work there,0.0,11
"I’m skeptical about hope for paws.
I see all these hundreds of animals getting “rescued” but when I go to find out their adoption process it is as if it doesn’t exist. Where exactly are these dogs going. Are they dropping them off at the humane society or some kill shelter.",-0.8047,61
"Just wonder if its ok to be touched by helping some homeless pit bull and later fry and eat a fat steak? Is it logical to care about dog and not to care about feelings and pain of cow or pig or horse whoever? Im not vegetarian, just wonder isn't it a hypocrisy?",0.7929,57
Kill him now.,-0.6908,4
Kutto ko chod ke or animals ko bhi bchao,0.0,9
Looks like my dog,0.3612,4
Love Love Love Love Love Love Love Love…………………………Only Love in this video……………………Long live guys……………………….,0.9887,26
Love this rescue,0.8176,3
Love u guys and ur hard work may ALLAH bless u people some of the best example to mankind,0.8957,19
Man i want him,0.0772,4
"Man, what a adorable dog. The ears both flipping to his left is damn cute.",0.5423,18
Molpani,0.0,1
My cousin has a dog just like that but her name is Pebbles,0.1901,13
"My pit killed a 17 yr. old neighbor dog that was going to be put to sleep. We passed this dog daily on our walk. She always sniffed this dog from behind the fence. Aug 30th  after exchanging sniffs?,she quickly slithered under the fence; grabbed the dog by the neck & killed it. That quick. I was sued for $6,00. It has been a nightmare. I now walk her w/ a muzzle. Thank You for your work!",-0.8313,93
Nawwww thats so cute <3 Do they have patreon or something like this? I´d like to donate monthly ^^,0.901,23
"No wonder He found a film crew, Wilbur sure likes a camera. He should go into movies.",0.4404,20
Now that is so kool im glad to see people doing good and helping out pitbulls i really love these dogs id be glad to help out!,0.959,28
Omg!! You guys are so awesome!! I would love to be a part of your team when I'm older but I just have to wait a couple more years.,0.7918,34
"One day will eat somebody some where somehow  !  Like what happend in england few day's ago
And we still keep this spices at home 
We don't learn ?  How many are the attack by pitbull 
Why never happend with golden retriever or all the good spices",0.3802,47
"Only two words to describe all of you "" pure heart """,0.0,12
PIZZAGATE,0.0,1
Parabéns a todos os protetores de animais,0.0,7
Poor guys never been loved but still had faith in humans 😔,0.1474,12
"QUE LINDO CARA!
Amo essas pessoas que amam os bichinhos , emocionante",0.0,13
Que doce esse anjiho Pitibuls. Lindo amor ❤🙌🐕 graças pelo resgate do anjiho lindo doce 🙌❤,0.6124,20
Really good job,0.4927,3
Respect to u guys!,0.5255,5
STOP MESSING WITH THIS  DANGERIOUS BREED FUKIN MORONS. THEY MUST BE ILLEGALIZED.  I WOULD SHOOT THEM WITH  AK-47.  IF THEY ATTACK THEY WONT LET YOU GO. MY HAND WAS SLASHED AND WASNT COMPENSATED BECAUSE OF CORRUPT ALTERED  HOSPITAL RECORDS,-0.7717,45
Seriously I can’t go watching one of these videos without crying I just can’t even imagine why someone would do anything harmful towards an animal,0.2153,29
"Shoulda just capped it. Don't need those shitty dogs runnin round, or the people who would save one...",0.7289,21
So cute,0.5095,2
So many pitbull rescues?!?!,0.5435,8
So sad 😔😢,-0.5256,4
"Some people are god like 
God bless you all 
♥",0.8176,10
Sweet dog with a lot of drool :3,0.743,9
Thank you for saving,0.3612,4
Thank you guys for being so kind to animals.  You just know what to do about them.  God bless you!,0.9013,23
Thank you guys for rescuing the helploss dog❤️He‘s so cute and I hope he can start a new life with a lovely forever home😍THANKS!🐶,0.9277,33
Thanks for saving this boy s2,0.4404,6
The best,0.6369,2
"These videos always make me cry but I always force myself to watch them because seeing them be so kind to the animals makes me so happy, how do slime videos/channels have more views or subscribers than this? I'd like to see more of this content on youtube <3",0.967,53
"These videos bring tears to me eyes every time. I am jobless right now, once I get a job I promise to make a big donation. Please please keep up the good work.",0.7845,37
This is sooo sad and my only thoughts are “who in their right minds would be so rude to abuse him! He is the sweetest dog ever!❤️,-0.9188,32
"Those faces just kill me, how do people just leave animals behind?",-0.7096,14
To the person writing those comments on the video screen: stop it! I can't take it anymore 😭😭😭😭,-0.3595,22
Was not  this pitbull the one who killed a kid,-0.6705,10
What a beautiful boy...,0.5994,5
What a cutie,0.3612,3
What a good boy !,0.4926,5
