,sentiment,wordCount
"""Fizz! Hey!"" Lol! Smile or get back in your casket!",0.7556,16
...I failed at the thumbnail,-0.5106,6
AWW I LOVE FIZZ!!,0.6988,6
"AWWWWWWW!! HE REMINDS ME OF MY KITTEN, BLOSSOM!! When she was really little she used to ALWAYS scream at me and climb my legs lol. Now she likes to sleep on my chest and play with me, she still screams at me when she's hungry or thirsty, especially if I'm refilling their water bowl.",0.6449,63
"AWWWWWWWW, DID ANYONE NOTICE ELOISE , ITS WHEN FIZZ WAS IN THE TISSUE BOX ALMOST FALLING. IF YOU   LOOK A LITTLE BIT FURTHER AWAY NEXT TO THE WINDOW YOU WILL SEE ELOISE SITTING ON A COMFY LOOKING HAMMOCK HANGING ON THE WINDOW .",-0.079,45
Absolutely amazing! He can take selfies??!! WHAT! Most awesome cat on earth!!,0.9004,20
Aww Fizz is so cute,0.5949,5
Aww!  Fizz has a wonderful personality!!,0.6784,9
Awww so cute! I smiled right away! Fizz is so cute and so playful! It gives me a smile seeing animals having the time of there lives!,0.9533,31
Awwwwwwwwww  I deffenatly failed this challenge,-0.4451,6
Beautiful selfies Fizz!,0.636,4
But its impossible not to smile!,-0.3404,7
Can I get 50 of 'em?,0.0,8
Cutest little thing EVER...don’t tell my cat tho...I’ll be a dead woman😶,-0.128,21
Did I just see Marmalade?,0.0,6
Did anyone else notice marmalade the cat on the screen???,0.0,13
FIZZ LUVS TEH BACONZ!,0.0,5
FIZZ is a must watch for me every day. He keeps me smiling!,0.5093,15
FIZZ!!,0.0,3
Failed! Defiantly smiled throughout this video! 😻,0.1984,9
Fizz is more photogenic than me :),0.4588,7
Fizz is obviously highly intelligent and very bonded with his human staff. Love him!,0.831,16
Fizz is so cute it makes me cry,0.1941,8
Fizz is so cute!! I love it!! Made my Day.,0.8888,15
Fizz is so frigging adorable,0.5819,5
Fizz is the new meme,0.0,5
Fizz makes weird noises,-0.1779,4
Fizz may be better at taking selfies than I am,0.4404,10
"Fizz reminds me of my cat, Olaf",0.0,8
Fizz remix?,0.0,3
Fizz said uh oh right at the end,0.0,8
Fizz the KING!!!!!!!!!!!!!!!!!!,0.0,6
Fizzzzzzzzzz😍🤣,0.0,3
Fuzz would win the world's cutest kitten award.,0.9022,9
Gorgeous little fluffies,0.6124,3
Haha I love Fizz❤️😂😂😂,0.802,9
He PAWSED the video! =^[.]^=,0.0,12
"He looks exactly like my kitten patches except he has a heart patch on his head and his tail 




He is LOST tho
For 8 months 

1 like = 5 more percent. I will find him 
If u don't like my heart will be broken 
Me if u don't and me since he is LOST 😢😢😢😭😭😢😢😭
He missed his first bday ever",-0.5948,70
He make me smile,0.3612,4
He really likes to take selfies,0.4754,6
He takes better selfies than I do!,0.4926,8
He/she is soo cute!!  😍😍😍,0.555,11
He’s cute,0.4588,4
He’s so cute,0.5095,5
His little meows at the end were so hangry!,0.0,10
How can you not smile?,-0.2755,6
How did you become kitten adopter,0.0,6
How is fizz doing?,0.0,5
How is fizz so smart,0.541,5
How many cats do you have??,0.0,8
I FAILED D:,-0.2732,3
I FAILED NOT TO SMILE HOW CAN U NOT ITS ADORABLE,0.34,11
I LOVE FIZZ!!!!!!!!,0.7482,6
I SAW MARM,0.0,3
I SMILED 😂💜💜💜💜,0.6408,6
I WANT A FIZZ,0.0772,4
I almost cried bc if cuteness,0.2484,6
I couldn’t resist smiling haha,0.7184,7
I didn’t smile and how many chickens do you have?,0.3612,13
I didn’t smile...I LAUGHED 😂,0.5766,9
I dont like it.....................I LOVE IT!!!! ITS SO CUTE!!!,-0.3462,17
I fail at the start,-0.5423,5
I failed,-0.5106,2
I failed at every lmao,0.1531,5
I failed from the first second of the video she is so cute and innocent😚😍😣,0.1447,18
I failed on the first one. Fizz is SO CUTE!,0.412,12
I failed so hard it's just so adorable!,0.1066,9
I failed the challenge *miserably*,-0.4588,7
I failed this very badly😂😂😂,-0.5106,8
"I failed!! C; its so adorable! :3 

Btw i love cats! Thank you kitten lady!!",0.9226,23
I failed.,-0.5106,3
I forgot this was a try not to smile and I smiled,0.3378,12
I freakin FAILED😂😂😂,0.0,6
I have a weird cat he wraps his front paws around you arm right below the shoulder and then starts biting you right there and then falls asleep,-0.1779,28
"I have to admit, fizz is way to good for the voice 🤣",0.5719,14
"I keep coming back to watch this again. Can't help it, gotta love Fizz!",0.4997,17
I know this is a not to smile video but I can't help saying awwwwwwwwwwwwwwwww this entire video.,-0.5334,19
I lost,-0.3182,2
"I lost by the selfies! Sooo cutee omgg 
You are so awesome i wanna help cats too you are such an inspiration I subscribed so fast because I love animals and that you are helping them makes me happy and I cry already at your videos! Never stop rescuing them! Love you",0.97,55
I lost in the first second,-0.3182,6
I lost right away,-0.3182,4
I lost the challenge the first few seconds,-0.25,8
I lost the second this vid started😊,-0.3182,8
I love him,0.6369,3
I love him ❤️,0.6369,5
I mean he,0.0,3
I mean kittens,0.0,3
I only smiled wen hi took pictures of himself 😁🐶💋💗💖,0.5423,14
"I remember when my cat Izzy was that small, fluffy and white 😍",0.0,14
I say last selfie good and fizz has no care in the world,0.5994,13
"I see why you called him Fizz
Because he Pops with excitement!",0.5411,13
I see your kitty likes to watch Cole and Marmalade.,0.4215,11
I smiled,0.5423,2
I smiled and laughed I love fizz,0.8934,7
I smiled oops...,0.5423,4
I think I'm dying of cuteness.,0.5106,7
I want this kitten 🐱,0.0772,5
I want to kiss him,0.4767,5
I won ........😑😐😶• - •,0.5719,9
