,sentiment,wordCount
"""I will combine that with this face..."" Lol",0.4215,11
"""Looks like Donald Trump slicing Europe"" 😂😂",0.3612,10
#15 on trending COCO,0.0,4
#MeToo except for when it makes Hollywood money because you're a bunch of hypocrites.,0.0,15
*B E G O N E T H O T S*,0.0,13
0:38 why does he sound like a duck,0.3612,8
"10000000000% agree. I just think about ""art"" bcz this movie no more than an amazing art.",0.6557,21
1:37 damn that must’ve been awkward for that women who laughed out loud when he said underwear,-0.0772,19
1:40 I'd let Jamie take my underwear like that anytime .,0.3612,11
1:47 🤣😂😂,0.0,4
2:16 *why does he look like trump??*,0.4329,11
"2:19 he looks like trump there



it scared me",-0.1027,9
2:22 😂😂😂😂,0.0,4
3:37 / 3:46 Jurassic World,0.0,5
3:37 you hear that? That’s the sound of a trillion horny women.,0.0,16
3:44 He's trying so hard not to roll his eyes lol,0.2344,11
3:46 wtaf,0.0,2
3:59 jamies face soooo cute,0.4588,5
"4:20 length video, clear your heads failing Hollywood. Resorting to weed to try to find solutions to your failing society in California is not working.",-0.5106,28
50 shades of cringe,0.0,4
770 sad cun** 😜,-0.4767,6
"Alessia 
Hi maybe it's just the LUCK
OF THE IRISH!!!🌹🌹",0.6817,15
All I hear is Conan’s laugh,0.5574,8
All I see is Donald trump,0.0,6
Am I the only who liked these movies ? Lmao .,0.7717,11
Anybody else find it weird tht the guy is always sitting in on the interviews? What’s his story?,-0.264,22
"As much as women would desire to have a man like his character: good looking, good money, good sex...he lacked one thing that most women would find it most attractive: making her laugh.

I didn't see his character making her laugh often. She would always be with a neutral expression on her face. At least I can cope by saying that I have something his character does not have: make my girlfriend laugh all the time. 

My question is, can you women be with a man that has all those things: GOOD LOOKING, MONEY, SEX, and NEVER MAKE YOU LAUGH?

Or someone who is GOOD LOOKING, SEX, POOR, and MAKE YOU LAUGH?",0.9908,133
At 3:49 he was like *send help*,0.3612,9
Aye Dakota Johnson. My Name is Christian In real life. Hit me up.,0.0,16
Becky Childers thank you,0.3612,4
"Brandi Sodemann 

Hi yes they are just great a 
Beautiful love story if you don't 
Concentrate on the sex. You have to understand the whole story.. 🌹🌹",0.9423,30
But show a boob on national television and all the housewives are losing their minds!,-0.4389,16
Card beginning violent obviously Christian share deadline through frozen adapt withdraw.,-0.4019,12
"Carlos Lopez I would go with both, because I nmean I am pretty funny well st least I try to be. And if I like the person enough that it should not matter if they are not the riches. I am indentant enough not to relie on that .",0.7814,52
Conan looks like Donald Trump! So annoying,-0.1986,8
Cringey conan,0.0,2
DAKOTA HAS THE BODY OF A 10 YEAR OLD.......   HOPE SHE DIES SOON,0.5622,14
Dakota Johnson telling Jamie Dornan to stop pantsing her during sex scenes would have been so much better than the entire trilogy X____X,0.2449,23
Does Jamie have an Irish accent or is it just me?,0.0,12
Donald Trump slicing gyros. Ha!,0.4003,7
Dont bother watching the movie its just a watered down porno. Go watch the real deal at pornhub,-0.34,19
English sub please :( i can't understand without text😞,-0.1531,10
Even dolphins are smarter than women,0.4588,6
Ew.,0.0,2
Fifty shades of stupid.,-0.5267,5
"For a ""star"", that's one ugly woman. Fifty Shades stop already.  Moviegoers are idiots.",-0.6705,20
For once they have made some romance movies that are not better than twilight.,0.2946,15
"Friendly Fox 

Hi
Just wanted to say he was great in Jadotsvile. He's a good actor. 🌹🌹",0.8807,20
God I love Anastasia I'm in love w her. Wish I had a girl who looked like her wow I be happy lol,0.9776,24
God bless Conan for trying to make Jamie a little more comfortable...,0.5994,13
Good movie,0.4404,2
"Guys relax, it's just a porn movie. I don't judge what you watch.",0.4404,16
HIS FACE AFTER THE CLIP DUFJEKD BRO,0.0,7
Hahaha HILARIOUS,0.7925,2
Hahahahaha 😂😂😂,0.0,4
He is so hot. What an amazing man. Hope to see him in other movies.,0.7717,18
He looked super uncomfortable after the video 😂😂😂😂,0.3182,10
He should have gone full on Paul Spector and murder her lol,-0.4404,12
He sound so fed up when Conan says that he’s married,0.0,13
He was so amazing in the fall,0.7065,7
"He's so classy, I love him.",0.8258,8
He's sooooo handsome,0.4939,3
He’s so cute,0.5095,5
He’s so hot ..,0.0,6
His glance is so blurred after watching the clip,0.0,9
His voice deep,0.0,3
Hollywood's Rahul Gandhi! Hes better though .,0.4926,8
Hot damn 😍😍 he has muscles,-0.4019,7
How can you act this kind of movies to spoil the whole world I think they don't realize that day will come when they will meet there creator while they have already fail there mission to God hell will be the only place for them,-0.7906,45
How did they not laugh while watching that scene?,-0.4449,10
How does he still have a wife?!!,0.0,10
I Love him so so much❤️ #1,0.6369,10
I actually feel bad for him😢,-0.5423,7
I agree with you,0.3612,4
I already miss it. I wish there was part 4 and 5.,0.2732,14
I am disappointed he is so disinterested with it. He his a amazing talent. I think some investment in the products he creates in the future. Would be beneficial.,0.8176,33
I am sincerely amazed Jamie's real life wife hasnt left him.,0.743,12
I cannot like any comment. Youtube keeps opening the popup to write a comment. Enough. I just want to click like.,-0.4442,25
"I can’t see having less sex during marriage, I don’t understand why lol",0.4215,18
I couldn’t stop laughing,0.25,6
I die every time I watch this 😂😂👌,-0.5994,10
I dint know dat he'd married😥,0.0,7
"I do not believe  that he is ashamed of having done these movies, he is just a shy individual and he always seems to feel awkward doing interviews. He was like that in interviews for The Fall too.  Plus, all those women screaming seems to throw him because as he has said numerous times, he doesn't see himself as attractive.",-0.4404,66
"I don’t understand the amount of negative comments, with all the respect all of you deserve I personally think it’s a good movie. It’s not all about sex, it has actually a story line that follows how Christian Grey got abused and still learned how to love Anastasia the way she wanted him to. It’s more than sadomasochistic sex, it also talks about how Christian likes to control women during sexual relationships to feel pleasured but that changes when he meets Anastasia. He didn’t only fall in love with her but show her how much he loves her. 

Now, I don’t think he is ashamed of the movie, I mean... he knows what he signed for. Of course he cannot talk about it freely because there’s a sensitive audience. Also, guys remember he is married...!! Of course it’s not easy for him to talk about it without being hesitant of saying stuff that might cause people to have a different point of view of the movie. 

Anyways, that’s just my opinion and if any of you are going to insult me or criticize me just don’t reply to this. Don’t waste your time hating someone that you won’t even meet.",-0.4182,244
I feel bad for Jamie’s kid finding thee scenes one day,-0.5423,13
I feel so bad for his wife,-0.5849,7
I felt like jamie died alittle inside when they played the clip,0.0772,12
I forgot he is the same guy in Siege of Jadotsvile. He was cool there.,0.3182,17
"I got wet when he said ""Shimmy it down.""",0.0,12
I love these movies,0.6369,4
I think im gonna watch the movie tonight to understand few things...,0.0,13
I wanna see a clip with Conan walking behind his wife with a blindfold 😂😂😂,0.0,17
I wanted to comment but i dont know what to write😜,0.0,12
I wonder what movies he'll star in in a few years,0.0,11
I'd love to see a sequel of jamie's body and conan's face,0.6369,12
"I've lost so much respect for him doing these stupid movies adapted from that 'book', I'm not sure I even find him attractive anymore now",-0.0986,28
Ick,0.0,1
