,sentiment,wordCount
"""Cool tones should avoid copper colors."" WELP, I have cool tone skin and I'm a coppery red ginger naturally.

I'm really wanting to go platinum again but when a stylist did it, it fried my hair something awful. (I never put more than lightener on my hair before yet she still made it spaghetti) When I did it, the toner did nothing and I just had a orangey yellow which oddly enough didn't look awful but I wanted to try richer jeweltone colors instead. Eventually I just gave up and went back to my natural hair color. My hair now is as short as yours and I want to have fun with it but I'm worried I can't because of it being auburny ginger and never bleaching right. D: Help!",0.6538,144
"""Will make you look disgusting"" ""will look absolutely terrible"" ""rules"" ""look better"" absolutely disgusting. People can wear whatever they want & what they thinks them look good. People should make their hair color to whatever they want to make themselves happy & what makes them feel confident & beautiful. People shouldn't EVER decide a hair color just to make them look good to others. You make me sick. Sit the fuck down & go back to 2015.",0.4779,91
"""dont use red if you have a cool skin tone!"" me: dyes hair red",0.3802,18
- Has cool tone skin and dirty blonde hair - Well shit.,-0.4767,13
".... I still don't know what skin tone I am. Neutral possibly? Do those rules apply to ethnic groups as well?

Like, as an asian with olive skin tone and black hair I want to know if midnight blue would look good on me.",0.7998,49
"Always gonna keep my natural color, not feeling that science at all",0.2801,13
As soon as I get a job that will let me dye it. Jewel tones.,0.3612,17
Auburn hair +green eyes+ cool skin tone......ahhh,0.3182,11
Basically im a vampire ..pale ...dark hairm.... im the rainy side skin tone sadly . Ughhhhhhhhhhh fuckn sucks... i dont want to look like michael jackson for the rest of my life,-0.2076,36
Brad I'm a natural redhead full beautiful red hair but it like a change and everyone tells me go leave my hair alone because if I dye it it will never be the same! Help what's your opinion. Also being a redhead my skin tone is white like snow white haha,0.9407,53
Brad Mondo Me I’m getting my hair dyed tommorrow ;))))),0.0,14
Brad Mondo for sure! 😂,0.3802,6
Brad Mondo me,0.0,3
Brad Mondo no,-0.296,3
Brad Mondo sorry what about silver color ?,-0.0772,8
"Brad Mondo yea, me",0.0,5
Brad Mondo yeeees,0.0,3
"Brad Mondo yes mine is metallic blue and even though I really like the color I never thought it looked good on me, I look like ghost compared to the dark color XD",0.9249,34
But one of my eyes is green but the other is dark brown and idk wat this means HELP,0.6186,19
"Butch please. You aren’t neutral gurl, you glow.",0.3182,13
Can i get ur skype name,0.0,6
"Can you please talk about olive toned skin?? Every time I click on one of these videos I hope they will talk about olive toned skin and they never do, or they talk about it as if it just means tan skin. Olive toned skin is like its own subcategory of skin tone. It’s not pinks or yellows it’s green. And there ARE people out there who have olive skin and are pale. Like no one ever talks about it. There’s hardly any pale olive foundation out there and I spent years trying to figure out my skin tone before someone explained olive skin to me. The only problem is I still don’t know what hair color suits pale olive skin!! 😱😩 I’m sure there are other people in the same boat and I’d love for an experienced person such as yourself to explain",0.9143,168
CaribbeanPrincess 420 YES!!!!! I box dyed my virgin hair in9th grade dark brownbno bleach nada! And I got really bad breakage!?!? And it was virgin hair!?!?,-0.7858,38
Conner Olson I think you would. I've always done a true red (not orange or violet based),0.4215,20
Cool tone skin with red hair and blue eyes lol,0.6249,10
Cool toned skinned people with blonde or reddish hair is basically every Irish person xD Lol.,0.836,17
Do you think black and red or white and red or white and blue would look nice with warm skin tone,0.5719,21
Does anyone else think Brad is hot as fuck,-0.5423,9
Does anyone hear the background noise? Someone is sniffley and brushes up against the microphone area lol!,0.4753,19
Dope I have cool skin and pink and blue layers I'm coolin thx,0.5859,13
Euhm i have a cool tone skin but i wasn’t Born with dark hair. I was the same color you have in your hair in this video lighter even.,0.1655,33
For me I have cool toned skin and natural wavy red hair and my eyes change from green to brownish green,0.5859,21
"GREAT insight!! I definitely learnt things I didn't know before! Also love the way you present things, very cool.",0.9451,24
Guys what about silver color i am cool skin tone i am not white but not warm color too should is silver color good for me ?,0.5425,27
Having blue veins but my skin is yellowish and I tan super easily. I really wanted to try a mirkwood green in my hair.. I don't know.. can you help??,0.924,35
Having warm toned skin doesn’t  mean you’ll be dewy. I have warm tones and I’m dry so that’s a misstatement,0.4215,29
"He says to avoid coppers and reds with cool tone skin but I have natural coppery red hair and it looks fantastic on me. Most Celtic and Scandinavian people have cool tone skin and thats where red hair usually comes from, so idk about that statement.",0.8705,49
"Help me, I don’t tan easily but I also don’t burn easily (it takes me a long time to get color) my natural eye color is like hazel. My natural hair color is brown with reddish tones. My veins come off as blueish green. What am I?",0.9371,58
Hey yah babe I’m cool toned and like yeahh I LOOOVE that silver white you have and I may have it on myself yass but yeah don’t know like you know pastel tones are like waiting for me like my husband so yah so much choice ^^,0.9319,52
Honey blonde😂😞,0.0,4
Honey you are a warm done hands down.. I would say a deep autumn you would look much better with the deep autumn color palette girl hope you take this advice,0.7717,32
I LOVE purple hair but I'm just so confused on what tone I an,-0.2548,14
"I also bleached my hair last year and just didnt tone it bc it was a yellowy shade but it was like a golden yellow and especially shimmery gold in sunlight, and that wasnt bad either.",0.792,38
I always get confused because my skin has pink undertones which you’d think would be cool but it’s a warm toned coral pink.,0.3291,28
"I always wondered why I look so pale even if I have a brown skin tone, now I have answer :D",0.6166,22
I am a cool toned person and I have naturally cooper/ginger hair I guess I am disgusting 😂💛,-0.2732,21
"I am all about the cool tone side, I have Rosacea and always wanted to cover it with cool toned hair, make up and clothes 🙈😂",0.5574,29
I am pale as fuck with freckles and dark dark brown hair and brown eyes but I also get olive skin if I actually sit outside! So what do you think for me??? I am in the middle!,-0.5226,43
I am pale blue eyes pink under tone and I have ginger hair,0.0,13
