,sentiment,wordCount
*good*,0.0,3
"0:01 מתעורר רואה צלב
0:57 יש מזוזה בצד
מה?",0.0,10
1:02 when you touch her face and her make up comes off..,0.0,13
1:04   Creepy,0.0,2
1:41 ADAM LEVINE IS SOOOOO HOT. I LOVE HIM. SEXY GUY OMGGGG!,0.8849,15
1:55 Ponyo,0.0,2
2018 kkkk,0.0,2
2:28 redzone started,0.0,3
"2:55 ""waiittt@!?@!?@!.. ""  the voice I made when I try to sing this song",0.0,24
3:24 bruhhh,0.0,2
"=IF(D8<3;""слаб"";IF(AND(D8>=2,5;D8<3,5);""среден"";IF(AND(D8>=3,5;D8<4,5);""добър"";IF(AND(D8>=4,5;D8<5,5);""мн.добър"";IF(D8>=5,5;""отличен"";"" "")))))",0.0,54
??,0.0,2
Adam is A Stud,0.0,4
Alaxandria only one gaze! worth more than grammy! :),0.6954,11
Alexander dadario 😍😍😍😍😍😍,0.0,5
Alexandria Daddario is BAE,0.0,4
Amei a música e o clipe 😍😍💙,0.0,9
At the end it look weird 👍🏻😲😰😦😯😮,-0.1779,13
"Baywatch <3
Alexandra Daddario <3",0.7003,5
Beautiful song *-*,0.5994,5
Better than ever. So cool,0.6697,6
Brasil 🇧🇷 🏆,0.0,4
COOL😎,0.0,2
Cade Os (BR) escutando essa musica Fodaaaaaaaaa..,0.0,10
Chirurgie esthétique en Tunisie meilleur prix http://j.gs/AdKT,0.0,7
Cool music,0.3182,2
"Damn, he is the finest white boy, ever. Love their music, and videos.",0.3612,18
Does who do not know GOT7 Please support and watch their new MV CALLED ‘Look’ share it and like it! Help them reach to 15M!!! 💚🐥,0.8558,34
Drugs were totally involved here,0.0,5
Fod..,0.0,2
"From the sweet sound of “You’re Always On My Mind” to the lover’s cry of “Blind Over You” to  the dance floor jam, “Shakedown, the iconic R & B group, Black Ice, is about smooth soul and funky funk.  Black Ice covers it all. Get your copy at Amazon.com and iTunes.",-0.128,67
Fucking hell I love Maroon 5,-0.1065,6
Good เพราะมาก,0.4404,2
"Gosh Alexandra come on, you can't be this perfect, you can't be human",0.657,15
Guys I’m 15 and a diabetic I want people to know me while I still have time go like and comment on my YouTube video https://youtu.be/-pSjSKA7qF0,0.4215,28
HOLLY CRAP I WOULD KILL TO GO TO A CONCERT!!!!!,-0.858,13
He found Kate!,0.0,4
"Here's a summary:
Adam puts a scorpion on the girl. The girl pours wine on him. She screams spit everywhere. He sees her but then she disappears. Her face turns into mustard and kechtup. Girls come out of no where and fight him. He has a dream he is in a bath tub with her. He falls in a see of hers. He almost drowns in a car filled with water. Bombs come and she flies away, (dun dun dun dun non non non dun dun dun) She packs her bags and leaves in the car. The string attached to her car makes everything go away.",-0.9054,121
Hey guys we are 15 millions of marooners so we need to go and vote for Maroon 5 in the kids choice awards!!!,0.5962,26
How he gonna punch him didnt he put life back to her by letting the scorpion sting her,0.0,18
How tf is this gay,0.0,5
I CANT STOP WATCHING THIS,-0.296,5
I LOVE IT 😍😍,0.7125,5
