,sentiment,wordCount
"""Is that feedback?""",0.0,6
01:25 oh my goddd i freaking died hahahahahaha😂😂😂😂😂😂😂😂😂,-0.7506,11
0:54 can you tell me the name of that song,0.0,10
0:54 i need a long version <3,0.4404,7
0:54 what the song????,0.0,7
0:55 - 1:07,0.0,3
0:55 the best,0.6369,3
1:01 dj khaled?,0.0,4
1:03 Anna 😍,0.0,3
1:03 eargasm,0.0,2
1:08 is the shit ..had me lit af this part 🔥,0.6124,12
1:10,0.0,1
1:13 what's the name of the song,0.0,7
"1:20 
Warning:

Headphones users",-0.34,5
1:24,0.0,1
1:28 isn’t that Dj Khaled ?,0.0,8
1:45 Le meilleur moment!!!,0.0,7
"1:46 Avicii-Wake me up
like pls",0.4215,6
1:48 #blownaway completely,0.0,3
2:02 Beca laughed 😂,0.4588,4
@ 1:50 what is his name ?,0.0,7
"AH MEU DEUS, RUBY ROSE RAINHA AAAAA",0.0,8
Amy looks pretty,0.4939,3
Anna Camp gives the middle finger at 1:04 😂😂😂,0.0,11
Anna Camp looks alot better in this movie but it may just be the fact that the movie is in better quality,0.7003,22
Anyone can tell what song this is please? 0:59,0.3182,10
"Anyone know the real name of the boy who sing ""Wake me up""?Thanks :)",0.4588,18
Ashley finally sang at least two words,0.0,7
Auto tune.,0.0,3
BEST MOVIE OMG❤😍😍,0.6369,6
Band can't shred for shit. Therefore they're shit and posers,0.7048,11
Becca the best part of the riff off,0.6369,8
"Bellas I am sorry but I like the DSM better than you sorry I 

Like flula borg  way better than you",0.9274,21
"Bruna S. Thanks 😊 big help, been looking for it",0.6808,12
"C'est trop cool , j'adore cette chansons😄😄😄😏😃😄",0.3182,13
Cade a steice?,0.0,4
Can anyone tell the song that played when they arrived on France 🇫🇷 😘,0.34,15
Can someone label me all the songs they sang?,0.0,10
Can someone pls tell me what songs r in here?,0.0772,11
"Can you post sit still ,look pretty? Please?",0.7059,11
Canciones de Apocalipsis zombie.,0.0,5
"Can’t get over their version of ignition...wish it was longer 😩,it was 🔥",0.0,19
Chloe😍,0.0,2
Comment if you want to watch it right now hd,0.0772,10
Crusin down the street in my 6 4 OH MAII NWA VIBES,0.0,12
Cynthia Rose 😘❤️ love you gal!,0.6696,9
DJ Khaled is in pitch perfect 3,0.5719,7
DJ Khaled was here,0.0,4
DJ Khalid asking if that's freeback at 1:28 is sooooooo funny!!,0.5399,13
"Don't know about you guys and your rants, but I loved this film. Definitely loved the storyline, and the scenes were executed well.",0.9535,27
El momento de Amy es buenísimo!! Y la cara de la presentadora mientras grita jajajaja,0.0,17
Enchanted Dirt wake me up,0.0516,5
Ester Dean looks soooo pretty with long braided hair.,0.4939,10
Every movie please bells i need the RIFF OFF becuase i love riff off,0.7579,14
FAT AMY IS GOOD.,0.4404,5
Fat Amy is awesome,0.6249,4
"Fat Amy, ""Hell yeah"" I cried xD",-0.296,10
Fat Amy😂,0.0,3
Folk forty act point mix classical seemingly boyfriend news bread format constitute split.,0.0,14
"For those who saying this one is the best series, either they have a horrible taste in movies or did not watch the first one.",0.1779,27
Good,0.4404,1
Great one 💙,0.6249,3
