,sentiment,wordCount
"""Top five girls birthday party cupcake ideas"" You know I bet some boys would love these cakes for their birthdays.",0.8271,23
#43 on trending,0.0,3
10 years from now you won't get away with this misogynistic bullshit you fucking pig.,-0.5859,16
1000 like,0.3612,2
2:28,0.0,1
4:3 sec it was looking so yumm i want it 😗🤤,0.1477,12
5 chocolate lover cupcake ideas,0.5859,5
A compilation of vegan cupcakes would be awesome!,0.6588,9
Add some boogers.,0.0,4
"After watching a ton of your videos, I got enough confidence to try to make your macarons. They did not come out perfect :( they blogged into eachother and were inconsistent shapes. What did I do wrong?",-0.6906,41
Amazing cupcakes theyre so amazing but the musics trash sorry,0.5971,10
"Amazing video, it’s for your channel live dolphin show, enjoy https://youtu.be/qaFLy8rdDCU",0.7906,15
"Amo ,amo tus videos , saludos desde MEXICO 🇲🇽👍🏼🤤",0.0,14
And the music? Not my kind of music but totally fits the cupcake theme haha,0.6124,16
Awesome,0.6249,1
Awesome! :0) hope he has a great birthday! :0),0.9133,15
Awseome👌👌,0.0,3
Bay bay,0.0,2
Beautiful  video,0.5994,2
Beautiful♥️♥️♥️♥️😍😍😍,0.0,12
Boys Birthday Party Ideas?,0.4019,5
Bruh why all of them have pink some girls like blue!!!!!!>:(,0.5673,15
"BubblePop Electric and Freakfetti are my favorites but I like Freakfettie a bit more...also 8:32 is kinda satisfying because the song goes ""UH HUH!"" While the macaron is baking 😁",0.8403,36
Bubblepop electric city is good,0.4404,5
Can anybody say who is nick,0.0,6
Can someone please tell me the music on this?,0.3182,10
Can you  please open an online baking store !!!???(Make sure it ships to  America),0.7198,22
Can you add how much of things?,0.0,8
Can you please tell us the exact measurements?? Also time,0.3939,12
Cool,0.3182,1
"Cool cupcakes, worst music I've ever heard.",-0.4215,9
Cool same as so yummy nick you should check it out so yummy,0.9008,13
"Cool video, very good! But the music is so annoying choose an other one next time.🤔  I'm hungry now...😂",0.3168,25
Cos obviously only girls exist in this world. Lol,0.4215,10
Could you please do a video of some of your favorite baking tools you use. I love your videos ♡♡♡♡,0.8591,23
"Dear lord, read the description lol",0.6597,7
Delicious and beautiful cakes you do,0.8225,6
Delisius,0.0,1
Do u seriously think that all girls would love pink and glitter?! That is so stereotypical of u....shame on u!!!!!!,0.6876,27
Doing this for my birthday and playing the same songs,0.2023,10
"Don't get me wrong the cakes are AMAZING and I love all of Nick's work, I just hate thing that are 'for girls'",0.8218,26
