,sentiment,wordCount
"""Basement""
Everyone:UGHHHH!
Guy: *smiles evilly*
I should do that",0.0,17
"""Basement"" ☻",0.0,4
*THIS ELEVATOR MUSIC IS LIT!*,0.0,8
",fool",-0.4404,2
1 week,0.0,2
1st the elevator breaking down omg nightmare and then all those ppl on there freaking out... I can't,-0.4215,19
"Actually it's called a ""Lift""...",0.0,8
Adam Craggs People in different places of the world call lifts or elevators different things,0.0,15
At that fart elevator I farted too lol,0.4215,8
BASEMENT :>,0.4767,3
Basement c:,0.0,3
Best episode ever,0.6369,3
Can u do every musically ever please,0.3182,7
Can you do Every Stereotype Ever,-0.3182,6
Can you tell Anthony and ian to give me advise on editing YouTube video s,0.0,15
Did anyone else see that gas chamber at the end?,0.0,11
Do every airplane ever,0.0,4
Do every anime ever,0.0,4
Do every kis ever,0.0,4
EVERY ESCALATOR EVER!!!!,0.0,6
EWWW WHO FARTED??!!,0.0,7
"Every ""shut up!"" Ever.",0.0,8
Every (every blank ever) ever,0.0,7
Every Asians ever,0.0,3
Every Blank ever idea:Every Smosh Blank Ever!,0.0,10
Every Cheater Ever,-0.5423,3
Every Family Ever,0.0,3
Every Hotel ever,0.0,3
Every Hotel ever!!!,0.0,6
Every KFC ever,0.0,3
Every Wedding Ever,0.0,3
Every Wendding ever,0.0,3
Every YOUTUBER ever,0.0,3
Every YouTube ever,0.0,3
Every YouTuber ever,0.0,3
Every [Lunch] ever,0.0,5
"Every baby ever
Every school night ever
Every weekend ever
Every college ever
Every university ever

These are my idea please use it Smosh",0.3182,24
Every elevator ever: *Elevator music*,0.0,8
Every elevator? Must be low on ideas...,-0.2732,9
Every every video ever,0.0,4
Every friend ever,0.4939,3
Every friend zone ever,0.4939,4
Every gas station ever,0.0,4
Every guitar lesson ever,0.0,4
Every hospital ever,0.0,3
Every middle School ever,0.0,4
Every out of ideas video ever,0.0,6
Every phone ever,0.0,3
Every poop ever,0.0,3
Every restaurant ever,0.0,3
Every school concert ever,0.0,4
"Every sock ever
Every nerd ever
Every moustache evee
Every rollercoaster ever",-0.296,12
Every subway ever,0.0,3
Every survivals ever,0.0,3
Every time traveler ever,0.0,4
Every train ever,0.0,3
Every translator ever,0.0,3
Farting on an elevator is wrong on so many levels.,-0.4767,11
Food battle and gas watt 🌝🌝🌝 🌚🌚🌚,-0.3818,11
Get back with Anthony and do food battles,-0.3818,8
Give me food battle!!!!!!!,0.0,7
Give me foodbattle,0.0,3
Give me foodbattle!!!!!,0.0,6
Greedy,-0.3182,1
Hello,0.0,1
Hi,0.0,1
How about every prank ever,0.0,5
How does this channel have 22 million subs,0.0,8
