,sentiment,wordCount
"''''Buckeye cum tastes so good.......me and Jimmy '''ole 10-3/soon to be ole 8-5''''Harbitch have swallowed 3 servings!!!''''

....-Hakeem ''''the wet dream''' after MU was ass raped by OSU yet again",-0.8743,58
"'''maybe Michigan can win if we join the Mid American conference, those teams aren't usually ranked''''

..........-Jim ''''ole 8-5''' Harbitch",0.7184,35
"+Big Chimp So what bandwagon have you jumped on? Alabama, Clemson, or Oklahoma? Bitch.",-0.6322,20
"+Big Cuntflap I figured you were a bandwagon Alabama bitch. Still butthurt over how 2014 went little girl? Why are you on a video that has nothing to do with your redneck team, fag?",-0.8053,39
+David Jackson You can bet we'll open next season ranked in the top 5. We're loaded at the QB and RB spot and our defense will only get better. Hope Ward and Hubbard don't jump early.,0.7964,40
"+Dingle Berry Woulda, coulda, shoulda. Shut the fuck up. You still had a 1st down but your shit-ass QB threw 3 straight incomplete passes and a poorly overthrown ball that got picked off. Why don't you blame Taylor for having the worst game of the season? You were only undefeated because you had a weak schedule. You didn't face Ohio State or Penn State in the regular season and your non-conference schedule was beyond weak.",-0.9135,84
"+Jason Weaver  Did they get blown out by Iowa last year?  The BIG 10 is horrible this year..even the ranked teams like PSU, MSU and Wisconsin beat absolutely no one out of conference.  All of Ohio State's big wins were against overrated BIG 10 opponents.  Half of the teams in the BIG10 would have trouble beating Ball State",-0.6697,66
"+Josh Drews Actually, they do. Schools are very much responsible for the teams they schedule. You think the NCAA set up a home-and-home series with Virginia Tech, Oklahoma, and Oregon for us? Pretty sure we agreed to face TCU next season too.",0.8473,50
"+Josh Drews Yeah you got to face them in your own stadium. Big difference. If the only game you can brag about is Iowa, that supports my argument.",0.296,33
+Kobe blew lol,0.4215,4
+RustyLH Could be a shootout. USC has a potent offense but not a good defense. Our defense will just have to step up. I have confidence in them. They've shut down 2 of the best RBs in college football this season (Barkley and Taylor).,0.7601,52
"+jazzalex22 Shut it, bitch. I bet you didn't whine about the refs when they robbed *ichigan of a touchdown against you.",-0.3999,27
"+metromartian 6 Fumagali only looks good because you don't have a good WR corp. When a TE is your leading receiver, your WRs must not be that good. The simple fact is that Ohio State is the best team you faced all season and you fell short. You were lucky not to have faced Ohio State and Penn State during the regular season. Who cares about your supposedly missed pass interference? You were already flagged for holding on that play so even if you got that call, it wouldn't have gained you anything. They just would have replayed the down. After the holding call, Hornibrook threw 3 straight incomplete passes. That's not the ref's fault. The refs also didn't cause Hornibrook to make a poorly overthrown ball that got picked off with a minute left. Good luck against Miami. You'll need it.",0.9771,158
"+metromartian 6 That's an excuse. You said he played well. Those stats I provided show that he had very little to do with any of those wins. Keep making weak excuses. Taylor is not going to win the Heisman. In the current voting, he is 5th behind Baker Mayfield, Bryce Love, Lamar Jackson, and Rashaad Penny. I could say Dobbins would be in the Heisman race if we didn't have another outstanding RB in Weber splitting the carries with him.",0.5435,92
"+metromartian 6 We'll just see what happens. Just be glad we have Weber on our team too. Otherwise, Taylor would be competing against Dobbins for the Heisman.",0.4588,32
"+metromartian 6 Where in your comment did you say ""in a year or so""? You said he was about to win the Heisman. That's it. Dobbins is only a freshman too and he looked more impressive in this game.",0.8122,46
"+metromartian Like his 1 catch against *ichigan? Oh, and 5 catches for 41 yards against Minnesota is really not that impressive. You know what is? Dobbins running for 174 yards against your #1 ranked rush defense. Fumagali is nowhere near the best TE in the NCAA. That belongs to Mark Andrews of Oklahoma. There are 7 TEs with better numbers than Fumagali. Don't you find it sad that Barrett with a bum knee had more rushing yards than Taylor?",-0.6216,91
"14-0 Down The Bammie Shitter With One Second Left 

This guys a Michigan fan 😂😂😂 lmfao, on another video he wouldn't tell me who he likes because he was embarrassed and then said he like Alabama

How absolutely pathetic AGAHAHAHAHAHAHAHA",0.5584,43
"14-0 Down The Bammie Shitter With One Second Left Bitch where the fuck do you live at I will find you, and fuck you up you fucking pussy ass motherfucker.",-0.9659,32
"14-0 Down The Bammie Shitter With One Second Left You are so fucking gay! Say hi to Shea, and goodbye to the B1G Championship Bumeye!",0.5399,28
18-21 of their points came off of turnovers.,0.0,9
1:38 glorious opportunity to truck the motherfucker.,0.34,8
