,sentiment,wordCount
"""OVER 2 BILLION..... BUGS"" still play the fuck out of it tho",-0.2732,15
"""random""",0.0,3
#kreygasm,0.0,1
*cough* optimization *cough*,0.3818,7
*haha fortnite's better xd*,0.4404,6
0:35 hey that’s me,0.0,6
0:56 TraViss Pastrami is back again!!!,0.0,9
1:00 bad guys' aim,-0.5423,5
1:04 CAMPER VANS Pogchamp,0.0,4
2 billion hours played it already felt an eternity when I played it (which is a good thing),0.7717,20
"20 million player and only 620k views on the trailer
---___--- dis game is a lie",0.0,22
"228,000 years of PUBG im shooketh",0.0,6
"475 hours, no bans, one obvious cheater/hacker every two or three games (but at least one per game statistically) although normally it's difficult to tell, because there is so little consistency between what you see on your screen and what other people see on theirs which leads to a lot of false negatives and false positives.",-0.0772,64
"60fps>30fps, stick to pc around games like these",0.3612,11
Amazing the cameraman survived all that.,0.7964,7
"Anyone who has played the test server knows that the 1.0 launch will be optimized.
1060 3 gb with only i5 2500k 3.0 ghz on medium gives me stable 80+ fps ingame on test server.
Soon im getting my i5 8600k and i will easly top 100 fps on medium, maybe 80+ fps on high.

You all should be patient - new map, guns etc are awesome and really gives this game a new feeling all over again.",0.9186,86
Are you ready for BUGB?,0.3612,6
Armadillo it runs perfect on my 500 pc,0.5719,8
"Awesome, but the game is still unplayable. 40fps of very low graphics on an incredibly good computer. Unacceptable.",-0.1644,22
Ban China Hackers !,-0.5983,4
"Battleground freeze in the black screen with the logo before the start of a game, the only way to use the PC after the bug is to restart it. I pay 30 euro for this fucking game and i can't play when I want.",-0.6319,47
Bcos you need Alienware to run this.,0.0,8
Best trailer :*,0.8271,4
Bring to PS4,0.0,3
CHINA NO.1,0.0,4
"Can someone answer me where the hype for this game comes from? I actually wanted to try it but said 'hell no' after i've seen the 40% negative reviews on steam.....It is obviously oberhyped......30$ or € for an early acces title with very mixed reviews?
And from what i have seen there is only one game mode, or at least everybody is playing this mode.....Am i the only one who thinks this might be just another 'DayZ'?And the reviews from PUBG are even worse than DayZ WTF????59% positive for PUBG while DayZ which is a crap piece shit of a game ( i know it, i wasted over 150 hours) has 63% positive reviews.
The popularity of this game make no sense.",-0.9666,149
Can you play on PS4?,0.34,6
Can't wait for this on the the Xbox one... yes I'm a filthy causal,0.4019,15
Can't wait to see Shroud destroy kids,-0.5423,7
"Car chases obv fake, they didn't flip and crash and explode",-0.2124,12
Chana namba  wan,0.0,3
Chinan number one,0.0772,3
Cry fortnite players,-0.4767,3
Dammmmmn! This trailer is SICK,-0.6514,6
Dang they make it look like a real movie . Bravo to blue hole,0.3612,14
Dat waz dp,0.0,3
Did Junkie XL score this?,0.0,6
Do not get this game literally plays like a phone game except with 100 people graphics trash you page every 2 second not worth 30 maybe 15,0.428,27
Do same map just with a lot more sand?,0.0,10
Early access.,0.0,3
Esports ready,0.3612,2
Everybody plays fortnite,0.25,3
FOOOOORRTNNIIITTEEEE!!!!,0.0,4
"FORTNITE=360p
PUGB=1080p",0.0,6
Fakiriz AMK Nasıl Alak Ama PC Kaldırmaz San andreası zor kaldırıyo,0.0,11
Fortnights better,0.4404,2
Fortnite copied this game idea so badly. But their isn't anything that the creators can do about it,-0.6113,19
Fortnite is better,0.4404,3
"Fortnite is by far the superior game as in fortnite you can become a Bush well in pubg you can only drive cars,trucks and have realistic gameplay it’s to nice.....",0.6808,35
"Fortnite is played more than this...















I just said this to piss of the retards that think fortnite copied pubg even though pubg is almost identical to h1z1 just a bit better",0.3818,33
Fortnite’s better,0.4404,4
From the trailer it looks like a good action game while everyone is just camping in bushes xD,0.8481,18
Guess I'm stuck with fortnite theb,-0.25,6
"Hello PlayerUnknown, hope you may read this comment.

The new map needs lightning adjustements. 
Previous you had the old map with a new completely changed lightning on the test servers. That was such a great improvement. All the textures looked amazing. Real and detailed.

This new one (Miramar) looks like GTA coloring. Adjust the lightning untill the textures have more volume and colors are more serious. Also, the green of the vegetation looks like the green from the KOTK shitty map. Not the talk about the similarity of the both games lobby area. The sky is too shinny and the effect of bloom is too hard. 

Like for example, when two different textures meet is like theres no edge - no difference between materiales. All look flat and no contrast at all.

Hope you'll do with this new map what you had with the first map last time you had it on test.

My regards,",0.9393,175
"Hmmmh.. And H1Z1 is a ripoff of Arma mods, and Arma Battle Royale mods were created by none other than PlayerUnknown, so.. 
There are no original games anymore, new ideas were exhausted years ago. It's just about doing it bigger and better.",-0.0258,49
Holy shit i just downloaded this from the app store & I’m addicted!Coincidence..? Woah there’s more of them?!  Didn’t realize it was a computer & xbox game.. umm i need to watch that awards show & buy a bunch of games now,-0.3703,55
How about you show the other side of the computer screen.,0.0,12
I can't wait for it on Xbox!,0.0,8
I don’t understand the hype for this. It’s just one new map :p,0.25,18
I expected salty youtube commenters when I hopped into the comment section. I was happily suprised. LET'S HYPE!,0.5983,21
I just busted the biggest nut you can ever imagine,0.0,10
I need this faking game to mi android !!!,-0.5684,11
"I think that the only retarded one in here is you 😂 
'Fortnite is played more than disss!!' - Luke Mallinson, A fortnite user who is so poor that can't even pay 30$ to play PUBG",-0.6345,42
I thought i was watching a Fast and Furious Trailer...Perfection...,-0.5719,13
I want this so badly,-0.4754,5
"I want to show the barret, rpg 7-v2 and p90 mine AT with that the game would be more death",-0.5984,23
I'd love to see a live action movie based on PUBG. I know some have been made in the style of Battle Royale but not the best.. Then again Hollywood isn't known to make anything good when it comes to live action adaptations..,0.6858,46
I'll just play on Fortnite. Becuase I don't have a PC or XBOX. Yay.,0.7003,17
I'm not cause pc is getting better shit than ps4 like Xbox and pc got subnatica and pubg now wtf,-0.4588,20
If only I knew how to aim,0.0,7
"If this was on xbox, it would be able to see all of that in like 20-30fps",0.3612,19
Im seriously wondering how this H1Z1 ripoff got so popular,0.4435,10
Imagine if they added this to PS4.,0.0,8
"ImmenseFox Yeah, I hadn't played for a couple weeks since i had a massive rage quit because the game kept crashing every single game. Then I decided to play again and it hasn't crashed once, buildings load up much quicker, however the fps still dips a bit.",-0.2584,52
"ImmenseFox actually the Xbox version is getting loads of patches, and is doing much better now than at launch.",0.4404,21
In reality it's getting killed from Behind then being called a Nibba all because you're frames droped to 5 fps,-0.6705,20
"In the last scene, where they announced dates, they copied The Peace pegion's editing style.",0.5423,18
"Interested in a chance to win a $300 VISA gift card?

Take this survey for a chance to win!

To qualify:

You must be at least 25 years of age

You must currently be in a relationship that has lasted at least 18 months

Neither you nor your partner is pregnant

Neither you nor your partner has a child under one year of age

 

To take the survey, follow this link:

https://www.surveymonkey.com/r/QRH6BL5",0.9476,78
Is it just me or does this look like fortnite,0.3612,10
Is this shit gonna come to console I’m tired of fortnite bruv,-0.7579,14
It doesn't even run this good on a $5000 PC.,0.5228,12
It's too big and just dull. What a disappointing map,-0.7096,11
Its a finished game.,0.0,5
Its called Playerunknowns Battlegrounds.,-0.1531,5
Its the other way around..,0.0,6
Kiedy na PS4 ???,0.0,6
