,sentiment,wordCount
"""He got got "" .... wow not only are the players uneducated, so is the announcer 😂😂",0.5859,20
*Ya gone get got!*,0.0,7
"- JohnsonFortniteXDXD-
Has been downed",0.0,6
0:04 OOF,0.0,2
0:20 THAT AIN'T FROM THE SAME NIGHT,0.0,7
0:24 are we not going to talk about how they let this man walk?,0.0,15
1111,0.0,1
A cross?  Harden pushed off.  My god you people are blind...,0.2732,14
"A push off is an offensive foul. I seen that bullshit. James Harden pushed off and got the audacity to stare down a ball player who actually plays defense. We know why Harden doesn't play defense😂😂😂

Harden: I'm about to padlock the shit outta this boi???

Opponett:👇😆👋🏾😢 https://youtu.be/sMsVLlfSV0k#babydeerlegs Harden said FUCK dis shit #goofysumbitch #aintnoicebihh #fuckwrongwitchalegs play that shit on Sports Center.",0.2347,79
AI'ish 👌🔥 #Legendary,0.0,4
Ai on Jordan and ty lue was better than that shit. Plus ESPN using 4 year old Jordan and 2 day old Stewart videos. Fake news just do what you do best and cover what Lebron had for breakfast,0.4588,41
"All he did was fucking trip on his own shoe, nothing fucking special.",-0.3559,15
All he did was use his left arm,0.0,8
Both DeAndre and Jonathan Stewart’s reactions aren’t actually from this why are you being like this ESPN,0.3612,21
"Bradley Le Bradley, what is your Vietnamese name?",0.0,10
But no one noticed how Harden walked to get the shot off. He literally hopped back twice to get back behind the 3point line. Not to mention he pushed off with the forearm and shoulder. Watch closely.,-0.296,41
"Check out The harden crossing over Wesley johnson gear

https://www.redbubble.com/people/fablofreshcobar/works/30643233-harden-crossover-on-johnson-court-edition?asc=u",0.0,10
Clear push off Lmaoo weakest shit I’ve ever seen fuck Harden,-0.8316,13
"Clearly a push off but hey, guess it's a part of the game now",0.2144,15
Count the steps. He took five steps.,0.0,9
CrossOver~~》GoT'eeeeeem!!! But damn all that......Did I just see *Joe JOHNSON* on the Rockets Tho😮😲?!?!?!?,-0.703,34
Crossover was nothing special on player who went down too easily..,-0.3089,12
DAYYYYYYYYYYYYUM,0.0,1
"DJ does not even have the same jersey, no swoosh on it !",-0.3595,14
"DOUBLE DRIBBLE. that's a turnover, basket no good",0.1779,10
"Damn ESPN looking weak asf nowadays with all that fake editing, putting people in from 50 different games.",-0.8271,20
Damn ESPN you fake as hell lmao,-0.7579,7
Damn just damn,-0.6597,3
Damn push off much? https://youtu.be/gaDp4QmlRT8,-0.4019,6
Definitely  cross over but don't think he would have fallen without him pushing off,-0.34,14
Deondre Jordan made the reaction after he dunked over Brandon knight years ago not after harden broke Wesley johnsons ankles.,0.3252,21
Did no one see how harden pushed off with his elbow?,-0.296,12
ESPN = CNN,0.0,3
ESPN fake news,-0.4767,3
ESPN is so terrible.,-0.6113,5
ESPN is the CNN of sports.,0.0,7
Emperor's Eye Anke Break!,0.0,5
Every MVP has his go to highlight of the season this was Hardens,0.34,13
Everyone making a big deal. He pushed him With fore arm to the ground . Ref should have blown the whistle on Harden.,0.0,25
Expose him,-0.1531,2
Fake & gay,-0.4767,3
Fake ass De’Andre Jordan reaction. Stop it Espn,-0.8316,11
Fool fell just like when you press the circle button 2 times on 2k,-0.1027,14
