,sentiment,wordCount
"*makes a whole concept about birds*

*arises as a bug*",0.0,14
007 007  not what u want lol,-0.3724,7
11k thumbs up for this swill? Geez.,0.0,9
3:33 - 3:51 I'm gonna cry! Dx <3,-0.6696,9
:D,0.5106,1
<3,0.4404,1
AGONY,-0.4215,1
ARCA BBB 👽💞,0.0,4
"Adam C Good, go waste your life on on boring things 💀",-0.296,13
Ah! Hello Arca!,0.0,5
Alien bug 69,0.0,3
Anyone else catch the Aurora/Vespertine vibes around 2:25 ?,0.0,11
Arca OMG 💖🙊,0.0,4
Arca is cute in the video.,0.4588,7
"Arca is giving me Xerxes from 300 royalty here, and I am living for it!",0.4003,17
Arca's presence in the video is jarring and this song is too long but also it sounds like the feeling of pure joy in spring and it's iconic so I'm conflicted lol,0.936,32
Arca's wearing the same thing from his desafio video!,0.0,10
Arca?,0.0,2
Arisen my wig,0.0,3
"As much as the video is nice - the song is very, very cool ☺",0.688,16
BJORK IS ONE THE FEW ARTIST LEFT WHO DO INTERESTING AND REALLY ARTISTIC MUSIC VIDEOS,0.4019,15
BJÖRK'S FORCIBLY REMOVED FROM THE SLUG THING,0.0,7
Bjork!!! Your Art is Provocative!! This piece is brilliant.,0.7156,15
"Bjork, I used to love you so much.  Why don't you make real, crafted music anymore?  You know structured music??  It always sounds like you just go to the studio and wing it. Very disappointing,  haven't bought an album in over 10 years.",0.5785,52
"Bjork, es un gusto volver a verte, después de hace como 10 años :D",0.6166,16
"Bjork, she is a Devilman!!!",0.0,9
"Bjork... your performance in this weeks challenge had us saying I miss you, but your runway look had us saying it’s oh so quiet. You’re safe. You may leave the runway and join the others in the absolute vodka untucked lounge.",0.7647,50
"Björk and Arca were so beautiful in this video, their work on Utopia is stellar",0.7177,16
Björk is capable of asexual reproduction..,0.3818,7
Björk is pure art. She's a living masterpiece ♥️,0.6249,11
Björk is undoubtably at the very top of her profession.  She’s a Paul McCartney - and there’s only one Paul.  Know what I mean?  I am so glad I have rediscovered her.  I have such deep admiration for Björk.,0.8576,48
"Björk, you're so weird, and I love you for that.",0.4977,13
Bloodmoondream...WOAH! THAT WOULD BE COOL! 😀...now I have SUGERCUBES songs stuck in my head. 😃,0.3853,22
Brasil cadê você??,0.0,5
Britney Beautiful *you're. oh and we know that babe,0.5994,11
"ChannelImpermanence Yes, she become too pretentious. I like Vullnicra, though.",0.6369,14
Cronenberg meets Cunningham.,0.0,4
"Devon the Songwriter I feel like we are hearing very different things. Biophilia was very different from Volta, Vulnicura was very different from Biophilia, and Utopia was very different from Vulnicura. Each album was so different I fail to understand why people think they sound so similar.",-0.3134,52
"Devon the Songwriter completely agree, last album she 'wowed' me was Medulla, now she's followed herself up her own arse and JT Merry, Jesse Kanda, Arca have followed her up there to see the emperors new clothes. It makes me wonder was she just very lucky with producers (of the past) and now she pisses about because she's 'beyond' pop music. She's become a CLICHÉ of herself and its sad. 😥😥😥 (Triumph of a heart was my last fave song of hers...unfortunately... .)",0.8562,102
Diferente...,0.0,2
"Disgusting. Bjork, What are you doing?",-0.5267,9
Drop dead gorgeous! 👽❤😨,-0.4003,7
Enquanto estamos em 2018 Bjork já está em 9999,0.0,9
Eu gosto de cada musica e video desse album dela e simplesmente maravilhoso!😍,0.0,15
Everytime bjork seems less human. Now as a insect and  alien. What's the sense of this. It's hard to undestand all the symbols that she use.,-0.1027,30
Fhtagn,0.0,1
FreeStyle Life LUCIAN ERZENGEL yep,0.4404,5
Gorgeous in every way,0.6124,4
"Great video, great production on the song, plodding boring melody",0.7845,12
HUNTER X HUNTER realness. Amirite??,0.0,8
Hare Krishna! what a vibration Haribol!,0.0,8
How did I miss this ???? Omg!!!!!!!,-0.5759,12
I NEED A MV FOR LOSSS AND SUE ME,0.0,9
I bought it twice,0.0,4
I don't like bjork anymore,-0.2755,5
I dont respect the new work of Bjork. I liked only the early singles. She gives me nothing but a loss.,0.3749,24
I don’t need drugs. I HAVE BJORK,0.0,10
"I dunno, I think Bjork is somewhat of a Zen master. You may not get an album immediately and then like months later you suddenly 'get it'. It happened with me.",0.3612,37
"I enjoy the experiences only she can create, but is she smoking loads of DMT on the reg or what?",0.3919,22
"I hear old songs on this album. Saint is gorgeous, tho I feel that something of bjork is missing.. Maybe from her heartbreak.",0.0772,27
I like the scent.  This is a beautiful video. And a little daring. Would love to see this song crossed over to Birthday or Motorcrash instead of dropped into the harp.,0.9108,35
I like this song,0.3612,4
"I listened to the album and it was boringly all the same ,I loved the production but her singing really didn't bring anything new to the table. The videos are not helping me like it either. Sorry girl but maybe you should grow up a little and stop hiding.",-0.7772,53
I love Arca,0.6369,3
I love Bjork.  This was has freaked me out a bit.,0.4588,13
"I love how Bjork is her usual whimsical self, but Arca is himself too, he has his own style going on. I love this song!!",0.8788,30
"I love this song so much, but I wish the background sounded more intense.",0.8144,16
"I miss the rock. The type of music that gets my blood pumping. How about another, yet more extensive Sugarcubes reunion. Like a new album, tour & live dvd...",0.2263,35
I really felt this beautiful,0.7144,5
I still think she is beautiful. I just wish she made some Trance Tracks. 🎶,0.765,17
"I'm a little turned on, a little terrified.",-0.5729,10
I'm resonating to this frequency it's so ahead of it's time kids in fucking 3017 gone be vibing I love the immortality of your music,0.6369,25
I'm scared,-0.4404,2
"I'm sorry, can someone explain the meaning of this mv for me? I'm new here <3 Thanks in advance.",0.6705,22
I've never seen that much sexuality without any sexuality. What a video.,0.0,14
ILLUSIANA,0.0,1
"If I had three wishes, one of them would be: Björk & Maynard James Keenan doing a track (or entire soundtrack) together for a ""Fifth Element"" sequel. 
-Draco.",0.1531,37
Imagine if every album of bjork’s were actually worlds and paradises for her different moods.,0.0,18
In love...,0.0,3
Is she talking about the kiss of death?! Mbe,0.4753,11
Is that an Arca cameo?,0.0,6
Is this alien porn? lol,0.4215,6
Isn’t that Arca?,0.0,6
I’m scared help,-0.0516,5
"John Wharton She so Narcisstic, I feel bad for her children",-0.5809,12
Khoa Nguyễn u got to do your hw to understand,0.0,10
"Large mass of convulsing tissue - check
Half naked sea weed bikini man - check
Bjork's wonderful melodic voice - check

Everything seems in working order here.",0.5719,28
"Love Bjork and her music, but this video... =/",-0.128,11
Love this song but I.would've prefered arca dressed as a bug as well,0.6428,15
Luigi Lorusso hahahshhsha. This has me laughing so good :'D,0.787,11
Luis Santiago Jr lmao so are you,0.5994,7
Marvelous. Life-affirming. <3,0.7783,5
Masterpiece  of VIDEO CLIP ! The collaboration of Arca in the video makes it even more fabulous!,0.8547,18
Me alegra mucho vivir en esta época y coincidir con la musica de Björk,0.0,14
MediaSubliminal her album sold 6 copies so no much,-0.4341,9
Miles Tang idk...it's breathtaking and has it's moments. always a pleasure to get a music video for any song though,0.7717,23
Mizake The Mizan lmao good,0.7783,5
My Bjork,0.0,2
My favourite song on the album 💖I love Utopia such a beautiful album 💖,0.8442,15
My second favorite song from Utopia <3,0.7096,7
Nader Abed There's more differences between Post/Debut songs within the album then these albums,0.0,16
"Nader Abed Ugh, it's like been brainwashed",-0.0772,8
"Needs Zach Hill, otherwise another great track by the Bjork",0.6249,11
"Nooo. Horrible. Really. Why, if Bjök does something, it must be art. If someone else had done this terrible kitsch  video everyone had sad: painful.  The gay diva arca with leather gay clothes and she likes an insect... no.. no.. and then this vulva oder vagina on the face, everywhere, always.. is that art? Really. Art? can you just for a moment what do you would think if another singer has got a vulva on the face in every video of her last cd. Oh gott.. she think white or dark. She is too extrem, too.much.of too.much, of too much.",-0.893,123
