,sentiment,wordCount
"""...And a country breeze, and me adam levine, with awesome hair,"" best part I love you adam 😊😍😍",0.926,26
"""AINT NOTHIN LIKE SHITTIN ON A COUNTRY PORCH!""",0.4199,11
"""Ain't nothin' like shittin' on a country porch...""",-0.2755,13
"""Ain't nothing like shiting on a country pourch""",0.2075,10
"""And me Kelly Clarkson, walking in a really, really, really long train."" By far, the best Super Bowl commercial.",0.8442,27
***AND ME ADAM LEVINE***,0.0,10
*It was so funny but it was a tide ad!! LOL!!!*,0.5482,18
*Kelly Clarksons really really really long fabric train reminded me of a black Glad trash bag!! Lol!!❤❤❤😂😂😂😂*,0.6331,29
"*Lyrics
Ain't nothin like sit in on a country porch with some Labrador puppies and a Clydesdale horse and a country breeze and me Adam Levine with the awesome hair. On a motorcycle with a wallet chain sippin on grandmas lemonade accents my cheekbones!! And me Alicia keys on a bale of hay play in piano on a country porch with these boy coaches plus children oh oh oh and me Kelly Clarkson with a really really really long fabric train with giant crowd and some choir boys comin together cause were really all just on voice. Ain't nothin like a thousand people on a porch. And all we're missin is a one way horse and this baby calf. Gettin together on The voice... Commercial!!! (Correction its a tide ad!!)*",0.6649,146
*i need a longer version*,0.0,7
*plus childrennnn*,0.0,4
*replay replay* TOO CATCHYYY,0.0,6
.,0.0,1
"0:01
I’m afraid your “cabin” is a pizza hut",0.0,13
0:02,0.0,1
"0:02 ""Ain't nothing like shitting on the country porch"" - Blake Shelton",-0.0424,14
"0:02. Tell me why I thought he said ""Shitting on a country porch"". XD",0.4084,18
0:03 Its sound like hey says shitting instead of sitting,0.3818,10
0:07 one of the dogs fell,0.0,6
0:09 one of the dogs fell,0.0,6
0:10,0.0,1
0:18 Accents my cheekbones😂😂😂,0.0,7
0:32,0.0,1
0:51 Best part of a commercial ever,0.6369,7
10 more days...,0.0,4
100% cringe,0.0,3
ALICIA’S BACK!!!! IM SOLD!,0.0,10
AM I THE ONLY ONE FROM A AD ON YOUTUBE,0.0,10
Aaron McCann no she didnt,-0.296,5
"Adam Levine...
Also Main singer in Maroon 5!

Any way so catchy!!!


I love=Kelly Clarkson Blake Shelton and Adam levine",0.0,27
Adam looks like a Mexican with that mustache😂😂😂,0.3612,11
Adam makes a good country singer,0.4404,6
"Adam: ""with awesome hair!""
Me: ya... sureeeee its greaat...",0.6588,16
Ahhh Kelly Clarkston,0.0,3
Ain't nothin like SHITTIN ON A COUNTRY PORCH.,-0.2755,9
Ain't nothin' like shittin' on a country porch.,-0.2755,11
Ain't nothing like SHITTING on a country porch dude,-0.1445,9
Ain't nothing like shitting on a country porch,-0.0424,8
Ain't nuttin like shitin on a country porch with Labrador puppy's and a horse,-0.2755,14
Aint like shitten on a country porch,0.3612,7
Ain’t nothin like shittin on a country PORCH,0.3612,10
Ain’t nothin like shittin.,0.3612,7
Ain’t nothing but sh*ting on the country porch,0.0,12
Ain’t nothin’ like shittin’ on a country porch,0.3612,12
"Am I only one who thinks it's sounds like he saying ""shitting on a porch""?",-0.0772,18
Amazing,0.5859,1
And me Adam Levine,0.0,4
And me Adam Levine with the cool hair HAHAHA,0.7672,9
Anyone else miss Gwen? or just me?,-0.2406,9
"Anyone else think that at first he said ""Sh*itting"" instead of sitting?",0.0,17
As a Texan this seriously offends me,-0.596,7
At the beginning it sounds like he is saying shitting on a country porch,-0.0772,14
Awesomeness,0.0,1
Beautiful!!!!!!,0.0,4
Beautiful..,0.0,2
Best Super Bowl commercial ever. It has been stuck in my head ever since I've watched it.,0.7964,19
