,sentiment,wordCount
**hand gestures** A BEAUTIFUL CHANDELIER........ Which I did.,0.6841,14
@RosannaPansino New Fridge tour !!,0.0,6
A  vampier   cake,0.0,3
A rainbow,0.0,2
A room tour plllzzzzz!!!,0.0,7
A slime video,0.0,3
All of you icing  tips collection plz u inspired me to start baking and I lov it because of you 😁,0.5423,21
Anocement::::I Made An New Playlist!,0.0,9
Beautiful home,0.5994,2
Best house on YouTube!,0.6696,5
Best house tour love it!!!!!!Can you play Minecraft orROBLOX,0.918,13
Can I live there???,0.0,7
Can u do a mackup with ijusting,0.0,7
Collab with Ldshadowlady,0.0,3
Cookie is spoiled,0.0,3
Cookie 💞💖💗,0.0,4
DAMNNNN GET CHO COOOOINNNN,0.0,4
Do a blindfolded baking challange,0.0,5
Do u live in a mansion!!??😱😱😱😱😱😱your house is soooooo big .,0.0,19
"Do you have a special someone, Ro?",0.4019,9
Do you live alone?,-0.25,5
Do you name your has house it is not house it is a royal palace,0.0,15
Fridge tour!! Love ya shout out? You probably wont see this but oh well love your house!! Your soooo pretty!!!! Thx byeee,0.9474,30
Garden tour,0.0,2
Get this girl to 10 million subscribers,0.0,7
Grace Burke that’s kind of rude,-0.1263,8
HAHAHAH! Little Cookie got a haircut! So  cuteee XOXO!,0.7837,12
Hahahahahaha🤣🤣🤣🤣🤣🤣i love the fnaf part lol,0.7906,10
Her backyard is bigger than my house.,0.0,8
Her living room is the same size as my house,0.0,10
"Her pool is bigger than my house. Lol 😂😂
But jokes aside this house is beautiful in my *opinion* ro deserves this (idk if I spelled deserve wrong)",0.8271,34
Her tone drives me insane...  I'm out,0.0,8
Hey Ro! Can you please do a collab with Collins Key or Wengie?,0.3802,15
Hey ro can you make the tiny cakes with jam in the middle from brave pls,0.5719,16
How do you clean this so big house?,0.4019,9
How do you use this microwave oven at all?,0.0,10
How many ''MILLIONS''was that mansion,0.0,7
How much did that house cost,0.0,6
How much did you pay that house,-0.1027,7
How much was your house???,0.0,8
I    love your bedroom,0.6369,4
I LITERALLY WANT THIS HOUSE DUPLICATED FOR ME OK THANKS BYE   HAVE A NICE DAY :),0.9341,16
I LOVE YOUR HOUSE!!!!!! I WISH I COULD LIVE WITH YOU!!!!!!! YOU ARE AMIZING AND I LOVE YOU SOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO MUCH!!!!!!!!,0.9227,29
I LOVE your house! What I wouldn't give to be you...or Cookie!,0.7592,16
I am really wanting to start a youtube channel.  really enjoy watching yours.  maybe one day I'll be as popular as you....lol  Really enjoyed watching this video.  Beautiful home!!  That kitchen OMG!!,0.9428,41
"I cant tell if her house is huge, or if shes just really tiny lol",0.6573,16
I enjoyed it so much,0.5106,5
I hope you guys enjoy the house tour! What other vlogs would you like to see? 😊💕,0.8356,20
I just found out ro is 4'10. she is shorter than me. I'm 11! I'm 4'11 she is adorable though,0.5411,27
I just realized how short she is.... I bet she is only 5’ 2’’.... ouch🤣,0.0,21
I like your clothes you are so pretty,0.7661,8
I loooove what you are wearing,0.0,6
"I love it
its a mini mansion
love you ROSANNA!!!!",0.8902,13
I love it!!,0.6988,5
I love the art,0.6369,4
I love u ro,0.6369,4
I love you home girl its so good and nice :3,0.9361,12
I love you ro,0.6369,4
I love you 💕😘❤️ so so soooooo much you make me feel happy 😊 and nice 👍 home 🏡,0.8934,22
I love your house !!!!!!!!!!!,0.7482,7
I love your house is amazing 😉,0.8402,7
I loved be your house 🏠 it’s super cool 😎 and I love the posters I LOVE 💕 THIS CHANNEL,0.9649,22
I loved your bathroom,0.5994,4
I loved youurr house soooo much bravoo😍😍😍💜💜💜💜💜💜💜💜 and the quality of this video sooooo much💜💜💜🦄🦄🦄,0.5994,27
"I really love your videos Rosanna Pansino, but I have a question...what country do you live?
I want a house like yours, i have a house that is big but not big as yours :)",0.8872,40
I really want to meet Cookie.,0.1513,7
"I thought it was a big house, and then she mentioned sports court",0.0,14
I want to have a house like that 😍😍😍,0.4215,11
"I'm not even kidding, her bathroom is bigger that my bedroom",-0.0762,12
I'm proud of you ro! Keep baking!,0.5696,9
I'm so proud. You worked so hard for all of this and you definitely deserve it. You have come so far on this journey and have stayed humble through it all.,0.6401,34
"If someone told me she is 23, I would’ve believed it",0.0,14
If you move again can you do another house tour ??? Put a like if you agree ??,0.7149,21
"If you were a part of real estate, id buy all your houses",0.0,14
Is she married if not i propose,0.0,7
Is that house just for u......wooow!!!,0.0,11
Is this a mansion or something?!🏛🕌🏢>🏠,0.0,13
It has been 6 years since I have been watching this amazing channel. I remember the first video I watched on your channel was the Mario star cake and I have continued watching your channel grow. Can't wait until you reach 10 million subscribers!!!,0.7562,49
It is bueatifull,0.0,3
It's a mansion not a house,0.0,6
It's not a house it's a castle,0.0,7
I’m allergic to aloe,-0.296,6
"Jeez Roe, I don't think that house is big enough 😒",0.0,12
Love shopping at Amazon 🇺🇸🇧🇷💋,0.7096,9
Mansion tour*,0.0,3
"Me trying to be a Ro hater: well you.... you..... you're a ...a ...a a cake maker
 that makes too ... too. Um maybe too much cake. YEAH YOU MAKE TOO MUCH CAKE SO THERE .( PROUD OF SELF A GRINNING)  5 SECS LATER. OMG OMG OMG IM SO SOREY I LOVE YOU SO MUCH OMG OMG OMG SO SORRY!!!",0.9138,73
More things about Cookie,0.0,4
"My cat comes to the bathroom any time someone's taking a shower and she just sits there and waits until they're done. After that she gets in the bathtub and drinks water even though she has a drinking bowl. She also likes to watch TV😸😻🐈🐱

LOVE YOU, RO!!!!!!",0.8721,58
New fridge tour please😁😁,0.0,6
"New to your channel, loving your videos! Beautiful home Rosanna! ❤",0.855,14
Nice house👍👍👍,0.4215,5
OMG,0.0,1
OPEN FLOOR CONCEPT!,0.0,4
Oh my gosh this is like a dream house!!! It’s soooo pretty!! What camera do you use? It is such good quality!!,0.8949,32
Ohh this is what its like yo be monetised on youtube,0.3612,11
Ok not to brag but my shower bigger but yours is nicer one more thing I have the taps two not to brag sorry im just telling,0.6987,27
Omg I can't believe how much she has changed ever since her very first video in her old house,0.0,19
"Omg your bedroom is awesome, just like you! 😘",0.784,11
Omg your house is huge!! A sport court?? Wow lol. But it’s sooo clean and nice,0.9365,23
Omg your house is massive!,0.0,6
Omg you’re soooo beautiful 😍🔥,0.5994,8
Omg!! Im so jeluse😍😍,0.0,8
Please show use a room Toor only needy nummies,-0.0258,9
Pleaseeeeeee!!!!!!fridge tour,0.0,6
Ridiculous size of house... but I guess that's what YouTube money can buy if they promote your videos...,0.3919,20
Ro I'm so happy for you,0.6948,6
"Ro, your house is absolutely gorgeous! I really like the theme and colors, it suits you. Best of luck in it he future",0.9417,27
"Ro, you’re so sweet and awesome I love you
Can you plz do a morning routine video?",0.9291,21
"Rosanna Pansino And people say YouTubers don't earn that much money...well think again,friends",0.0,17
Rosanna Pansino I love you so much and your home is so cute,0.8429,13
Rosanna Pansino I love you soon much keep making videos,0.6369,10
Rosanna Pansino I'd love to see u do a video with Jenna Ezarik and do an EXTREME hide and seek Challange!,0.5848,22
Rosanna Pansino can I️ move in I’m a teen baker that’s my dream house mainly the kitchen,0.25,22
Rosanna Pansino do a video with your sister Molly,0.0,9
Rosanna Pansino hi,0.0,3
Rosanna Pansino i bought your book and im excited to make your recipes.,0.34,14
Rosanna Pansino i loved your old house it looked like barbies dream house....if she was obsessedwith white but this one is even better im so happy for you,0.933,30
Rosanna Pansino you decor are very cute and when you got this house you made a good decision on buying this house,0.7346,22
Rosanna Pansino you should do a video with cookie in the pool and pool fun,0.5106,15
Rossana you are rich!!!!!!!!!,0.0,7
