,sentiment,wordCount
"""39 more here we go""😅",0.0,8
"*Like a Taylor Swift song?*






YESSSSSS!!!!",0.453,12
0:21 I love superwomen😘💋😂😂😂❤️❤️❤️,0.6369,15
0:21 LILLY!!!! HELL YE!!!,-0.8177,10
0:21 Lilly Singh,0.0,3
1:58 Lol madelaine petch,0.4215,4
:O LILY!,-0.1759,4
All of my favorite actors Madelaine Petsch yazzz Lily Singh yasyyysy,0.4588,11
"Also this might be the 20th movie with this plot, except this is is the most unrealistic and the cringiest",0.0,21
Am I the only one that doesn't like this movie  ? ☺,-0.2755,12
Another stupid American movie about high school.,-0.5267,8
Apart nonetheless contribution clear on church teacher nobody after often evaluate serious,0.3182,12
"Bitch i cant believe you'd give her another chance, she got what was coming for her fuck that shit",-0.872,20
"CRINGE, 0:47 what's with the awful line delivery, couldn't they find a descent actress for the lead role",-0.4588,20
Cherryl 💜,0.0,2
"Cheryl Blossom and super woman in da same movie, my life is made",0.5994,14
Cheryl blosom de reverdale,0.0,4
Cheryl blossom is here. So amma fcking watch dis.,0.0,11
Cheryl bombcher <3,0.4404,3
Cuando sale?,0.0,3
Davina AND cheryl??? 😂😂😂,0.0,9
Davina clair,0.0,2
Davina what are you doing here? You have to be with Kol Mikaelson!!!,0.0,17
Diamond white😍,0.34,3
Did somebody see iisuperwomanii at 0:20 ?,0.0,7
Didn't they just show the whole movie,0.0,7
Freeport area and we will   no. freeporn,-0.296,8
Fuck the red head 😈,-0.5423,5
"Gosh I can only see DAVINA (The Originals), CHERYL (Riverdale) and GRACE (The Fosters)... I need help",0.7378,25
Hey i said this,0.0,4
High school is nothing like this...,-0.2755,7
High school was not like this.,-0.2755,7
Holy shit Superwoman.,-0.5574,4
I actually like the main character because he seemed more realistic than everyone else,0.3612,14
I already watch this movie its on netflex YASSS I LOVE IT,0.7125,12
I already watched it,0.0,4
I beg you people do not watch this movie it is quite possibly the worst movie i have ever seen and I watched the live action last Airbender in theaters its painfully bad,-0.9055,33
I cringe so much watching the movie,0.0,7
I feel like I already saw the whole movie. Thanks,0.6597,11
I feel like my friends and I would destroy prom for everyone just to get a cornchip.,0.2732,18
I just finished this movie on Netflix... Go watch it IT'S REALLY GOOD,0.6867,14
I just watched this yesterday and it’s soooo good!,0.4926,12
I might watch just to see Danielle Campbell..bring back The Originals ASAP!,0.0,15
I only got through 10 minutes of the movie before I had to turn it off because it was so bad.,-0.6696,22
I remember the guy from the movie super 8,0.5994,9
I saw it on Netflix,0.0,5
I spot a cherry,0.0,4
"I watched it, it was a good a idea, good cast, but.......... it wasn't really executed well. There were a lot of parts that were just poorly written or didn't really fit. It was a decent movie to watch. but not something i would really watch a second time if i didnt have to",0.1844,61
I watched the movie and the girl with the brown hair honestly looks like Vanessa Hudgens when she played Gabriella in high school musical,0.7845,24
I watched this It's pretty good 💖,0.7269,7
I watched this it is snoo good,0.4404,7
I would not have for given her she s so strong,0.6418,11
I'M NOT DONE WATCHING THAT YET STARTED ALREADY,0.0,8
I'm just here for Lilly 😂🤣💖💖,0.0,9
IISUPERWOMANII,0.0,1
IIsuperwomanll,0.0,1
IS THAT SHERYL FROM RIVERDALE,0.0,5
ITS LILLY!!!!! SUPERWOMAN!!!!,0.0,9
Is it just me or are some of the actors these days way to old to play high schoolers?,0.34,20
Is that.... F***ing MAT PAC.,0.0,11
Is this how adults think teenagers talk?!?,0.0,10
Is this really what adults think happens in school now like Wtf.,-0.3182,13
Isnt that leah gotti,0.0,4
It just went on Netflix yay!,0.5707,7
It’s sucks don’t watch it,-0.3612,9
I’m going to watch this only cause of Lilly  lol 😂,0.4215,13
Jessica???  What the hell.. COOL!,0.5947,10
Just watch this shit... cringiest movie I have ever seen.,0.0,12
Just watched it,0.0,3
LILLY SIGHN,0.0,2
LILLY SINGH,0.0,2
"LILLY SINGH OMG OMG OMG, I LOVE HER! *sweating* *faints* *rewatches* *faints again*💖
🙋🏽‍♀️Kiki",0.7371,30
LILLY SINGH OMMMGGGGGGGGGGGGGG,0.0,3
LILLY ❤❤❤,0.0,4
LILLY!!!!!!!! 😍😍😍😍😍😍😍,0.0,7
LILY,0.0,1
LILY SINGH WHAT ON EARTH,0.0,5
LILY!??!???!!,0.0,10
"Let me be real , I came here for superwoman .",0.0,11
Lilly Lilly Lilly. .....,0.0,4
Lilly Sing,0.0,2
Lilly Singh🤩,0.0,3
Lilly❤️❤️❤️❤️,0.0,9
Lily singh is in this woww,0.0,6
Lily!!!!,0.0,4
Lol I thought it said f the porn 😆,0.4215,9
Lol I’m about to watch this on Netflix 😂,0.4215,11
Lol lemme take off those tighty whiteys,0.4215,7
Looks like Cheryl blossom left Riverdale,0.3612,6
Looks like a shite movie,0.3612,5
Louis’s ex 🤫,0.0,5
MADELAINE,0.0,1
MADELAINE!!!!!!,0.0,4
"Maddie, who plays her? Looks like the next Megan Fox...",0.5423,13
Madelaine I love her ❤,0.6369,5
Madelaine Petsch will always be Cheryl Bombshell to me,0.0,9
Madelame YES,0.5319,2
Madeline is the total mean girl 🔪💖,0.0,8
Most cringeworthy movie I have every watch terrible,-0.4767,8
No hate but everybody is like omg it’s Madeline EVERYONE IS NOT PAYING ATTENTION TO LILY SUPERWOMAN THE YOUTUBER SHE WAS THE ONE LIKE oh my god DID YOU SEE MADELINE,0.8074,33
OMF LILY-,0.0,3
OMG I loveeeeee FBE shoows! Im sooo gonna watch this!,0.0,12
OMG LILLY SINGH!? I Screamedd,0.0,7
OMG Lilly Singh!,0.0,4
OMG LİLY AND MADS IN SAME MOVİE CAN’T WAITTT,0.0,11
OMG!!!! Cheryl!!I love her.,0.7482,11
Oh no the most popular girl in school is having a lil problems in hs right before graduating...oh no,-0.4601,21
Omg,0.0,1
Omg Madeline and Lily ❤️❤️,0.0,8
Omg lilly yasssss!!!,0.0,6
Omg that is literally  divina from the originals and drew from degrasse,0.0,12
Only watched this movie cause I heard it had an anime reference,0.0,12
Only watching for Madeline lilysingh and Diamond White,0.34,8
Other movie of de high school.....,0.0,7
People are saying that “they basically showed the whole movie” umm no they didn’t tf it’s actually a really good movie.... they just showed comedic scenes not the actual “appropriate mature scenes” (no Im not talking bout’ sex scenes). And let me tell you that the ending ain’t what you expect (so basically it isn’t a predictable movie)🤷‍♀️🤫,0.7574,82
Probably one of the worst movies that I have seen in such a long time - actually one of the worst movies that I’ve ever seen. So cringy & predictable. At least I had my sister to waste time watching it & throwing fake popcorn at the tv screen.,-0.9337,54
SO many people i know from different things XD,0.6739,9
SUPERWOMAN IS IN THIS HELL YEAHHHH,-0.6808,6
SUPERWOMAN! !!!!OMG ICH KANN NICHT MEHR !!!!!!!!!OMG OMG BESTEEEEE,0.0,16
Saw it and skipped most of it 😂😂 too cringey,0.0,11
Seen it is okey,0.0,4
"She said"" Let me take off those tighty whities."" He said ""Are you high?"" She said"" Just a little.""",0.0,28
"Shit, Joe is really hot, now i know why Alice chose him.",-0.5574,15
Slayyyyyy Madeleine ♥️♥️♥️,0.0,8
So it's just Cheryl being Cheryl.,0.0,7
Some movies are not made for trascending time,0.0,8
Superwoman,0.0,1
Superwoman!!!,0.0,4
Superwomen and madaline vest movie ever,0.0,6
Superwomen is in this.,0.0,5
Superwomen!!!!!!!!,0.0,4
That nigga from Sharknado,0.0,4
The character Madeline plays is basically just cheyrl with a different name.......,0.25,13
"The fine brothers. The most overrated Channel ever made this.

And cast a bunch of youtubers in the lead roles. No wonder it went straight to DVD release.

This trailer alone makes me wanna jump infront of a bus.",-0.128,44
"The movie is way better than the trailer! The trailer sucks compared to the actual movie. 
I knew she seemed familiar, she played Jessica Olsen in Starstruck",0.4753,30
The queen Madelaine,0.0,3
"The whole movie was pretty bad, but I liked Cole's speech at the end",0.5499,15
Think Madelaine has a thing for playing bitches 😂🙃,-0.4767,10
This Movie Is So Awful 😂,-0.5095,6
"This is beautiful.

Pretty cringy, but I think it makes it better.",0.8126,15
This looks like a collage project gone wrong.,-0.1531,9
This looks so awful I can't wait to roast it,-0.5949,10
This movie is just a less horrific version of Carrie,-0.6258,10
This movie is so generic but it looks pretty good!,0.857,11
This movie was definitely scripted by 40 men😂,0.4019,9
This movie was honestly a waste of time,0.0516,8
This movie was so bad I’m so mad,-0.8395,10
This movie was so good,0.5777,5
Ugh,-0.4215,1
WTF!!! LILY SINGH!!!!!,-0.7156,9
Was this ever made??,0.0,6
What a fucking sad movie 😭😭😭😭😭😭😭😭😭😭,-0.5256,8
What is the instrumental song at the end?,0.0,9
Who just died when they saw LILLYYYYYY,-0.5574,7
Why She is always the bad?,-0.5423,7
Why did no one notice Diamond White?!? Stop sleeping on heeeeer,-0.3923,14
Why does Madeline look like an adult pretending to be an high school student?,0.4404,15
Worst movie ending ever.,-0.6249,5
Worst movie in the world,-0.6249,5
YOU BETTER MAKE ANOTHER,0.4404,4
Yaasssss Lilly Singh,0.0,3
"Yeah dont waste your time watching this. Got 20 minutes in and the cringe was too much. Bad acting, bad writing, bad characters.",-0.7887,28
"Yo!Who else noticed Lilly Singh????????
She is the teacher",0.0,14
another teen movie with danielle campbell? SIGN ME THE FUCK UP. I’m getting memories of watching starstruck in fifth grade 😩,-0.6408,25
at 1:39 on the let it's the guy from the react channel,0.0,12
"cheryl Blossom 
ok I'm dead",-0.4767,5
cheryl from riverdale x,0.0,4
