,sentiment,wordCount
""" Earl Gray ...... Hot 🔥 """,0.0,7
#Love earl Grey like if u agree 😍😍😍😍😘😘😘😘😗,0.6369,14
"1. 👨🏼‍🏫📚🍎🍐🍊🍌🍉🍓
2. 👩🏻‍💻🎶👯
3. 🥔🥗🍖
4. 6️⃣0️⃣0️⃣🥖
5. 🚌 
6. 🛌📲






Hint: in this school i learn cooking, baking and serving and I learn about food etc.",0.0,64
"1:59에 뒤에 파리가 지나간것 같은데?........,",0.0,9
"7:00- 😴😴😴
8:00-😴😴😴
9:00-😴😴😴
10:00-🤷🏽‍♀️🚽
11:00-🛌📱
11:30-🍚🍖
12:30-🛌📱
1:00-👶🏻➡️🏠
2:00-5:00-👋🏻👶🏻
5:05-🛌📱✏️",0.0,47
:-) <3,0.6369,2
"Also, my macaroons ended up burning and got browned. This was all for nothing.",0.0,17
Can u please do watermelon macarons!🙏🏼😄❤️,0.3802,12
Can you make a video maybe showing what the mixture looks like past the ribbon stage ?,0.3612,17
Can you make a video on how to make mint choc chip macaroons,0.0,13
Can you please make a smores macron???,0.4291,10
Could you please do chai macarons?,0.3182,7
"Dear Nick, I have a question. Do you mature your macarons first before filling them with frosting (since I've read in some recipes that macarons should be left to mature before eating)? What really is the purpose of maturing them?",0.8205,46
Did anyone else think of Black Butler? Cause like tea and macaroons which is like tea time? No.....okay just me then.....,0.6553,26
Did anyone make these macaroons and have good feedback? I’m thinking of making these for my brother’s birthday and I really don’t wanna mess up. Any good advice?,0.5262,37
Do a peppermint coffee cupcake like if u agree,0.6124,9
Do something with Salted Egg Yolk !!,0.0,8
Does it matter if the powdered sugar has some starch?,0.0258,11
Dude you freaked me out! You look like a Chinese festival mask!,0.6229,14
Espectacular,0.0,1
Filled with irony,-0.0516,3
"For those who are wondering, I’ve come to a conclusion. When you don’t mix your batter enough, it breaks when you lift your spatula up to test it. When you mix the batter just right, it falls off in a ribbon. When you over mix it, it breaks apart just like when you don’t mix it enough. This was my first try making macaroons. EVER. And my macaroons are in the oven right now. This conclusion may not be right and it’s definitely not coming from an expert. I just tested it out to see how it would look like if you over mixed.",0.7717,125
"Gay marriage approved 🙆🙆🙆🙆. These are so beautiful Nick.
☕🍌🥑🍎🍓🥝🐈🏠🚉🚈🚍🌞🕹💸💸💸💸💸",0.8312,29
Hey Nick I don’t have a ballon whisk for my mixer. Does it matter if I use regular beaters?,0.0258,23
Hey Nick what kind of almond flour do u use ? The one I use makes mine taste weird.,-0.1779,20
"Hi nick, just wanted to know. Which method is the best for macarons?? Thxx :)",0.8205,19
"Hi there, I'm planning to make macarons for the first time. I'm  wondering if it matters if the powdered sugar has starch in it? I can't find 100% pure powdered sugar anywhere",0.0258,36
