,sentiment,wordCount
"(I'm sure no one's reading,  but i forgot to actually say WHAT i changed) 

- i took a drama class to force myself to be less shy (i was failing Spanish because i was too shy to participate). it was a rough semester,  but it turns out that acting is my very favorite thing, and i ended up winning a community theater award my senior year

- I'm still kind of shy, but i force myself to talk to people, because otherwise they think I'm a snob, whether or not that's fair

- i have OCD, but i used to be a lot less functional (think Aza on a bad day. that was me). it literally felt like killing myself, but i forced my way out of many rituals and thought spirals before i even knew that OCD was a thing (i was only actually diagnosed last year after a very rare recurrence). 

my disease, like my personality trait of shyness, aren't gone and aren't leaving. i have good days and bad days. but i didn't and don't give in to either one entirely. none of us should give in to our tendencies entirely. what a nightmare of a world that would be,  and what a sad existence for ourselves to never live outside our molds.",-0.9789,244
"A big thing I changed recently is how I end conversations, specifically while at work. I am a Leader in my workplace and instead of ending conversations with just ""Thanks,"" I'm trying to change it to ""Thanks, do you need anything from me?""  That simple question is changing how people interact and view me as a leader and has helped the morale of the team substantially.",0.0,76
"A couple years ago, I read the much ballyhooed book “Quiet” by Susan Cain, because my introversion, for the most part, has not served me well. The book, alas, told me lots of stuff I already know (like how almost all of the world today is set up to promote and reward extroverts), but did not offer any advice on how to CHANGE, or even how to best get along as an introvert in this extroverted world. In any case, I would much like to become more outgoing, better at mingling, and less self-conscious in a crowd. (And by the way, Hank, I got an X on my Myers-Briggs test too!)",0.964,134
"A few years ago I met a couple people who did not were a good company. They made me feel a horrible person that needed to change completely. I tried and in the end, not only with the changing but because of the toxic relationship I got depression and several panic attacks. 

I tried to change to be a better person, and I became worse. It's been 2 years since I start my treatment and after finally feel myself again, I realized I am not the same. I am more confident, but still don't have the focus that I used to have before, which it has been difficult to read my books (which I love to do). But in the same time, I am finnally smiling more than years ago. I am able to enjoy the life more than before. 

But for me, what makes me feel myself again is the feeling of empathy for others. Something that always make me feel human, to have not only affection with people, but be sad with them and be happy with them. 

I am saying that to remind all those who do not feel like themselves and depressed that we can be ourselves again, don't be afraid to fight for yourself. It's worth it.",-0.8805,236
"A few years ago, I was doing many activities through my week that I did solely for other people. I wasn’t enjoying them myself, and the stress of all these activities gradually led to me having anxiety. I didn’t understand at the time that my family would still love me just as much even if I didn’t like the hobbies they thought it would be cool if I was into. 

Now, I do things in my life for myself. I do things I enjoy and love, and I managed to conquer my anxiety while I was at it.",0.9393,113
"A little more than ten years ago, I made a conscious effort to weaken my inner monologue. I wanted it to say fewer things, and to say those things with less urgency. With some work, I made this happen. Now I feel things more directly and spend more time just perceiving. This came with some downsides. I got worse at writing, for instance. But it came with a lot of upsides. I got calmer. I became less judgmental.

I hope in the future to be able to rely on myself more. I hope that when I tell myself I'm going to do something in the future, I will be more likely to do it.",0.2128,130
"A search for ""INTP in a Rut"" will send you to a terribly long, boring video I made several years ago. For some reason, it is also my most popular video. I'm not directing you to watch it, but I would encourage a perusal of the comments. To sum up, it's mostly people telling me that I couldn't possibly be an INTP, because blah blah blah. Aside from the pretty obvious misogyny behind some of those comments, there is this disturbing idea that these people think an INTP just CAN'T or WOULDN'T do or say what i do, how do. As I told some of them, I'm fairly certain that what lies behind their vitriol is fear and confusion, for here is this person claiming to be ""one of them"" who doesn't fit the box. They may be afraid to see evidence that they COULD change if they wanted to.  The reason I put stock in MBTI is that,  the more I look into it,  the clearer it becomes to me that I am,  and always have been, an INTP (I did test differently as a teenager, but I think it is fairly common,  trying to change your nature as a teen, experimenting with your personality. I was trying very hard to be more outgoing, and I was much more emotional as an hormonal teenager. But I eventually reverted to my base out of exhaustion); however,  I have often said that if the description of your type fits you PERFECTLY, then you may not have done much introspection or made much personal growth. My personality is just about the worst suited for functioning in this society, but I have worked very hard to make it work and get out of my comfort zone. Some people are too afraid to do this, so they get protective of their defined boxes. To me, that's where it gets out of hand. I still find MBTI extremely helpful. Before MBTI, I really had no idea that most other people had SUCH different ways of thinking to mine.  It explains so many of the difficulties and advantages I've had, and it helps me understand where others are coming from.  OOPS, I see I've written an essay. (kinda typical, really)",0.8552,425
"After a few years of being very much a push over and going with the flow on projects that I am in charge of, I've become A lot more assertive. Not to the level I want to be but I am getting there.",0.0387,46
"After a traumatic event, I became much much more socially awkward and introverted.",-0.6786,15
"After graduating college and heading to 6 months of intensive treatment, I moved from being a person who's life became not much more than all consuming undiagnosed depression and a severe eating disorder to a person who takes beautiful beautiful Prozac and eats 6 times a day (recently including an extraordinary number of Christmas cookies). And honestly the overwhelming compassion and generosity of John and Hank and this whole community has continuously helped me better myself during my 7+ years as a nerdfighter.",0.9062,89
"After years of people confusing my 4s for 9s, I started writing 4s with open tops.
I'm slowly learning to show my emotions more. I can even cry sometimes, which is a big deal for me.
I've become much less of a condescending bully than I was in middle school. It turns out that the hurtful things I say as ""jokes"" actually make people feel bad, just like how the hurtful people things say about me obviously in jest still make me feel insecure. Obvious now, but not for my past self.",-0.8047,104
"As a retired 5X combat vet, Ive changed by believing now that a planned killing on purpose of anything that breaths air as I do for for any reason is wrong . If your on the fence on the matter  do lead yourself to a position that presents the oppertunity otherwise figure out how to live where killing of any life is not a necessity , indulgence or luxury for you or your current way of life or your future.",-0.9349,82
"Aside from my caligraphy, which is now way better and cooler, I changed a lot of what I believe and see about the world, life and spirituality. Now, I know this sounds gay and it seems the start of ""how I met God"", but is actually the opposite. This is how I found out the world doesn't need a God (hold your hounds), I don't need to put my strength in something else, I learned how to trust my own strength. And after that I also stop being so averse to faith and religion, as long people are not hurting or being assholes to each other, we can all be fine.
The thing I most want for my future is that I become able to live doing the thing I most love, what makes me feel alive, not only by stop wasting time but also by gaining money doing this stuff. And finally, being able to end the behaviours that I hate and flourish the ones I want and need.",0.9622,192
"At one point, I had a significant other explain to me the concept of intrusive thoughts, and holy hell did my depression include a lot of intrusive thoughts. And so I began the slow work of identifying those thoughts, and can now usually (not always) get a handle on them before they start a spiral. I've found a way to say no to the little voice telling me I'm worthless. I never thought I'd be able to do that. Change is doable (:",-0.8555,92
At the end of 2016 I realised that I didn’t know how to talk about books. I love reading and I read a lot but my friends aren’t massive readers so I began seeking out people to discuss books with and also trying to articulate my thoughts on to paper (or screen) and it changed the way — for the better — that I read.,0.891,73
"Beginning last year I started to actively care less and less, and it helped a lot with my depression. I read the Dao De Jing about five times, and I read the Zhuang Zi, and they led my on this path. It also freed my mind to a point where i could start hacking on electronics at age 50. I now consider myself a secular Daoist. Some might even call me a Dudeist.",0.5423,81
Boobjob.,0.0,2
"Both of the things you mentioned, actually. I changed how I write 7s and learned to listen more. I'm working on slowing down and really absorbing everything that I say and hear and feel because I have trouble remembering due to my constant state of being on 120% effort mode and running on empty. With that comes working on being a much more organized person and planning in advance and focusing on giving all my energy to the people who mean the most to me.",0.0,91
Can we get a bookshelf tour? Or a favorite books video?,0.5204,13
"Don't take MBTI tests, look at the cognitive functions!",0.0,11
Ever since my last romantic relationship ended I've been working on my communication skills. Encouraging conversation and expressing myself is scary situations. It's not my default quite yet but it feels natural at least now.,0.6369,38
"First, I love this video and all the amazing comments inspired by it

I've intentionally changed myself in a lot of ways, though I know that it's true how hard it is because I also notice how often I fall back into old habits or patterns.  
I tried to become as kind as possible--and I actually think I was quite successful at that, to the point that I saw a little bit of my personality reflected in the ""too nice""-ness of Jane Bennet in LBD.  Then, I focused on trying to be as authentic as possible, and have the courage to share some of the more deeper and intimate parts of myself in order to have genuine and meaningful relationships with others.
But I've been a perfectionist for about as long as I can remember.  In middle and high school, this manifested in a lot of hatred of myself.  I've grown so much since then, becoming a leader and mentor in the outdoor program at my college and surpassing my own expectations of what I thought I was capable of.  Last year I graduated, and it was tough because I struggled with some self-esteem and mental health issues that I thought I had grown out of.  Because of the high expectations I have for myself, sometimes I still feel that I am not good enough, no matter how great my accomplishments are.  I remind myself that I am deeply loved by others and that I am actually worthy of that love, but it's a constant work, and some days it comes more naturally than others. So, this year, I am working on better self-care, and turning some of that radical kindness and love for the world that I have cultivated inward now and then, because I want to be the kind of person I am in the moments when I truly feel like I've accepted myself and that I'm enough.",0.9941,350
"For the last five years or so I’ve been slowly working on trying new foods. I was always a picky eater & hated it, & in many ways there are still lots of foods I severely dislike, but I’ve been able to change myself from “a picky eater who only eats pasta” to “a person who can comfortably order a rounded meal off of a menu without asking for a bazillion modifications.”
A goal of mine moving forward is to build confidence in my choices, whether those choices are big or small. If I say I liked a book & someone else says they hated it, my automatic assumption has always been “they’re right, I’m wrong, obviously.” But I want to change that & own my choices & my truths.",0.1655,155
"Gender! I'm trans, and it is by far the biggest change to myself I've ever made",0.0,18
"Gotta say, it suprised me exactly zero that you were an NTP - not knowing your personally I couldn't tell if you were E or I, but the had you pegged on the NTP part... but I agree that one is not necessarily fixed on their personality, we grow and change, even some aspects tend to remain stronger. I'm an ENTJ, but I've found that I've come more to the middle on almost all those areas as I've gotten older - so instead of being an ENTJ I'm more like a iNT(f)Jp ... if that makes any sense.",0.8844,110
"Greetings from a future teacher in Argentina.
 Something that has changed in me in the last few years is my confidence. Although i'm still struggling with it, if I have a clear idea of what is happening at tge moment, I can speak my mind out loud, which would have made me panic five years ago, when my main goal was to vanish into the back wall.
 I hope, like Hank, to improve my hability to hear others, not just how talk to them. Otherwise, there's really no point in the latter one. Thank you for this video.",0.8722,112
"Growing up I wasn't great at social cues, so I was always the loud weird obnoxious kid. I intentionally changed that about myself, and discovered other things that changed as a side effect. I'm less loud and obnoxious but I'm also less outgoing. In the future I hope to change to be more reliable.",0.2648,60
