,sentiment,wordCount
""" ... that could be for one of two reasons ..."" .... Oh, shit - do ya think his fucking daughter committing suicide had anything to do with it??????? --  ffs,  Chris, you're fading fast as a favorite reviewer ... smh ... 1st thumbs down for you.",-0.916,56
( *OPINION ALERT* )Marvel does the funny stuff - I think DC should have humour but you could say DC is the darker side of superhero stuff,0.4588,30
"*DC. IS. TRASSSHHH.* 

Point blank period.",0.0,12
2k triggered DC fans. You guys are starting to become cancer. Just accept that the DCEU is failing at making good movies,-0.4939,24
A for me,0.0,3
"A lot of people probably do that, but not me",0.0,11
A lot of the cgi was badly done though,-0.4767,9
"Affleck sucks as... anything. He just sucks. Period. Digitalguy is super annoying. Waterdude... what's his deal? Idk. No one does. What this movie needs is more of Gal Godat and less of everything else -- plot, other ""characters"", whatever. Leave it all on a cutting room floor... You know what, not even wonder woman has enough of Gal Godat in it. I'd pay to watch her run around and do staff for 2 hours. 
I give this movie Ж37 divided by 🚁 to the power of 🐱",-0.7579,106
"All I want to know, is where the fuck did they go wrong after Man of Steel. They're doing everything right in Man of Steel.",-0.743,28
Am I the only one who thought flash was underpowered and weak in this movie? He was kind of pathetic and useless to the movie besides being a power source for the box. The flash is wayyy faster then they portrayed him to be..,-0.8655,47
"An hour and a half of scenes were deleted to make this movie's runtime work. This movie was gonna be great, we all knew it was. But sadly, the production hell it went through and the tragedy that Snyder had to deal with just made this movie not as good as it should've been.",-0.8781,59
And in my opinion dc should stay with the darker stuff thats what i like about dc marvel has the funny stuff dc has the darker shit like batman sure joker does funny shit but that all in his character,0.5574,40
Aquaman supposed to be blonde,0.0,5
Aquaman was great in this movie (IMO),0.6249,9
"Are you kidding ? i thought this was a real CRINGE fest.. bad jokes, bad cgi ( and i'm not talking about the legendary moustache) half of it looked like a blizzard game trailer..., bad directing ..bad montage.. what are you talking about. .",-0.765,51
B minus? You useless worthless piece of sellout vermin.,-0.6908,11
B- is alright I liked it,0.5859,7
B- is too nice!!,0.5242,7
"Batman v superman took the dcu in new direction.. after justice league dcu feels like marvel with grumpy people and shorter playtime.. In 2 hours they merged flash 1 , aquaman 1 , man of steel 2, wonder woman 2 and called it justice league",0.9022,48
Batman was way too soft and Beta,0.0,7
"Before BvS, I barely knew anything about Batman, Superman or Wonder Woman. I even did not like superhero movies because there were all about the same (Marvel). But after I saw Zack's vision of ''his'' DC universe,I totally change my mind. The dark tone, an unpredictable plot, serious storytelling, scenes shots .....that's why I totally love his movies.I can say that I have become one of the biggest DCEU fans and it completely change my look on superheroes across all platforms. I'm really happy there are people like me somewhere who's also enjoyed his ''unfinished trilogy'' along with Justice League'. I thank you Zack Snyder, I thank you for everything you've made and built.",0.9563,142
"Best superman? Yes 
The bad guys are pathetic 🤦‍♂️ though 
Their choice for Lex is awful 👎
Excited for Death Stroke but D.C. Will ruin him I'm sure 😒 
Would probably go see a suicide squad 2 but I'd have low expectations because D.C. Is not the same quality of Marvel films have been 🤷‍♂️ if Marvel makes their own version of suicide squad D.C. Would really be in trouble probably,their more serious yet entertaining & interesting at the same time 🤔",-0.9176,100
"Biggest problem witht the movie was the weak character development, still trynna find some reviewer talking about it. (the villain is weak as fuck yes, but most villains are weak in these recent movies, not that it's an excuse, just that i can look past it as long as they give us good super heroes)

SPOILERS 



Like, i loved how they start to portray cyborg and his story and his conflict, but then it's just dropped all together, basically joins the team because the bad guys kindap his father... He doesn't resolve his problems or get any development he just joins cus of his father. And i have a HUGE problem with this cus at the end you feel that his conflict is resolved, he didn't know if he should be alive, he didn't know if he was a bad guy, he can't even control his powers, at the end you feel like he can and he knows he can use his powers for good and he doesn't feel bad about having them anymore, but you don't really get any moments that tell you this, he just joins the team, acts kinda distant (and even that is just once or twice), aquaman brings up his conflict sometimes but like there's no payoff at all, by the end it's just resolved, just like that!

The flash barely gets any development, he wants friends and he's kinda unsure of himself as a hero, and the first part is kinda ok, you get a few scenes of him trying to conect with the other heroes and by the end he does, and for this one you do have a mini payoff where cyborg fist bumps him after refusing to do so earlier in the film (which is a good moment for BOTH of them) but it's never a driving point of the story, it's just used for some funny moments and by the end it's resolved. The second part which could be a great development for him he's glossed over and dealt with IN ONE SCENE, he basically tells batman he's unsure he's never been in a fight he doesn't know what to do, and you get this great scene where he tells him to save one person and then he'll know what to do and the flash just saves them all and then even helps in the fight, but it's like one scene and it's never adressed again, yeah i do like he still looks and acts unsure and has to be told what to do, but it doesn't feel like he developed at all, he was nervous and unsure, now e's not so nervous and unsure, there have some character development, it's just so weak could have been done a lot better.

Wonder woman has some conflict that could have been used so well but he's just thrown out the window. Basically she's been hiding, she doesn't want to lose her loved ones or really cause anyone to get killed so she hides and in the movie she has to come out from the shadows and become this beacon of hope like superman, and this could have been handled so well in a lot of ways, but it really isn't, basically she says she's afraid of leading the justice league, batman wants her to do it (cus you know batman ain't a leader at all) but she wants to stay hidden, ok so far so good, this is a good direction, but how do they resolve it? She ""leads"" the final assault... by doing nothing... all the leading she does is tell them to save batman and that's it and the movie just assumes we'll think she's leading now and has conquered her problem which is fucking ridicolous. Again like with cyborg there is absolutely no payoff.

Batman's conflict is ridicolous to say the least. Basically he feels guilty for superman's death and he resolves this by.... bringing superman back to life. OMG GENIUS WRITING! So he gets nothing basically. Another conflict batman could have had that would be a great driving force for the plot is that of teamwork, batman doesn't really work well with a team usually, so we could have that, but nope, that's just glossed over by alfred saying a few lines of ""good to see you're working in a team"" because since the begining of the freaking movie he has absolutely 0 problem of working in a team and it's all good....

And then we have aquaman. That's it, he exists, oh he joins the fight because it's his responsability because of some backstory we don't even know. He's in the movie basically",0.996,854
"Black Panther is the awnser hoy we're looking for, Chris",0.0,11
"Bro rewatch avengers please 
And yeah batman was an embarrassment they basically proved that he's useless in the justice league the way they demonstrated Superman's as being completely superior to him 
Glad they did that tho, In any sane and realistic persons mind ....batman would be absolutely destroyed against superman",0.6705,52
Bro........justice league was so....not great....its more of a c-,0.0,16
"Bruh y'all are tripping this was the worst movie ever ... Felt like it was a group of mental patients and retired alcoholics dressed in costumes ...the acting was terrible they didn't even act like they were warriors in costumes of value they acted like it was a burden ...wonder woman just looked like a mum and I feel she should have been a older character she's too flat ... Batman bruh ... Even the relationship between them it shouldn't be a sort of gang bang cyborg ,flash perveted wanker looking at wonder woman and all of then wondering who's going to hit it first but more of an alliance - respect between each other ...of course they were just introduced to each other but it was just awkward 
The CGI was terrible bruhhh like even the final scene in the palace it was all CGI I felt like puking 
The story and introduction of characters was too rushed and I just didn't have enough time to appreciate 
I'll watch it again but come on guys DC failed badly",-0.7391,183
"Chris - this was not an easy, enjoyable watch. This was a terrible movie that was difficult to sit through. And I can't believe you said it had a more even tone than Rogue One. I thought it was all over the place.

The best portrayal of Superman? Brandon Routh was a better Superman than this guy. Henry Cavill's Superman has no personality at all. He's not even a great actor. He diminishes Superman at every turn. And his CGI lip was painfully obvious when he spoke. It looked fine when he was just staring off angrily into the distance, but as soon as he moved his mouth, it was horrible. Like, so bad I can't even believe they did it.

I think you need to take off the rose tinted glasses and have another watch.",-0.9299,153
Chris is going way too easy for this movie...,0.4404,10
"Chris, if you produce reviews like these you're surely going to lose your credibility.",0.4019,16
"Correction, they are not ""Amazonians"" they are ""Amazons"" their armour is "" Amazonian"" their head dresses  are ""Amazonian"" their Gauntlets are "" Amazonian"" But they are NOT Amazonians! they are ""Amazons""",0.0,43
DC Comic fan all my life..But still hated this movie...very very very weak justice league big screen debut,-0.3462,22
"DC is just so, so trash. I can’t be the only one who can’t make it through one of their films without cringing st least 5 times at some of the lines or characters they try and put out.",0.0,46
DC rox!,0.0,3
Did anyone else notice that Batman was able to keep his eye on flash while moving super speed ? During the final fight flash was killing the scouts and fell off the wall while running guess who saved him ... Batman,-0.0772,41
"Did anyone else teer up a little from the sight of the awesomeness that was the ancient worriors, gods and green lantern fighting Stephen",-0.3612,25
Do Dollman vs Demonic Toys & Puppet Master,0.0,8
Does anyone else watch these videos just to see the grade and not the whole video,0.0,16
Dude you look a little like Chris Pratt,0.2975,8
Every time Steppenwolf was on the screen it felt like a video game.,0.3612,14
Everyone has forgotten that they introduced the green lanterns they showed them in the first fight no ones talking about them,-0.6908,21
Ezra is great. I like him but he was miscast.,0.5106,12
"Film sucked felt like the middle part of a longer movie cgi in the film was rushed should of krept movie till 2020 and done a trilogy
Biggest misstake was not going with grant from the tvshow he is better actor and should leim helmworth to play aquarman jason  would clearly make a better LOBO",0.8069,55
"Flash was terrible , no green lantern mistake batman what the hell happened",-0.9062,13
Got to see it at last. Hum. Down an dirty. Superman. Have to admit. Almost evil Superman was fun. I have my eye on you scene was awesome....Batman. Pretty good. Still not right but had depth.  Wonder woman. Nailed it.Flash. Awesome. Zero backstory and another drop in but I am ready for his movie now.  Cyborg. Zero backstory? Has potential and did ok. Fish guy should have been thrown back. Just filled a slot for the poster. I like the actor but GL or JJ should have been there instead.  Overall the movie was underwhelming at best but entertaining. DC needs some serious help. Those with ADD will love it.,0.9921,134
"Had no idea about the mustache---- but even my son was like ... is that a different actor??? 😅🙄 thought he also looked ""different"" and when you said that the lightbulb went off 😅",0.4922,43
"Hahaha oh and BTW Superman is tired of that pussy bruhh ...you could tell he really came to realization of all the women out there and what he was missing out 
How can such a being commit to one meaningless girl",-0.296,42
"Harry Fowler if you choose to be excited, don’t take the film seriously, just sit back and smile at how simple, lighthearted and dated this film feels. I actually liked it! Instead of judging whether a films forgettable or not, we should be judging whether our experience is miserable or not.",0.7088,60
He looks like Chris Pratt if you squint really hard e-e,0.204,11
He's a dc guy..,0.0,5
He's ready to skrrr,0.3612,4
Holy shit I didn't know this came out,-0.5574,8
Honestly no one would probably see this but I dislike cyborgs build I grew up watching cyborg as a big bulky and beefy not some slim skinny guy but still he does look really badass,-0.653,35
