,sentiment,wordCount
#12 trending 🔥🔥,0.0,4
#13 in trending,0.0,3
#18 Trending!,0.0,3
#18 on trending,0.0,3
#18 trending,0.0,2
#19 on trending! That a boy Smoove!,0.0,9
#22 trending thou,0.0,3
#27 on trending,0.0,3
"#3 now #6 on trending 
THAT'S A SMOOTH MOVE


I guess everyone really does go to Chris smoove for NBA news. Best unofficial NBA commentator",0.6369,28
#3 on trending :O,-0.2808,6
#3 on trending Chris smoove?!?!,0.0,10
#5 on trending 😂😂😂,0.0,7
#5 on trending? Now that's a Smoove Move,0.0,10
#6,0.0,2
#6 ON TRENDING!!!!!!!!!!!!!,0.0,7
#6 on trending,0.0,4
#6 on trending!!,0.0,6
#6 trending jeez,0.0,4
#7 on trending,0.0,4
#7 trending,0.0,3
#number6 trending,0.0,2
#smooveontrending,0.0,1
*#5 ON TRENDING*,0.0,6
10 on trending,0.0,3
"1:53 Boogies injury, Your welcome.",0.0516,7
2:02 thank me later,0.3612,4
2:53,0.0,1
3,0.0,1
5% Of Comments talking about DeMarcus Cousins And his injury 10% About the Pelicans 15%  about rockets 70% Trending...,-0.4215,24
5th on Trending!?!?,0.0,7
5th on trending,0.0,3
6# trending,0.0,3
6...odd?,0.0,4
??,0.0,2
"@2:18 3 steps before dribbling. Right in front of the ref, and they call a foul on Miller...smh. Star treatment lolol",0.0,28
"@ice: but physicality wise, Kobe was not the same anymore...",0.631,13
AGuyNamedKevin why he through the game on purpose,0.0,8
Achilles injury was apart of Kobe's father time. I hope Cousins duck him & come back better than before.,0.4588,21
And I got tickets to see the sixers vs Pelicans mainly I wanted to see boggie vs Embiid,0.0,18
Ayyy ma boi Chris is on trending,0.0,7
Ayyye #12 on trending,0.0,4
Bad Luck injured when there was 8.1 seconds left. Feel bad for Pelicans,-0.7717,14
Boogie on back to that bench wit cho uglass.,0.0,10
Boogie to wizards,0.0,3
Boogie😪😪😪,0.0,4
Bro wtf #6 on trending,-0.5859,6
Bro your trending,0.0,3
Brooke Peters shut up fatty,0.0,5
But it was his fault he jumped for the ball so retarded,-0.8147,12
CONGRATS ON #3 ON TREADING!,0.6625,7
Career ending injury.,-0.4215,4
Chris Paul,0.0,2
Clinton Wales its a gather step you idiot learn the rules,-0.5106,11
"CliveParody probably gonna say ""Kevin Durant is biting his teamates in the inside until he can join Team Steph""",0.296,21
Congrats on being #25 on trending,0.5267,6
Cousins gets injury snubbed.,-0.7003,5
Cousins is thuggy,0.0,3
"Dam that sux, torn Achilles is a career ender.",-0.5423,11
Dammnn man I wanted to see LeBron and Boogie #basketballdreams,0.0,10
Damn,-0.4019,1
Damn Boogie was one of my favoritr players.,-0.4019,9
Damn Smoove AND Fredo trending damn!,-0.69,7
Damn Smoove on trendings 😯😯,-0.4019,6
Damn an injury on the last 15 seconds of the game? That's just horrible Wish the best for Boogie.,-0.2732,21
Damn big cous is a beast. That sucks hope the big man comes back soon,-0.3182,16
Damn boogie got injured at the last 5 second are you kidding me,-0.6124,13
Dang he trending,0.0,3
