,sentiment,wordCount
#BARS #NY #FEMALERAPPERS  #THE TAKEOVER  #ITsTIME #WAKEMEUP,0.0,7
#MyQueensAreTheBEST!!!!!! #LetsGoMa #RemyMa #LilKimTheQueenBee 👑👑 QUEENSOFRAP!!!!!!!!,0.0,13
#RemyMafia #RonnySuavé,0.0,2
#gotherass,0.0,1
#killinem,0.0,1
"+Master Corey Blu-Ray Channel No they didn't. This was never a diss record, let alone a Nicki diss record. That's what people don't understand when it comes to Hip Hop battles. These ladies will flat out say your name if they're going to diss you. You will know if Kim and Remy are talking about you, because they will say your name. They have no need for subliminals.",-0.7906,77
"About to download this...
Great on the collaboration of Queen BEE and Remy Ma...music...old school and new...
Congratulations u two did the danm thing..",0.8402,31
Ain’t nooooo good BARS. Half the song is her just rhyming bitch with shit over and over again.,-0.6705,22
Almost 2M,0.0,2
Barb,0.0,1
Barz!,0.0,2
Biggie and lil Kim 1996,0.0,5
BurnItUp Griffin she wasn’t she broke down every bar on genius,-0.4215,13
"COME ON DRAKE AND OTHER BOY RAPPERS THESE GIRLS ARE MAKING BETTER SONGS MAKING THEM FIRE 🔥 WE HAVE TO STEP OUR GAME UP
can't lie tho this is a 🔥 song",0.128,32
Dammnn,0.0,1
Deron Johnson Remy Ma,0.0,4
Deron Johnson yes,0.4019,3
Did an official dance video to #wakemeup trying have Remyma and Lil Kim see this.. since it's the first dance video.. please give it a thumbs up 🙏🙏 https://youtu.be/y-8VndgzGKA,0.3182,32
Didn't they both dissed Nicki Minaj on here,0.0,8
Don know,0.0,2
Don’t get me wrong I love nicki buh respond to  these fire shots sus,-0.0772,16
Dope,0.0,1
"Dope I like this, so New York",0.3612,8
Dope as idk what,-0.1027,4
Dope 💫😘👶💯wake me up!...,0.0,10
Dreke Wright yes,0.4019,3
Dropped a fire ass remix to this today 🙏🏿🙏🏿,-0.7096,12
FIRE!!,-0.4559,3
Fake asses!,-0.5255,3
Finalmente gravaram juntas!! Amei o video <3,0.5399,9
Fire,-0.34,1
Flop,-0.34,1
Fuck mumble rap. This is how an MC supposed to sound.,-0.5423,13
Fucking fire son 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.4005,6
F🔥i🔥r🔥e🔥 need 📹,0.0,10
GARBAGE!!!😂😂,0.0,6
Have a great day everyone!,0.6588,6
Hell yes! Great way to bring back that 90's rap!,0.4184,14
Her Videos Get Her More Views,0.0,6
Hmmmm! This is a ptoblem...,0.0,7
Hymn You 😂😂😂😂😂😂👎🏾,0.0,7
I STAN LEGENDS 👑,0.0,4
I agree. Great fighting hiphop . The bridge was wack vocally. Wid dat auto tune lol,0.7845,18
"I am not saying the girls aren’t doing their thing... but they didn’t do it like everybody sayin’ they did it 😭 I didn’t come here lookin’ for no diss track, I came expecting some jump off type shit with a little bit of terror squad type flow. Remy had bars but I want a bop I can dance to and Kim... babe, ya need to retire.",-0.8483,81
I get alot of money hunny😎😎😎,0.0,9
I get goose bumps when she goes in on the second verse,0.0,12
I knew that Remy Ma would come back Stronger than ever before. She's always been my favorite female rapper. True talent though. That song is hot.as hell.,0.6808,31
I know you aint talking.,0.0,6
I like this,0.3612,3
I really like it!,0.474,5
I want to hear Missy and eve on this remix version😊,0.0772,12
I woke up when I heard this love it I'm rey hit the club and show off,0.7184,17
I wonder if Remy was talkin bout Nicki?,0.0,9
I would lick Remy ma pussy and feet,0.0,8
I'll  be happier when bitches base they craft off versatility and not every song every bar being a diss or subliminals.. make a hit 💯💿✨ ..,-0.128,29
I'm gonna make this song my morning alarm 🔥 🔥 🔥,-0.34,11
I'm obsessed with this song like forreal,0.2023,7
If u reverse 0.00 - 0.13 U’ll hear “I can love you better than she” by Mary J bilge ft Lil kim. 😱,0.7964,28
If you are standing outside cold this winter then put this song in your earplugs and it should heat you up a little bit,0.0,24
Im back. My tenth time watching. When the morning come you bishhess aint humble enough 😎. She took that crown,0.0,23
Imma be honest I don’t like remy so much but this fucking song caught me ❤️❤️ 🔥 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.4404,25
Inside Media Dot Com Is that the song playing backwards in the intro of the song??,0.2869,18
JB Java BITCH YOU GARBAGE DIDN'T YOU JUST COMMENT THIS SAME SHIT LIKE 3 TIMES HATING FUCKER YOUR ADDICTED,-0.9493,19
JC Jae Tha Pharaoh and pap doesn’t  Von rap like this at allll ... REMY wrote this right in front of Kim,0.3612,24
KIM!!! STILL spittin fire!,-0.5526,8
Keairra Lee WE LOVE CARDI TOO FUCK NICKI,0.1779,8
Kim snapped on this shit🔥🔥🔥🔥,0.0,8
Kim🙌🏿,0.0,3
Kollin Findley stick to country music,0.0,6
Krystal Brown  thank you.,0.3612,5
"LOL, this is real hip hop, your used to walk rappers and songs. The only songs nicki has done that is fire are the ones she produced before she got famous.",0.2808,35
Let these hoes know remy!!!,0.0,8
Lit,0.0,1
Lol,0.4215,1
Love it,0.6369,2
Love it the video,0.6369,4
Love this song dam good,0.7964,5
"Love this video!! You definitely have some talent, keep it up!  Check out some of the videos I have on my page, think you’d like/appreciate the artist!",0.8972,37
Luv it!!!,0.0,5
Marie Laveaux lies,-0.4215,3
Me on thanksgiving: wake me..Mmmm when the pie is done .. mmmm when the pie is done,0.0,20
More music please!!!!,0.0,6
Mudlink,0.0,1
Musica Foda!!!,0.0,5
Musical En Espanol,0.0,3
My Auntie Lit,0.0,3
My girl 💁🏾,0.0,4
NY Women are killing the RAP GAME I don't care Remy Ma  buy youtube views from *AUTHENTIC* *Views* *dot* *com*,-0.7922,28
NeoKenniMe NKM BYE BITCH,-0.6739,4
"New generation can have Cardi and Nicki. I'ma keep Kim, Remy and all the other 90's female rappers I grew up listening to",0.0,27
Nicki just need to go hide somewhere maybe 2k18 will be her year,-0.1779,13
OJ that bitch.,-0.5859,4
Oh Bitchyoumad Nicki can’t drop nothing fire with them Dr. Seuss rhymes.,-0.0165,16
Okay! We taking it back now 👏🏾👏🏾👏🏾👏🏾🙌🏽,0.2942,17
Queen Remy rocks on!!,0.0,6
Remmyyyyyy 💕💕💕💕💕💕💕,0.0,4
Remy & Kim dope combination 🔥 🔥 🔥,0.0,8
"Remy Ma is doing it big! Have no fear, The REAL QUEEN OF RAP IS HERE! LIKE IT OR NOT!",-0.4666,24
Remy Ma is looking hella good!,0.54,7
Remy about to get her crown back.,0.0,8
