,sentiment,wordCount
"""I asked them if they would turn the rocket lights on."" You say it like you're borrowing a wrench from your neighbor LOL. You must have some massive nerd cred with those people. Great video!",0.8491,41
*insert mocking spongebob*,-0.4019,5
+1 for 4k 60FPS,0.0,5
0:43 Random happens,0.0,3
25 Facts About Earth’s Atmosphere That Are Truly Majesticlist25,0.4404,12
2:20 BEES! BEEEEES!,0.0,5
"3:33 i see, a little rotation on camera, a pulse ligth, and a refaction line.",0.0,19
"3:36 I saw the line. I think (before the video ended -to me-) It might be (not sure, no reason to believe it), an algorithm from the camera trying to compensate something. In other cameras I saw a vertical line crosing the sun, a street light and things like that, I presume, I never tried to investigate. ##Edit: It must be in optics or electronics in the camera, not in the atmosphere -I presume.",0.3818,92
5:40,0.0,1
@smartereveryday Polarized lens,0.0,3
A JOKE,0.296,2
"A diffraction effect causing the light to be split. However the light in question is already reduced to a very narrow, discrete band/range of wavelength at this point. So most of the spread spectrum (rainbow) that is created is missing, and so will appear dark.

My best guess.",0.6124,58
AIRPLANE exhaust trail,-0.296,3
ALIENS,0.0,1
Actually the anomaly happened on the outside source of the antenna causing a small combustion of light and I have no idea what I'm talking about,-0.296,26
An airplane smoke trail?!,0.0,6
And this is why I love science,0.6369,7
Anna  The building is such that there is only this one building ( factory) and there is open sky or trees nearby.,0.0,24
"Answer this one...Why was the shadow on the moon opposite of what it seems like it should have been? If the sun was almost above the horizon, why was the shadow on the top of the moon? Seems like it should have been the other way around.",0.7319,53
Aren't there power lines in front or behind?,0.0,9
Bam!,0.0,2
Because the earth is flat durrrr,0.0,6
"Bro have you recreated your line of mystery, are you trying to get more smart, like to see the line between the eye and photo explored since when I was awee child my eyes experience lines of light yet I knew them longer than the close to round shape of its light source no matter color and relative brightness, lines visibility mystery when we observe reminds me of childhood play when I was bored, every child knows the lines appear with certain conditions. Do you plan on giving the answer like your explanation for lunar eclipse which has been clearly not accurate every time? Trickery of the eye, phenomenon in our existing, sorry to hate a big deal about no big deal, but I wish you show formula to recreate the line maybe pink LEDs on a sunset of pink sky grey cloud",0.8164,152
C,0.0,1
Call NASA,0.0,2
Call up your boys with the light switches and ask them if there's a guide lying holding the thing up or something??? Lol   My point is you have a lot of great connections and I'm sure with one phone call you could find out exactly what that line is.,0.7461,53
Clearly what you just captured was the edge of the Skybox. Its a glitch in the matrix where the top piece of the skybox meets the side piece of the skybox and the edge of the two somehow renders a gap in between them.,0.5423,46
Congratulations for the shot! This looks like a lens flare when the tip eclipses some light,0.7712,17
Cos it's a long lens being cropped maybe?,0.0,9
Could God have sent you a sign or in your case... A straight line. What could this mean ?,0.4588,21
Could anyway be a cable,0.0,5
Could it be caused by turbulence from passing air blowing at the tip...? Hmm... probably not.,0.0,20
Could just be guy wires holding up the rocket,0.0,9
David Gallagher the size for the fringes is strongly proportional to the number of modes and its numerical aperture. The strongest mode should be a zeroth order mode and n*sin(theta) here is sufficiently large which means it should be really really close to the diffracted object.,0.6486,53
"Destin, you should know this... that’s a Saturn I... the V is indoors.",0.0,19
Did we get an answer for this?,0.0,8
Did you ever find out what is making the line?,0.0,11
Did you get the answer??,0.0,7
Did you have a polarized filter on?,0.0,8
Did you noticed that a simular effect was visible during the SpaceX FH flight when the sun was reflecting on the silver cover on stage two? https://youtu.be/wbSwFU6tY1c?t=1530 :),0.5204,29
Diles mijo,0.0,2
Do already have the answer ?,0.0,6
"Do you understand that these pictures were once-in-a-lifetime shot... if you would have missed the moon, you wouldn't have got this shot again...",0.1531,26
"Don't worry, it's just a glitch in the Matrix :P",0.6296,11
"Dude, I didn't realize you were close by, I live in Montgomery. That is cool im near one of my favorite youtuber",0.6486,25
"Duder McDudey 

Believe me, I've been through these type of comments and most of them are the real thing. Stupidity has no limits I suppose.",-0.6249,28
"Eternity is to long to get this wrong. Accept Jesus Christ today, we are not promised a tomorrow. Check out these channels Richiefromboston and The Potters Clay.",-0.4828,31
"Flat earthers use the bible specifically to attempt to bolster their ridiculous arguments, you realize this?",-0.6369,18
"Gaurav Pandey could it be in relation to the other buildings in view?

Like when backing away from the building, other buildings to the sides of you begin to appear in your field of view, allowing comparison of the buildings that you didn’t have before. 

Maybe it has to do with elevation. You or the building might be higher in elevation, causing some visual tricks as you get closer or back away (getting higher or lower as you do)

It could also be a Cinderella’s castle effect. When you’re far away, the castle seems huge, but in fact it isn’t at all, so when you’re up close to it, you notice the details of it that you couldn’t see from far away, and you realize it’s actually a miniature castle.

Try isolating just the building, by covering up everything else (look through a hole) and see if you get the same effect. You shouldn’t, because angular perception is always consistent. It’ll be other things around the building that cause optical illusions.",0.1531,211
Gravitational lensing?,0.0,3
Have you heard of the lunar wave? but then again it didnt move over the moon.,0.0,18
Have you see the vids about the wave on the moon? There is a guy on YouTube that films it.,0.0,22
"Hey Destin.  I don’t have a twitter account; but, I’ve reached out to you via Instagram with a similar photo that i shot (of the super blue blood moon) that also has those lines.  Although my photo has three lines.  I have multiple shots of this, might be phenomena.",0.7876,62
"Hey, i have also seen an optical illusion and i dont know hows is it happening.. It goes like this , there is a building ( factory ) and i am like  5 -10 kms away from it. But when i move backwards the size the building appears to be increasing whereas when i move towards the the size seems to be decreasing.( Which is quite opposite of what happens normally). Also the rate of increase as well as decrease seems faster than normal.🤔🤔🤔",0.8126,96
"Hi Destin,
Have you replicated this observation on another night? From the same vantage point? from slightly higher and lower to ground? from another location at the same distance? (with another boom lift? :P) Maybe in addition to the moon, try the sun as a backdrop, with a solar filter.",-0.4397,61
"Hologram needs light and an object to project it. Judging how thick the colours were, it would be impossible for a hologram projecting it",0.0,26
Holographic moon conspiracy,-0.5267,3
I SOLVED IT THE ALIENS REMEMBER SEING THAT ROCKET ON THEIR MOON PROPERTY AND THEY SAW THE ROCKET FROM THE MOON AND ALL THE ALIEN LINED UP TO SAY HI ——  boom solved jt,0.7034,35
"I asked a flat earther and they said it's a glitch in the projection on the ""firmament"". Because space isn't real, there's no moon, and it's all a projection. Seemed like a bright guy and I saw no reason to doubt him so there you go.",0.6884,53
I blame Sean Lee,-0.34,4
"I clicked ""like"" when you mentioned Zelda.",0.0,10
"I enjoy the Bible too, but there are plenty of times a total solar eclipse is followed by a total lunar eclipse. In fact, another will happen in 2024. And that's just ones North America can see. This one may mean nothing.",0.2732,48
"I just pulled that answer out of my rearend, btw.",0.0,12
"I know light can do weird things when bending around things, but I’m no expert. I think you should try to recreate it with a dull round light and a pointed object and see if you can get the same effect.",-0.7717,46
I live in Huntsville!,0.0,5
"I love your channel! Keep up the good work................,,,,,,,,, 1535224124614124













I EM gej",0.8122,19
I said it first.,0.0,5
I saw the line huh weird,-0.1779,6
"I strongly suspect it is a wire. It is dark, it curves, it rises one end to the other. Pixels from a ccd would form a straight line...",0.2023,33
I think he should do it again. Like take a pic of the full moon but behind a pole or something to see if it would happen again??,0.2755,31
"I think its a similar phenomena to the one from the distorted propeller vid. If f there is some part of the photo-process, either the writing of the image, or the reading of the pixels on the sensor, that scans fom left to right, then some sort of after image or artifact from switching on and off as the scan line passes the tip of the rocket would write itself across the image.  it would only show up because of the high contrast between the two objects - its probably affecting the edge of the moon too, but you wouldn't notice it as its displacing/sheering the whole moon. Im certain thats not it exaclty, but someting like that would also explain why the line is angled as well.  Good luck.",0.9387,143
I think you need to rethink the contrail possibility. It's really the most logical explanation. Contrails can last an extremely long period of time even after the jet is long gone. Do a test on contrails from jets to see how long they last. Once the jet lands just look up into the sky after. There will still be contrails drifting through the air and no planes around.,-0.296,74
I wish i loved my job as much as you love yours LoL,0.9274,13
I'm going to run you over with a truck,0.0,9
"I'm just an artist. I've got no idea *why* your photo got a line in it, I just know that I could use PhotoShop to erase that line in 5 minutes.",-0.296,36
