,sentiment,wordCount
"""Surrounded by people that I love and seem to love me back."" You're the psychologist, Mayim.   What does that mean?  I thought only I felt that way!",0.8655,34
"""The jew cries out in pain even as she steals your holiday.""",-0.8519,15
"""excessive excess""
uh oh freakin nerd alert",0.0,9
"#1.  Don't eat so much.  #2 Eat wild turkey...I hunt them every year and much better/healthier than farm raised; also goes well with the venison and elk we have at Thanksgiving, and our garden produce.  #3 No comment...I'm Christian.  #4 Invaders?  Read others comments below and learn history.",-0.0258,66
#3 is great ;),0.7184,5
(((Mayim Bialik))),0.0,8
(((Mayim))) ... 😉😉😉,0.0,11
2:26: 400 years ago is not recent history.,0.0,10
"A day to give thanks for the bounties of our beautiful country and the opportunity it has provided to hundreds of millions for centuries. Yes, how offensive. 

Americans don't know the true purpose of Thanksgiving? Mayim, all Americans learn that around the second grade. The purpose of the holiday is very clearly laid out in this thing you apparently have never heard of called ""Lincoln's Thanksgiving Day Address"" when Abraham Lincoln instituted the national holiday of Thanksgiving. I liked you before seeing this. Your're funny in BBT, but this is just absurd.",0.8759,104
"A jewess hating on white people and European culture is right ? i don't hear her whining about how jews treat Palestinians, but hey why miss a chance to shit on white ppl amirite .",-0.6448,36
A quick history lesson on #4 https://www.youtube.com/watch?v=H1y_0NfhF9c,0.0,8
"Aah raping, stealing others lands, destroying the culture, are you talking about Israel and their treatment of Palestinians? Thank you for being a great example of Hypocricy, you and Barbara Spectre. Hopefully the goyim wont wake up ;-)",-0.6747,44
"All butthurt Muricunts disliked this,  cus they don't like the truth much.",-0.6977,14
And just think. These are the deranged people who control all of the media and all of the universities in America. It doesnt matter how clearly ridiculous they are. If they can grt kids to scream like irradiated banshees thats what our culture will be.,-0.6164,49
And we don't like Mayim Bialik!,-0.3404,7
Annoying cunt,-0.7096,2
Another 4 minutes of my life I'll never get back. She probably hates Easter because it exploits bunny rabbits.,-0.6486,21
"Another hypocritic jew. Why are you even on the native lands when you have o country of youre own. Youre the archityp of what a  parasite is. ANd what the fuck where you jews doing in  russaia killing off millions of cristians. You have been expelled from 109 countries for no reason, yeh right. What about that genocide you comitted on cyprus 117 ce?  Even the jews in Sweden stole 500 ton gold, jewelry and art  from the russian peopel, no shit the germans blamed you bastards. https://en.wikipedia.org/wiki/Olof_Aschberg",-0.975,98
"Are u a fucking idiot, that’s the way of life, a lion is not going to go vegan or stop defending its territory because it thinks killing something else is gross, and we are on top of the fucking food chain, so shut the fuck up",-0.9456,52
"Bah, Jews gotta spoil everything. At least when Whitey conquered the Americas we built something decent. With Heeb conquest it's low quality theater and politics of mediocrity and self-hatred. (if a country is lucky enough to miss out on genocidal communism)

More and more are getting wise to your true nature every day. Turn that beak of yours around and go back to your desert lair.",0.7152,74
"Bolshevik ""Godless"" communist Jews killed millions of Christians. 
Mayim, like many other Jews. Ignores her own history.",-0.6249,23
Buuuuarg. I hate to see people I kinda like on TV be feminazis IRL :(,-0.659,16
Can't believe Black Friday deals are awesome this year,0.6249,9
Clearly has mental issues,0.4019,4
"Come on youtube, you're going overboard with the fake likes",-0.0772,11
"Comments keep getting deleted...... Wonder why?? So I'll post again. Really looks like she is going hungry! We have turkeys that run wild in our neighborhood and the meat is so juicy, moist and smells so wonderful when it's cooking!! And how can you complain about our ancestors taking over the land while you cash those huge paychecks from BBT?? Don't like it, leave.",0.9199,76
"Communism and the ""Beta male Jew""
https://plus.google.com/u/0/photos/photo/105612057485636372570/6493318120702238162?icm=false&iso=true",0.0,9
"Dang, she sure sparks controversies. I love drama",0.7579,10
"Darn, my earlier comment was somehow removed.  Why would jewish biblical truth need to be removed by a jewish person. Could it just be that ""Amy"" just isn't down with jewish history like she is apparently is with US history. So here is a little biblical history on how the israelites took the promised land from the canaanites.  According to Dueteronomy 2:31 - 37:  31 “Then the Lord said to me, ‘Look, I have made King Sihon and his land helpless before you; take his land and occupy it.’ 32 Sihon came out with all his men to fight us near the town of Jahaz, 33 but the Lord our God put him in our power, and we killed him, his sons, and all his men. 34 At the same time we captured and destroyed every town, and put everyone to death, men, women, and children. We left no survivors. 35 We took the livestock and plundered the towns. 36 The Lord our God let us capture all the towns from Aroer, on the edge of the Arnon Valley, and the city in the middle of that valley, all the way to Gilead. No town had walls too strong for us. 37 But we did not go near the territory of the Ammonites or to the banks of the Jabbok River or to the towns of the hill country or to any other place where the Lord our God had commanded us not to go.",-0.8945,278
Die,-0.5994,1
"Disgusting, Fat, Hyporcrite JEW RAT talks trash about the USA where she lives...yet support the genocidal war crimes of ISRAEl...FUCK YOU JEW RAT...i hope your kids get their asses kicked in school everyday.",-0.4019,42
Diversity is just a codeword for #WhiteGenocide,0.0,7
Divorced?  Shocker!,-0.2244,4
