,sentiment,wordCount
"""How do I get there?""
""You can see the full directions on your phone""",0.0,19
"""ok google, search thumbnail for Google handheld""",0.296,10
*Amazon Echo Show*,0.0,5
"*_Hey siri..._*








oh wait wrong assistant",-0.4767,10
0:00 DA WAE?,0.0,4
0:06 Not those :p,0.25,4
110%working,0.0,3
547 apple sheep disliked this video.,-0.4019,7
"60% of this stuff is already supported by my Chromecast connected to a 8"" Display mounted in my kitchen :D",0.7456,22
A talking iPad thing,0.0,4
Add russian plz,0.0772,3
Amazing,0.5859,1
"Amazing :D I'm exited to see this working :)

(that moment, when u write a YT comment, are german, forgot one English word, and just ask Google Assistant, so you don't have to leave YT, and write a new comment 👌)",0.8997,49
Amazing Ai in the world  Technology By Google,0.5859,8
Android 5.1 please,0.3182,3
"As much as this looks perfect, Google has always sucked at naming stuff. YES IT'S AN ASSISTANT! Why not name it something more creative?",0.8233,28
At first I thought it was a switch oops,0.0,9
"At first I thought they were copying the Nintendo switch from the thumbnail, but uh,




They are instead copying amazon",0.2617,22
Awesome,0.6249,1
Awesome.. Wow,0.5859,3
Bahasa indonesia google,0.0,3
Bonjour à tous je vous passe une bonne après-midi bonne soirée pour ce soir moi je recherche une femme pour refaire ma vie à bientôt,0.0,25
"Boy, this is gonna be another failed project too",-0.5106,10
But how does it know which Google Device you’re talking to,0.0,13
But i want ; Google can make my food itself,0.0772,10
CIA approved!,0.4753,3
Can I get that for my IPhone?,0.0,8
Can i do it on my samsung galaxy j5 2016 ??,0.0,12
Can i install it on uuuuuubuntuuuuuOS,0.0,6
Can support on smartphones ??,0.4696,6
Can you make it for Samsung Galaxy J3 2016 please?,0.3182,11
Can't wait,0.0,2
Coba kalo bisa pake bahasa Indonesia :),0.4588,7
Cool,0.3182,1
Copied Alexa show,0.0,3
Could u use the screen as a touch screen to watch youtube,0.0,12
"Dear Google authorities, I like to use Android as an Android operating system user and do not consider using iOS operating system. There are nice applications like this in Android but I can not use my own language (Turkish) in Google assistant. I am calling you as a user, please bring support of Turkish and other languages. This text has been translated by Google translation.",0.8934,73
Different voice,0.0,2
Do fast make fast,0.0,4
Echo Show ?,0.0,3
Ey gügle Show me why Ella No me ama :'v,-0.296,12
GUYS GOOGLE JUST MADE THE SWITCH MINI,0.0,7
Good news for Users.,0.4404,5
Good!,0.4926,2
Google Assistan aku mohon bahasa indonesia 👍👌😊,0.0,9
Google alresdy spies on you without your knowledge! Now they have instant acsess to your whole life lmao! 😂😂. More products I wont buy,0.6688,28
Google in intex aqua ring google assistant not available,0.0,9
