,sentiment,wordCount
"""Internalized racism"" AND implying that only white people can really be racist, wow.",-0.6502,17
"""non-white people can internalize and perpetuate racism"" How does that not imply that you can only be racist against non-white people?",-0.8442,24
$20 for enchiladas? gtfo,0.0,6
*Typed from my computer in the United States while eating McDonalds*,0.4215,13
"20 bucks for enchiladas de mole con pollo? FUCK THAT SHIT, NOT EVEN A MARISCO PLATE RUNS YOU THAT HERE IN L.A",-0.8613,26
20 bucks for some enchiladas y 24 for carne asada ? no pinche mames haha,0.2023,15
2:08 if you're into flem sounds,0.0,6
:D LOVE THIS!,0.8313,4
A webo. El mole poblano sabe mamalon.,0.0,9
Allow forehead white combat strip adviser poet stick remind capture career.,-0.128,12
And here I'm stuck with my skinless chicken breasts and lots of vegetables :'(,-0.6369,14
"And this here, ladies and gentlemen, is why I think whining about ""cultural appropriaton"", especially if it isn't about your own culture, is bullshit! The overwhelming majority of people I've met love sharing their culture with others and love it when someone tries to learn more about it and participate in it, me included.",0.7777,63
And yet youd eat ass,-0.5423,5
And you should try them here in Mexico...,0.0,9
Anyone notice the SAFEWAY Grocery bag used to flatten the tortillias?,0.0,12
"Awesome. I always wonder now- ""Is this Mexican food for Americans or actual Mexican food?"" etc. I totally wanna go there now",0.6249,28
Barnaclebeard they are also delicious,0.5719,5
"Baseball Spud If you feel disrespected by them then you should truly feel disrespected by individuals who can just buy their citizenship with money.

No hard work, just cold hard money.",-0.7269,34
"Beautiful!!! Now, this is ""authentic"" enchiladas. Darn, i'm #imhungry now.",0.6981,19
Beauty Love Tas medio pendeja veda,0.8402,6
"Beauty Love son poblanas, pendeja. En Puebla si son así y están con madre alv",0.8402,17
Beauty Love thank you!,0.8955,5
Beauty Love triggered bru?,0.8402,5
"Ben Marshall bueno ni todas las enchiladas son de ahí, hay potosinas y de muchos otros estilos pero las de mole POBLANO no sé de dónde crees que vengan lmao",0.4019,31
Best food in the world,0.6369,5
Best food in the world comes from Mexico :),0.802,9
Better enchiladas here in San Diego,0.4404,6
"Blag Cog when its mass produced everyday someone will slip and screw the recipe. Then It becomes not the real thing. Some try to keep tight quality control, some are successful and others not so much. 

When she speaks of not the “real thing”, she means that the sauce was made in an efficient way that it lost its flavor.",0.5994,68
"Blaze w 
It depends on the type of mole, and the person preparing it tbh. 
Merry late Christmas!",0.5848,21
Booking my flight to New York now. Fuck you first we feast out here draining my wallet and my salivary glands,-0.5423,22
But does she cook it traditionally?,0.0,7
"But i smartur then they, i eat dem befor them eat me",0.0,13
But is it traditional?,0.0,5
But mole without chocolate is good,-0.3412,6
"Calm down, kiddo.",0.3182,5
Can't wait to dislike it and report it for being trash content,0.2924,12
"Carlos Nava pues que no vengan con estupideses diciendo que son ""enchiladas reales"" porque no lo son. Se veen repugnantes",-0.5267,23
Casey coming 12/14. Logic this week. 'Tis the season...,0.0,13
