,sentiment,wordCount
*2017*,0.0,3
2:59 I just lost it😭♥️,-0.3182,8
<3,0.4404,1
"Aaaaaaand, now I'm crying. This is so amazing.",0.4149,11
Absolutely love this song!!! It is where I am in my life!!! Love these guys!!!,0.897,24
"After listening to this, I am now full of JOY.. Thanks ^^",0.4404,15
Always been proud of you guys since I first heard your first single. We've come so far. Thank you for making beautiful music :'),0.9198,26
Amazing,0.5859,1
Amazing amazing band!!! Love these guys 💗💗💗💗💗💗,0.9284,12
Amazing!!,0.658,3
Anyone else getting an Elton John vibe??,0.0,9
Awesome music  finally something new beautiful music i can relate to,0.8402,11
Awesome music.,0.6249,3
Beautiful,0.5994,1
Beautiful song.  was just in Ithaca on Saturday.  Looking forward to tour dates in upstate.,0.5994,18
Beautiful. ❤️,0.5994,4
Before 1 mill faggits,0.0,4
Brilliant 5 ⛤⛤⛤⛤⛤,0.5859,5
Can’t stop listening to this song.,-0.296,9
Can’t wait for Bad Husband to be a single,-0.5423,11
Checking this out after hearing the Eminem feature. Pretty good.,0.7269,12
Christmas spirit anyone? :D :D,0.8679,6
Collab with Parson James!,0.0,5
Collab with Parson James! ❤,0.0,6
Collab with Parson James! 😊,0.0,6
Collab with Parson James! 😘,0.0,6
Does anyone know the saxophone notes for this song?,0.0,10
Dude sounds just like Elton John..,0.3612,7
First couple of notes I seriously thought it was Elton John. Amazing job!,0.5255,15
From Russia with love!,0.6696,5
"Fucking love it!! WOW, this, Torches, and Hoping are modern-day masterpieces. Just wow! Such an incredible band.",0.9693,25
God has a funny way of talking to us...I needed this so bad today...I will live joyful!,0.572,22
"Goosebumps ! 
Hurry back to Ithaca & share your amazing talents again soon !",0.8619,14
Goosebumps! This song with these vocals just slay my soul.😩🙌🏽👏🏽💕💕💕,0.0,20
Gosh I wish they were my little secret🤭❤️🔥❤️❤️❤️❤️❤️❤️,0.4019,24
Great Song!,0.6588,3
"HINOOOOOOO COME TO BRAZIL, I NEED TO SEE YOU GUYS",0.0,11
"Happy is an emotion while Joy is a lifestyle! Don't confuse the two, emotions rise and fall depending on circumstances. Joy is knowing who you are and Who's you are! Praise Jesus",0.9528,36
He looks like Floki from Vikings ❤️,0.3612,8
He looks like the author of the giving tree,0.5994,9
"He's so f*cking talented, he even play sax. I can't belive it",0.7165,16
Holy shit I will wash their feet as a thank you for making good music in 2018!!!!! ♥ ♥ ♥ ♥,0.453,24
Hope we all have a joyful day today and forever more. 😁❤️✌🏾,0.7783,17
How am i just discovering this in 2018!!???!?!?!?!?!?!?! I dont know what to do with myself now. Good golly!! Amazing,0.8698,41
I am hypnotized by that thing in your ears...,0.0,10
I am so early wtf,-0.6222,5
I can't count how many times I've watched this. My soul is happy!,0.6114,15
I can't wait for the new album!,0.0,8
I feel Joyful now💖💖💖,0.5994,7
I hear that black choir 🔥🔥,0.0,7
"I just found this band today, and I love it...!!  :D",0.8695,15
I love Sam's voice. It's so soothing.,0.8015,9
