,sentiment,wordCount
,0.0,0
+Codeplayer  Google unfortunately isn't selling cars.  Tesla is however.,-0.34,12
+Connor Rydlund Correct.  The AI through its sensors can track multiple objects in real time that a human would struggle to comprehend.,-0.3182,25
+Joonas Vali and that has been exactly the real world results so far for Google: Almost all of the crashes have been due to errors by human operators.,-0.34,31
"+Paper Bag Man A used fully electric Nissan Leaf at under $8k is an incredible bargain, especially when you consider that EVs cost about 1/3 as much to operate as a fossil car.",0.2023,37
"01:29 Cool. How far is ""three football fields"" in... you know, like... actual distance?",0.3182,21
1080p btw,0.0,2
"1:19 Its what’s unpredictable that’s the issue. In rare, sudden situations, only a human can decide how to react best in that split second.",0.6369,32
"@waymo  Is this actual live feed data from a Waymo vehicle, or just an artistic rendering of what is actually happening? I totally believe Waymo is the future, but I think only the former is going to convince people, if it's the later. Basically anyone can claim that's what they self-driving car is doing.",0.3612,60
"A footbal field is 100 yards. X 3 = 300 yards = 900 feet. 

End zone goal areas not included probably",0.0,23
A truly transformative technology.  Hats of to all the engineers that made this possible.  You're going to save thousands of lives and improve the lives of millions.  Thank you!,0.8955,33
About 300 meters.,0.0,4
About three football fields.,0.0,5
Absolutely incredible,0.0,2
"Actually Chinese see themselves as a race and so does Japan... remember ""Master Race""? Who are we Westerners to tell them they are wrong?",-0.5362,29
Actually Indian roads are easier. Less rules.,0.4215,9
"Actually, in rain or fog, it will propably be way better than us. Better management of slippery road, radars are working through rain and fog, not our eyes, etc.",0.7003,36
Adeus motoristas Uber ! tecnologia nunca para ...,0.0,8
Agree - get rid of the steering wheel,0.3612,8
All Chinese cars will run on Google technology. That's because Europe will never trust it's Data to Chinese government. Just look at your Android phone.,-0.4023,28
"All I have to do is sit back, relax, and enjoy the ride. Would take a while for me to get used to this kinda stuff but cannot wait.",0.4678,33
"All car drivers should get one, from dear motorcyclist",0.3818,10
"All these are not ""programmed in"". The car taught itself to do everything.",0.0,17
"Already in many developing countries parents throw the kid into the path of cars to get one month's wages.  When they know Waymo has deep pockets, this will become a legal nightmare in a second.  Too much legal exposure, nobody is going to forgive a multibillion dollar company making a mistake.  Humans forgive airplane mistakes, but punish car mistakes.  Those somebody has to pay for.",-0.8519,73
Also I think this is cool for blind and disabled people but I like to drive sometimes so am I the only that thinks this,0.4678,25
Also the blind drunk!,-0.6588,5
Alvar Lagerlöf which episode? 😊,0.0,6
Amazing!,0.6239,2
Amei 😊👍👍👍❤,0.0,6
"Americans love categorizing everyone and everything. You wrote something he didn't like and the racist bastard put you into Chinese category, beautiful.",-0.1306,25
An escort. What you're describing is an escort.,0.0,10
"And if everyone has a self-driving car, multiple cars could likely communicate so that they can tell each other where they're going, to help to further avoid crashes.",0.128,31
"Antonio Perez thanks, atleast that is an answer that makes sense and not toxic.",0.4404,16
April 2nd.,0.0,3
"Are any of the road-test or simulation also done for European driving situations? I can tell from experience that is quite a difference not only between US and EU but even between 
European countries",0.0,35
"Are you guys talking about easing? Like don't stop the car full stop suddenly, but ease it in?",0.7749,21
Ask and you shall receive! https://www.bloomberg.com/news/articles/2017-10-26/alphabet-s-waymo-will-test-self-driving-cars-in-wintry-detroit,0.0,7
Atleast Finland is updating the regulations right now so that it will be possible to test autonomous vehicles in just a few years.,0.0,24
