,sentiment,wordCount
#girl baby,0.0,2
A BOY 👦,0.0,3
A GIRL!!!!!!!,0.0,5
A baby boy,0.0,3
A baby boy or baby girl but a boy,0.0,9
A baby girl,0.0,3
A boy,0.0,2
A girl,0.0,2
A girl😍,0.0,3
A little boy,0.0,3
AHAGAJAHA OMG I THOUGHT IT WAS A BOY I THOUGHT SHE WAS ABT TO TRICK ME INTO THINKING IT WAS A BOY BUT ITS A GIRLLL,-0.0258,26
"Awww just like Tamera a boy then girl. That's kinda crazy and beautiful at same time Congrats to you and the hubby and Cree as well. Hugs from Mpls,Mn Sheila (your not that big I was that big at 4 months with all my boys but they were 10 lbs 14 oz, 9 lbs 15 Oz and my youngest and smallest was 8 lbs 8 oz they all looked months old at birth lol. I ate everything and didn't care 1 bit lol.",0.884,91
Baby girl,0.0,2
Boy,0.0,1
Boyyy,0.0,1
Boy💦,0.0,2
CONGRATULATIONS..,0.0,2
Congrats btw!,0.5707,3
Congrats on the girl,0.5267,4
Congrats tia,0.7717,2
Congrats 🎉,0.5267,2
Congrats!!!!❤️,0.0,6
"Congrats, Tia!!",0.8065,5
Congratulations,0.5994,1
Congratulations Tia Mowry Hardrict,0.802,4
Congratulations it's a girl,0.5994,4
Congratulations 🎈🎊🍾🎉,0.5994,5
Congratulations 🎊🎉,0.5994,3
"Congratulations 🎊🎉🎈 to you and your husband Tia!! Moment been waiting for, that’s a good one, girl’s power!!",0.9056,30
Congratulations!,0.636,2
Congratulations! The world can always use a little more black girl magic. 👶🏽🎀💖,0.636,18
Congratulations!!!!,0.0,4
Congratulations💝,0.0,2
Cute,0.4588,1
"Do you make your own frosting? IF you so, what are the ingredients?",0.0,16
First thing that popped in my head when I saw your thumbnail was twitches!! Congratulations on your baby!,0.6981,21
GIRL,0.0,1
GIRL 👧🏾💜,0.0,4
Girl,0.0,1
Girl  🎀🎀🎀🎀🎀🎀🎀🎀,0.0,4
Girl I’m guessing,0.0,5
Girl and a boy,0.0,4
Girl!!!!!!!,0.0,4
"Girl, I'm trying not to peek!",0.0,8
Girl?,0.0,2
Girllll,0.0,1
Girls 4 life,0.0,3
Gril,0.0,1
Have girl,0.0,2
"Hello Tia. Congrats on the
Baby girl. I always had a feeling that you were going to be blessed with a little princess, after you announced your medical situation. I am soooioo happy for you. You are just the  most positive, bubbly, sweetest gift OUR FATHER created.  Again congratulations and stay wonderful and blessed.",0.9883,63
Her laugh is so contagious.... I love <3 TIA,0.9458,10
Her laugh is so cute lol and contagious! Love her 😍💜,0.9196,13
"Here's another idea...How about GENDER REVEAL TRUFFLES...The inside could be PINK OR BLUE, And the outside can be Coated in White Powdered Sugar!😋✨",0.0,31
I KNEW IT!!!!!!,0.0,6
I LOVE her energy 😍😍,0.7925,6
I bet it's a girl,0.0,5
I feel like both the sisters are both very bubbly,0.3612,10
I knew it U just knew it,0.0,7
I knew it!! Yayyyyy! Congrats to you and the fam Tia! ❤️❤️❤️,0.8346,21
I know it was a girl because the last one she used pink and her belly is round not flat because if your stomach is flat when your pregnant it means a boy and if you stomach is round when your pregnant it means a girl and that us how I know it was a girl.,0.0,57
"I loved watching her on TV when I was 6. 
BTWs I'm 11",0.5994,14
I made everyone wait...including myself lol.,0.4215,9
I mean a girl,0.0,4
I probably shouldn't be watching this if I'm already hungry..,0.0,11
"I really love this, can’t wait too see more",0.6697,12
I say girl,0.0,3
I think a girl.,0.0,5
I think boy I'm 2:08 seconds in right now,0.0,9
I think it is a girl!,0.0,7
I think it’s a girl,0.0,7
I think she having a girl,0.0,6
I think she is having a boy,0.0,7
I think she's having a boy,0.0,6
"I think she's having a girl, because maybe she's tring to trick us by mentioning boy so much in the video",-0.0516,22
I think that she’s having a girl🤞,0.0,10
I think you are having a boy,0.0,7
I think you are having a girl,0.0,7
I think you are having a girl!!💖💖💖💖💖💖💖  I love your laugh. It makes me so happy!!!!,0.8741,25
I think your having a girl,0.0,6
I was right I had guessed that she was having a baby girl and she really was.,0.0,18
I ❤ her laugh.,0.5574,5
"I'm so happy you showed how to make cake pops. I have been wondering, but never looked it up.",0.3604,22
"I'm very happy for you, your husband and Cree! God bless you and your family!",0.8583,18
IMMM SOOO HAPPY FOR U TIA ❤️❤️❤️❤️❤️,0.8579,16
ITS OBVIOUSLY A BOY!!!💙💙💙,0.0,10
Im a twin momma boy n girl,0.0,7
Is a girl,0.0,3
It's a girl,0.0,3
It's a girl.  Tamera announced it on the real,0.0,10
It’s a baby girl 💖💖💖💖💕💕💕😊😊😊😊😊😊😊,0.0,15
It’s about time! Hallelujah! Congratulations Tia!🍼🎉,0.8682,13
Just like Tamera so happy😊,0.3612,6
"Love this! Your energy is contagious in a good way! I've been watching since sister, you guys are great!",0.9149,23
Love you Tia Big Fan,0.8689,5
Love you and your sister. Been watching y'all since Sister Sister!😀,0.6696,14
She and her sister laughs the very same way...i loveee it!!!,0.6219,16
She is so cute!,0.632,5
She kinda  gave it away but just a little bit  when she was talking a bout the chocolate balls cause she was like you can use blue if your have a boy no hate,-0.6808,34
She's so cute I love her,0.8304,6
She’s having a girl,0.0,6
So happy for you love 💋👯,0.8479,7
So sweet! I knew  it! You look so happy and how you been feeling and that's exactly how I was with my daughter after 3 boys! Congratulations!!!! Thanks for sharing it with us.,0.9469,40
Team Girl,0.0,2
This a guess,0.0,3
This is my Aunty idc I love her,0.6369,8
This just popped up on my feed! I didn’t know you had a YouTube channel! I absolutely love you!,0.7483,24
This video made me so hungry 😋 i love cake pops,0.6682,11
Tia Mowry is the best person in world! I wish I could meet her in real life!,0.8953,19
Twins,0.0,1
We love T&T in England,0.6369,7
Well I hope it's a girl since you have a boy already and she can grow with your sister daughter 🤗😊 have watch the whole video yet,0.6124,28
What if you have a boy and a girl witch is should you mix,-0.3612,14
Who remembers when she was on Instant Mom!,0.0,9
Wow I knew it you have an a girl congratulations you look so cute God bless this baby and your family,0.9517,21
Wow that's really suprizing I felt that she was leaning more towards a boy the whole video.,0.5859,18
Wow! Beautiful ideas Tia! Congratulations to you both. ❤❤❤ you lots,0.9476,16
Yasssss,0.0,1
Yay a girl!!!!,0.6776,6
Yay!!!!!!🎀,0.0,5
Yaye,0.0,1
Yayy,0.0,1
Yayyy congratulations!! God bless,0.855,6
Yaàaaaaaah,0.0,1
You are off of the movie the game aren't you.,0.0,11
"You know if you don't want to wait,just look at the comments",-0.0572,14
You remind me such of Bow from blackish,0.0,8
Your really Melanie.,0.0,4
"Your voice is so soothing, music to my ears",0.4572,10
a boy,0.0,2
a girlllllllllllll. i think its a girl,0.0,8
a gril,0.0,2
awww she's having a girl,0.0,5
boy,0.0,1
congrat on girl,0.0,3
girl,0.0,1
girl 💗,0.0,2
gril,0.0,1
i know im late :(,-0.4404,5
i think a girl,0.0,4
i think its a girl at 1:50 i knew,0.0,9
love  it vey much,0.6369,4
love passion into it!!!xoxox and love icing,0.9228,11
omg! congratulations ! i am so excited for a babygirl,0.8007,11
omgg !!!!!!!!!!!!!!!!!!!!!!!!!! lmaooooooooooo i knew it,0.0,8
phew.. the suspense was real lmaoooooooooo,0.0,7
"she is sooo sweet and lively.i would hangout with her all day.❤
congrats Tia😗",0.7506,19
yay twin congrats,0.7783,3
❤It's a Girrrl!!!❤,0.0,8
😍,0.0,1
