,sentiment,wordCount
"""I know...limited things"" me too!",0.0,10
"""I'm hungry for equality""

Awesome! Me too! Let's get rid of all the special privileges that blacks benefit from, like affirmative action and diversity quotas!",0.9411,31
"#AskSandersSides is it still on oh lordie am I being dumb

Help
But really is it still on?",-0.1531,19
#blackisthebestcolor,0.0,1
#hateonMissisipiforsavingslaveryisok,0.0,1
"#whitehistorymonth , if you call this racist, you are autistic",-0.6956,11
'184snine' LOLOLOLOL I LOVE YOU MAN,0.7125,8
"...why do I wanna ship Thomas with Leo???? It just feels... the way Thomas looks at him, anyone agree???",0.5362,28
184snine,0.0,1
Also I'm black to,0.0,4
"Another significant black person: George Washington Carver, he invented peanut butter and other important peanut-based thing",0.3818,18
Are you gonna do a women’s history month??,0.0,12
At first I thought Jamhals shirt said with Jesus he sucks and I was so confused,-0.6696,16
Awesome video! I learned some many new things. Let's talk //www.facebook.com/groups/trtdiscusions/,0.6588,15
Black History month is centered around Black African-American people. People like me who are Afro-Caribbean or part of other predominantly Black ethnicities don't get recognized or celebrated in this month.,0.7351,32
Black people are not functioning members of society,0.0,8
Bro I suck without Jesus too!,-0.4926,7
Can you do a another sander sides Plllleeeeeeeeeeeeeeeezzzzzzzzz,0.0,8
Can you do an amazing trivia for people who are multiracial,0.5859,11
Can you do more mystery solo?!,0.0,8
Can you please do another “Ask The Experts” video?,0.3182,12
"Celebrate black history month by remembering black inventions that changed the world. Those include: peanut butter, rap, rape, welfare.",-0.25,25
Congrats on trending!!,0.6103,5
Dahlia is my QUEEN,0.0,4
