,sentiment,wordCount
"""I *pulled up in my VOLVO*""",0.0,10
"""Its like your wearing a baseball glove""😂😂😂",0.3612,12
"""Jeans are very tight in a lot of ways and in places you never expe- you know?""",0.0,21
"""Netflix and Deal"": Learn from the creators of Stranger Things and do what you love and watch your customer base grow. https://youtu.be/zVeEmGJEMcQ",0.6369,26
"""bullshit""",0.0,3
#stevemom,0.0,1
"*Phone Rings*
Joe:Hello?
Seth:Hello ma’am we would like you to have you on our show tonight are you available?
Joe:Yes I would love to! Thank you what time?
Gaten: MOOOOM WHENS DINNER READY
Joe:Shush sweety mommy’s gonna be famous!!!
*BOOM* i just told you the backstory to this interview",0.9342,73
*Pizza Delivery Is Not For You*,0.0,8
*famous hair*,0.0,4
1000 comment and the biggest fan of stranger thing,0.3182,9
2nd Season - Steve lost a girlfriend and gained a little brother. ),0.0772,14
"3:32
THAT RESTAURANT HE TALKED ABOUT WORKING AT, I WORK AT NOW SO AA",0.0,15
4:55 what if he’s dead,-0.6486,7
:-),0.3182,1
AHHHH HEEE SOOO HAWTTT 😍💕💕,0.0,7
BABE,0.0,1
BUT IT MY DREEEEEEEAAAAAAMMMMM!!!!! 😂,0.0,8
Best characters: Steve and Hopper,0.6369,6
Bet His Pube Hairs Are Also Fabulous,0.5267,7
Brandan Fraser :D,0.6166,3
Buzzfeed is cancer,-0.6597,3
C H U N K Y S T E V E,0.0,11
Chunky Steve,0.0,2
Chunky Steve 😂,0.0,3
Clickbait title,0.0,2
Cube face,0.0,2
DAD STEVE,0.0,2
Dad Steve,0.0,2
"Doesn't everyone want joe Keery's hair 

""I know I do""",-0.0572,12
Finally americas not casting actors based off their looks,0.0,9
Get the crack head next on the show,0.0,8
HE IS FROM MY TOWNNN,0.0,5
He could totally rock a perm,0.0,6
"He drove a Volvo... Good man...




I own a Volvo 850 T5r turbo Sportswagon...",0.4404,17
He gives me a gay vibe but I love him,0.7783,10
He is so natural.,0.5009,5
"He is so.....normal, in the best of ways. So likable without even seeming to try, he's really a natural.",0.7902,25
He kinda looked like Harry Styles 😄,0.3008,7
He looks like a discount Andrew Garfield. Or Andrew Garfield looks like a discount Joey Keery.,0.6124,18
He reminds me of Andrew Garfield,0.0,6
He reminds me of Beauden Barett of new zealand,0.0,9
He reminds me of Ben bruce,0.0,6
He said like a sentence on his hair that is it,0.4215,11
He was a pizza delivery guy and was in a dominos commercial😂,0.0,13
"He's cute and hot at the same time, LORD",0.4588,10
He's gorgeous,0.6124,2
"He's has such a calming, humble persona! I hate to be one of those fans but honestly, dream boyfriend",0.7424,22
Hey that old man he’s talking about is me wow,0.5859,12
He’s like the perfect guy/dad/babysitter ....gosh he’s just so freaking nice😍😇😘 new celebrity crush one can dream lol,0.6988,30
Hi random people 😂 If you're ever feeling like you're in a giving mood cash app a broke college kid some money  $DestiniButler98,0.3818,25
His bond with gaten is so great,0.7384,7
His hair honestly looks like Harry’s 2015 hair.,0.6705,11
His hair is Cancer,-0.6597,4
His hair is actually a mind control device planted by the Mind Flayer...,0.0,14
His hair is honestly fabulous,0.7506,5
His hair is super thick lol. Still cool tho,0.8402,10
His hair makes him look like a werwolf,0.3612,8
His hair tho....,0.0,4
His personality is honestly the cutest,0.7783,6
I LOVE JOE,0.6369,3
I LPVE HIM,0.0,3
I RARELY EVER SEE PEOPLE ACTUALLY DRINK FROM THAT MUG!!!!!!,0.0,13
I can't believe I'm gonna meet him in two weeks,0.0,10
I didn't know that was his actual hair. Steve has the best character progression so far.,0.6369,18
I don't watch Stranger Things and I have no idea who this guy is. I just clicked on the video because of his hair.,-0.296,26
I enjoyed this video,0.5106,4
I got an add for a sale that ended last week. Wow,0.5859,13
I hated him in season... hated him. He was the annoying jock boyfriend. He was my favourite character in season 2. Now I love him. I hope they keep him a main character in season 3 too.,-0.6124,43
I have so many questions,0.0,5
I know he’s keeping it long for season 3 but cmon you know he would look perfect if he cut the sides short then kept the top,0.6808,29
I like him😂😂,0.3612,5
I like this interviewer. He doesn't interject or interrupt the person who was reviewed to try to be funny. He did a pretty good job.,0.9106,28
I love Joe's hair so much,0.6369,6
I love daddy joe,0.6369,4
I love him so much!!!!,0.7482,8
I love this guy 😍,0.6369,5
I only know him from the dominos commercial,0.0,8
I predict Steve will die in season 3,-0.5994,8
I remember this guy from parks and rec! (which is my favorite show),0.5093,16
I swear he's like a mashup of Harry Styles and Josh Hutcherson,0.3182,12
I wanna cut his hair☺ I think it would be satisfying😐,-0.2732,13
"I was drinking water when they said the thing about ""chunky steve"" and I CHOKED",-0.5904,17
I would be so mad if I waisted six weeks,-0.6269,10
I! Love! My! Mom!,0.7482,8
I'd love to see Joe Keery as a swimmer,0.6369,9
If Joe Keery was my pizza delivery guy......,0.0,9
Imagine getting a pizza from him and realizing later it’s freakin Steve from Stranger Things,0.0,17
Imagine you got pizza delivered by Joe like 9 years ago and you talked rude to him and now u see this,-0.128,22
"In character, Steve's hair makes him look like a typical 80's jock. Out of character, it makes him look like a member of One Direction.",0.6124,31
Is Joe keery a pet named Steve?,0.0,8
Is it weird that I can picture him with a british accent?,-0.1779,13
"Is that what American high schoolers always doing on their spare time? Working, delivering pizzas etc?
Man I'm so amazed by you guys, cool",0.7767,28
Is this guy gay?,0.0,5
It's our favorite mom!,0.5093,5
"Jeans where 501,s in the 80s",0.0,8
Joe Keery could be the best person,0.6369,7
Joe Kerry’s hair is more famous then he is lol,0.4215,12
Joe has gone from delivering pizza to being in a *dominos commercial*,0.0,14
Joe is okay but my fav is hopper and Jonathan.,0.6652,11
Joe🖤,0.0,2
Just saying:  https://youtu.be/LmDZyfg3EdQ?t=7s,0.0,4
Lol this got over a Million Views and it’s about his hair. What a legend.,0.4215,19
