,sentiment,wordCount
#5 On Trending,0.0,4
"#TrumpGo Benn rocking #Russ and #drake to this all day Best Olympics EVER!!!!

Go USA!! 
Love
Troy",0.8902,22
#terrencepopp,0.0,1
...,0.0,1
0:58,0.0,1
"4:20 length video and horrible coverage on Olympics. Doing it for the money, weed, and illegals, eh NBC?",-0.5423,23
@raruel ramirez   there should be,0.0,5
"A Benavidez 
lol I will",0.4215,5
"A Benavidez Correct. They could post those replay clips on YouTube but they don't. I don't need to pay some cable company to watch these YouTube clips, they have a YouTube venue. NBC is about making more than just the commercial revenue from these games and they don't cover the entirety without the viewer paying extra costs. They rotate the big three with the Olympics as well as other major events.",0.4756,77
A Benavidez Even NHL hockey? Today? Lame,-0.4871,9
"A Benavidez I hope they win. I won't get extra credit though, we are just testing percentage",0.6722,19
A Benavidez I subbed you,0.0,5
A Benavidez I'm signing out. Grand Theft Auto V awaits. Thanks. Later,0.7351,15
"A Benavidez NBC is showing NHL hockey right now, flyers just defeated the rangers 7 to 4. They could be showing Olympic Hockey, even if it's pre recorded. They could replay many more events on the big NBC. They don't. I don't necessarily care if a USA team or competitor is in the replay, just relevant matches. Just lame.",-0.5712,68
A Benavidez because he’s asking a simple fucking question? If anything it’s sexist that there are no male reporters. It’s certainly not sexist to ask idiot,-0.4767,34
A Benavidez check out me channel lol it's cringe,0.4215,9
A Benavidez hahaha lol,0.7506,4
A Benavidez lol now 128,0.4215,5
A Benavidez no go to Logan Paul's he has like 57k in like 30 seconds lol,0.6808,16
A Benavidez now it's at 122 omg there's something wrong with this thing edit:oh yeah I forgot the gernade it part 💣💣,-0.2263,25
A Benavidez u there lol,0.4215,5
Agreed Robert,0.2732,2
"Alas, Donaldson became obsessed with Jack Nicholson’s visage as ‘The Joker’ in _Batman._  

She adjusted her cheeks and mouth area to look like him. JN influences and inspires scores of freaks.",0.296,40
"Alexandra L 
Not many",0.0,4
Amen. It's 2018... Why can't we get this right?,0.0,12
Ameya Mazumdar he’s asking a fucking question you dumb cunt,-0.7759,12
And what was that?,0.0,5
BLUE GAMER I’m not looking at that shit. You won’t make me believe a single word of that link.,-0.5574,25
BLUE GAMER You’re beyond dumb if you believe that.,-0.5106,12
BR Evan greatest story never told watch it,0.6369,8
"Being Perky is overrated. 
She's beautiful. 
And being tired is ""IN"" this year😇",0.25,18
Big Sexty yikes get a life,0.0,6
Boring Globalist New World Order Propaganda through simulated sports.,-0.5106,10
"CONGRAT TO LEDECKA  !
NBC- VERY FAKE NEWS.",-0.5697,10
Cai Steele They showed the standings and the scores to fast making it more difficult to keep up with. Their was many times I was not able to find out who was competing.,-0.4201,35
Cameron R .,0.0,3
Can I get likes for no reason for people are awesome out there. 😁,0.6908,15
Cant they find someone aside from Julie Donaldson? She seems tired,-0.4404,12
Charles Grover Yes... yes there are...,0.4019,8
Cool Runnings!,0.3802,3
Couldn't care less about silly unimportant winter sports. Sorry Games not sports.,-0.6301,14
Damn already day 9,-0.4019,4
"Darren Clements 
Don't you find it odd that someone can bash someone else but holy shit if someone bashes them back. 2 Olympians talk their trash talk but I'll be dam if anyone does it back to them. Liberals have been bashing for a year, Republicans do it back and it's wrong. As a Democrat I'm so tired of the hypocrites. It's like watching a dam tennis match. Back and forth back and forth.",-0.9269,81
Darren Clements get off of youtube,0.0,6
Did anyone else get the Cool Runnings reference?,0.3182,9
Dude what are you yapping about? I had to turn off all the curling coverage.,0.0,17
"Fake News!  There were no Olympic games, all CGI.  WAKE UP SHEEPLE!",-0.7081,16
Feel the rhythm feel the rhyme it’s bobsled time,0.0,11
Glad somebody is asking the real questions,0.4588,7
Go Trump's team!,0.0,4
Go U.S.A. !!!!!!,0.0,10
Go team Jamaica women’s bobsled team,0.0,8
Go team Trump!,0.0,4
Good one. Iran doesn’t have the internet.,0.4404,11
Great point! It's the landing that is so impressive. Some of these skiers are even landing backwards!,0.8728,20
Great story on Jamaican bobsled.....thats the American Spirit!....Getting the Jamaican womens team a bobsled so they can compete in the olympics!......and making sure they make the after competition party!.......nice story!,0.8209,42
"Greetings, from the Pyongyangchangchon Indoor Ice Arena.",0.4215,9
Gus sucks,-0.3612,2
Hayleigh Dotson cringy as hell,-0.6808,5
Hayleigh: 127 now!,0.0,5
Hayleigh: Add something to the discussion and generate it.,0.0,11
"Hayleigh: If you are looking for a video with a lot of comments, go to Shaun White's. Those videos have like 2000.",0.3612,26
"Her: I am not sure if one would have to wait to be told that. It is instinct when you have to go and you can only hold it in so long. Trust me, I have tried.",0.3851,42
"Here are the absolute best places to watch new hd movies online. 
All of these usa streaming movie sites are 100% legal!CLICK LINK BELOW = http://clkti.com/6jbi",0.6696,30
"Hey this is the first time I've ever done this but... I REALLY WANNA SHOW PEOPLE MY SONG ;-;
Don't click if you don't like music.... I just wanted to share this with you 
https://www.youtube.com/watch?v=QDUlvqW0t_M",0.0232,39
Hi,0.0,1
Hi from Iran,0.0,3
Hip: Even a dead body can fly through the air...,-0.6486,12
I Would: So like extra credit? I think Norway will probably win it all. I hope that the U.S. can at least beat their medal count last year.,0.9377,35
I also like fucking old lady ( HIGH FIVE MY MAN) 🖐,0.3612,13
I am bustine up right now,0.0,6
I am glad Norway is under the rule of Trump.,0.4588,11
I can't believe that Norway is beating,-0.4588,7
I could do that,0.0,4
"I don't follow old ladies on twitter, what'd she say?",0.0,12
I dont give a flying fuck since some idiots wanted to make political the olympics. Fuck them all. Ratings are plumbing,-0.1655,23
I honestly had no idea that the Olympics were on until now,0.2023,12
I like it,0.3612,3
I love that Jamaica has a bob sled team! It's all about heart and the human spirit. It's so great they did get a sled at the last minute!,0.8974,32
I think she does a good job,0.4404,7
I'm sure there are plenty of people watching this video that are heading straight to hell repent of your sins and seek the Lord while he may be found Hebrews 9:26 for it is appointed for man to die once and then the judgement where are you going when you die? If you die in your sins you're going,-0.9643,60
"I: Oh well, that sucks!",-0.1759,8
"If you were to die tonight, are you ready? Your sins have separated you from a righteous and Holy God and you are headed to hell. But there is HOPE! Through the grace and mercy of Father God's ONLY begotten Son, Jesus the Christ, He has made a way of escape for all those who seek it. The bible says that TODAY is the day of salvation, and the mere fact that you are right now reading this is proof that God is talking to YOU, and is drawing you closer to Him. Dear one, please take ahold of God's free gift to you, Jesus Christ, and receive an eternal forgiveness for your sins. Give your life to Jesus Christ this very moment! ❤️❤️❤️ (Romans 5:8;  Romans 6:23;  Romans 10:13;  John 3:16)",0.9121,157
In school we are doing a project about the olympics to see who gets the most medals and I got norway,0.0,21
Is piochan not piochen,0.0,4
Is there an Olympics with no woman announcer?,-0.296,9
"Jesus, thanks for boring the holy living fuck out of me.  Go away wallflower.",-0.4404,17
Juan Cena | THE CHAMP IS HERE I tried to warn you guys that it's cringey,0.5319,16
Jøhñŷ Töûçåñ neither has at least 90% of the world.,0.0,12
Keplar,0.0,1
Kewl,0.3182,1
Kindly go fuck yourself.  I've live in both the UK and Canada.  Both the Beeb and CBC have wall to wall native Olympic coverage at the cost of other bigger stories.  Try not to be so fucking ignorant.,-0.4536,42
Kurosh Live  Isat  has better food =P.,0.4404,8
Lem0n: He is a Trump supporter.,0.2732,9
Light Fawn lol and now it's showing 106 comments lol,0.6808,10
Lindsey Vonn does not represent America. Haha Vonnloser,-0.357,9
Lol fuck this,-0.1779,3
Look at my live stream for amazing call of duty ww2 gameplay. Please give me a chance!,0.8122,19
M: Just get a bigger antenna.,0.0,8
"MMAoracle 
What you meant to say is it's limited and censored",-0.3612,11
MMAoracle please be joking.,0.4939,5
MMAoracle that's North Korea not Iran,0.0,6
Matt Haninczak okey,0.0,3
Max ？？？啥,0.0,5
Me gusta,0.0,2
"Meanwhile NBC whiffs on the biggest Olympic story of the games and maybe also of the last past century. But if it isn't about America, who cares? Right?",0.5204,32
Miley Thighless https://thegreateststorynevertold.tv/10-reasons-why-hitler-was-one-of-the-good-guys/,0.0,3
Minnesota https://youtu.be/15M6nM5DQYI,0.0,2
NBC FCC rules dictate that if this broadcast on national television it must be captioned.  Please for the Deaf and Hard of hearing athletes who want to view your updates PLEASE caption your broadcasts.,0.6408,36
"NBC is doing a horrible job covering these Olympics. No curling coverage at all. Just three events, ice skating, speed skating and skiing. You can't even download video clips from the website or just streamwatch at the site unless you have an account with a cable company, satellite company, landline phone company, yet they don't cover any of it on this site. Hmm. Olympics for sale. Go USA $3.99 charge it on your credit card. Smh. Lame!",-0.8172,92
NBC- VERY FAKE NEWS,-0.5256,5
"Neil: What was the biggest Olympic story though? 

NBC is an American channel. If you want UK, better it be BBC.",0.4939,26
Nice video ❤️🔥 I enjoy watching this.,0.7184,10
No one cares.,0.2023,4
No representation for gay dinosaurs either!,-0.3595,7
Norway is CRUSHING it! Way to go,-0.5461,8
Norway is a America's poodle.  That country doesn't take a shit without the US telling them it's okay.,0.5892,20
"Norway's #1 in gold, silver, bronze, and total medals. Nice",0.4215,15
"Oh those sports no one gives a FUCK about. No one will remember any of these people.

I don't pretend to care about the Olympics. I never watch.",-0.874,32
"Olympics are racist, I see no hedgehog or plumbers invited to them so it’s racist against them

Gud thing they hold there own Olympics",-0.8807,27
Only 104 comments that's low expecaly scenc this is the Olympics,-0.2732,11
"Paul: Well not always. I think after the prime time, all three of the time zones have different things going on. This is why Mike always says ""One the east, stay tuned for the encore presentation. On the West and mountain, local news."" So if you did not catch the sports the first time, it may be harder for a person who is in another time zone.",0.2732,79
"Pedophilia, what the holy fuck? You're nuts grandpa.  And how did you figure out how to post on Youtube?  Did one of your grand kids show you?  Time for a nap you fucking fossil.",-0.5171,40
People like you solidify my opinion to never support the pathetic Republican Party.,0.7131,14
Please like this comment so I feel less lonely,0.3246,9
"Pot: I would work for 25%, just to get the job. They get paid a lot!",0.0,21
Robert Cornelius go shut up,0.0,5
Robert Cornelius sexist,0.0,3
"Robert: By announcer you mean the guy who recaps for the day? No, it's that black dude Mike.",-0.296,22
"Ryan: No bobsled, no problem?",-0.7269,8
She looks really old.  Must be what 35?,0.0,10
Shirin Jarwan yeah he said a ridiculous joke actually,0.2263,9
Show me braatens full run you cucks,0.0,7
"So much fun to see what the human body is capable of doing, including flying through the air!",0.7558,20
Strutting_strat - That's why she is getting 73% of what a qualified host would be paid.🤔,0.0,19
Subscribe to me,0.0,3
"Subscribe: Bob Ross comes back to life ✍🏼

Ignore: You stub your toe once every hour 😣",-0.3612,20
T M your a Russian Bot !,0.0,7
"THIS IS IDOL WORSHIP. REPENT!

Idol worshipers will go to the lake of fire in hell because it makes the Lord our God furiously jealous (Revelation 21:8). Repent, turn from your sins and turn to God before it is too late and you will be drawn to the Lord Jesus Christ and be saved from His wrath and from Hell. For the Kingdom of God is near.",-0.8708,75
The,0.0,1
The Olympics and NBC are both nothing in my book.,0.0,11
The Olympics have been pretty good this year!,0.75,9
The Winter Olympics are irrelevant lmao,0.5994,6
The fact that the USA has so many gays has to say something's off about their country,0.0,17
"The size of a / the business, the business paradigms and some exampled reasoning's: ""The dinner date and business paradigm example"":  Most to some restaurants have possibly a one and or more (possibly two) hour wait for a ""table""; thus, those entities and realities of ""going out to a restaurant for whatever foods"" will glean the acknowledgement of ""wanting to really appreciate that one and or two hour wait"" -> thus, maybe a drink (alcohol most likely to be consumed during these times).  So, now the business paradigm example and thus, ""size of the business"" - exampled, for ""this example""... 1.   The more this would be happening; one would think, the entire size of the restaurant would need (for these one / two hour waiting people) -> a larger bar area - and, possibly to be the size of the entire restaurant itself, (in comparison).  2. This example and the history of - to, a re-vamping of such (economically) for this particular exampled place of business and it coming at the ""overall final decision and thought to fruition of some type of expansion for this place, as exampled - for ""a larger investment / expansion"".  3.  The final in, the changes in peoples ""managerial styles, options for the business, the ways of creating without total expansions, and doing's for customers - within the business itself for those entities to minimize and change those economic habits of those (one / two hour waiting customers)"" - in, a more groomed relationship ""thus economically""; for, those business entities to create (""inner changes - within the business""); that, can effect and change / minimize ""those large grandiose business / possibly future economic plans / to changes = in the overall synopsis of business paradigms and any to all economic business expansions, re-adjustments, and finals in those changes economically (to the specific changes... to the business itself), overall"".",0.7425,387
The worst coverage of the Olympics EVER!!!🖕👎,-0.7163,12
Thomas Bias I seen them cover more than that,-0.1027,9
"Thomas Bias agreed wouldn’t mind seeing more curling or skeleton, skiing and ice skating are boring, speed skatings cool, but ya they keep showing same stuff",0.09,31
"Thomas Bias cause of the time zone lol , the three sports you mentioned are on in the mornin and Evening",0.34,21
"Thomas: ""Even NHL hockey? Today? Lame""

What?",-0.5171,13
"Thomas: Just get an antenna. After paying like $75, it has done wonders! Of course, you may not get those other four channels; however, getting NBC for free is a steal! 

And yes, it kind of sucks when you miss actually seeing a full run of an event where an American wins something. I missed Shiffrin's run twice. I saw her qualification; however, I missed her gold medal run and even though I was able to find it on youtube, it means nothing when one cannot even see her competitors.",0.7087,106
"Thomas: That is because it is on another channel. Check USA, MSNBC, CNBC, or NBCSN. It is true that the one channel that covers everything live, NBCSN, you probably need an overpriced cable tier to be able to watch.

From what it looks like on the t.v. guide, it looks like curling is going to be on either NBCSN or CNBC.",0.7783,75
"Thomas: Well, we have no idea why they do the things they do; however, they still need to get profits from contract promises they probably made, before the Olympics came. There is a reason on weekdays that they still show Ellen, Rachel, and the news before airing the Olympics. I am not really mad about that. 

What they should have done is picked up all these small, quick events. Leave things like the Biathlon, marathon alpine skiing events, hockey, curling, and figure skating on another channel. 

They would be able to fit more variety on doing the smaller events.

I would have rather seen more speed skating, luge, skeleton, snowboarding, small skiing events (like slopestyle and aerials), etc.",0.901,143
USA,0.0,1
USA USA USA,0.0,3
Un viaje largo cancion,0.0,4
"Verydice is awesome if you don't already have it. It's free stuff just by doing simple tasks like watching short videos and taking surveys. Cost absolutely nothing. Shipping is always free. Will never ask you for credit card info etc. Just your name address city and state and zip so your winnings can be delivered.  It's available for Android and iPhone users. It works on tablets as well. Www.verydice.com download that enter code 777071 and if you can't figure out where to add code you can click on head icon at bottom once you've opened app up and see where it says ""enter friend code"" then you'll enter my friend code 77707l. You will start off with 50 rolls then just watch videos take surveys for more rolls. You can average winning something every week depends how much you play. This is great for birthday gifts Christmas etc and it's FREE. Yes FREE! No bs! You start off with 50 rolls regardless. I'm honest",0.9941,181
Walle,0.0,1
Walle brown      I,0.0,3
Walle brown a wild feller fell for culture.. how bout that,0.0,12
Walle brown hair curler please,0.3182,5
"Walle gum
kmplom",0.0,3
Want to win free stuff? Get the app VERYDICE use my code 1529913 to receive free rolls!,0.8999,19
Watch more www.proluxx.com,0.0,3
Where is the bobsledding?!,0.0,6
"Where is the transgender hero of these games? Oh wait, NBC is racist and it’s fake 98% of the time!!!",-0.6571,28
"Witness4JesusChrist I've dedicated my life to the son of god, Apollo. Let his righteous arrows rain down from Olympus on mine enemies!",0.2942,26
Wow this is the younger version of ... I forgot her name.,0.5859,13
Yasss love winter btw happy early birthday Millie Bobby Brown 🤪✔️🤪 weres the early squad aT?,0.836,20
