,sentiment,wordCount
"""Loving yourself"" is bullshit. Vanity has nothing to do with health. You don't appear to have the slightest clue what you are talking about.",-0.2023,29
"""Seems like you dooo.."" OMG I can't wait! lol.",0.1179,14
"""Slipped on an Oreo"" 😂😂",0.0,8
#JusticeLeague now playing,0.2023,3
*YES!*,0.0,4
1:09 Story of my life.,0.0,6
1:09 me too grace..,0.0,5
4th season and I'm still waiting for Netflix to make Frankie's ringtone public,0.0,13
AHH LISA KUDROW,0.0,3
AHHHHHH THE ICON RETURNS!!!!,0.0,7
Aahheeeeee até que enfim elas voltaram!!!!!,0.0,9
"Ah, Hanoi Jain, the anti-American traitor with a ""tween"" fan base that doesn't even remember Viet Nam, but think she's wonderful. Perfect.",0.9144,29
Ahh!!!!!,0.0,4
Almost cried when I saw Lisa. OMG! Could this show be any better?,0.2228,16
Anyone else here ship mallory and coyote??,0.0,9
Awesome can’t wait,0.6249,5
BEST TV SHOW,0.6369,3
Been waiting for this !!!,0.0,7
Bring Sam Elliott back for Grace and for the rest of us!!! That man will never not be freaking sexy!!!,-0.4818,26
CAN NOT WAIT!!!!!!,0.0,6
"CAN'T WAIT !!!!!! I LOVE THOSE TWO !! ~♡
Everyone in this is just so fantastic and perfect too !",0.9492,24
Can anyone tell me what song is in the background?,0.0,11
Can't wait to watch,0.0,4
Cannot help but to love the show!  <3,0.9151,9
Can’t esito!!,0.0,6
Can’t wait!!,0.0,6
Can’t wait!!!!,0.0,7
"Dear Jackie Hall,

Please, what ""BS"" did I spread?

You wouldn't want something you did in the '70s to follow you forever? Don't pose for propaganda posters with enemy forces during an armed conflict in which U.S. Soldiers, Sailors, Airmen and Marines are dying, daily, and had no say in going, as the vast majority of them were DRAFTED.

Most of us, were NOT protesting the Vietnam war. Only a small, but vocal minority, but hey, why let historical facts get in the way of your pretty little narrative.

She was young and did a foolish thing? No, at 17, I joined the United States Army, Military Police Corps, and defended Western Europe against the Communist threat. Age, or lack thereof, is no excuse for treason.

Foolishness is when a women claims to be a feminist and demands ""equality"", while refusing to sign up for, or sign their daughters up for Selective Service. Posing with enemy combatants, on an enemy anti-aircraft gun that was directly responsible for placing U.S. personal in the torture centers that passed for P.O.W. camps in Vietnam, is TREASON.

You say the news reporters ""created that lie""? Amazing. I didn't even realize they HAD photoshop back then... but wait! She never claimed it didn't happen. Did the news reporters ""create"" the audio of her broadcasting from behind enemy lines, telling our soldiers they are war criminals as well, and encouraged them to disobey their lawfully issued orders?

https://youtu.be/qX7QQde6HZ4

Those were open broadcasts from Jane Fonda, during the time of an armed conflict, from behind enemy lines. Do you know what that's called? ""TREASON"", and yes, she should absolutely have been prosecuted and jailed, if not SHOT!

By the way Jackie, I noticed your little ""Patriarchy"" barb at the end of your post, suggesting your ""feminist"" leanings, and I've got to say, I'm curious...

...did you happen to have signed up for Selective Service, or is that a bit too ""equal""?",-0.9963,406
Does anyone know the name of the song???,0.0,11
"Excellent Serie.
They finally don't have beach 🏠.
And now...
Iam waiting for the next season !!",0.6467,21
FOUR MORE DAYS I AM LIVING,0.0,6
Frankie's charming and such a hoot 😍 Funny and heartwarming series 💖,0.8689,12
Gay?,0.0,2
Get over yourself. You do live in a world where women don't have to succumb to that pressure and level of vanity. You think someone is holding Lily Tomlin down and forcing her to get plastic surgery? People aren't vain because someone makes them. They are vain because they are vain.,0.4397,56
"Glad to know I'm not the only one who feels this way. I have LOVED this show because of the silliness, the laughter, the ""real"" life things that happen, but infused with a lot of light heartedness. I'm on the second to last episode of the 4th season, and It's been pretty sad and dark. I have to say, I'm disappointed. I want the funny Grace and Frankie back. This season has TOO much sarcasm, arguing and problems, there's enough of this in the world already. Hope next year's season is better.",0.8056,108
"Golden girls of this generation, just saying.",0.0,9
"Good to see Lisa Kudrow, and i also hope we see more of Mallory and Coyote together",0.7003,18
HURRY I NEED MY GRACE AND FRANKIE FIX OR I WILL EXPLODE,0.4215,12
"Hey, Netflix! I'm currently bingewatching Season 4 of ""Grace and Frankie""! I just finished bingewatching all of ""Disjointed"" the other day. Can we PLEASE get a crossover episode between ""Grace and Frankie"" and ""Disjointed""? I feel like Ruth Whitefeather Feldman (Kathy Bates) had to have crossed paths with Frances ""Frankie"" Bergstein (Lily Tomlin) at SOME point in their lives. They've travelled in a lot of the same circles, have a lot of things in common (they're both hippies), and they're about the same age. Maybe Grace and Frankie can sell vibrators in Ruth's pot store? Netflix and chill and bust a nut lol? Anyway, think about it.",0.9506,136
"I ABSOLUTELY LOVE THIS SERIES!! 
All the actors and actresses are BRILLIANT! The content is brilliant, the humour is brilliant and I just love watching the antics and situations that unfold with them all!!!! PLEASE please please keep making more and more seasons. This is such an uplifting and beautifully entertaining show that gives me so much comfort to watch and cozy up with:)
Peace and Joy to all:)",0.9945,79
I AM ABSOLUTELY SHOOK! LISA IS ON GRACE AND FRANKIE? I’m so excited for this season!,0.6217,21
I CANNOT WAIT!,0.0,4
I HAVE BEEN WAITING FOR THIS!!!!!!!! YES!,0.5951,11
I JUST STARTED WATCHING THIS SHOW AND NOW IM ADDICTED,0.0,10
"I LOVE Grace and Frankie , can’t wait for the new season 💗💗💗💗",0.8286,17
I LOVE THIS SHOW 😍😍,0.7125,6
I LOVE THIS SHOW!!!!!!!,0.7482,7
I actually laughed more in season 4 than the season 3. Season 3 was a bit worse imo. So each his own,-0.0258,24
I am so excited!!!,0.5528,7
I am so ready!!!,0.5674,7
I can't wait for the season to start.  1st show that I've looked forward to.,0.0,17
I can't wait!,0.0,4
I can't wait!!!!!,0.0,6
I can't watch to binge watch this and finish in a day. I hope this means that we get another season over the summer !,0.4926,26
"I cannot wait!!! I'll watch the full season at once!!! Grace and Frankie marathon, here I go!!!",0.6083,27
I do...so bad!,-0.5848,6
I dont like graces hair,-0.5096,5
I hate my fucking life,-0.5719,5
I have been waiting!! I can't wait! I really love this show! :'),-0.3512,17
"I have watched all 4 seasons, hoping for 5. 6, 7 and 8",0.4215,16
"I just hope they add Dolly Parton in Season 5! Then, and only then, will my life be complete.",0.4926,23
I just started watching and so far it's great.,0.6557,10
I knew vee from orange is the new black didnt die!,0.5327,12
"I know right!!! Smelly cat, smelly cat singer herself! Lol",0.6083,15
"I love Grace and Frankie, great writing, wonderful cast",0.9413,11
I love Grace and Frankie.   My favourite character is Brianna though. More Brianna please.,0.8617,17
I love everyone.,0.6369,4
"I love grace and Frankie and I'm looking forward to the new season. The trope of opening up a troubled relationship really pisses me off though. Your relationship has to be solid and both people have to be into it for that to work and rarely ""solves"" pre existing issues. But let's introduce it for extra conflict, and they'll learn that they really are the only ones for each other and a valid lifestyle choice for many people is pretty much invalidated because who could ever actually be non monogamous because it doesn't work for these people in particular. Rant over. Will still totally watch it. And I'm hopeful they'll handle it better than that",0.8228,124
I love them I cant wait .,0.6369,7
"I love this show ! 
Lily Tomlin is absolutely best actress and perfect for this ... Jane Fonda isn't my favorite actress but fills the perfect spot for the show ! 
I just don't like waiting a year for the Next series !!! 
But , no way I'll miss it either !",0.7789,54
I love this show SO MUCH 💖💜,0.6369,8
I love this show and very happy that Lisa is joining this season.  Also I want to live in that house! ❤️,0.8685,25
I love this show like if you Like it to,0.8481,10
I need Brianna and Bud to get together!💖,0.0,10
I need season 5 now! And I really need the ladies to have revenge on their kids. Thanks lol,0.3802,21
I thought they were doing a spin off of Skins!!!,0.0,13
I'M SO READY,0.4201,3
"I'm an animal activist and a vegan. .. I work with the deaf. ..
Yeah shithead , I'm as shallow as f**k. 
Hahaha  !!!!!",0.4344,30
I'm not even old but god I love this show!,0.8671,11
"I'm on episode 6 and have yet to actually laugh. The other seasons always made me laugh so hard. And it's basically the same plot all over again. Either grace or frankie are meeting or breaking up with some guy. Robert promises Sol to do something together and then gets pulled away by the theater. I usually would write a spoiler alert when posting something like this, but if you've seen season 3, then there is no spoiler, you've already seen season 4.",0.6616,92
I'm so happy this is back!,0.6468,7
IM SO EXCITED WOW A REASON TO LIVE TILL JANUARY LMG THANK YOU NETFLIX,0.8508,14
IM SO SO SO SO SOS O EXCITED,0.4482,8
If I had the money I'd be doing all sorts of stuff. I don't want to look old but in the real world we all age and that's just the way it is,-0.0286,34
Im a 19yr old straight Black African male and This show has me laughing hysterically,0.6249,15
Im so hype this is unreal! I love!,0.6988,10
In love,0.6369,2
Is no one else going to express their disappointment in the fact that all these aging actors are having plastic surgery?? Even the ones like Lily Tomlin who I thought would be immune to it have stooped to that level. I wish we lived in a world where women don't have to succumb to that pressure and level of vanity...,-0.168,64
It needs to come out now I have no life without this show 😭,-0.296,14
"It's your body, it's your choice.  You don't like the thought of plastic surgery then don't have it.  Live and let live.",-0.2755,26
I’M SOOOOOOOOOO EXCITED!!!!!!!!!,0.0,8
I’m so happy and excited for season 4!!  Love Jane Fonda and Lily Tomlin!  Thank you ladies!,0.9385,23
I’m so happy yessssss,0.6115,6
"Just caught up on this series, can't wait for new episodes!",0.0,13
Just when I couldn't love the show any more they add fricken LISA KUDROW!,-0.5661,15
LISA OMG !!!!!!!!!!,0.0,5
LISAAAAAAAAAA,0.0,1
LISAAAAAAAAAAAA,0.0,1
LOVE  THIS SHOW!!!,0.7249,6
LOVE LOVE LOVE THIS SHOW!!!,0.938,8
Like season 5,0.3612,3
Lisa Kudrow + Lorraine Toussaint. YESSSS,0.0,7
"Lisa kudrow, ugh
My least favorite “friend”
😑",-0.6463,11
Lisa!!!!!!!!!!,0.0,4
Lisa😒,0.0,2
"Listen, i used to think the same way. But I mean...if it makes a woman happy, I think it's okay. Just as long as they want to do it, you know?",0.7096,39
"Love Grace and Frankie, so liberating and refreshing",0.7906,9
Love love love!!!!!!😍😍😍😍😍😍😍🤣🤣🤣🤣🤣,0.8902,12
"Love the show , watched two episodes so far < not Really Feeling the Lisa Kudrow , Thing yet ,Hope it will grow on me",0.7589,26
Love these pair can't wait !!,0.6988,7
"Love this show
 Can't wait til the new season",0.6369,9
MAKE IT GAY YOU COWARDS,0.0,5
MS FRIZZLE?,0.0,3
"Maybe try criticising the patriarchal system that obsessively values youth and a very narrow definition of beauty, instead of these incredible women.",0.5267,24
Me,0.0,1
Me too!,0.0,3
My life will be place on pause on January 19th,0.0,10
"No reply to the debunking of your lies Jackie? Gee, what a surprise!",-0.4926,16
"No your ""analysis"" is very easy to understand. You are shallow and ignorant.

Use... more... random words... and misused... ellipsis next time. Super cool.",0.7264,34
OMG I am so HAPPY!!! I still think Dolly might make an appearance though! Fingers crossed!,0.8328,21
OMG I’m just here patiently waiting for Grace and Frankie to realize that they’re deeply in love with each other,0.8062,24
"OMG January 19, that's sooner than I thought YAY!!!",0.7192,13
OMG OMG OMG,0.0,3
OMG!! LISA KUDROW a.k.a. PHOEBE!!!,0.0,15
OMG!!!!!!!!!!!!!!!!! I can't wait!! Love this show!!!!!!!!,-0.6742,15
OMG. Release already!!,0.0,6
OMGOMGOMG IM SO EXCITEEED,0.0,4
OMGoodness I'm dancing around my living room I truly am dedicated to this show I love these two so much goodness they act together so well the cast is amazing keep those episodes coming love to you all I'll be watching.  Happy New Year!!!!!,0.9834,48
Oh I just love this show.,0.6369,7
"Oh my goodness Lisa Kudrow is in the new series, thank you lord. I m happy now!",0.8588,20
Oh yeah!  : ) ),0.3595,6
Oh yes!!! Streaming for sure,0.7074,8
Omg januari just watched the latest season for the 3rd time now haha can't wait!!!,0.5962,18
Omg my fave program is baaaaacccckkkkk!!!!!!,0.6209,9
Omg my favorite show is BACK!!! Yes,0.7633,10
Omg this season is going to be great!!!!,0.0,11
Omg! can't wait!..It's gonna be fan fukkn tastic..excuse my french.. ; ),0.4374,19
Pedo,0.0,1
Pffft....you wait until you get old...and in Hollywood it is almost a must..they look freaking awesome!,0.4321,23
Phoebe💚💚💚,0.0,4
QUEENS ❤️,0.0,3
