,sentiment,wordCount
"""I'm DJ Khaled, all I do is win!""",0.0,12
"""It's not gonna work? Every thing I do works!"" lol Funny... Everything else in the vdo however...",0.4753,23
"""Okurrr!!!! Why am I reading this shit?!"" Same Cardi, same",0.0,18
*Carpool karaoke with Cardi B*,0.0,7
"*One Sentence*
Israel control America",0.0,7
"0:40 damn look at his breath, it must be really cold in there",-0.4019,14
0:53 for you cardi b fans,0.0,6
0:58 LOL,0.5473,2
"1:00 yes, there is a reason you can’t believe it. Because all of it is legitimately just one testimony of a political adversary.",0.2263,28
"3 Million views - uploaded 2 weeks ago 
no one? =/",-0.5574,12
4 more  years,0.0,3
7 more years!!,0.0,5
"99% of the comments slam the libtards but this fat unfunny piece of shit Corden somehow thinks we will fall for the fake ""likes"" that are 20% more than th dislikes..",-0.8968,36
A main reason why Trump won was because of bullshit like this from leftist Hollywood...,0.34,16
"All thanks to the power of the internet, shit like this no longer passes!",-0.1759,16
America is just one big joke .... poor voters had to at choose between a soul-less candidate and a brainless candidate ... Little wonder they all running around with guns and killing kids and shit. Trump and Hillary is what America is all about .... brainless brash and full of shit !,-0.9299,53
"And people said she is gone and will not show up anymore. I got a feeling who is going to run in 2020. There is no other option. She has purged everyone that supported Bernie Sanders, she have gone and held speeches in all the states she lost and there is no other politican in the DNC that can take home the win. Now all she is doing is to try and build a cultural presence, so that when she ""is forced to run"" she can potray herself as the underdog. That is my prediction for 2020, Hillary is for sure not out of the picture yet.",0.0516,118
And she sucks as much as she did before. Remember that she is the one that take the point about 1984 to mean that you SHOULD trust the government when it comes to telling you what is true and what isn't.,0.5574,43
Anselm Carasco hahahaha lol,0.4215,4
Anybody else notice that puff of smoke when Snoop Dogg started at 0:40 ? 😂,0.0,15
"Assholes, all of them.  & might I add, sore losers. Thumbs down and thanks for watching!  You've been great.",-0.4574,25
At least you tried....,0.0,5
BOYCOTT EVERYTHING LIBERAL!!!!,-0.5374,6
BOYCOTT EVERYTHING LIBERAL.. DO NOT SPEND A DIME ON THEIR SHIT,-0.7096,12
Buck Norris Lol,0.4215,3
Bunch of angry Republicans and Russians on here =),-0.0258,9
Bunch of brainwahed leftist minded retards.,0.0,7
Bunch of fucking crybaby libertards.......no one gives to rat shits about any of you...,-0.4767,17
CAA goons,0.0,2
CUNT HILLARY HAS PLENTY OF TIME TO READ NOW!   STUPID CUNT BITCH!,-0.9347,14
Can't get enough of this 😂,0.0,6
Cardi B can read?,0.0,5
Cardi B is adorable!!!,0.6219,7
Cardi B might be one of the dumbest people I have ever viewed,-0.5106,13
"Cardi B sounds like she cant believe a lot of things. she has to be the Dumbest celeb here. The  isnt an IQ over 90 reading in this, same on that fat british guy for making fun of the functional retarded..",0.3612,45
"Cardi B, I can't :D her reaction was so funny",0.1272,11
Cardi and Dj Khaled's was the funniest 😂😂😂😂,0.5574,10
Cardi b sounds like she dont know how to read😂😂,0.3612,12
Cardi b yaaaasas,0.0,3
Cher looks amazingggggggg with blonde hair 😻 Love you Hillary!! #StillWithHer,0.6988,13
Cher needs to come out to the 🌎 and admit she/he is a Man Tranny bitch...Liberals suck !,-0.3382,22
Clinton's like a bad case of herpes..........she. just. won't. go. away.......,-0.25,18
Cloud Seeker aww lol at the jealous little commie with its propaganda how cute.,0.2023,15
Cloud Seeker just jealous nothing more,-0.4588,6
Cloud Seeker laughing stock of what exactly? Too powerful for you weaklings?,0.6072,14
Cloud... Go fuck yourself.. we dont give a fuck about you or the piece of shit country you are from.. we laugh at you scumbag,-0.9042,28
"Conservatives can insult and make fun of Hillary all they want. 
Liberals make fun of trump conservatives whine and say they need to be shot. Hipacrits",0.2732,28
Cowards,0.0,1
Cunts.,-0.5994,2
