,sentiment,wordCount
"""Don't assume."" But I think this allows people to be naive.",-0.2732,15
@Jenn Im there's The Fifth Agreement by the same author. You might want to check it out :),0.7579,19
Actually its Seth Rogen not Rogan,0.0,6
"Also lady bird is a majestic wonder, honestly deserves all the nominations and The awards",0.7184,16
"Always look forward to your favourites (and all your videos!). Thanks for sharing your 2017 with us, and your favourites every month. 

I began reading The Book of Joy by The Dalai Lama and Desmond Tutu a few days ago, and I'm not even a hundred pages in, and there are already so many words of wisdom and life lessons you can pick up and apply! Not sure if it's a self-help book but definitely will help in giving you a new perspective on things. :) I think you might find this up your alley. 

Looking forward to more great content from you this 2018!",0.9815,117
Any small youtubers who wanna support each other? I follow back :),0.6908,13
Benso Plant,0.0,2
Can you do a hair tutorial? Gorg as always <3,0.4404,11
"Cant wait to see your Thailand vlogs, much love Jenn!!!",0.7249,14
Cute name for your plant: Sprout!,0.5093,8
Dec 30th my cat gave birth to 5 kittens! <3,0.4926,11
Does anyone know what type of plant that is? It's stunning 😍😍,0.3818,14
Does anyone know where she got the earrings she's wearing in this video?,0.0,14
Dove,0.0,1
Elise. Your plant's name should be Elise,0.0,8
Exactly what I need to hear for my problems. Thank you jen 😊 love,0.6124,15
"First of all, Jenn I love your videos. You are the only youtuber that I actually follow and watch every single video of. And I love your positive influence on all of your subscribers. Now let's go on to the plant. Yesterday my boyfriend came home with a little plant to add some life to our little student apartment. We decided to name it Oddie  :)",0.9432,72
Gotta watch Jenn in the morning for positive vibes😙,0.5574,10
Great book recommendation👍,0.6249,4
"Great vid  👍👍

Could you have a brief response to our video and also let me know what you would think as I would say you could have an eye for this",0.6249,33
Gurl I’m loving all your colorful makeup. It looks great and suits your bright personality.,0.8979,19
Happy New Year🎉Love this video💓,0.5719,8
"Happy new year, my Queen!!♥♥♥♥ Your videos always make me so happy.",0.8757,19
"Have you seen Call Me by Your Name?? It was my favorite movie of 2017 and one of my all time favorites in general. It's such an emotional journey and while everyone says it's about first love, I gotta say I feel like it's about *your* first love. I highly recommend experiencing it for yourself!",0.9672,63
"Have you seen the movie - The Sea of Trees Jenn? As for your plant, it breathe in life into the living room? I guess name her Melika (Me-li-ka).",0.0,35
"Have you watched ""Call Me By Your Name?"" I suggest you do if you liked Ladybird. Great video!!!",0.8306,25
Hello Jen! My largest house plant is named Terra. My son and I named it. It means earth. 🌏,0.0,23
