,sentiment,wordCount
"""He Has Really Soft Hands"" Haha 11/10",0.5046,9
"""Omg hes holding my hand!!!! Sqeeeeek"" mouse relationships",0.0,13
#Wiggly,0.0,1
#hishandsaresosweatyandontcareee,0.0,1
#ohnohedidnt,0.0,1
*AWWWWWWWWWWWWWWWWWWW SOOOOO CUTE ITS TO ADOREBLE I <3 IT!*,0.7861,12
*gasp* OH NO HE DIDNT!,-0.4981,8
*squiggity wiggity wiggity*,0.0,5
...am I the only one who took like 500 screenshots..?,0.3612,13
0:22 haha,0.4588,2
0:40,0.0,1
0:40 i love it,0.6369,4
0:40 those faces...,0.0,4
0:41 lol,0.4215,2
0:41 omg,0.0,2
0:51 evil man 😂😂😂😂😂😂😂😂😄😄😄😄,-0.6597,9
1:01 creepy man in the bushes,0.0,6
1:04 me and my friends attempting to socialize with each other like normal people instead of literally just sitting in a corner and making scary af noises at anyone who walks by,0.34,32
1:12 😂😂😂😂😂😂😂😂,0.0,4
2:01 the face you make when your parents see your report card,0.0,12
2:27 MY HANDS ARE VERY SWEATY >:O,-0.6004,9
2:36 OMG HE’S TOUCHING MY HAND!!!!,0.0,11
2:36 Tea is ready!,0.4199,5
2:36 look at cupquake ' s face,0.0,7
2:36 me when my boyfriend holds my hand for the first time.,0.4939,13
2:36😂😂😂,0.0,4
3:14 rejected! XD,0.3664,4
3:15 REJECTED,-0.6166,2
3:16 REJECTEDDDDDDDDD,0.0,2
3:24,0.0,1
4:20 through,0.0,2
4:31,0.0,1
4:31 look! It's how I look everyday tho,0.0,9
4:33 Tiffy:I LOVE ❤️ COLDSTONE,0.7125,8
4:34 and 5:18 had me dying 😂😂😚,0.0,9
5:18😁😁😁Beautiful!,0.0,6
:^ uh uhhh 😈  imma eat some popcorn,0.0,9
????????😇😀😁😂😂😂😂😏😻😻😻😻😻😻😻😻😻😻😻😻👥👧👦👧👦👨👩👨👩💑💑💑💑💑💑💑💑💏💏💏💏💏💏💏👰👰👰👰👰👸👸💋💋💋💋💘💘💘💕💕💕👏👏👏👏👍👍👍,0.0,48
AKWARD!!!!!(so cute),0.0,8
AW THIS IS SO CUTE AND SO FUNNY :3 CX,0.9402,11
AYYYYYYE GARCIA,0.0,2
And all on the First Date,0.0,6
Aww love you 😍,0.6369,4
"Aww so cute,weird and really funny 😁",0.4927,9
Aww so ❤ sweet!,0.5551,5
Aww thats sweet 10000000000000 likes,0.7003,6
Awww so cute,0.5095,3
Awwww this so adorable 😄😍💑💖,0.6269,8
Awwwwwww this vid is soooo cute❤️,0.0,8
Best. Animation. Of. 2018. Ever. 😂,0.6369,11
Cold stone is the best ice cream shop I’ve ever been to in my entire life,0.6369,18
CreepLy smile lol,0.6486,3
Did anyone see 0:40 😂😂😂,0.0,7
Did she say our first date or ahh first dates,0.0,10
Did you really just fell off your car with the door open and upside down read becauseI think that’s impossible and cupcake just because you’re not in a public place doesn’t mean I won’t be kidnapped,0.0,44
Did you say Garcia that is my last name!,0.0,10
Dude my art teachers last name is mr. Garcia,0.0,10
FUNNY,0.4404,1
GET REGECTED MARIO HAHAHAHA LOL NICE CUPQUAKE,0.6808,7
His hands are so sweetie and I don't carrrre !!!,0.7177,12
Hola,0.0,1
I LOVE THE DRAWINGS SOOO CUTE,0.802,6
I LOVE YOU and this is funny 🤣😂🤣😂🤣😇😍,0.8331,14
I MY LIKE BUTTON IS BROKEN,-0.1531,6
I came for the thumbnail XD,0.6739,6
I did this but when the kiss part ...he did rejected!!,-0.3257,14
I have questions1: how old were u guys this then2: red what's your real name red or mario?!3: what year was it 2004?,0.0,32
I just LOVE IT!💟💟💟,0.7371,8
I love cold stone to I go there every single day,0.6369,11
I love it good job ihascupquake,0.7964,6
I love this derpy animation its halarious,0.6369,7
I love this sooo much!,0.6696,6
I love this 😂😂❤️,0.6369,7
I love your channel and this vid is so funny your my fave🤣,0.8377,14
I saw a movie that said notice me senpi,0.0,9
I think ur his daughter?,0.0,6
I want something like that❤️,0.4215,7
I was dieing from all the weird faces throughout the video 💀💀😂😂,-0.1779,15
I watch this vid EVERY day I love it,0.6369,9
"I watched this video like 1,0000000 times",0.3612,7
IF JAIDEN ANIMATION MADE THis... OMG CUPQUAKE AND JAIDEN ANIMATIONS ARE FRIENDS!!!!!,0.0,16
Is your real name tiffy?,0.0,6
It was funny when red was just eating popcorn,0.4404,9
It was so funny 😂😂😂😂😂😅😅😂😂🤣🤣,0.5777,13
It’s a me a marieo,0.0,7
Lol,0.4215,1
