,sentiment,wordCount
#BarcaPooP,0.0,1
#ViscaBarsa 💙❤💪💪💪,0.0,6
#ViscaBarça 💖💙 💪💪💪,0.0,6
#barca tiene que ganar,0.0,4
#forcaBarca,0.0,1
",",0.0,1
0 3,0.0,2
0-3 #forzabarca,0.0,2
2017,0.0,1
20:06,0.0,1
24:40,0.0,1
3-0,0.0,1
3-0 BARCA FOR LIFEEEEE,0.0,4
3-0 Visca Barca,0.0,3
3-0 gana barca,0.0,3
3-0!!!,0.0,4
3-0😅😂😂,0.0,4
3_0,0.0,1
BAMOS BARCELONA TIENES TODO A TU FAVOR PARA ESTE JUEGO DONDE GANARÁS 2X1 😎,0.4019,14
BARCA ROCKS..,0.0,3
BARCA WON 3-0,0.6633,3
BARCA WON YASSS!!!!,0.7067,6
BARCA WONN,0.0,2
BARCELONA  😘😙👑👑,0.0,5
"BARÇA 💙❤,, sigue en líder 👍",0.0,9
Bamos barca,0.0,2
Barca,0.0,1
Barca away win and Real home lost,0.3612,7
Barca forever 😎,0.0,3
Barca is life..  #forcabarca,0.0,5
Barca suk,0.0,2
Barca the team of donkeys,0.0,5
Barca use Santiago Bernabeu for training,0.0,6
Barca é mejor😎,0.0,4
Barca ❤️❤️❤️,0.0,7
Barca👋👋💪💪,0.0,5
Barcelona,0.0,1
"Barcelona 
🇦🇷",0.0,3
Barcelona es el Mejor.,0.0,5
Barcelona es el mejor,0.0,4
Barcelona rules,0.0,2
Barcelona wins 0-3,0.5719,3
Barcelona 💗💙💚💛💜💝💞💖💕💓❤💘💟💌❣😘😍,0.0,18
Barça won,0.5719,2
Barça 👏👏👏👏 3 -0 i al carrer,0.0,10
Barça!!!!!!,0.0,4
Bayern❤,0.0,2
Can we watch the match live here,0.0,7
Como va el marcador?,0.0,5
Congratulation to Barcelona,0.5994,3
Congratulations on unbeatable!!!,0.6981,6
David Rodriguez miygbkdcnr,0.0,3
Does your life also give you free penalties?,0.5106,9
EASY WINN,0.4404,2
Embarrassing football team,-0.3818,3
Excelente victoria,0.0,2
Felis n	avidad barca,0.0,4
Forca barca,0.0,2
Força barça,0.0,2
Fuck,-0.5423,1
Fuck you!!!!!!,-0.6876,5
"GOOOOOOOOAAAAAALLLLLLLLLLLLLL <# ,3 <3 <3 BARCELONA VS REAL MADRID LIVE - 👋👋💪💪  https://goo.gl/UC1pWg",0.7003,18
Ganamosss ❤️💙🙌🙌 #ViscaBarcą,0.0,7
Ganamosssss,0.0,1
Gilazooooooo de luisito,0.0,3
Go Barca!! Ugh I wanna watch but this is so laggy.,-0.3578,14
Go kill yourself loser eat the 3-0!!!,-0.8743,10
"Goal: Suarez,Messi,Aleix vidal",0.0,8
Grande barca barcatop,0.0,3
H2 STYLERS ULTIMATE SOCCER SKILLS CHANNEL FUCK YOU,-0.5423,8
"I LOVE MY BARÇAAA❤👌
BARÇAAA❤👌 BARÇAAA❤👌",0.6369,12
I came because I saw butts.,0.0,7
"I love not Barcelona because they have many stars.
Simply love them because they always play with a beautiful teammates",0.9403,21
I want to play for Barcelona I live in Pakistan there is no value of football plzzz help me i m poor i want to play for Barcelona .....😢😢😢😢help me plzz.,0.6369,36
Ig yall loss to donkeys then,-0.3182,6
Its trending😍😍😍,0.0,5
Juliana Hilliard i can watch it at tv.its live,0.0,9
Jupp heyncins for the win,0.5859,5
L.F.C Леонид Мороз your mom is poop,0.0,11
"LOs odio a todos, muerean",0.0,6
"Leo Messi In One Word, G.O.A.T.",0.0,14
Lillian yin ME AND I AM TEASING MY BROTHER,-0.2577,9
Lillian yin ME BEST GAME EVER,0.7125,6
Lmao this is trending here in the U.S XDDD,0.5994,11
MESSI MESSI MESSI!!! and TER STEGEN!!!,0.0,12
Max MAX - I bet you that you typed that comment just to trigger other ppl.,0.0,17
Max MAX soccer is the greatest sport in existence.,0.6369,10
Max MAX soccer is the king of sports,0.0,8
"Merry Christmas and Happy Holidays everyone! 🎅🎄🎁

Sincerely,
Mr. LittleDick",0.9215,15
Messi + forcabarca =✔✔✔ツツツ,0.0,8
Messi super,0.5994,2
My 2017's dream complete,0.25,6
Nandini Parab Yes but it's only at 44 :/ I heard from a friend that Argentina's trending was only El Clasico highlights lol.,0.775,24
Nandini Parab where though,0.0,4
No suban pendejadas,-0.296,3
No we have to wait I think the match is at seven pm,-0.296,13
Oh I thought this would just show the whole game,0.0,10
SALUDOS CORDIALES DESDE MONTREAL CANADÁ  🇨🇦,0.0,7
Soccer is not a sport.,0.0,6
"Soy mexicano 
Barca 👌👌👌👌👌👍👍",0.0,8
"Suarez,Messi,Alex Vidal amazing match",0.5859,8
Ter Stegen best,0.6369,3
That's not a word.,0.0,5
The Zac Efron please send me the link to watch today’s match in English,0.3182,16
They are true donkeys,0.4215,4
This is no stream,-0.296,4
VAMOSSS 3-0 BITCHES💙❤️💙❤️,0.0,9
Vaaaaammmmooooossss Barça 3 x 0,0.0,5
Visca Barca y nada mas y nada mas Visca barca.,0.0,11
Visca Barca 😍 😘💪 #indonesia,0.0,6
Visca barca,0.0,2
Visca el barça 😍😍😍😍,0.0,6
Viva barça,0.0,2
We win 3:0😄,0.5859,4
We won 0:3 visca el barca💙❤👑👑,0.5719,10
"We won.
Força Barça",0.5719,5
Webhead 333 calla imbecil!,0.0,5
Won..,0.0,2
Woooooooooooaaa,0.0,1
Wtf really ? This is trending in us,-0.5859,8
YEAH WHOS WATCHING AFTER 3-0,0.4466,5
Yaaaay Barcelona win 3 - 0,0.5859,6
Yes yes yes Barca has won and Real always lost,0.8591,10
Zlatan Ibrahimovic I guess its first time trending in US,0.0,10
Zlatan Ibrahimovic USA,0.0,3
a ganar el clasico el dia de hoy barcelona,0.0,9
anybody know who the English commentator is in this? he sounds fairly intelligent compared to others,0.4588,17
barca 3 real madris 0,0.0,5
barca vamossssssss,0.0,2
el barca esta arrasando,0.0,4
forca barca!!!,0.0,5
heeeee Visca Barca😛😛😛,0.0,6
live : goo.gl/2t5Qvx,0.0,3
merangutanes ajjajajjajjajajja,0.0,2
messi the best,0.6369,3
so does your mother,0.0,4
tôi đang chờ..Fan Barcelona.....VIET NAM.,0.0,10
vengo del futuro 3-0 gana el barca,0.0,7
ver en mi canal el último video que hay el enlace gracias,0.0,12
visca el barça,0.0,3
مسي وبس,0.0,2
ممباوي,0.0,1
ေ,0.0,1
❤️🔵❤️,0.0,5
💪🔵🔴 #ForçaBarça!,0.0,5
🔴🔵,0.0,2
😂😂😂👍🏻,0.0,5
🤘📸,0.0,2
