,sentiment,wordCount
"""Just because he's disabled does not mean he's not able.""",0.0,13
:),0.4588,1
<3,0.4404,1
Am I the only one crying and praying for him,-0.1531,10
And I’m over here complaining about Mondays smh. Major kudos to this kid and his family for staying positive despite his circumstances. This channel is truly amazing because you guys have some many gems that you share with us. Your content is truly uplifting and inspiring. Thanks for sharing❤️,0.9652,57
"As his muscle strength lessened, Sebian started to feel social isolation. He decided to dedicate himself to creating a place where individuals with a disability can connect and form bonds. If you are in the Denver/Boulder area check out https://www.sebsrec.org/.",0.4019,46
Awesome dad❤,0.6249,3
Awesome strength..mentality and emotionally..May Jehovah bless this young man!..,0.8016,15
Awww what a trooper,0.0,4
BLESS THIS YOUNG MANS HEART.......WHAT A SWEEHEART.,0.4215,10
Beautiful person -incredible and wise,0.7906,6
Bless him I love his Laid-back positive attitude,0.891,8
"Bless these kids and bless you.  😊 we shouldn't be sad tho,  we are all gonna die either way. But that doesn't mean we should not live our lives to the fullest.  All these ungrateful people killing themselves for stupid reasons. While there are happy people like him that want to live but they have no other choice",-0.2785,63
Can Sebian sit up anymore? Does  he enjoy watching videos?  WHAT does  he like to watch on t v ?,0.7383,22
"Damn, my heart hurts. :(",-0.8271,7
Damnn your dad is cute💗,0.0,6
"Estos videos son hermosos, lo qué haces es inspirador, sigue así ♥️☺️",0.0,17
Even though this boy is losing muscle he’s still so strong because he never gave up and he pushed though his hard times and that’s strength to and even though he’s has a disease he’s still growing and happy!!!,0.8938,50
"For a physically weak young man, he is one of the strongest person's  I have ever seen.",0.0,19
Go broncos im a huge broncos fan my dude,0.5574,9
God bless him,0.5994,3
God bless him hope he stays strong and try hard,0.8658,10
God bless this beautiful boy and God bless Chris !,0.9184,10
God bless you love. Stay strong!,0.9134,8
God bless! Thank you for inspiring me!!,0.8772,10
God forgive me for some times complaining.  I promise I will do better. Such handsome young guy. ❤,0.8689,21
Gonna make a beautiful Angel,0.5994,5
"Great kid, and he seems really smart. I would love to see his condition improve to give him a better quality of life, because he deserves it. And God Bless the dad, such a good guy.",0.9755,42
"Happy? Yeah, just take a fucking look at him",0.7096,11
He cute shoot,0.1531,3
He has a beautiful face 😍,0.5994,6
He is amazing,0.5859,3
He is so cute love you guys,0.8535,7
He is so nice hope the best for ya,0.9,9
He is very sweet for a teenager,0.5095,7
He will live thru it he is awesome person,0.6249,9
He's so optimistic,0.3804,3
"Hello Sebian! You are a great person, more power to you❤❤❤.",0.6588,17
"Hes funny suvhba sweet kid. I love how hebdoes things just like us ""normal, people. ""Can you pull my head up"". (Things he needs we all do) He is not different from us. Just so similar with few differences. Lovely personality",0.9468,52
Hey a child  of god 🙏🏽,0.2732,7
