,sentiment,wordCount
#DAWEMUSIC i,0.0,2
#r3hab #r3habmusic you are doing very good.Can't wait to hear the next music from you,0.0,17
*AMAZING R3HAB !!* _From _*_VIETNAM_*,0.0,11
-10/10  dno dna,0.0,3
.,0.0,1
0:51 ohmg,0.0,2
1.35 ❤,0.0,2
1.5m💕,0.0,3
666th comment,0.0,2
:),0.4588,1
:joy:,0.0,3
<3,0.4404,1
AMAZING SONG!,0.6239,3
Ad brought me here.😊,0.0,6
Alguien de Argentina?,0.0,4
Am I the only one who likes the future bass R3hab,0.4215,11
Amazing,0.5859,1
"Amazing song! Not only the song, but also the camera work, visiuals and graphics, nice work Lia and rehab!",0.7707,24
Amazing vocals amazing video amazing track,0.9081,6
Amigo as una canción q se un sonido mas embolbente,0.0,10
Anyone else feel like a shark was gonna eat em at the end or was that just me? xD,0.743,20
Applause for Jakob Owens and the team that help to produce this!  Amazing!  The way you capture waves and open water is always so refreshing!,0.8974,28
Awesome,0.6249,1
BEAUTIFUL SONG <3,0.8192,3
BEAUTIFUL😍,0.0,2
BRS?,0.0,2
BTS ARMY WHERE U AT?,0.0,6
Beautifull song,0.0,2
Brasil ❤❤❤,0.0,4
"Came for the thumbnail 
stayed for the song",0.0,8
Can anyone tell me the name actress present in the video,0.0,11
Can anyone tell me to what genre this song belongs?,0.0,11
Cant stop listening  your song ....its too good .....👍👍👍,0.1779,13
DA WAE,0.0,2
DAT VOICE IS NOICE,0.0,4
DIE FOR DIY LMAO,0.0,4
Damn! R3HAB IS THE MOST ACTIVE PRODUCER I KNOW!! Keep it up!,0.6029,16
Does somebody knows the name of the girl?,0.0,9
Emily Robinette Hello?,0.0,4
Emily Robinette me lmao.,0.5994,5
Epic track plus a very good video,0.4927,7
Excellent tune & vid 👍,0.5719,5
Fine Bros/Kids React/Teens React anyone?,0.2023,10
Foda AAAAAAAA,0.0,2
For a water lover this song revives my experiences,0.7506,9
Garrixer 17 the one singing or the one in the video??,0.0,13
Genre?,0.0,2
Girl talent?,0.4215,3
God I would fuck the shit outta her.  I’ve been fapping it to her since Teens React,0.3818,20
Goddd I just saw 666 comments,0.0,6
Good !!! >_•,0.5826,7
Good music on yt ads? really,0.4404,7
Grande R3HAB 🙌👽saludos de Argentina,0.0,7
"Great video, amazing",0.836,4
He's back,0.0,2
"Helllllooo everybody 😃😃

Please enjoy my brand new record with Lia Marie Johnson!!

Comment and share if you love it ♥♥",0.9097,25
Hello,0.0,1
Hello Brasil 🇧🇷?,0.0,5
Hello to you,0.0,3
Hello. I'm from Turkey. But ı love you. <3 heart?,0.7964,14
Henrik Bleckmann same here man!,0.0,6
Her vocals are just❤️,0.0,6
"Hey the vocal chops are very good, but they have a lot of presence, what makes the other instruments( chords, leads, closet Hi hats and other stuff) sound less powerful",0.655,36
"Hi, I do not speak english...!!!",0.0,11
High HOPE,0.5622,2
I MISS SUMMER VIBES,-0.1531,4
"I believe ini God now, and a God is also R3hab",0.4939,12
I can't even right now! <3,0.4926,7
I love it !!! perfect,0.8682,7
I love the song,0.6369,4
I thought I was the only one with a dirty mind lol,-0.0258,12
I thougth it was Meg Deangelis in the video  but then I saw her face fully,0.0,16
I'll ride it...like the wave..♥♥♥💣🔫,0.0,13
"I'm a fan of martin garrix, but I also love r3hab for its future bass genre as well",0.8779,19
I'm in LOVE 😍,0.7125,4
"I'm the 399,870th viewer and this is the 501st comment",0.0,11
"In love with this song. Beautiful. The video, the music, the lyrics, everything is excellent.",0.9153,21
Increíble no puedo dejar de escucharla,-0.296,6
Instagram's story brought me here. It's awesome!! =),0.8353,11
It's really cool bro,0.3804,4
Its so cool,0.3804,3
