,sentiment,wordCount
"""Backed into something that didn't buy him dinner first """,0.0258,11
"""Except KUMON"" 
I do the same thing but I am still terrible at math...",-0.631,17
"""He back into something that...didn't buy him dinner first"" I love that",0.6369,16
"""He backed into something that didn't buy him dinner first"" damn",-0.3818,13
"""Well he backed into something that uh...um..didn't but him dinner first.."" 

DeAd",-0.7469,19
"""except KUMON"" lmao i can relate to that",0.5994,10
*MY AGAR TASTES GARBAGE SO STOP ASKING*,-0.3597,9
*it didnt buy him dinner*,0.0,7
.,0.0,1
0:34 KANSEI DORIFTO!!!,0.0,6
0:35 DEJA VU,0.0,3
1:27 My parents did the same thing. *Holds hams up for high five*,0.0,16
1:28 I went to Kumon too as my childhood.,0.0,10
1:28 damn bro we have too much in common that it’s kind of weird,-0.5709,16
1:28 what’s Kumon?,0.0,6
"1:29, I FREAKIN HATED KUMON!! But it did help with math.",-0.5882,15
"1:31


Pongebob.


PONGEBOB!!!!!!!",0.0,7
1:31 Dominic Pongebob,0.0,3
1:32 Dominic *PONGEBOB*,0.0,5
1:32 Dominic pongebob I legit came to this vid after the last names one,0.0,14
"1:32 I almost missed the Dominic pongebob there, ya sneaky l’ll thing you",-0.4228,16
"1:32 Oouu okay dom, *little throwback* from the last names video, I see u😏😏",0.2263,20
2:03 DUDE I LOVE YOUR DBZ REFERENCES! xD,0.8757,9
"2:42 
You two in bed?",0.0,6
3:42 HAHAHAJHAJA,0.0,2
"3:43 Domics crying in his house for capsizing a canoe (2017, colorized)",-0.4767,15
"4:24
Haha, dick.",-0.0772,5
4:41 XD Naruto.,0.6739,4
"4:42, here comes a thought...",0.0,7
4:47 i cant stop laughing! lol,-0.521,7
"4:48
Then this son of a bi- MOTHER",0.0,9
6:08 -6:11 why dom,0.0,4
"6:09 
*Insert Funny Comment Here*",0.4404,7
6:10 dat face tho,0.0,4
"6:11 I'm sorry


BUT I CAN'T STOP LAUGHING XDDD",0.3291,9
6:12,0.0,1
8 minutes!?!? how tf did you animate that?!?!,0.0,16
>Shadfly,0.0,2
Aiden's hearing aids... thank you for animating them! It's amazing to see simple representation like that - it really doesn't happen that often.,0.8439,26
Am i the only one who noticed “ dominic pongebob “,0.0,11
Aw I taught at Kumon for a year in Miami Gardens ☺️,0.0,13
Ayeee Kumon,0.0,2
BUMB FUCK NOWHERE I WAS LAUGHING SO HARD XDDDD,-0.2484,9
Backed into something... That didn't buy him dinner first. LOL,0.5622,12
Black friend in the back of the canoe.,0.4939,9
COME TO SUDBURY,0.0,3
Canoes are actually pretty hard to capsize. I dont know how you managed that but im honestly amazed.,0.8807,20
"Claire? CLAIRE?!?! NANI, anyhow Dom i hope it goes good, i cant handle to see you make another of those Break Up vids",0.786,30
Comics I like your videos and u always make me laugh,0.7269,11
Crab далеко нет,0.0,3
Crab неа,0.0,2
"Dammit Domics, in my dream you joined my discord server. We were chill. BUT NOW YOU GONE. Hmu if you ever want the link my dude",0.0258,30
Darova dominic blat syka,0.0,4
Dat rock went right to the main course,0.0,8
Did that kid have a mustache??!?!?,0.0,12
Didn’t even buy him dinner first 😂😂 5:57,0.0,11
Do i just make kumon sound Asian my self or is it really Asian and stariotype smart Asian or something. I'm not racest plz no kill,-0.3257,27
Doaxrocks gaming guess what no one gives a crap,-0.5859,9
Dom this was nothing but BORING..,0.0,7
"Domics 

9, 100th like!😃",0.0,7
Domics I hated kumon,-0.6369,4
Domics OMG I do kumon too lol. I love in hk with Asian parents too. I understand you,0.7906,20
Domics awww poor thing,-0.4767,4
Domics there is 6 seat bikes I went on one it was like helllll,0.3612,14
Domics watch my channels only video please .. north bay is suspect,0.0258,12
Domics what bunny?,0.0,4
Domics why why does it look like  he's  enjoying it,0.7096,10
Dominic ?. Panganiban,0.0,4
Dominic Pongebob the Math Genius.,0.0,6
Doms almost at five million subs,0.0,6
Dragon ball z ssj3 reference😂😂,0.0,8
Everyone subscribe to Domics or ELSE!,0.0,7
FUCK KUMAN MAN,-0.5423,3
G a y,0.0,3
"GUYS, THE BUNNY'S OKAY. He's just had a rough past from a previous owner and he's rescued now.",0.6633,21
Good thing Dom's got that Shikamaru thinking pose down.,0.4404,10
"Good videos, i'm italian.",0.4404,6
Greetings from Russia,0.4215,3
Grew up in North Bay. So happy to see a video on us.,0.6115,15
Grimmjow ураа,0.0,2
HAAAAA GAAAAYYYY,0.0,2
HELL YEAH!!! CANADA!!!!!!!!!,-0.6776,9
Haha kumon yep I went there ........,0.6369,7
Haha. I never laughed so hard. Hillarious.,-0.089,10
He just kinda backed into something that didn't buy him dinner first one 😂😂😂😂😂😂 (edit 6:05 ),-0.0498,20
He's he's going beyond his limit he's going super sayin 3,0.5994,11
Heisean ( I don’t know how spell it) got third wheeled so hard,-0.2183,16
"Help, I got Kumon too, but now I'm learning +3 grade level: 9th 

(I still hate you Kumon)",-0.6369,24
"Hey Domics, I love your videos. They cheer me up during hard times and are just fun in general. Thanks a million!",0.9273,26
Hey I did kumon tooo And I got up to level H 75 I was hard. And I stop but my cousin whose surname is Ng (related to another video but is true) finished reading and math,-0.2023,40
Hey man I just got a account and I love your videos. Your one if my favorite channels and you have cheered me up so many times when I was sad thanks.,0.8834,34
Holy cheese my name is Claire,0.0,6
Honestly here in Northbay the only cool thing about this dump is when the boat is open over the summer. During the day you enjoy a nice meal with a beer by the lake and by night it's a wild ass party,0.7579,43
