,sentiment,wordCount
"""Akcherater""?",0.0,4
"""Does your website not working right?"" lul",0.0,10
"""I have forbidden jokes such as SHAFT"".
Little did she know, the first thing I saw was the bottom sticker on the robot arm where the letters ""KUK"" could be seen.
Kuk means dick in Swedish.  *giggles*.",-0.6249,48
"""I try to push it back into the eyeball"" god. I love her.",0.743,17
"""KUKA"" yeah, would never sell in Sweden...",0.296,11
"""Kuka"" means ""cocks"" in Nothern Norwegian dialect. Great.",0.6249,14
"""PUNCH MEEEE"" wait what",0.0,6
"""Space of some other shape"" 😂",0.0,8
"""These little D-shafts that are going into the hole, but you must make sure they don't get stuck in the hole."" Lovely.",0.8823,27
"""This is some hard wood."" That's what she said.

""It's like impenetrable."" That's what he said.",0.2732,24
"""This is some hard wood.."" Simone Giertz 2K18",-0.1027,11
"""This would be so much easier if I just knew what I was doing?""",0.4728,17
"""d-shaft"" and ""hard wood"" within 20s of eachother... this is too hot for me",-0.1027,19
"""im just seeing how much my arm hair has grown"" hahahahahahhahahaha ok, simone!hahaha",0.3595,18
"""punch meeeee!"" saaame",0.0,6
#sendsomonetospacenowcauseifshedoesnotgoshewilllooseit,0.0,1
". . . .You’re nuts, I like it",0.0516,9
10:00 accounting 101,0.0,3
10:37 NEW JUST BIEBER SONG JUST BEEN WRITEN,0.0,8
1:32 560 pounds of THRUST. GRAYAYAYAYAYA!,0.0,8
2:23,0.0,1
"8:29 she said I love you 

Bear: I YOU LOVE ME LET ME GOOOOOO

9:58 
Me:really? 
Brain:really?
Leg:… 
ARE U OK LEGS DONT TALK",0.925,34
8:57 - This is the wakeup robot's nemesis. Hit the arm with a hammer before it smacks you in the face.,0.0,24
9:01 stop hammer time ... Kill me pls,-0.765,8
9:20 for the dopest beat drop ever,-0.2732,7
9:37 aww she almost cries,-0.3415,5
:D,0.5106,1
A couple of guide rails each side of each hammer would help stability no end!,0.2003,16
"AWESOME, YOU NAILED IT!! :0P  loved this one, loved watching the build and couldn't stop laughing, keep it up Simone :0)",0.9257,29
Always entertaining - you rock Simone!!! Thanks for the laughs chick =),0.9198,15
And literally not a single nail hammered in the entire video. Sad!,-0.5255,14
And now for it's big brother... https://www.youtube.com/watch?v=B6USZBCF-vU&index=3&list=PLiZ5HldERdDjquY1yqQzMDbwkq-mn9yak,0.0,8
Are you an engineer? Electrical? You said you’re not a mechanical engineer...?,0.0,18
"At 09:33 
Robot Dog: ""I don't wanna die. Please I don't wanna die"".",0.2924,18
"At 3.53, I thought my battery's dead. Was I the only one?",-0.6486,15
Build a Tesla's Oscillator.,0.0,5
"But you have that KUKA LBR right there.  Just.. give it a hammer.. and you know.. job done.
Its a bit like saying ""Well, I have this Ferrari, but I think instead I'll just screw some casters to this 2x4 and have several tortoises pull me along on it.""",0.0387,59
Came to see a hammer robot. Accidentally fell in love.,0.4215,12
Core i5 laptop :’v i dont have one,0.0,10
D shaft butt - Simone giertz,0.0,6
Damn simone you are ruthless on those items xD love your stuff!,0.7644,13
Does Simone realize that her robot arm's company name means cocks in Swedish?,0.0,14
Does anyone else think Brigitte from Overwatch is Simone in the future?,0.0,13
First time with welder? It's magical gluing two pieces of metal with more metal,0.0,15
Gmm has a makeup crew??? Dang they fancy,0.0,11
HELLO!!!  GENERIC ATTENTION SEEKING COMMENT ABOUT YOUR SMILE.  On another note... which is still in the same note... as one comment thread... I like your humor.,0.8275,34
Hahahhahaha so awkward,-0.2247,3
Hammer Bot vs. Michael J. Fox?,0.0,9
Hamrawr.,0.0,2
"Hello, I'm here to apply for your HR department.",0.0,11
Here at 666 dislikes o.o,-0.5423,7
Hey i live in contra costa county,0.0,7
Hey you looked awesome on those mommy glasses!,0.6588,9
How to be cool and smart lesson #1. Build a hammering robot... :D,0.8415,16
I ENJOYED YOUR VIDEO ANDJELFJSJ... f'ing hammer robot.,0.6166,10
I did post a tweet im not on Instagram sorry or would have posted to you there,0.0572,17
"I don't want to sound too creepy, but it's hard to not fall in love with you a little",-0.7402,20
I fell under the table when you started to help robot braking the laptop with your own hammer xD,0.7579,19
I got the link to your channel from Mick Make. Content looks decent.,0.0,15
I have never related to a maker on youtube as much as you welding.,0.0,15
I heard _D shaft_ and I knew it was about to spiral out of control.,0.0,17
"I love u
You",0.6369,4
I love you Simone! Marry me?,0.6696,8
I love your channel and you it need more girl to Do that,0.6369,13
"I read the title and immediately said, ""hammer me"" and.... I- I need to go to church.",0.0,23
I really miss Rhett and Link. I'm really angry that GMM took them from us,-0.669,16
I think your robot is doing an impersonation of an old apprentice of mine!,0.0,15
I was actually tearing up when it got to the dog... I have no chill,-0.296,16
I was doggone touched that you spared the annoying toy the hammer touch. That bit of compassion may have kept you from pooching your career. A WowPow of a video...keep knocking them out.,0.0772,38
I was thinking gmm was small group maybe 10 people and you are telling me its... 60... fug,0.0,20
I will put my d shaft in you hole,0.0,9
I wonder if that hammer robot could pin me in the comments section?,0.0,14
I would not hammer this fourteen year old boy youtuber.,0.0,11
I wouldn't advertise being on good mythical manlove if I were you.,0.4404,13
"I'm sure you figured it out, but if you mounted the hammers on a rod rather than springs, they would have been much more usable",0.1655,27
In Dutch we would call you a Beunhaas.,0.0,9
Inteligent dog,0.0,2
Is Scott your boyfriend?,0.0,5
"Is anyone else a little sad that the laptop was off, thus we will never get to see what the robot typed?",-0.4228,24
Is this lady an engineer? Or did she just go cray in home depot and buy a camera? /subbed,0.0,22
Isnt that the workshop of adam savage??,-0.5204,9
"It was it responce to this 


Starman

@Im_Starman Feb 12
Next time someone gives you an invite to space, make sure you lock down that +1. It's super lonely out here y'all.",0.6486,36
"It'd hammer with a little more force if it engaged with the hammer more on the down stroke. Also, you could create a v shaped frame to act as a guide/bushing so the hammers hit the same spot — use plate metal and flat-grind the handles so they align perfectly. They'll be more destructive at an angle and when the force is guided, a lot of energy loss occurring with the springs.",0.5818,79
Its hammer time,0.0,3
"It’s *HÀMMÈR* TÏME




outplayed",0.0,8
I’ve got sum hard wood,-0.1027,7
Just fucking breathed in a mouthful of cherries and nearly choked watching the computer part,-0.4767,15
"Just took a sip of my tea before ""D shafts"". Thanks Simone!",0.4926,16
Lies it doesn't destroy everything,0.0129,5
Lol,0.4215,1
Love a PUN! =0D,0.6696,6
