,sentiment,wordCount
"$96,000 ÷ 20 months means you paid off your debt @ $4,800 per month. You must have made LOTS of money during this period of time while also covering all your other expenses.",-0.3612,37
1:10 I see that Elon Musk book,0.0,7
98 that’s so cheap,0.0,6
"A little more work on the tree house, and your eldest daughter would have her own space! I would've loved something like that growing up.",0.8122,28
A lot of We’s .. I like dat!,0.4199,11
"A very honest video interview, and you have created a beautiful home (indoors and out) x",0.8588,19
Absolutely beautiful video! Very inspiring! May i ask what brand ans model of the tiny house shell you used to build? I really like the layout.Thanks and Blessings for your family,0.9344,34
Amazing!,0.6239,2
Amazing!  Where are you living in B.C.?,0.6239,12
Amazing! : ),0.6239,4
"And theyre growing their own food? or at least some of it, oh my, talking about radical!? congratulations!  debt free life.......
That lot where it's sitting on seems quite green and nice.",0.8862,40
"Apart from what others have said, I really liked that you've put the music more into the background. It felt very intrusive and loud in your last videos, so this is a welcome change. :)",0.854,39
Appreciate your honesty about the issues of living tiny.   It's great you're working so hard to be debt free.,0.873,21
Awesome couple!,0.6588,3
Awesome couple!! And awesome parents!,0.8772,8
"Awesome tiny home, awesome couple, awesome place, awesome management for living and everything is awesome 😍😍 I really love the lifestyle they're living 😊😊 and so lovely kids as well😘😘",0.9859,37
Awesome!🇨🇦🇨🇦,0.0,6
"Bank debt  slaves no more.
Impressive.",-0.0276,8
Beautiful family and home. Your story will encourage others to live within their means.,0.802,16
Beautiful family. Thank you for sharing a real story of a lovely family and the way they choose to live in their Tiny Home 😁,0.9186,26
Beautiful sentiments about raising aware children.,0.5994,7
Beautiful...,0.0,2
Beautifully said and Done.,0.5719,5
Being a minimalist to point where the less I have the more space I literally have in my brain 🧠 realizing that I can live alternatively is now and forever an identity for me. I can’t stop thinking of this way of living. It’s exciting to me. I hope to one day get a sprinter van and live in it.,0.5994,68
Buy everything 2nd hand....so if we all did this then where would the 2nd hand items come from? It's good that they got out of debt but it's also nice to learn to live within your means and you can still buy new things as long as you stay within your BUDGET!,0.7424,56
Can you do some gardening videos and how you built the sections. How do you keep the wood from rot?,0.0,22
"Can you surreptitiously film people's bookshelves when you make these videos? I recognized 4 books in this video from the spines; Musk, Suzuki, Krakauer and Bukowski. It's always nice to recognize that there are other smart folks out there.",0.6705,45
"Congrats to you both for working together as a team and being able to sensibly sit down and make a plan together and work on it together.  You are an ideal couple who should write a book or go around telling and teaching your story doing seminars.  So many need to hear it!!!  It would save marriages, homes, lives and honestly I think even children would be happier.  There is nothing but garbage out there for kids to watch.  They need to be outdoors and learn about nature and how to survive in it...actually everyone needs to learn it.  Because one day, we will need to know it and wish we had learned more.  I'm prepared, but old now and it would be difficult for me to survive on my own.  But a fighter in every way, so I will be fine.  You can be very, very proud of what you have accomplished.  You could actually make a bunk bed that lowered from the ceiling in your daughter's bedroom.  Do an ""L-shape"" putting your son's small bed above the foot of her bed.  Raise and lower it each night.  He can crawl in and out via the bottom of her mattress, but also have a small ladder for him to climb up too that hooks on to his bed.  I visualized that and I feel sure it's feasible, with little cost and work.  Just ensure safety and strength to hold his weight as he grows. Blessings to your family.  L :)",0.993,282
