,sentiment,wordCount
#35 on trending,0.0,3
#BiteJAGUARSBite,0.0,1
#BlitzForSix,0.0,1
#flyeaglesfly,0.0,1
#flyeaglesfly        Coming from a colts fan so I naturally hate the patriots,-0.3976,12
#gopats,0.0,1
#notdone,0.0,1
"*GO PATS! THE NEW ENGLAND MOTHERFUCKING PATRIOTS, BRO! FUCK THE EAGLES, MAN!*",-0.8472,19
...Then Tom Brady showed up to that one game.,0.0,11
"00:19, awesome. lge!",0.6588,6
"31-17, Eagles defense with the pick six to end the game late in the 4th!",0.2003,17
37 on trending...dang,0.0,5
A New York giants fan wants to say LETS GO EAGLES,0.3182,11
Abe A #fuckyou,0.0,3
Abe A FUCK THE SCUMBAG PATRIOTS. THOSE FUCKERS WILL GO DOWN,-0.9413,12
Abe A no but at least I’m not a bandwagoner,-0.1531,12
Abe A well you guys lost so shut your mouth. Brady got his white ass handed to him,-0.5719,19
All I Smoke is Gas GBE nah didn't lose money.. Jus out of all the teams n the NFL the wack ass eagles win!! Next year ur out in the 1st game of the playoffs!! It was a fluke!!,0.5149,46
"All this hype to still lose to the patriots tomorrow, sad",-0.7003,12
"All we got is All we need, LETS GO BIRDS 🦅",0.0,12
Almost time for the dogs to feast🍴,0.0,8
"And YES, the Eagles did it!",0.5754,8
"And the ones who arent with us, and never got to see what we will tomorrow",0.0,17
And they did it go philly,0.0,6
And they won the Superbowl against the pats,0.5719,8
And we brought it home,0.0,5
Andrea Mae oh boo hoo! GO PATS!,0.0,9
"Anthony Hixson 
Next year for the Giants if they get Barkley and improve the o-line.",0.4404,16
Anyone else hungry for a philly cheese steak sandwich,0.0,9
BIG DICK NICK,-0.5106,3
Ben Weagle Only to lose to the Eagles,-0.4019,8
Ben Weagle true,0.4215,3
Best of luck,0.802,3
Best of luck to the Eagles 🦅 & there fans Super Bowl 52 🍲😎👍🏼‼️,0.9022,19
"Big dick Nick, will pull it off.",-0.5106,9
Blah blah blah,-0.296,3
Block by block,-0.7003,3
Boo,0.0,1
Boucott the NFL. STAND UP for America.,0.0,9
Brady is GOAT,0.0,3
Brain Dawkins who remembers?,0.0,5
Bring superbowel home Philadelphia Eagles!!,0.0,7
"Browns fan here, but today.... GO EAGLES!!!",0.3666,12
"COME ON PHILLY, WE GOT THIS SUPERBOWL, I Got Your Back Down Here In Texas, Surrounded By These COWBOY FANS😒, GOD BLESS THE EAGLES AND MAY HE GIVE YALL THE CHAMPIONSHIP YALL DESERVE THIS YEAR!!",0.8906,42
CONGRATS ON THE SUPERBOWL WIN AAAAAA,0.802,6
"CONGRATULATIONS EAGLES ON YOUR SUPERBOWL WIN!!! 
41 -- 33 vs ""unbeatable"" Patriots!!!
YOU DID IT!!!!!!!
WORLD CHAMPIONS!!!",0.9474,32
Chill bruhh y'all know your ganna lose 😂,-0.4019,8
Clorox Bleach 0 rings,0.0,4
Clorox Bleach Brady 5 rings Philly 1 ring,0.0,8
"Clorox Bleach I don’t like the Vikings, I am still salty that they hit a 61 yard field goal because I am a giants fan",0.5859,28
Clorox Bleach I live in south Philly fans disgrace to the city,-0.4939,12
Clorox Bleach Why don't you go drink yourself?,0.0,9
Clorox Bleach eagles fans are rude we are nice I saw a eagles fan punch a Vikings fan in the face and not get in trouble,0.6866,26
Clorox Bleach they about to get spanked tonight by their daddy,0.0,11
Congrats the Rothchilds got you a trophy,0.5267,7
"Congratulations, Philly!",0.636,4
Cuckfest is finally hear!,0.0,5
D1 loc Same,0.0,3
"Damn, this still gives me chills!",-0.4574,8
Dangerzone maybe this video was in my recommended so I wanted to watch,0.2023,13
Does anyone know what song was used?,0.0,8
Don't tell the Patriots this... but one game is all they need too. *Nice L0G!C*,0.0,21
Don’t cry too hard,-0.5423,6
Dude just fuck off this video isn’t for your dumbass,-0.7964,12
Duncan Sauces sub for sub,0.0,5
EAGLED I’M COUNTING ON YOU GUYS TO BEAT THE DEFLATRIOTS! CRUSH TOM DEFLATY!,-0.2924,17
EAGLES,0.0,1
Eagles  sucks,-0.3612,2
Eagles are going down!!   Their fans suck ass!!,-0.8209,12
Eagles are gonna take an L.,0.0,7
"Eagles are wack asf
Patriots wack asf

Hope neither team wins...",0.4404,12
Eagles suck go Vikings,-0.4404,4
Eliana Huberty Eagles killed the Vikings 38-7 haha Vikings suck 👎 Go Eagles!!!,-0.7412,16
F the eagles,0.0,3
"FLY
EAGLES
FLY",0.0,3
FLY EAGLES FLY💚🖤,0.0,5
FUCK THE EAGLESSSSSSS,-0.5423,3
Fly EAGLES 🦅 Fly,0.0,4
Fly Eagles Fly!!,0.0,5
"Fly Eagles, fly. Go get them!!! That gave me goosebumps.",0.0,16
Fly eagles fly! 🦅 We can do it! #EaglesRepresent,0.0,11
Flyeaglesfly!!!!!!!!!,0.0,4
Flyeaglesfly.. then get shot down against the goat. 🐐,0.0,11
Free meek,0.5106,2
From PA so definitely rooting for my boys,0.541,8
From a former chargers fan. Go eagles,0.3182,8
Fuck philly,-0.5423,2
Fuck the Patriots,-0.5423,3
Fuck the eagles !!,-0.6229,5
Fuck the eagles and fuck Philly!! Ther not goin nowhere next year!!,-0.8469,16
GGGGGGGGGGGGGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0.0,1
Get out there and do it!!! Fly Eagles fly!!!,0.0,15
Go Eagles!,0.0,3
Go Get It Boys!!! I Love You,0.7249,10
Go win that one game,0.5859,5
God I hope they lose...HTTR!,0.6476,8
Good game,0.4404,2
"Good luck 


New InFurniture 🏷️ 📦 items live",0.7096,9
"Good luck to you. My team tried it last year and for some God awful reason couldn't figure out that the clock was their enemy, up 28-3. Stupid ass OC wanted to throw the ball and not run it, leaving gobs of time on the clock for a New England comeback.",-0.7506,56
Goosebumps though...,0.0,3
Great Job Eagles!  Fly!,0.6892,6
HAHAHAHAHAHAHA,0.0,1
Hats off to you all! Congrats and God bless!,0.8353,11
"Hoodie Philadelphia Eagles print Pullover hoodies

https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F122951218532",0.0,7
How did that work out for you again,0.0,8
Hype video done right,0.0,4
I am a cowboys fan. With that said go Eagles.,0.3182,12
I didn’t know I was an eagles fan.,0.3182,11
I got this in my recommended after the super bowl,0.6908,10
I hope Patriots win. From California,0.7717,7
I kept getting goosebumps,0.0,4
I live in New England but I hate the Patriots so lets freaking go Eagles!,-0.8875,16
I live in Philly and we have a 2 hour delay at school,-0.3182,13
I love the falcons and the eagles but fly eagles fly!,0.4389,12
I want the eagles to win,0.6249,6
I'm a Dallas Cowboys fan but thank you Eagles for shutting down the Patriots cheaters really hard.  Congratulations Philadelphia Eagle fans on your Superbowl win!!!!,0.7873,29
"I'm thinking 24 - 21 Eagles but anyone else's guess is as good as mine! GO BIRDS, let's get this win!!!",0.9227,26
Im happy to see that you pats fans are on here trolling but tonight  when you lose we won't here from none of you because  that's what ya do just like Minnesota fans go hide under a rock,0.0,38
Im niner fan but today win it for the underdog Eagles,0.7814,11
In there dreams they will win,0.7579,6
Iron Platypus He smiled a few days ago. So let's see if we get that W.,0.5423,18
Is this the only one Bradley Cooper did? Or did he do all the hype videos? I know he's also the snowball in the Santa video.,0.0,29
I’m a Tampa fan so naturally I have a hatred for the eagles for always killing us in the NFC championship in the early 2000’s. I just can’t help but yell as loudly as I can; FLY EAGLES FLY,-0.5716,47
"I’m a pats fan, good luck guys",0.802,10
I’m having fun winning,0.7717,6
"I’m not a Patriots fan at all but they are gonna stomp all over the Eagles, I don’t even wanna watch!",-0.1957,27
"Jags fan coming through.
You may think that I want the Pats to avenge us because of the playoffs.
But y'know, screw the Pats. Go Eagles.",0.296,31
"Jets fan here, of course the last thing I want is another patriots super bowl, you have my support tonight philly, go get the job done",0.8481,29
Johnny Maza Pats and their cheating team lol Pats fans are cringey bandwagoners 😂,-0.2023,14
Just here to leave a thumbs down 🖓 #FuckPhilly,-0.0516,9
"Kick their Patriotic asses Eagles, go there, and show them you're true power.",0.4215,16
Knozz Plays ikr,0.25,3
LET'S GO EAGLE!!!,0.0,6
LETS GO EAGLES,0.0,3
LETS GOOOO!! So proud of my birds. #ontheroadtovictory,0.6094,11
LMAO I LOVE THAT! GO PATS!,0.8652,8
"Lancaster Responding 
😥😓😭",0.0,5
